,x
C.Ext01,660
C.Ext02,582
C.PCR01,447
C.PCR02,68
C_PCR_RNA_201909,1702
C_PCR_S_201909,9126
C_PCR_Taq_201909,41
C_PCR_W_201909,41
D1.Apr16,2
D1.Aug15,94
D1.Aug16,32
D1.Dec15,2
D1.Feb16,16
D1.Jan16,16
D1.Jul15,3
D1.Jul16,94
D1.Jun15,6
D1.Jun16,124
D1.Mar16,0
D1.May15,5
D1.May16,3
D1.Nov15,8
D1.Oct15,28
D1.Sep16,6
D2.Apr16,6
D2.Apr17,26
D2.Apr18,539
D2.Apr19,103
D2.Aug15,172
D2.Aug16,160
D2.Aug17,9
D2.Aug18,17
D2.Dec15,182
D2.Dec16,78
D2.Feb16,82
D2.Feb17,25
D2.Feb18,976
D2.Feb19,259
D2.Jan16,166
D2.Jan17,175
D2.Jan18,193
D2.Jan19,1705
D2.Jul15,10
D2.Jul16,201
D2.Jul17,100
D2.Jun15,3
D2.Jun16,578
D2.Jun17,5
D2.Jun18,168
D2.Jun19,23
D2.Mar16,210
D2.Mar17,20
D2.Mar18,59
D2.May15,146
D2.May16,137
D2.May17,15
D2.May18,192
D2.May19,88
D2.Nov15,107
D2.Nov16,128
D2.Nov18,124
D2.Oct15,138
D2.Oct16,90
D2.Oct17,7
D2.Oct18,2
D2.Sep16,91
D2.Sep17,31
D2.Sep18,18
EA05_S_Wi2013,2228
EA05_S_Wi2015,944
EA05_S_Wi2016,3034
EA05_S_Wi2017,818
EA05_S_Wi2017RNA,440
EA05_S_Wi2018,649
EA05_S_Wi2019,2506
EA10_S_Wi2013,2438
EA10_S_Wi2015,397
EA10_S_Wi2016,848
EA10_S_Wi2017,511
EA10_S_Wi2017RNA,479
EA10_S_Wi2018,1412
EA10_S_Wi2019,1408
EB05_S_Wi2013,227
EB05_S_Wi2013RNA,536
EB05_S_Wi2015,322
EB05_S_Wi2016,515
EB05_S_Wi2017,824
EB05_S_Wi2017RNA,552
EB05_S_Wi2018,452
EB05_S_Wi2018RNA,407
EB05_S_Wi2019,1085
EB07_S_Wi2013,402
EB07_S_Wi2015,620
EB07_S_Wi2016,422
EB07_S_Wi2017,675
EB07_S_Wi2017RNA,795
EB07_S_Wi2018,647
EB07_S_Wi2019,800
EB10_S_Wi2013,447
EB10_S_Wi2015,374
EB10_S_Wi2015_Taq,1462
EB10_S_Wi2016,520
EB10_S_Wi2017,557
EB10_S_Wi2017RNA,382
EB10_S_Wi2018,544
EB10_S_Wi2019,1097
EBI05_S_Wi2013,188
EBI05_S_Wi2015,747
EBI05_S_Wi2016,1432
EBI05_S_Wi2017,613
EBI05_S_Wi2018,706
EBI05_S_Wi2018RNA,313
EBI05_S_Wi2019,2028
EBI10_S_Wi2013,1546
EBI10_S_Wi2016,1058
EBI10_S_Wi2017,587
EBI10_S_Wi2017RNA,356
EBI10_S_Wi2018,418
EBI10_S_Wi2019,1092
EBI20_S_Wi2013,417
EBI20_S_Wi2015,498
EBI20_S_Wi2017,309
EBI20_S_Wi2018,201
EBI20_S_Wi2018RNA,605
EBI20_S_Wi2019,507
ED05_S_Su2017,625
ED05_S_Su2017RNA,149
ED05_S_Su2018,1092
ED05_S_Wi2013,465
ED05_S_Wi2013RNA,626
ED05_S_Wi2015,523
ED05_S_Wi2016,478
ED05_S_Wi2016RNA,687
ED05_S_Wi2017,585
ED05_S_Wi2017RNA,438
ED05_S_Wi2018,810
ED05_S_Wi2018RNA,532
ED05_S_Wi2019,1815
ED05_WBM_Su2017,157
ED05_WBM_Su2018,49
ED05_WPM_Au2017,248
ED05_WPM_Au2018,403
ED05_WPM_Sp2017,230
ED05_WPM_Sp2018,208
ED05_WPM_Su2017,95
ED05_WPM_Su2018,122
ED05_WPM_Wi2018,1043
ED05_WPM_Wi2019,1244
ED10_S_Su2017,417
ED10_S_Su2018,285
ED10_S_Wi2013,496
ED10_S_Wi2015,456
ED10_S_Wi2015_Taq,1964
ED10_S_Wi2016,655
ED10_S_Wi2017,563
ED10_S_Wi2017RNA,584
ED10_S_Wi2018,387
ED10_S_Wi2019,745
ED10_WBM_Su2017,195
ED10_WBM_Su2018,70
ED10_WPM_Au2017,1005
ED10_WPM_Au2018A,593
ED10_WPM_Au2018B,345
ED10_WPM_Sp2017,124
ED10_WPM_Sp2018,198
ED10_WPM_Su2017,243
ED10_WPM_Su2018,104
ED10_WPM_Wi2018,1176
ED10_WPM_Wi2019,898
EL05_S_Wi2013,883
EL05_S_Wi2015,603
EL05_S_Wi2016,417
EL05_S_Wi2017A,617
EL05_S_Wi2017B,765
EL05_S_Wi2017RNA,654
EL05_S_Wi2018,630
EL05_S_Wi2018RNA,286
EL05_S_Wi2019,1254
EL10_S_Wi2013,897
EL10_S_Wi2015,396
EL10_S_Wi2016,502
EL10_S_Wi2017,414
EL10_S_Wi2017RNA,417
EL10_S_Wi2018,470
EL10_S_Wi2019,623
EM05_S_Wi2013,2096
EM05_S_Wi2015,2918
EM05_S_Wi2016,3549
EM05_S_Wi2017,483
EM05_S_Wi2017RNA,464
EM05_S_Wi2018,1165
EM05_S_Wi2019,842
EM10_S_Wi2013,241
EM10_S_Wi2015,77
EM10_S_Wi2015RNA,1493
EM10_S_Wi2016,196
EM10_S_Wi2017,129
EM10_S_Wi2018,91
E_Mundaka_S_Su2019A,548
E_Mundaka_S_Su2019B,188
EN10_S_Wi2013_PS,1125
EN10_S_Wi2015,301
EN10_S_Wi2016,2291
EN10_S_Wi2017,383
EN10_S_Wi2017RNA,447
EN10_S_Wi2018,447
EN15_S_Su2017,270
EN15_S_Su2018,368
EN15_S_Wi2013,342
EN15_S_Wi2015,229
EN15_S_Wi2015_Taq,79
EN15_S_Wi2016,928
EN15_S_Wi2017,995
EN15_S_Wi2017RNA,739
EN15_S_Wi2018,311
EN15_S_Wi2018RNA,310
EN15_S_Wi2019A,2326
EN15_S_Wi2019B,3025
EN15_WBM_Su2017,126
EN15_WBM_Su2018,216
EN15_WPM_Au2017,829
EN15_WPM_Au2018,441
EN15_WPM_Sp2018,125
EN15_WPM_Su2017,108
EN15_WPM_Su2018,214
EN15_WPM_Wi2018,1578
EN15_WPM_Wi2019,588
EN17_S_Su2017,256
EN17_S_Su2018,505
EN17_S_Wi2013,1166
EN17_S_Wi2013RNA,455
EN17_S_Wi2015,478
EN17_S_Wi2016,549
EN17_S_Wi2017,542
EN17_S_Wi2017RNA,212
EN17_S_Wi2018,216
EN17_S_Wi2019,1177
EN17_WBM_Su2017,92
EN17_WBM_Su2018,86
EN17_WPM_Au2017,739
EN17_WPM_Au2018,676
EN17_WPM_Sp2017,144
EN17_WPM_Sp2018,63
EN17_WPM_Su2017,85
EN17_WPM_Su2018,77
EN17_WPM_Wi2018,1706
EN17_WPM_Wi2019,432
EN20_S_Su2017,195
EN20_S_Su2018,131
EN20_S_Wi2013,3603
EN20_S_Wi2013RNA,719
EN20_S_Wi2015,925
EN20_S_Wi2016,838
EN20_S_Wi2016RNA,260
EN20_S_Wi2017,962
EN20_S_Wi2017RNA,691
EN20_S_Wi2018,829
EN20_S_Wi2018RNA,157
EN20_S_Wi2019,1266
EN20_WBM_Su2017,156
EN20_WBM_Su2018,268
EN20_WPM_Au2017,1170
EN20_WPM_Au2018,402
EN20_WPM_Sp2017,49
EN20_WPM_Sp2018,441
EN20_WPM_Su2017,75
EN20_WPM_Su2018,100
EN20_WPM_Wi2018,2436
EN20_WPM_Wi2019,470
EN30_S_Su2017,130
EN30_S_Su2017RNA,57
EN30_S_Su2018,54
EN30_S_Wi2013,138
EN30_S_Wi2016,216
EN30_S_Wi2017,139
EN30_S_Wi2018,127
EN30_S_Wi2019,193
EN30_WBM_Su2017,38
EN30_WBM_Su2018,27
EN30_WPM_Au2017,71
EN30_WPM_Au2018,307
EN30_WPM_Sp2017,6
EN30_WPM_Sp2018,321
EN30_WPM_Su2017,66
EN30_WPM_Su2018,46
EN30_WPM_Wi2018,272
EN30_WPM_Wi2019,1330
EN_Asua_S_Wi2019,2058
EN_Asua_WBM_Wi2019,148
EN_Axpe_S_Wi2019,283
EN_Axpe_WBM_Wi2019,243
EN_LasArenas_S_Wi2019,282
EN_LasArenas_WBM_Wi2019,122
EN_Sestao_S_Wi2019,155
EN_Sestao_WBM_Wi2019,168
EO05_S_Wi2013,346
EO05_S_Wi2013RNA,696
EO05_S_Wi2015,301
EO05_S_Wi2016,1691
EO05_S_Wi2017,830
EO05_S_Wi2017RNA,732
EO05_S_Wi2018,544
EO05_S_Wi2019,1141
EO10_S_Wi2013,500
EO10_S_Wi2015,471
EO10_S_Wi2016,742
EO10_S_Wi2017A,299
EO10_S_Wi2017B,629
EO10_S_Wi2017RNA,408
EO10_S_Wi2018,267
EO10_S_Wi2019,421
EOI10_S_Su2017,404
EOI10_S_Su2017RNA,397
EOI10_S_Su2018,247
EOI10_S_Wi2013,827
EOI10_S_Wi2015,331
EOI10_S_Wi2016,777
EOI10_S_Wi2017,1120
EOI10_S_Wi2017RNA,633
EOI10_S_Wi2018,489
EOI10_S_Wi2018RNA,285
EOI10_S_Wi2019,925
EOI10_WBM_Su2017,17
EOI10_WBM_Su2018,27
EOI10_WPM_Au2017,48
EOI10_WPM_Au2018,467
EOI10_WPM_Sp2017,49
EOI10_WPM_Sp2018,35
EOI10_WPM_Su2017,22
EOI10_WPM_Su2018,19
EOI10_WPM_Wi2018,366
