,x
C.Ext01,0
C.Ext02,0
C.PCR01,0
C.PCR02,0
C_PCR_RNA_201909,0
C_PCR_S_201909,3
C_PCR_Taq_201909,0
C_PCR_W_201909,0
D1.Apr16,0
D1.Aug15,19
D1.Aug16,0
D1.Dec15,0
D1.Feb16,0
D1.Jan16,0
D1.Jul15,0
D1.Jul16,3
D1.Jun15,2
D1.Jun16,0
D1.Mar16,0
D1.May15,0
D1.May16,0
D1.Nov15,1
D1.Oct15,0
D1.Sep16,0
D2.Apr16,2
D2.Apr17,4
D2.Apr18,13
D2.Apr19,11
D2.Aug15,8
D2.Aug16,9
D2.Aug17,26
D2.Aug18,13
D2.Dec15,5
D2.Dec16,11
D2.Feb16,4
D2.Feb17,13
D2.Feb18,5
D2.Feb19,11
D2.Jan16,10
D2.Jan17,8
D2.Jan18,28
D2.Jan19,12
D2.Jul15,14
D2.Jul16,6
D2.Jul17,3
D2.Jun15,3
D2.Jun16,21
D2.Jun17,9
D2.Jun18,9
D2.Jun19,12
D2.Mar16,10
D2.Mar17,21
D2.Mar18,16
D2.May15,2
D2.May16,17
D2.May17,14
D2.May18,13
D2.May19,2
D2.Nov15,11
D2.Nov16,15
D2.Nov18,18
D2.Oct15,17
D2.Oct16,11
D2.Oct17,0
D2.Oct18,0
D2.Sep16,9
D2.Sep17,22
D2.Sep18,0
EA05_S_Wi2013,9
EA05_S_Wi2015,1
EA05_S_Wi2016,4
EA05_S_Wi2017,4
EA05_S_Wi2017RNA,2
EA05_S_Wi2018,1
EA05_S_Wi2019,7
EA10_S_Wi2013,11
EA10_S_Wi2015,3
EA10_S_Wi2016,6
EA10_S_Wi2017,3
EA10_S_Wi2017RNA,4
EA10_S_Wi2018,6
EA10_S_Wi2019,4
EB05_S_Wi2013,4
EB05_S_Wi2013RNA,1
EB05_S_Wi2015,1
EB05_S_Wi2016,3
EB05_S_Wi2017,12
EB05_S_Wi2017RNA,1
EB05_S_Wi2018,1
EB05_S_Wi2018RNA,4
EB05_S_Wi2019,6
EB07_S_Wi2013,9
EB07_S_Wi2015,2
EB07_S_Wi2016,11
EB07_S_Wi2017,3
EB07_S_Wi2017RNA,12
EB07_S_Wi2018,7
EB07_S_Wi2019,13
EB10_S_Wi2013,9
EB10_S_Wi2015,2
EB10_S_Wi2015_Taq,17
EB10_S_Wi2016,9
EB10_S_Wi2017,2
EB10_S_Wi2017RNA,3
EB10_S_Wi2018,2
EB10_S_Wi2019,25
EBI05_S_Wi2013,11
EBI05_S_Wi2015,4
EBI05_S_Wi2016,7
EBI05_S_Wi2017,5
EBI05_S_Wi2018,2
EBI05_S_Wi2018RNA,2
EBI05_S_Wi2019,6
EBI10_S_Wi2013,20
EBI10_S_Wi2016,10
EBI10_S_Wi2017,7
EBI10_S_Wi2017RNA,1
EBI10_S_Wi2018,2
EBI10_S_Wi2019,8
EBI20_S_Wi2013,12
EBI20_S_Wi2015,19
EBI20_S_Wi2017,5
EBI20_S_Wi2018,1
EBI20_S_Wi2018RNA,8
EBI20_S_Wi2019,13
ED05_S_Su2017,11
ED05_S_Su2017RNA,3
ED05_S_Su2018,3
ED05_S_Wi2013,1
ED05_S_Wi2013RNA,2
ED05_S_Wi2015,1
ED05_S_Wi2016,2
ED05_S_Wi2016RNA,2
ED05_S_Wi2017,0
ED05_S_Wi2017RNA,2
ED05_S_Wi2018,1
ED05_S_Wi2018RNA,2
ED05_S_Wi2019,6
ED05_WBM_Su2017,11
ED05_WBM_Su2018,0
ED05_WPM_Au2017,10
ED05_WPM_Au2018,17
ED05_WPM_Sp2017,4
ED05_WPM_Sp2018,6
ED05_WPM_Su2017,1
ED05_WPM_Su2018,15
ED05_WPM_Wi2018,18
ED05_WPM_Wi2019,6
ED10_S_Su2017,6
ED10_S_Su2018,0
ED10_S_Wi2013,2
ED10_S_Wi2015,0
ED10_S_Wi2015_Taq,4
ED10_S_Wi2016,8
ED10_S_Wi2017,1
ED10_S_Wi2017RNA,4
ED10_S_Wi2018,2
ED10_S_Wi2019,7
ED10_WBM_Su2017,9
ED10_WBM_Su2018,10
ED10_WPM_Au2017,17
ED10_WPM_Au2018A,17
ED10_WPM_Au2018B,2
ED10_WPM_Sp2017,13
ED10_WPM_Sp2018,7
ED10_WPM_Su2017,6
ED10_WPM_Su2018,9
ED10_WPM_Wi2018,26
ED10_WPM_Wi2019,5
EL05_S_Wi2013,26
EL05_S_Wi2015,1
EL05_S_Wi2016,9
EL05_S_Wi2017A,3
EL05_S_Wi2017B,8
EL05_S_Wi2017RNA,3
EL05_S_Wi2018,4
EL05_S_Wi2018RNA,2
EL05_S_Wi2019,6
EL10_S_Wi2013,17
EL10_S_Wi2015,1
EL10_S_Wi2016,6
EL10_S_Wi2017,1
EL10_S_Wi2017RNA,3
EL10_S_Wi2018,4
EL10_S_Wi2019,9
EM05_S_Wi2013,16
EM05_S_Wi2015,2
EM05_S_Wi2016,15
EM05_S_Wi2017,4
EM05_S_Wi2017RNA,7
EM05_S_Wi2018,1
EM05_S_Wi2019,10
EM10_S_Wi2013,20
EM10_S_Wi2015,3
EM10_S_Wi2015RNA,3
EM10_S_Wi2016,31
EM10_S_Wi2017,6
EM10_S_Wi2018,5
E_Mundaka_S_Su2019A,27
E_Mundaka_S_Su2019B,19
EN10_S_Wi2013_PS,43
EN10_S_Wi2015,9
EN10_S_Wi2016,9
EN10_S_Wi2017,4
EN10_S_Wi2017RNA,1
EN10_S_Wi2018,4
EN15_S_Su2017,1
EN15_S_Su2018,4
EN15_S_Wi2013,0
EN15_S_Wi2015,0
EN15_S_Wi2015_Taq,1
EN15_S_Wi2016,9
EN15_S_Wi2017,2
EN15_S_Wi2017RNA,5
EN15_S_Wi2018,4
EN15_S_Wi2018RNA,8
EN15_S_Wi2019A,17
EN15_S_Wi2019B,29
EN15_WBM_Su2017,0
EN15_WBM_Su2018,4
EN15_WPM_Au2017,8
EN15_WPM_Au2018,12
EN15_WPM_Sp2018,0
EN15_WPM_Su2017,1
EN15_WPM_Su2018,5
EN15_WPM_Wi2018,10
EN15_WPM_Wi2019,17
EN17_S_Su2017,2
EN17_S_Su2018,1
EN17_S_Wi2013,25
EN17_S_Wi2013RNA,8
EN17_S_Wi2015,2
EN17_S_Wi2016,24
EN17_S_Wi2017,0
EN17_S_Wi2017RNA,4
EN17_S_Wi2018,3
EN17_S_Wi2019,15
EN17_WBM_Su2017,3
EN17_WBM_Su2018,0
EN17_WPM_Au2017,4
EN17_WPM_Au2018,6
EN17_WPM_Sp2017,2
EN17_WPM_Sp2018,0
EN17_WPM_Su2017,3
EN17_WPM_Su2018,1
EN17_WPM_Wi2018,6
EN17_WPM_Wi2019,5
EN20_S_Su2017,4
EN20_S_Su2018,5
EN20_S_Wi2013,21
EN20_S_Wi2013RNA,2
EN20_S_Wi2015,5
EN20_S_Wi2016,42
EN20_S_Wi2016RNA,1
EN20_S_Wi2017,4
EN20_S_Wi2017RNA,3
EN20_S_Wi2018,7
EN20_S_Wi2018RNA,0
EN20_S_Wi2019,11
EN20_WBM_Su2017,6
EN20_WBM_Su2018,5
EN20_WPM_Au2017,5
EN20_WPM_Au2018,9
EN20_WPM_Sp2017,13
EN20_WPM_Sp2018,5
EN20_WPM_Su2017,3
EN20_WPM_Su2018,5
EN20_WPM_Wi2018,10
EN20_WPM_Wi2019,5
EN30_S_Su2017,3
EN30_S_Su2017RNA,0
EN30_S_Su2018,4
EN30_S_Wi2013,3
EN30_S_Wi2016,52
EN30_S_Wi2017,18
EN30_S_Wi2018,17
EN30_S_Wi2019,24
EN30_WBM_Su2017,2
EN30_WBM_Su2018,0
EN30_WPM_Au2017,1
EN30_WPM_Au2018,2
