Dataset,Reads,Reads_wo_S,Richness,Richness_wo_S,Rarefied.richness,H,J,Rarefied J,Simpson,Chao1,ACE
ctr 201909 NA RNA,876,876,66,66,66,2.23977748411096,0.534597149890122,0.534597149890122,0.831871207856383,533.52315181705,397.5
ctr 201909 NA DNA,10858,10858,1029,1029,394.536462659018,6.07272710938316,0.875494095470609,1.01589496997846,0.995436509706966,1279.7318045298,1298.07194244604
W 2017 Offshore DNA,367933,367933,3541,3541,234.663410378496,5.05929086274729,0.619088234505588,0.926923743705067,0.982359315296734,5859.93460334972,5556.17601547389
W 201909 Offshore DNA,2404728,2404728,11825,11825,269.979872579039,5.38922973249814,0.574669041937396,0.962646534343979,0.987129079070193,16813.6548928268,15437.6535626536
S 201904 Estuarine DNA,3653052,3653052,128085,128085,698.04547892758,8.95572177384096,0.761511867501948,1.36764401525217,0.998921291078637,149562.353488692,143346.275517112
S 201909 Estuarine DNA,1231561,1231561,77871,77871,667.020846620721,8.64553329286013,0.767617863091483,1.32950497858792,0.998324017674394,104992.139452991,99128.9491514888
S 201812 Estuarine DNA,2376087,2376087,106471,106471,681.14580768639,8.77938533244649,0.758437070380087,1.34575203159524,0.998772307180597,140917.362248205,136260.177451634
S 201904 Estuarine RNA,816418,816418,53231,53231,608.621022822121,8.0993776705851,0.74426417789902,1.26331778794205,0.996295344480452,76962.7214180673,71686.6434058899
S 201909 Estuarine RNA,778912,778912,52878,52878,594.452426952403,8.01153869614193,0.73664290819048,1.25422500790517,0.994385762450216,75270.7662303513,69734.7492406646
W 201904 Estuarine DNA,3601616,3601616,51290,51290,311.109383700033,5.74993145192712,0.530179652763179,1.001704989377,0.98345943381178,66745.9368565793,61949.4455540465
W 201812 Estuarine DNA,2045308,2045308,28843,28843,285.704212953865,5.45441561080406,0.531121329274485,0.964537052635044,0.980141713084697,49470.2826201583,45891.7655725476
S 201909 NA DNA,216151,216151,19461,19461,577.548289840642,7.62221358506884,0.771778465522195,1.19868892014998,0.995928392424171,28541.7706436656,26968.908522283
S Eva Estuarine DNA,117522,117522,8854,8854,439.437754287298,6.51579557484813,0.716917669293855,1.07070902530607,0.98787834124709,10008.0405701005,9703.71268292683
S 201809 Estuarine DNA,295333,295333,34107,34107,639.494682129052,8.23875297255612,0.789359909956775,1.2752148587524,0.998165124968284,60826.7155536499,57262.9986735201
W 201909 Estuarine DNA,105673,105673,2010,2010,130.256693512383,3.69083186125047,0.485259694886389,0.757947736581781,0.933673956258562,3578.30116994644,3482.54838709677
S Eva Offshore DNA,1070670,1070670,36595,36595,642.03169546601,8.23583204281604,0.783792646144496,1.27398200181178,0.997995920585811,37147.8135658215,36886.76875
S Eva Coastal DNA,501454,501454,22752,22752,624.453160640166,7.95615355244436,0.793045227892961,1.23602709641294,0.996537222087198,23775.141954463,23427.3169286266
S 201904 Coastal DNA,141806,141806,13861,13861,558.037894390307,7.43235816073761,0.779331781726722,1.17518287619374,0.996065480748208,21065.9857031988,20047.7540291635
W 201909 Coastal DNA,2293328,2293328,18671,18671,308.040424229508,5.67264216439667,0.576797127312886,0.989949993771033,0.987823998503343,25390.220726049,23750.9609171443
S 201809 Coastal DNA,95171,95171,9036,9036,529.038574839844,7.1356248437768,0.783362265211687,1.13786557746618,0.995220131489865,13225.3045412378,12792.609403255
S 201904 Coastal RNA,53516,53516,7143,7143,528.721550152829,7.02637964213981,0.79180394604074,1.12055215841517,0.991847014760379,10969.3964242038,10493.7692307692
W 201812 Coastal DNA,22083,22083,481,481,154.64628292274,4.36434909371954,0.706677929243257,0.865746377309687,0.972403995285319,664.741299533301,646.390625
W 2017 Coastal DNA,212940,212940,4431,4431,260.224905146061,5.35005647547078,0.637186038686962,0.961972841563516,0.98730285716544,7149.67250829768,6763.49805447471
W 201809 Coastal DNA,151122,151122,4263,4263,278.76225111352,5.48905196993112,0.656763619995157,0.974902613628334,0.987849474444629,6541.61420792158,6311.74657534247
S 201812 Port DNA,99200,99200,14285,14285,563.478556433298,7.54841547714882,0.789008345789454,1.1917053071141,0.996704186922802,25709.768359345,24433.0686661405
