Dataset,Reads,Reads_wo_S,Richness,Richness_wo_S,Rarefied.richness,H,J,Rarefied J,Simpson,Chao1,ACE
D1.Aug16,13261,13260,451,450,405.995511559,4.1060161912,0.6718543949,0.6836134406,0.9557967652,726.1468560474,727.8181818182
D1.Jul15,20205,20203,405,403,306.4310726296,3.1503643488,0.5247207873,0.5502826701,0.8114507809,684.6368144044,755.7
D1.Jul16,16451,16451,432,432,362.1016350232,4.101490679,0.6758739346,0.6961206611,0.9591372268,663.8678854122,705.0652173913
D1.Jun15,20988,20988,318,318,234.253005923,2.8338339542,0.4918099069,0.5193594758,0.8542014479,501.847864561,469.4423076923
D1.Jun16,17161,17159,400,398,324.5223679315,3.7927575654,0.6330267893,0.6559192434,0.9479190455,640.9987029985,617
D1.Nov15,10486,10486,403,403,397.0654502773,3.3623684414,0.560494082,0.5618836261,0.9105652764,634.6002661647,623.8870967742
D2.Apr16,13067,13067,343,343,306.3870547537,3.2543213819,0.5574634546,0.5684553908,0.9006763589,581.0632451246,571.0612244898
D2.Apr17,34873,34873,458,458,288.7024626305,3.9296098477,0.641373225,0.6936160191,0.9577759775,673.4964281709,596.4285714286
D2.Apr18,53987,53987,660,660,335.1528176901,3.844934613,0.5922354551,0.6612567458,0.9498653884,1005.8623517087,929.752293578
D2.Apr19,67240,67239,796,795,361.4939989407,3.8113723455,0.5705989595,0.6470651153,0.9476279518,1231.6740755664,1163.9365079365
D2.Aug15,45633,45630,889,886,484.3725606893,4.4253317746,0.6517331963,0.7157425218,0.9749656623,1356.6809692244,1353.0655737705
D2.Aug16,64796,64796,636,636,369.2212753625,4.4533122621,0.689879981,0.7533435701,0.9741612144,848.9327694558,819.6790123457
D2.Aug17,65128,65128,573,573,336.418703676,4.1618789262,0.6553225978,0.7153014614,0.9532343533,723.1175523043,690.2289156627
D2.Aug18,73414,73414,466,466,264.1592364177,4.122521673,0.6709630728,0.7392599597,0.9716255746,602.5146640813,613.62
D2.Dec15,64636,64636,1202,1202,615.5908921085,4.8190302128,0.6795269956,0.7503259215,0.9795120154,1663.3504724195,1604.0497237569
D2.Dec16,38778,38778,1000,1000,610.3041108152,4.8574050696,0.703181406,0.7573179529,0.9812502667,1457.0470619548,1448.7593984962
D2.Feb16,51195,51195,1501,1501,738.332710001,4.7865691716,0.6544494442,0.7247551817,0.9731563651,2365.5439707746,2178.0689655172
D2.Feb17,49498,49498,707,707,378.0945688168,4.0669501429,0.6198645228,0.6852318841,0.9626412746,984.7108099107,923.4960629921
D2.Feb18,73776,73776,2838,2838,971.8088152875,4.7391150915,0.5960510129,0.6889090698,0.9742458625,4582.295979367,4154.2878787879
D2.Feb19,57498,57498,2749,2749,1026.9219400031,4.8919987963,0.617755201,0.7054762327,0.9716152691,5351.5745520972,4708.2603550296
D2.Jan16,54137,54136,1345,1344,712.1814749485,4.5827291115,0.6361235624,0.6977005093,0.9629296214,1775.0291046383,1686.4090909091
D2.Jan17,55293,55293,2374,2374,953.9351591194,4.9060234028,0.6312164317,0.7151016641,0.9759284239,4165.7488561513,3725.152838428
D2.Jan18,80988,80988,1364,1364,634.0767929247,4.7189966879,0.6537657353,0.7313813237,0.9733403977,1850.4631782882,1765.7808219178
D2.Jan19,56217,56217,1068,1068,543.9987016304,3.5361758373,0.5070845376,0.561391597,0.8839893351,1454.4773963659,1449.5217391304
D2.Jul15,59022,59022,478,478,273.5722966586,4.0890011576,0.6627648542,0.7286738161,0.9682933088,624.9390255266,596.2638888889
D2.Jul16,58298,58298,687,687,398.047699671,4.3670016116,0.6685208405,0.7294661659,0.9728652967,903.8076858325,893.0224719101
D2.Jul17,62513,62513,474,474,273.7841051729,3.9278458841,0.6375123704,0.6998588794,0.9557976139,583.506159882,556.1818181818
D2.Jun15,11617,11617,295,295,276.4968458884,2.9695555564,0.5221678257,0.5281839611,0.8646265414,538.0815512508,497.5217391304
D2.Jun16,50794,50794,482,482,289.3139311432,3.827130259,0.6194828228,0.6752751493,0.9524300139,617.4691243271,611
D2.Jun17,47686,47686,337,337,223.5159596707,3.7578984572,0.6456778197,0.694687197,0.9568485034,428.682951017,431.5277777778
D2.Jun18,82571,82571,998,998,381.3831008842,4.2264695659,0.6120215126,0.7110714439,0.9733400097,1490.3552966106,1379.0309278351
D2.Jun19,61447,61447,763,763,414.0828979006,4.3031553798,0.6483332966,0.7140902944,0.970471987,1049.7048457095,978.65
D2.Mar16,54141,54141,1102,1102,554.6700553489,4.5282151451,0.6464370352,0.7166741863,0.9725543304,1693.4982775615,1613.3392857143
D2.Mar17,63562,63562,738,738,369.9471336087,3.9464081661,0.5975835457,0.6673715266,0.9255505619,1019.4945767245,946.2954545455
D2.Mar18,52303,52303,821,821,426.1006069425,4.1924290809,0.6247544361,0.6924283707,0.9605551321,1279.1760088948,1250.3451327434
D2.May15,13918,13917,777,776,641.0844829541,3.8626398299,0.5803732926,0.5976394031,0.9355663964,1906.9657106299,1814.3076923077
D2.May16,70029,70029,700,700,344.959116637,4.2586328504,0.6500657346,0.728790425,0.9749639071,1039.6622648831,1028.4615384615
D2.May17,66435,66435,401,401,219.0525451985,3.614939834,0.6030969465,0.670760958,0.9508154035,519.4474503016,492.7142857143
D2.May18,83869,83869,453,453,235.2975528226,3.7118717133,0.6069223651,0.6797240548,0.9495111373,538.7355481445,515.6582278481
D2.May19,52178,52178,1013,1013,471.9686645002,4.4031435027,0.636230675,0.7151544601,0.9722362574,1774.9064327485,1573.1206896552
D2.Nov15,61077,61077,936,936,497.8859582318,4.212548749,0.6157242779,0.6783087056,0.9557062106,1240.1964343753,1197.724137931
D2.Nov16,63202,63202,1112,1112,594.5421980509,4.8039231174,0.6849131751,0.7520475537,0.9787108832,1460.5424166794,1385.2320441989
D2.Nov18,63064,63064,760,760,421.1555167002,4.1544234413,0.626296398,0.6874767423,0.9507544675,996.4874635781,947.9495798319
D2.Oct15,36324,36323,702,701,440.6690680463,4.1346677442,0.6308681351,0.6791176019,0.9562470099,1075.7882662103,1169.6388888889
D2.Oct16,50678,50678,942,942,579.0423590519,4.9269131245,0.7194668998,0.7745043538,0.9836696444,1192.7300117622,1179.2834645669
D2.Sep16,66557,66557,736,736,420.3895589387,4.6921936808,0.7108059553,0.776701287,0.9814005635,925.3719453728,896.125
D2.Sep17,68726,68726,1386,1386,516.8205880712,3.9996562074,0.552883363,0.6401810111,0.9487077463,2413.6116815292,2173.0308880309
EA05_S_Wi2013,44253,44252,9787,9786,3989.9464250133,7.7907002442,0.8478464599,0.9395970765,0.9978060892,18448.5737212093,16708.8275862069
EA05_S_Wi2015,30823,30823,7140,7140,3608.2595374687,7.2972295411,0.8223649982,0.8908859278,0.9947396217,13890.8674512934,12499.7698300283
EA05_S_Wi2016,35583,35583,8421,8421,3887.4727819553,7.6802499652,0.8497276844,0.9291919957,0.9976389391,16455.4574204542,15166.7892720307
EA05_S_Wi2017,22695,22695,5861,5861,3500.7494153455,7.3666502187,0.8490763139,0.9026947471,0.9972768556,14037.198147047,13075.2130044843
EA05_S_Wi2017RNA,16461,16460,3834,3833,2862.8373861466,6.8468464597,0.8297534319,0.8602032202,0.9954500058,8449.6823820775,7925.3898026316
EA05_S_Wi2018,17340,17340,6321,6321,4404.6152228103,7.8789692453,0.9002856396,0.9390448083,0.9987458843,16808.6468130339,14673.8330019881
EA05_S_Wi2019,36314,36314,8879,8879,4133.5939305085,7.9437534585,0.8737614475,0.9539866055,0.9987038648,16848.2406607193,15290.7727803738
EA10_S_Wi2013,55630,55630,10384,10384,3594.0879083245,7.4339257703,0.8038395909,0.9080108014,0.9950377292,20485.7087127734,18617.579029734
EA10_S_Wi2015,12296,12296,5307,5307,4679.7340278471,7.9563504809,0.9276615048,0.9414689059,0.9990738243,12588.4492988452,11167.765625
EA10_S_Wi2016,39121,39121,7496,7496,3250.6705317508,7.0680310513,0.7921914556,0.8740405816,0.9918422624,14776.056862014,13398.5621052632
EA10_S_Wi2017,19821,19821,5323,5323,3368.6360735937,6.937420501,0.8085767384,0.8541240683,0.9892984367,14845.5612987868,13134.6531130877
EA10_S_Wi2017RNA,21869,21869,5147,5147,3178.731421053,7.0420774692,0.8240039744,0.8732477799,0.9950283758,11284.7617711558,10102.097826087
EA10_S_Wi2018,26475,26475,6588,6588,3506.9321688338,7.1856403658,0.8171996139,0.8803238086,0.9945540998,16236.8865161378,15002.4472111554
