Dataset,Reads,Reads_wo_S,Richness,Richness_wo_S,Rarefied.richness,H,J,Rarefied J,Simpson,Chao1,ACE
EA05_S_Wi2013,44253,44252,9787,9786,3989.9464250133,7.7907002442,0.8478464599,0.9395970765,0.9978060892,18448.5737212093,16708.8275862069
EA05_S_Wi2015,30823,30823,7140,7140,3608.2595374687,7.2972295411,0.8223649982,0.8908859278,0.9947396217,13890.8674512934,12499.7698300283
EA05_S_Wi2016,35583,35583,8421,8421,3887.4727819553,7.6802499652,0.8497276844,0.9291919957,0.9976389391,16455.4574204542,15166.7892720307
EA05_S_Wi2017,22695,22695,5861,5861,3500.7494153455,7.3666502187,0.8490763139,0.9026947471,0.9972768556,14037.198147047,13075.2130044843
EA05_S_Wi2017RNA,16461,16460,3834,3833,2862.8373861466,6.8468464597,0.8297534319,0.8602032202,0.9954500058,8449.6823820775,7925.3898026316
EA05_S_Wi2018,17340,17340,6321,6321,4404.6152228103,7.8789692453,0.9002856396,0.9390448083,0.9987458843,16808.6468130339,14673.8330019881
EA05_S_Wi2019,36314,36314,8879,8879,4133.5939305085,7.9437534585,0.8737614475,0.9539866055,0.9987038648,16848.2406607193,15290.7727803738
EA10_S_Wi2013,55630,55630,10384,10384,3594.0879083245,7.4339257703,0.8038395909,0.9080108014,0.9950377292,20485.7087127734,18617.579029734
EA10_S_Wi2015,12296,12296,5307,5307,4679.7340278471,7.9563504809,0.9276615048,0.9414689059,0.9990738243,12588.4492988452,11167.765625
EA10_S_Wi2016,39121,39121,7496,7496,3250.6705317508,7.0680310513,0.7921914556,0.8740405816,0.9918422624,14776.056862014,13398.5621052632
EA10_S_Wi2017,19821,19821,5323,5323,3368.6360735937,6.937420501,0.8085767384,0.8541240683,0.9892984367,14845.5612987868,13134.6531130877
EA10_S_Wi2017RNA,21869,21869,5147,5147,3178.731421053,7.0420774692,0.8240039744,0.8732477799,0.9950283758,11284.7617711558,10102.097826087
EA10_S_Wi2018,26475,26475,6588,6588,3506.9321688338,7.1856403658,0.8171996139,0.8803238086,0.9945540998,16236.8865161378,15002.4472111554
EA10_S_Wi2019,33630,33630,8021,8021,3718.3540459644,7.4696376206,0.830899725,0.9086004814,0.9955639412,17771.7694898887,16031.4007220217
EB05_S_Wi2013,15611,15611,4774,4774,3606.7552736135,7.3729751362,0.8703845505,0.9001791926,0.9976957351,11935.4072326733,10943.4775510204
EB05_S_Wi2013RNA,17419,17419,4573,4573,3285.9356783491,7.0363622155,0.8348866947,0.8689648989,0.9948008606,9654.05474938,8705.6587395957
EB05_S_Wi2015,14099,14099,4487,4487,3632.8980157108,7.3103860126,0.8693588437,0.8917512665,0.9974700149,10332.965388199,9279.901126408
EB05_S_Wi2016,32794,32794,7862,7862,3793.059696821,7.6263793509,0.8502288225,0.9254272203,0.9978516717,15756.4359884312,14367.9530612245
EB05_S_Wi2017,33595,33595,7420,7420,3444.7739353668,7.443709794,0.8352518671,0.9139426615,0.9975718867,17803.9148087765,17280.838150289
EB05_S_Wi2017RNA,14357,14357,4396,4396,3530.7748730215,7.3541916001,0.8767044357,0.9002259965,0.9973329138,10338.441744369,9294.121253406
EB05_S_Wi2018,23330,23330,6447,6447,3723.8452746664,7.5195461337,0.8572829529,0.9145071545,0.9978784245,16197.9296957859,14533.0029644269
EB05_S_Wi2018RNA,17597,17597,4714,4714,3334.5813257639,6.9898297201,0.8263878394,0.8616545214,0.9905795658,10380.0597024758,9134.1470588235
EB05_S_Wi2019,39619,39619,8725,8725,3723.5687518284,7.6643453459,0.8446538992,0.932125667,0.9981275198,17917.2754051388,16072.1297096973
EB07_S_Wi2013,24519,24519,6352,6352,3821.9240238789,7.7060691282,0.8800373579,0.9342377996,0.9984174609,11526.4331897225,10620.451433121
EB07_S_Wi2015,24161,24160,5931,5930,3589.2104975414,7.5318411374,0.8669298021,0.9201232151,0.9978455597,11224.2739643536,10357.3911472448
EB07_S_Wi2016,45069,45065,7993,7989,3560.2582248075,7.6480186599,0.8510733466,0.935241336,0.9982173569,12728.5845833877,11822.6386861314
EB07_S_Wi2017,25854,25854,7354,7354,4095.6289518215,7.8571148956,0.8825244518,0.9446286796,0.9985899033,16018.8017373404,14624.5898653998
EB07_S_Wi2017RNA,24130,24130,6899,6899,4094.0209513801,7.745540642,0.8762784467,0.9312585312,0.9970069844,13333.7496415292,12038.861516035
EB07_S_Wi2018,30261,30261,7809,7809,3989.946806695,7.8575417285,0.8766611074,0.94765848,0.9985808681,16094.1848896381,14713.2548596112
EB07_S_Wi2019,42186,42186,9963,9963,4134.3768574322,7.9516353019,0.8636854387,0.9549114385,0.9985474989,19588.1644130823,17615.8443743428
