Dataset,Reads,Reads_wo_S,Richness,Richness_wo_S,Rarefied.richness,H,J,Rarefied J,Simpson,Chao1,ACE
C.Ext01,3,3,2,2,1,0.6365141683,0.9182958341,Inf,0.4444444444,3,2
C.Ext02,3,3,3,3,1,1.0986122887,1,Inf,0.6666666667,NaN,6
C.PCR01,8,8,5,5,1,1.4941751383,0.9283832118,-3364583298012994,0.75,8.6857142857,6.5
C.PCR02,7,7,5,5,1,1.5498260459,0.9629610648,-6979796002706156,0.7755102041,8.75,6
C_PCR_RNA_201909,4,4,4,4,1,1.3862943611,1,-3121657384082679,0.75,NaN,10
C_PCR_S_201909,169,169,11,11,1,1.8831360302,0.7853287221,-1.69617814481792E+016,0.7733622772,11.4778362134,11
C_PCR_Taq_201909,1,1,1,1,1,0,NaN,NaN,0,NaN,1
C_PCR_W_201909,34,34,17,17,1,2.5731835114,0.9082208782,891429869467239,0.8979238754,32.0663272727,23
D1.Apr16,54,54,26,26,1,2.9663673642,0.9104602425,4453110318665106,0.9327846365,55.8909737103,50
D1.Aug15,1754,1754,93,93,1,2.9582210495,0.6526544103,3330660804055250,0.8853878868,115.1711373391,114.6666666667
D1.Aug16,552,552,65,65,1,2.7392168183,0.6561961412,-104104099932465,0.8683443604,110.2471886015,103.75
D1.Dec15,108,108,31,31,1,3.0392802058,0.8850586868,228128353370567,0.9384430727,49.1372520406,46.1666666667
D1.Feb16,205,205,36,36,1,2.67539051,0.7465819369,165053256216749,0.8795240928,57.0089198976,51
D1.Jan16,358,358,52,52,1,3.2324004961,0.818071657,303279951453833,0.9387347461,76.3843628899,83.6666666667
D1.Jul15,103,103,28,28,1,2.6416874268,0.7927746988,594855125541364,0.8849090395,48.9521331946,49
D1.Jul16,540,540,70,70,1,2.8817491793,0.6782987894,381713074418624,0.8724828532,131.8464373879,113.1538461538
D1.Jun15,893,893,80,80,1,2.6875202268,0.6133053153,-76604525899251.8,0.8275137344,143.6846124953,158.1111111111
D1.Jun16,4992,4992,109,109,1,2.2993516079,0.4901260076,-75863436222697.1,0.75689926,134.5007368163,138.0769230769
D1.Mar16,155,155,34,34,1,2.5829174277,0.7324598293,-4652970386054496,0.8594380853,64.9797922791,68.2
D1.May15,269,269,38,38,1,2.3994013111,0.6596136025,1200660316713050,0.8188112381,62.5180086531,76.25
D1.May16,289,289,51,51,1,2.7123305121,0.6898399791,2035875113953390,0.8170400259,82.8215215629,79.1111111111
D1.Nov15,211,211,59,59,1,3.3085325773,0.811404585,186253826029865,0.9275173514,124.0305639329,111.8
D1.Oct15,154,154,48,48,1,3.3389800515,0.8625178703,150374293156375,0.9448473604,90.7967208831,78
D1.Sep16,103,103,32,32,1,2.4944842286,0.7197560052,280853956062516,0.8309925535,89.9537037037,78.2
D2.Apr16,441,441,46,46,1,2.7510300601,0.7185394962,442483498348758,0.8749646495,62.9900390625,73.2
D2.Apr17,2435,2435,90,90,1,3.0678760638,0.6817790726,373418526961782,0.8986061416,125.5208333333,123.8333333333
D2.Apr18,5078,5078,74,74,1,2.6375654976,0.6128079944,36662157383359.6,0.8549156204,82.7962719298,80
D2.Apr19,9144,9144,179,179,1,3.0694909871,0.5917221317,19470082346219.3,0.8791519751,224.7620512821,222.125
D2.Aug15,1683,1683,104,104,1,3.2511242824,0.7000109063,-161787426596389,0.9298415634,141.4648808114,133.5263157895
D2.Aug16,6317,6317,189,189,1,2.9172498719,0.556541524,-64402575667427,0.8606080885,236.8746935577,228.84375
D2.Aug17,10443,10443,155,155,1,2.6325648663,0.5219795685,-230213944673565,0.8119234506,173.7798913714,174.5
D2.Aug18,3758,3758,137,137,1,3.2915933901,0.6690256405,36244544657515.8,0.9131892764,158.7009246816,170.4615384615
D2.Dec15,3560,3560,151,151,1,3.3438597936,0.6664686648,-21793640695205.9,0.9375200417,215.2975280647,202
D2.Dec16,10449,10449,212,212,1,3.2780061173,0.6119580549,-615117797022179,0.9307197098,273.011088663,264.2857142857
D2.Feb16,3805,3805,149,149,1,3.0107719176,0.6016795012,-32361124787748.4,0.8756223311,189.2106387202,179.75
D2.Feb17,9301,9301,135,135,1,3.1024333969,0.6324688294,72771447343742.9,0.8932350438,161.9475696382,156.75
D2.Feb18,6680,6680,117,117,1,3.0607320196,0.6427173937,30768552640133,0.8854162932,135.3260626498,140
D2.Feb19,8163,8163,179,179,1,2.8638957985,0.5520884518,-75425965211134.4,0.8622380074,273.3334203601,242.0333333333
D2.Jan16,3017,3017,132,132,1,3.0456656969,0.6237536859,41565026962723.6,0.8901022589,175.8788793133,184.5555555556
D2.Jan17,1662,1662,159,159,1,3.7278831128,0.735441619,51030069901592.9,0.9491384541,277.1157543724,255.6
D2.Jan18,5893,5893,133,133,1,3.1521018583,0.6445555881,-36493071348280,0.9180670887,192.4226672736,178.3157894737
D2.Jan19,1863,1863,137,137,1,3.5736966382,0.7263639213,97542417260680.5,0.9392748408,181.3515046776,170.4444444444
D2.Jul15,2227,2227,86,86,1,2.4979938294,0.5607990718,-70312275494843.8,0.8156923772,104.5814358244,105.4615384615
D2.Jul16,9100,9100,228,228,1,3.1664266531,0.5832059459,49514992691402.4,0.8951915228,277.7217304388,256.62
D2.Jul17,4187,4187,165,165,1,3.0484606792,0.5970413697,-92141250865557.2,0.8718455894,251.9407545125,232.5357142857
D2.Jun15,258,258,48,48,1,3.0158794042,0.7790552326,-285943439173637,0.9008172586,94.6635297726,94
D2.Jun16,18321,18321,309,309,1,2.9307537383,0.5111772694,-10796680117538.5,0.8458596651,397.6713240405,424.1764705882
D2.Jun17,6483,6483,159,159,1,3.0327480933,0.5983044801,-48347905071975.6,0.8590564071,202.1231619854,208.7894736842
D2.Jun18,8001,8001,125,125,1,2.2547804785,0.4669912937,20851393270301.3,0.7513037248,134.7958974478,129.2857142857
D2.Jun19,8566,8566,197,197,1,2.9681877183,0.5618158736,-24617917314992.2,0.8536788881,269.7136020716,265.0769230769
