,x
C.Ext01,3
C.Ext02,3
C.PCR01,8
C.PCR02,7
C_PCR_RNA_201909,4
C_PCR_S_201909,169
C_PCR_Taq_201909,1
C_PCR_W_201909,34
D1.Apr16,54
D1.Aug15,1754
D1.Aug16,552
D1.Dec15,108
D1.Feb16,205
D1.Jan16,358
D1.Jul15,103
D1.Jul16,540
D1.Jun15,893
D1.Jun16,4992
D1.Mar16,155
D1.May15,269
D1.May16,289
D1.Nov15,211
D1.Oct15,154
D1.Sep16,103
D2.Apr16,441
D2.Apr17,2435
D2.Apr18,5078
D2.Apr19,9144
D2.Aug15,1683
D2.Aug16,6317
D2.Aug17,10443
D2.Aug18,3758
D2.Dec15,3560
D2.Dec16,10449
D2.Feb16,3805
D2.Feb17,9301
D2.Feb18,6680
D2.Feb19,8163
D2.Jan16,3017
D2.Jan17,1662
D2.Jan18,5893
D2.Jan19,1863
D2.Jul15,2227
D2.Jul16,9100
D2.Jul17,4187
D2.Jun15,258
D2.Jun16,18321
D2.Jun17,6483
D2.Jun18,8001
D2.Jun19,8566
D2.Mar16,2990
D2.Mar17,1566
D2.Mar18,5502
D2.May15,24528
D2.May16,10776
D2.May17,7479
D2.May18,10513
D2.May19,10239
D2.Nov15,2369
D2.Nov16,3471
D2.Nov18,1430
D2.Oct15,1045
D2.Oct16,4703
D2.Oct17,179
D2.Oct18,62
D2.Sep16,7415
D2.Sep17,2951
D2.Sep18,73
EA05_S_Wi2013,221
EA05_S_Wi2015,1005
EA05_S_Wi2016,723
EA05_S_Wi2017,1548
EA05_S_Wi2017RNA,9152
EA05_S_Wi2018,829
EA05_S_Wi2019,4038
EA10_S_Wi2013,376
EA10_S_Wi2015,137
EA10_S_Wi2016,630
EA10_S_Wi2017,192
EA10_S_Wi2017RNA,677
EA10_S_Wi2018,63
EA10_S_Wi2019,98
EB05_S_Wi2013,262
EB05_S_Wi2013RNA,227
EB05_S_Wi2015,2454
EB05_S_Wi2016,925
EB05_S_Wi2017,5151
EB05_S_Wi2017RNA,9635
EB05_S_Wi2018,1651
EB05_S_Wi2018RNA,10592
EB05_S_Wi2019,3840
EB07_S_Wi2013,4050
EB07_S_Wi2015,10896
EB07_S_Wi2016,177
EB07_S_Wi2017,7602
