,x
C.Ext01,0
C.Ext02,0
C.PCR01,1
C.PCR02,0
C_PCR_RNA_201909,0
C_PCR_S_201909,79
C_PCR_Taq_201909,1
C_PCR_W_201909,2
D1.Apr16,4
D1.Aug15,107
D1.Aug16,37
D1.Dec15,11
D1.Feb16,5
D1.Jan16,17
D1.Jul15,4
D1.Jul16,21
D1.Jun15,14
D1.Jun16,74
D1.Mar16,1
D1.May15,4
D1.May16,0
D1.Nov15,8
D1.Oct15,4
D1.Sep16,1
D2.Apr16,17
D2.Apr17,99
D2.Apr18,142
D2.Apr19,217
D2.Aug15,94
D2.Aug16,639
D2.Aug17,200
D2.Aug18,206
D2.Dec15,472
D2.Dec16,281
D2.Feb16,141
D2.Feb17,216
D2.Feb18,864
D2.Feb19,244
D2.Jan16,157
D2.Jan17,258
D2.Jan18,666
D2.Jan19,89
D2.Jul15,193
D2.Jul16,308
D2.Jul17,193
D2.Jun15,13
D2.Jun16,600
D2.Jun17,384
D2.Jun18,94
D2.Jun19,338
D2.Mar16,115
D2.Mar17,33
D2.Mar18,317
D2.May15,860
D2.May16,132
D2.May17,438
D2.May18,451
D2.May19,524
D2.Nov15,181
D2.Nov16,235
D2.Nov18,46
D2.Oct15,34
D2.Oct16,133
D2.Oct17,2
D2.Oct18,13
D2.Sep16,260
D2.Sep17,107
D2.Sep18,6
EA05_S_Wi2013,8
EA05_S_Wi2015,41
EA05_S_Wi2016,8
EA05_S_Wi2017,130
EA05_S_Wi2017RNA,90
EA05_S_Wi2018,38
EA05_S_Wi2019,141
EA10_S_Wi2013,20
EA10_S_Wi2015,2
EA10_S_Wi2016,32
EA10_S_Wi2017,6
EA10_S_Wi2017RNA,5
EA10_S_Wi2018,1
EA10_S_Wi2019,10
EB05_S_Wi2013,25
EB05_S_Wi2013RNA,1
EB05_S_Wi2015,22
EB05_S_Wi2016,64
EB05_S_Wi2017,60
EB05_S_Wi2017RNA,15
EB05_S_Wi2018,40
EB05_S_Wi2018RNA,12
EB05_S_Wi2019,79
EB07_S_Wi2013,318
EB07_S_Wi2015,130
EB07_S_Wi2016,215
EB07_S_Wi2017,270
EB07_S_Wi2017RNA,25
EB07_S_Wi2018,229
EB07_S_Wi2019,196
EB10_S_Wi2013,80
EB10_S_Wi2015,31
EB10_S_Wi2015_Taq,480
EB10_S_Wi2016,142
EB10_S_Wi2017,23
EB10_S_Wi2017RNA,5
EB10_S_Wi2018,8
EB10_S_Wi2019,245
EBI05_S_Wi2013,11
EBI05_S_Wi2015,12
EBI05_S_Wi2016,60
EBI05_S_Wi2017,14
EBI05_S_Wi2018,29
EBI05_S_Wi2018RNA,29
EBI05_S_Wi2019,120
EBI10_S_Wi2013,96
EBI10_S_Wi2016,92
EBI10_S_Wi2017,40
EBI10_S_Wi2017RNA,18
EBI10_S_Wi2018,13
EBI10_S_Wi2019,35
EBI20_S_Wi2013,42
EBI20_S_Wi2015,155
EBI20_S_Wi2017,23
EBI20_S_Wi2018,30
EBI20_S_Wi2018RNA,15
EBI20_S_Wi2019,137
ED05_S_Su2017,206
ED05_S_Su2017RNA,20
ED05_S_Su2018,11
ED05_S_Wi2013,15
ED05_S_Wi2013RNA,4
ED05_S_Wi2015,3
ED05_S_Wi2016,4
ED05_S_Wi2016RNA,4
ED05_S_Wi2017,36
ED05_S_Wi2017RNA,5
ED05_S_Wi2018,8
ED05_S_Wi2018RNA,1
ED05_S_Wi2019,66
ED05_WBM_Su2017,24
ED05_WBM_Su2018,164
ED05_WPM_Au2017,7
ED05_WPM_Au2018,25
ED05_WPM_Sp2017,11
ED05_WPM_Sp2018,174
ED05_WPM_Su2017,11
ED05_WPM_Su2018,656
ED05_WPM_Wi2018,83
ED05_WPM_Wi2019,2946
ED10_S_Su2017,82
ED10_S_Su2018,35
ED10_S_Wi2013,4
ED10_S_Wi2015,11
ED10_S_Wi2015_Taq,69
ED10_S_Wi2016,25
ED10_S_Wi2017,27
ED10_S_Wi2017RNA,4
ED10_S_Wi2018,15
ED10_S_Wi2019,56
ED10_WBM_Su2017,16
ED10_WBM_Su2018,20
ED10_WPM_Au2017,28
ED10_WPM_Au2018A,71
ED10_WPM_Au2018B,18
ED10_WPM_Sp2017,10
ED10_WPM_Sp2018,54
ED10_WPM_Su2017,38
ED10_WPM_Su2018,16
ED10_WPM_Wi2018,152
ED10_WPM_Wi2019,408
EL05_S_Wi2013,169
EL05_S_Wi2015,4
EL05_S_Wi2016,313
EL05_S_Wi2017A,99
EL05_S_Wi2017B,248
EL05_S_Wi2017RNA,49
EL05_S_Wi2018,40
EL05_S_Wi2018RNA,12
EL05_S_Wi2019,102
EL10_S_Wi2013,162
EL10_S_Wi2015,7
EL10_S_Wi2016,66
EL10_S_Wi2017,21
EL10_S_Wi2017RNA,7
EL10_S_Wi2018,42
EL10_S_Wi2019,318
EM05_S_Wi2013,56
EM05_S_Wi2015,7
EM05_S_Wi2016,50
EM05_S_Wi2017,138
EM05_S_Wi2017RNA,51
EM05_S_Wi2018,7
EM05_S_Wi2019,400
EM10_S_Wi2013,36
EM10_S_Wi2015,3
EM10_S_Wi2015RNA,0
EM10_S_Wi2016,48
EM10_S_Wi2017,94
EM10_S_Wi2018,11
E_Mundaka_S_Su2019A,916
E_Mundaka_S_Su2019B,95
EN10_S_Wi2013_PS,50
EN10_S_Wi2015,86
EN10_S_Wi2016,26
EN10_S_Wi2017,8
EN10_S_Wi2017RNA,9
EN10_S_Wi2018,42
EN15_S_Su2017,89
EN15_S_Su2018,6
EN15_S_Wi2013,25
EN15_S_Wi2015,129
EN15_S_Wi2015_Taq,29
EN15_S_Wi2016,9
EN15_S_Wi2017,11
EN15_S_Wi2017RNA,0
EN15_S_Wi2018,9
EN15_S_Wi2018RNA,44
EN15_S_Wi2019A,13
EN15_S_Wi2019B,45
EN15_WBM_Su2017,337
EN15_WBM_Su2018,50
EN15_WPM_Au2017,52
EN15_WPM_Au2018,8
EN15_WPM_Sp2018,1806
EN15_WPM_Su2017,604
EN15_WPM_Su2018,41
EN15_WPM_Wi2018,132
EN15_WPM_Wi2019,121
EN17_S_Su2017,18
EN17_S_Su2018,17
EN17_S_Wi2013,71
EN17_S_Wi2013RNA,8
EN17_S_Wi2015,4
EN17_S_Wi2016,192
EN17_S_Wi2017,9
EN17_S_Wi2017RNA,10
EN17_S_Wi2018,44
EN17_S_Wi2019,21
EN17_WBM_Su2017,503
EN17_WBM_Su2018,83
EN17_WPM_Au2017,13
EN17_WPM_Au2018,16
EN17_WPM_Sp2017,113
EN17_WPM_Sp2018,14
EN17_WPM_Su2017,317
EN17_WPM_Su2018,44
EN17_WPM_Wi2018,51
EN17_WPM_Wi2019,148
EN20_S_Su2017,22
EN20_S_Su2018,22
EN20_S_Wi2013,35
EN20_S_Wi2013RNA,5
EN20_S_Wi2015,6
EN20_S_Wi2016,55
EN20_S_Wi2016RNA,15
EN20_S_Wi2017,11
EN20_S_Wi2017RNA,9
EN20_S_Wi2018,3
EN20_S_Wi2018RNA,20
EN20_S_Wi2019,11
EN20_WBM_Su2017,1113
EN20_WBM_Su2018,289
EN20_WPM_Au2017,28
EN20_WPM_Au2018,10
EN20_WPM_Sp2017,1244
EN20_WPM_Sp2018,186
EN20_WPM_Su2017,474
EN20_WPM_Su2018,74
EN20_WPM_Wi2018,73
EN20_WPM_Wi2019,323
EN30_S_Su2017,77
EN30_S_Su2017RNA,5
EN30_S_Su2018,36
EN30_S_Wi2013,46
EN30_S_Wi2016,337
EN30_S_Wi2017,164
EN30_S_Wi2018,105
EN30_S_Wi2019,93
EN30_WBM_Su2017,112
EN30_WBM_Su2018,40
EN30_WPM_Au2017,39
