"","x"
"C.Ext01",830
"C.Ext02",729
"C.PCR01",730
"C.PCR02",110
"C_PCR_RNA_201909",2578
"C_PCR_S_201909",19282
"C_PCR_Taq_201909",54
"C_PCR_W_201909",815
"D1.Apr16",3918
"D1.Aug15",59680
"D1.Aug16",13882
"D1.Dec15",5549
"D1.Feb16",9626
"D1.Jan16",6910
"D1.Jul15",20315
"D1.Jul16",17109
"D1.Jun15",21903
"D1.Jun16",22351
"D1.Mar16",5336
"D1.May15",6222
"D1.May16",7455
"D1.Nov15",10714
"D1.Oct15",5855
"D1.Sep16",3370
"D2.Apr16",13533
"D2.Apr17",37437
"D2.Apr18",59759
"D2.Apr19",76715
"D2.Aug15",47590
"D2.Aug16",71921
"D2.Aug17",75806
"D2.Aug18",77408
"D2.Dec15",68855
"D2.Dec16",49597
"D2.Feb16",55227
"D2.Feb17",59053
"D2.Feb18",82301
"D2.Feb19",66175
"D2.Jan16",57487
"D2.Jan17",57396
"D2.Jan18",87768
"D2.Jan19",59886
"D2.Jul15",61466
"D2.Jul16",67913
"D2.Jul17",66996
"D2.Jun15",11894
"D2.Jun16",70314
"D2.Jun17",54567
"D2.Jun18",90843
"D2.Jun19",70386
"D2.Mar16",57466
"D2.Mar17",65202
"D2.Mar18",58197
"D2.May15",39454
"D2.May16",81091
"D2.May17",74381
"D2.May18",95038
"D2.May19",63031
"D2.Nov15",63745
"D2.Nov16",67051
"D2.Nov18",64682
"D2.Oct15",37558
"D2.Oct16",55615
"D2.Oct17",1213
"D2.Oct18",2220
"D2.Sep16",74332
"D2.Sep17",71837
"D2.Sep18",1880
"EA05_S_Wi2013",46719
"EA05_S_Wi2015",32814
"EA05_S_Wi2016",39352
"EA05_S_Wi2017",25195
"EA05_S_Wi2017RNA",26145
"EA05_S_Wi2018",18857
"EA05_S_Wi2019",43006
"EA10_S_Wi2013",58475
"EA10_S_Wi2015",12835
"EA10_S_Wi2016",40637
"EA10_S_Wi2017",20533
"EA10_S_Wi2017RNA",23034
"EA10_S_Wi2018",27957
"EA10_S_Wi2019",35150
"EB05_S_Wi2013",16129
"EB05_S_Wi2013RNA",18184
"EB05_S_Wi2015",16898
"EB05_S_Wi2016",34301
"EB05_S_Wi2017",39642
"EB05_S_Wi2017RNA",24560
"EB05_S_Wi2018",25474
"EB05_S_Wi2018RNA",28612
"EB05_S_Wi2019",44629
"EB07_S_Wi2013",29298
"EB07_S_Wi2015",35809
"EB07_S_Wi2016",45894
"EB07_S_Wi2017",34404
"EB07_S_Wi2017RNA",37707
"EB07_S_Wi2018",38286
"EB07_S_Wi2019",49541
"EB10_S_Wi2013",34244
"EB10_S_Wi2015",24406
"EB10_S_Wi2015_Taq",92486
"EB10_S_Wi2016",39559
"EB10_S_Wi2017",20556
"EB10_S_Wi2017RNA",21969
"EB10_S_Wi2018",17904
"EB10_S_Wi2019",58392
"EBI05_S_Wi2013",21755
"EBI05_S_Wi2015",28323
"EBI05_S_Wi2016",39733
"EBI05_S_Wi2017",25136
"EBI05_S_Wi2018",22030
"EBI05_S_Wi2018RNA",24815
"EBI05_S_Wi2019",48859
"EBI10_S_Wi2013",44747
"EBI10_S_Wi2016",39600
"EBI10_S_Wi2017",20787
"EBI10_S_Wi2017RNA",26576
"EBI10_S_Wi2018",20772
"EBI10_S_Wi2019",47130
"EBI20_S_Wi2013",34498
"EBI20_S_Wi2015",60482
"EBI20_S_Wi2017",25778
"EBI20_S_Wi2018",18446
"EBI20_S_Wi2018RNA",39239
"EBI20_S_Wi2019",40799
"ED05_S_Su2017",38036
"ED05_S_Su2017RNA",20400
"ED05_S_Su2018",22096
"ED05_S_Wi2013",20636
"ED05_S_Wi2013RNA",27350
"ED05_S_Wi2015",23653
"ED05_S_Wi2016",11724
"ED05_S_Wi2016RNA",22247
