	otu_preds	taxa_preds
EA05_S_Wi2013	4.35070233333333	4.13976152380952
EA05_S_Wi2015	4.310792875	4.05311247619047
EA05_S_Wi2016	4.38237920833333	4.3831040952381
EA05_S_Wi2017	3.958517625	4.02216533333334
EA05_S_Wi2018	4.01910779166666	3.85500376190476
EA05_S_Wi2019	4.24590454166667	4.15533061904762
EA10_S_Wi2013	4.16082575	3.81854895238095
EA10_S_Wi2015	4.060135	3.48762695238095
EA10_S_Wi2016	3.75675145833333	3.79624923809524
EA10_S_Wi2017	3.94162	4.10458819047619
EA10_S_Wi2018	3.80655420833333	3.54918071428571
EB05_S_Wi2013	3.67013390476191	3.6242435
EB05_S_Wi2015	3.72185023809524	3.62631983333333
EB05_S_Wi2016	3.64131119047619	3.58344366666667
EB05_S_Wi2017	3.46691680952381	3.4929835
EB05_S_Wi2018	3.61559885714286	3.634897
EB05_S_Wi2019	3.55747804761905	3.6217635
EB07_S_Wi2013	2.82323880952381	3.19763666666667
EB07_S_Wi2015	2.84439695238095	2.45396966666667
EB07_S_Wi2016	3.5487889047619	3.37475883333333
EB07_S_Wi2017	3.16637466666667	3.39165566666667
EB07_S_Wi2018	3.09304252380952	3.29349316666667
EB07_S_Wi2019	3.34494280952381	3.45877266666667
EB10_S_Wi2013	2.68981504761905	2.8774445
EB10_S_Wi2015	3.57003647619048	3.21782
EB10_S_Wi2016	2.75406866666667	3.078439
EB10_S_Wi2017	3.76463152380953	3.793086
EB10_S_Wi2018	3.73710642857143	3.9211115
EBI05_S_Wi2013	4.40884473333333	3.8681315
EBI05_S_Wi2015	4.74687423333333	4.74901286666667
EBI05_S_Wi2016	4.37817743333333	4.1270546
EBI05_S_Wi2017	4.074628	4.16416116666667
EBI05_S_Wi2018	4.72476846666666	4.52999103333333
EBI05_S_Wi2019	3.9662702	3.6975718
EBI10_S_Wi2013	3.755271	3.74932126666667
EBI10_S_Wi2016	3.49991433333333	3.5255798
EBI10_S_Wi2017	3.55378856666667	3.49692653333333
EBI10_S_Wi2018	3.72877373333333	3.86700816666667
EBI20_S_Wi2013	3.29495296666667	3.38035803333333
EBI20_S_Wi2015	2.664543	2.24149263333333
EBI20_S_Wi2017	2.46572266666667	2.42150913333333
EBI20_S_Wi2018	2.66933216666667	2.4971515
EBI20_S_Wi2019	2.70240436666667	2.37908856666667
ED05_S_Wi2013	4.58434720833334	4.85878133333333
ED05_S_Wi2015	4.259264125	4.40702586666667
ED05_S_Wi2016	4.17464483333333	3.70193473333333
ED05_S_Wi2017	4.21764491666667	4.16786336666667
ED05_S_Wi2018	4.19911479166667	4.3033363
ED10_S_Wi2013	4.2644395	4.4408229
ED10_S_Wi2015	4.090934	3.80879013333333
ED10_S_Wi2016	3.56349025	3.1256117
ED10_S_Wi2017	3.575198125	3.56967663333333
ED10_S_Wi2018	3.6542885	3.5567884
ED10_S_Wi2019	3.65814175	3.56546576666666
EL05_S_Wi2013	3.6478432	3.56173772222222
EL05_S_Wi2015	3.76696943333333	3.80277061111111
EL05_S_Wi2016	3.53357406666667	3.29637144444444
EL05_S_Wi2017A	3.50350436666667	3.48893288888889
EL05_S_Wi2017B	3.5264685	3.40197155555556
EL05_S_Wi2018	3.58001683333333	3.40529938888889
EL10_S_Wi2013	3.04528696666667	3.03858438888889
EL10_S_Wi2015	3.5046777	3.3415705
EL10_S_Wi2016	3.02228043333333	2.84941661111111
EL10_S_Wi2017	3.18391093333334	3.13581588888889
EL10_S_Wi2018	3.09472193333333	3.11288083333333
EL10_S_Wi2019	3.10227683333333	3.11980022222222
EM05_S_Wi2013	3.95971833333333	4.0982924
EM05_S_Wi2015	4.28482116666667	4.47985983333333
EM05_S_Wi2016	4.154541	4.0648452
EM05_S_Wi2017	3.50092733333333	3.48160163333333
EM05_S_Wi2018	4.0743335	3.8939533
EM05_S_Wi2019	3.71374083333333	3.67674323333333
EM10_S_Wi2013	2.14630516666667	2.1961108
EM10_S_Wi2015	2.2972565	2.27560816666667
EM10_S_Wi2016	1.77910466666667	1.78142983333333
EM10_S_Wi2017	2.37771733333333	1.9073722
EM10_S_Wi2018	1.97914216666667	2.06364676666667
EN10_S_Wi2013_PS	4.81321211111111	4.76247522222222
EN10_S_Wi2015	4.913517	4.72901577777778
EN10_S_Wi2016	4.35190111111111	4.51167994444444
EN10_S_Wi2017	4.73344855555556	4.62494977777778
EN10_S_Wi2018	4.77751711111111	4.62346683333333
EN15_S_Wi2013	5.05548355555555	4.50195622222222
EN15_S_Wi2015	5.01116644444444	4.76196916666667
EN15_S_Wi2016	4.46347811111111	4.32872127777778
EN15_S_Wi2017	4.322902	4.4944645
EN15_S_Wi2018	3.99672911111111	4.19592155555556
EN17_S_Wi2013	4.538215	4.31738277777778
EN17_S_Wi2015	5.01041855555556	4.80905188888889
EN17_S_Wi2016	3.78526677777778	2.84005938888889
EN17_S_Wi2017	3.83998466666667	3.92838172222222
EN17_S_Wi2018	4.664341	4.40554416666667
EN17_S_Wi2019	4.38286311111111	4.29731911111111
EN20_S_Wi2013	4.94024077777778	4.86374427777778
EN20_S_Wi2015	4.76442	4.73775438888889
EN20_S_Wi2016	4.62423666666667	4.23869122222222
EN20_S_Wi2017	4.80336022222222	4.85324411111111
EN20_S_Wi2018	4.480569	4.64813155555555
EN30_S_Wi2013	3.41140322222222	2.77315061111111
EN30_S_Wi2016	3.17620677777778	2.78996833333333
EN30_S_Wi2017	2.73314166666667	2.56015405555556
EN30_S_Wi2018	2.757712	2.33493466666667
EO05_S_Wi2013	3.65266752380952	3.93084155555556
EO05_S_Wi2015	3.57383619047619	3.81392322222222
EO05_S_Wi2016	3.76006171428571	3.95149111111111
EO05_S_Wi2017	3.60648733333334	3.83369077777778
EO05_S_Wi2018	4.00216409523809	4.06377777777778
EO05_S_Wi2019	3.59560852380953	3.60108377777778
EO10_S_Wi2013	3.74889528571429	4.10928366666666
EO10_S_Wi2015	3.55346876190477	3.91352855555556
EO10_S_Wi2016	3.33861419047619	3.35135633333333
EO10_S_Wi2017A	3.07348780952381	2.82437755555556
EO10_S_Wi2017B	3.02511657142857	2.87545222222222
EO10_S_Wi2018	3.33993452380952	3.13064722222222
EO10_S_Wi2019	3.19515371428572	2.80067688888889
EOI10_S_Wi2013	4.05835741666667	3.92112095833333
EOI10_S_Wi2015	3.96977983333333	3.66710820833333
EOI10_S_Wi2016	4.00195583333334	3.822554625
EOI10_S_Wi2017	3.95575916666667	3.65219366666667
EOI10_S_Wi2018	3.77261666666667	3.50495575
EOI15_S_Wi2013	4.02357558333333	3.95045229166667
EOI15_S_Wi2015	4.2013175	4.0219945
EOI15_S_Wi2016	3.9905895	4.150785625
EOI15_S_Wi2017	4.15169591666667	3.89377758333333
EOI15_S_Wi2018	4.00348758333333	4.1692975
EOI15_S_Wi2019	3.89860183333333	3.7222205
EOI20_S_Wi2013	3.40414158333333	3.333522
EOI20_S_Wi2015	3.28202575	3.26658391666667
EOI20_S_Wi2016	3.109622	3.04776608333333
EOI20_S_Wi2017A	3.38952191666667	2.94044875
EOI20_S_Wi2018	3.279773	3.20412041666667
EOI20_S_Wi2019	3.43566158333334	3.323147125
EOK05_S_Wi2013	3.53643444444445	4.37136094444444
EOK05_S_Wi2015	3.98248266666667	4.52359777777777
EOK05_S_Wi2016	3.63384966666667	3.88445927777778
EOK05_S_Wi2017	3.53830933333333	3.74590383333333
EOK05_S_Wi2018	3.81067511111111	4.21118861111111
EOK10_S_Wi2013	3.64642466666667	3.5175805
EOK10_S_Wi2015	3.598731	3.612914
EOK10_S_Wi2016	3.45470188888889	3.4425685
EOK10_S_Wi2017	3.82745288888889	3.68804661111111
EOK10_S_Wi2018	3.61406788888889	3.53110938888889
EOK20_S_Wi2015	2.46560355555556	2.42964666666667
EOK20_S_Wi2016	2.38515544444444	2.19767061111111
EOK20_S_Wi2017	2.31506366666667	2.39146733333333
EOK20_S_Wi2018	2.29046722222222	2.42463911111111
EOK20_S_Wi2019	2.187069	2.29110722222222
EU05_S_Wi2013	4.51343604166667	4.58324783333333
EU05_S_Wi2016	3.76501170833334	3.83603188888889
EU05_S_Wi2017	3.97464437500001	4.13054766666667
EU05_S_Wi2018	3.87954954166667	4.199981
EU08_S_Wi2013	3.92963333333333	4.33995594444445
EU08_S_Wi2015	3.81805816666666	3.67456
EU08_S_Wi2016	3.733482625	3.61866444444444
EU08_S_Wi2017	3.93349216666667	4.0737215
EU08_S_Wi2018	4.00293470833333	3.95827066666667
EU08_S_Wi2019	3.684430125	3.56928094444444
EU10_S_Wi2013	4.12111758333333	4.42223288888889
EU10_S_Wi2015	4.05631841666667	4.00243594444444
EU10_S_Wi2016	3.56426079166667	3.44524055555555
EU10_S_Wi2017	3.73682475	3.66419388888889
