	otu_preds	taxa_preds
EA05_S_Wi2013	4.2533788	4.14225826666667
EA05_S_Wi2015	4.07454296666666	4.06917726666667
EA05_S_Wi2016	4.51421663333333	4.30836606666667
EA05_S_Wi2017	4.11751273333333	4.12313166666667
EA05_S_Wi2017RNA	4.3156063	4.3641064
EA05_S_Wi2018	3.90269826666666	3.87501586666667
EA05_S_Wi2019	4.41461353333333	4.1098526
EA10_S_Wi2013	4.26242493333333	3.90163886666666
EA10_S_Wi2015	4.07245023333333	3.6456844
EA10_S_Wi2016	3.88311876666666	3.7212634
EA10_S_Wi2017	3.97799146666667	4.12737033333333
EA10_S_Wi2017RNA	4.22121383333333	3.84046873333333
EA10_S_Wi2018	3.85725803333333	3.5417534
EB05_S_Wi2013	3.8280511	3.92115211111111
EB05_S_Wi2013RNA	4.53576363333333	4.44073744444445
EB05_S_Wi2015	3.75421236666666	3.47600611111111
EB05_S_Wi2016	3.58121603333333	3.58444544444444
EB05_S_Wi2017	3.59973943333333	3.72612955555556
EB05_S_Wi2017RNA	3.642628	3.74090422222222
EB05_S_Wi2018	3.71215873333333	3.70103933333333
EB05_S_Wi2018RNA	3.95591666666667	4.11131366666667
EB05_S_Wi2019	3.57091113333333	3.55693922222222
EB07_S_Wi2013	2.7819393	3.32538377777778
EB07_S_Wi2015	2.78097773333334	2.70102811111111
EB07_S_Wi2016	3.58796646666667	3.50191588888889
EB07_S_Wi2017	3.10738053333334	3.24789188888889
EB07_S_Wi2017RNA	3.45741816666667	3.36182777777778
EB07_S_Wi2018	3.01019283333333	3.24756722222222
EB07_S_Wi2019	3.32480603333333	3.37025355555555
EB10_S_Wi2013	2.56315796666667	2.82715
EB10_S_Wi2015	3.39154063333334	3.033609
EB10_S_Wi2016	2.80259123333334	3.118823
EB10_S_Wi2017	3.727666	3.82098055555556
EB10_S_Wi2017RNA	3.88999413333333	3.91348355555555
EB10_S_Wi2018	3.7994065	4.00283255555556
EBI05_S_Wi2013	4.283902125	3.82959079166667
EBI05_S_Wi2015	4.62988970833333	4.70135225
EBI05_S_Wi2016	4.3513915	3.84898604166667
EBI05_S_Wi2017	4.14986141666666	4.111272
EBI05_S_Wi2018	4.5162235	4.28490975
EBI05_S_Wi2018RNA	3.607884125	3.626471125
EBI05_S_Wi2019	3.90491595833333	3.7230525
EBI10_S_Wi2013	3.92738695833334	4.00286779166667
EBI10_S_Wi2016	3.6947945	3.70909991666666
EBI10_S_Wi2017	3.79773266666667	3.645782625
EBI10_S_Wi2017RNA	3.946862375	3.91144733333333
EBI10_S_Wi2018	3.87004741666666	4.10818983333333
EBI20_S_Wi2013	3.30878158333334	3.35748020833333
EBI20_S_Wi2015	2.67971225	2.50723216666667
EBI20_S_Wi2017	2.49442520833333	2.45376345833333
EBI20_S_Wi2018	2.706316375	2.65794408333333
EBI20_S_Wi2018RNA	2.88983216666667	2.96599708333333
EBI20_S_Wi2019	2.62713295833334	2.75815275
ED05_S_Wi2013	4.85894269999999	5.00632613333332
ED05_S_Wi2013RNA	4.77339259999999	4.81536703333333
ED05_S_Wi2015	4.4543716	4.4212116
ED05_S_Wi2016	4.02205113333333	3.75709376666666
ED05_S_Wi2016RNA	3.9702386	4.0062085
ED05_S_Wi2017	4.19835426666667	4.08720543333333
ED05_S_Wi2017RNA	4.48062973333333	4.32769496666667
ED05_S_Wi2018	4.2246817	4.22322306666667
ED05_S_Wi2018RNA	4.44392646666666	3.99910946666667
ED10_S_Wi2013	4.1432026	4.58633986666667
ED10_S_Wi2015	3.9772975	3.778916
ED10_S_Wi2016	3.64183406666667	3.2319392
ED10_S_Wi2017	3.6806336	3.5607972
ED10_S_Wi2017RNA	3.82299646666667	3.76634933333333
ED10_S_Wi2018	3.68220026666667	3.50470116666667
ED10_S_Wi2019	3.78814083333333	3.58102563333333
