	otu_preds	taxa_preds
EA05_S_Wi2013	4.35839454166667	4.09562219047619
EA05_S_Wi2015	4.36036270833334	4.06338947619047
EA05_S_Wi2016	4.33671770833333	4.39713747619047
EA05_S_Wi2017	3.95455383333333	4.11096680952381
EA05_S_Wi2018	3.972554375	3.88235147619048
EA05_S_Wi2019	4.22437083333334	4.11187361904762
EA10_S_Wi2013	4.12937683333333	3.77939852380952
EA10_S_Wi2015	4.07177179166667	3.43768495238095
EA10_S_Wi2016	3.72932408333333	3.73473252380952
EA10_S_Wi2017	3.90857454166666	4.04487147619048
EA10_S_Wi2018	3.852741875	3.56905642857143
EB05_S_Wi2013	3.66935	3.61074616666667
EB05_S_Wi2015	3.684813875	3.61306683333333
EB05_S_Wi2016	3.62940791666666	3.58072666666667
EB05_S_Wi2017	3.4371725	3.437005
EB05_S_Wi2018	3.58607820833333	3.57233683333333
EB05_S_Wi2019	3.55953791666667	3.63467383333333
EB07_S_Wi2013	2.80254204166667	3.0724705
EB07_S_Wi2015	2.777722875	2.40127433333333
EB07_S_Wi2016	3.46708354166666	3.1804835
EB07_S_Wi2017	3.14801233333333	3.31749333333333
EB07_S_Wi2018	3.06980591666667	3.1871725
EB07_S_Wi2019	3.32116791666667	3.3481385
EB10_S_Wi2013	2.649518875	2.8025525
EB10_S_Wi2015	3.58994941666667	3.0220195
EB10_S_Wi2016	2.76194920833333	2.99310183333333
EB10_S_Wi2017	3.710719625	3.74586033333333
EB10_S_Wi2018	3.70461358333333	3.9625495
EBI05_S_Wi2013	4.22867791666667	3.83953663333333
EBI05_S_Wi2015	4.7180855	4.75729633333333
EBI05_S_Wi2016	4.39711283333333	4.09646566666666
EBI05_S_Wi2017	4.07141016666666	4.1730276
EBI05_S_Wi2018	4.65679275	4.5549678
EBI05_S_Wi2019	3.91123866666666	3.73294216666666
EBI10_S_Wi2013	3.69588208333333	3.73660686666667
EBI10_S_Wi2016	3.52189775	3.4946321
EBI10_S_Wi2017	3.55281608333333	3.5104406
EBI10_S_Wi2018	3.76737141666666	3.85065236666667
EBI20_S_Wi2013	3.18696175	3.3695389
EBI20_S_Wi2015	2.67282041666667	2.2369755
EBI20_S_Wi2017	2.48475366666667	2.40930376666667
EBI20_S_Wi2018	2.68797716666667	2.45642326666667
EBI20_S_Wi2019	2.723388	2.34546356666667
ED05_S_Wi2013	4.67300905555556	4.85538843333333
ED05_S_Wi2015	4.2664865	4.32692173333333
ED05_S_Wi2016	4.14207472222223	3.6883589
ED05_S_Wi2017	4.21873716666667	4.17763433333333
ED05_S_Wi2018	4.14460594444444	4.28270206666667
ED10_S_Wi2013	4.22373716666667	4.43960116666667
ED10_S_Wi2015	4.09897872222222	3.8313746
ED10_S_Wi2016	3.60515422222222	3.12306546666667
ED10_S_Wi2017	3.63888388888889	3.51837986666667
ED10_S_Wi2018	3.65553683333333	3.50613996666667
ED10_S_Wi2019	3.72706683333333	3.55838026666667
EL05_S_Wi2013	3.6533107	3.5223368
EL05_S_Wi2015	3.82369346666667	3.79971113333333
EL05_S_Wi2016	3.53534906666667	3.34397286666666
EL05_S_Wi2017A	3.50537503333334	3.48861513333333
EL05_S_Wi2017B	3.53388543333333	3.40497323333333
EL05_S_Wi2018	3.59752273333333	3.39886783333333
EL10_S_Wi2013	3.01989423333333	3.11668603333333
EL10_S_Wi2015	3.51816496666666	3.33461426666666
EL10_S_Wi2016	3.05126236666666	2.84804836666667
EL10_S_Wi2017	3.19208903333333	3.17099406666667
EL10_S_Wi2018	3.08662256666666	3.05306313333333
EL10_S_Wi2019	3.11181136666666	3.11826636666666
EM05_S_Wi2013	3.95971833333333	4.0982924
EM05_S_Wi2015	4.28482116666667	4.47985983333333
EM05_S_Wi2016	4.154541	4.0648452
EM05_S_Wi2017	3.50092733333333	3.48160163333333
EM05_S_Wi2018	4.0743335	3.8939533
EM05_S_Wi2019	3.71374083333333	3.67674323333333
EM10_S_Wi2013	2.14630516666667	2.1961108
EM10_S_Wi2015	2.2972565	2.27560816666667
EM10_S_Wi2016	1.77910466666667	1.78142983333333
EM10_S_Wi2017	2.37771733333333	1.9073722
EM10_S_Wi2018	1.97914216666667	2.06364676666667
EN10_S_Wi2013_PS	4.87531377777778	4.71535133333333
EN10_S_Wi2015	4.90791688888889	4.62584877777778
EN10_S_Wi2016	4.39974466666667	4.450565
EN10_S_Wi2017	4.63850522222222	4.60093583333334
EN10_S_Wi2018	4.85102311111111	4.55983905555556
EN15_S_Wi2013	4.98332888888889	4.43159855555555
EN15_S_Wi2015	4.97099366666667	4.67910277777778
EN15_S_Wi2016	4.47377988888889	4.36260833333334
EN15_S_Wi2017	4.25035577777778	4.46403188888889
EN15_S_Wi2018	3.93307833333333	4.1142095
EN17_S_Wi2013	4.50990877777778	4.36475561111111
EN17_S_Wi2015	5.001101	4.82588905555555
EN17_S_Wi2016	3.70069933333333	2.79966438888889
EN17_S_Wi2017	3.94454333333333	3.86461255555555
EN17_S_Wi2018	4.59044622222223	4.43019533333333
EN17_S_Wi2019	4.42102233333333	4.30863816666666
EN20_S_Wi2013	4.93154033333333	4.85850194444444
