	otu_preds	taxa_preds
EA05_S_Wi2013	5.423	5.571
EA05_S_Wi2015	3.365	4.445
EA05_S_Wi2016	3.489	5.667
EA05_S_Wi2017	2.543	1.15
EA05_S_Wi2018	3.108	3.131
EA05_S_Wi2019	5.442	3.224
EA10_S_Wi2013	4.664	3.011
EA10_S_Wi2015	3.108	3.108
EA10_S_Wi2016	2.83	4.331
EA10_S_Wi2017	2.741	3.438
EA10_S_Wi2018	3.779	2.741
EB05_S_Wi2013	3.067	3.067
EB05_S_Wi2015	5.667	3.13
EB05_S_Wi2016	4.841	3.067
EB05_S_Wi2017	4.841	3.283
EB05_S_Wi2018	3.067	3.067
EB05_S_Wi2019	4.841	3.067
EB07_S_Wi2013	2.224	3.658
EB07_S_Wi2015	3.067	2.553
EB07_S_Wi2016	3.189	3.067
EB07_S_Wi2017	2.686	3.678
EB07_S_Wi2018	3.637	4.143
EB07_S_Wi2019	3.637	3.637
EB10_S_Wi2013	1.979	2.517
EB10_S_Wi2015	2.705	2.705
EB10_S_Wi2016	0.503	2.705
EB10_S_Wi2017	4.841	3.637
EB10_S_Wi2018	4.179	5.667
EBI05_S_Wi2013	3.131	2.224
EBI05_S_Wi2015	4.275	5.79
EBI05_S_Wi2016	5.336	5.336
EBI05_S_Wi2017	4.275	3.358
EBI05_S_Wi2018	5.336	5.336
EBI05_S_Wi2019	5.676	4.175
EBI10_S_Wi2013	3.678	4.342
EBI10_S_Wi2016	3.914	3.914
EBI10_S_Wi2017	4.342	3.914
EBI10_S_Wi2018	3.678	4.342
EBI20_S_Wi2013	2.705	3.234
EBI20_S_Wi2015	2.705	2.705
EBI20_S_Wi2017	2.705	2.705
EBI20_S_Wi2018	2.705	2.705
EBI20_S_Wi2019	2.88	2.705
ED05_S_Wi2013	5.423	5.423
ED05_S_Wi2015	4.275	5.937
ED05_S_Wi2016	3.779	3.637
ED05_S_Wi2017	5.423	3.678
ED05_S_Wi2018	3.13	3.13
ED10_S_Wi2013	5.423	4.032
ED10_S_Wi2015	5.423	3.139
ED10_S_Wi2016	3.318	2.705
ED10_S_Wi2017	3.318	3.234
ED10_S_Wi2018	3.318	4.342
ED10_S_Wi2019	4.342	3
EL05_S_Wi2013	3.067	3.842
EL05_S_Wi2015	2.999	5.336
EL05_S_Wi2016	3.273	3.273
EL05_S_Wi2017A	3.641	2.999
EL05_S_Wi2017B	3.641	2.999
EL05_S_Wi2018	2.999	3.208
EL10_S_Wi2013	2.899	2.893
EL10_S_Wi2015	3.634	3.067
EL10_S_Wi2016	2.705	3.067
EL10_S_Wi2017	4.515	3.318
EL10_S_Wi2018	3.008	2.955
EL10_S_Wi2019	3.331	2.991
EM05_S_Wi2013	5.442	3.189
EM05_S_Wi2015	3.782	3.791
EM05_S_Wi2016	5.833	3.609
EM05_S_Wi2017	3.637	3.637
EM05_S_Wi2018	3.313	5.937
EM05_S_Wi2019	4.959	3.637
EM10_S_Wi2013	1.979	0.991
EM10_S_Wi2015	1.979	2.705
EM10_S_Wi2016	1.979	0.503
EM10_S_Wi2017	0.503	2.7
EM10_S_Wi2018	1.979	3
EN10_S_Wi2013_PS	5.937	2.543
EN10_S_Wi2015	3.139	5.93
EN10_S_Wi2016	3.139	3.782
EN10_S_Wi2017	3.191	4.841
EN10_S_Wi2018	3.914	3.191
EN15_S_Wi2013	3.067	4.557
EN15_S_Wi2015	3.224	3.273
EN15_S_Wi2016	4.74	4.331
EN15_S_Wi2017	3.782	3.95
EN15_S_Wi2018	3.251	3.067
EN17_S_Wi2013	4.8	4.624
EN17_S_Wi2015	4.959	5.029
EN17_S_Wi2016	4.8	1.15
EN17_S_Wi2017	5.79	5.79
EN17_S_Wi2018	3.067	3.224
EN17_S_Wi2019	4.8	4.8
EN20_S_Wi2013	5.515	5.759
EN20_S_Wi2015	5.029	4.209
EN20_S_Wi2016	5.487	4.8
EN20_S_Wi2017	4.209	4.209
EN20_S_Wi2018	4.683	3.95
EN30_S_Wi2013	1.417	3.331
EN30_S_Wi2016	0.438	3.585
EN30_S_Wi2017	0.503	3.585
EN30_S_Wi2018	2.5	0.438
EO05_S_Wi2013	3.224	5.991
EO05_S_Wi2015	3.224	4.683
EO05_S_Wi2016	4.179	3.79
EO05_S_Wi2017	3.224	4.683
EO05_S_Wi2018	3.315	3.321
EO05_S_Wi2019	4.164	3.637
EO10_S_Wi2013	3.224	5.487
EO10_S_Wi2015	2.7	5.667
EO10_S_Wi2016	3.251	3.79
EO10_S_Wi2017A	3.658	1.503
EO10_S_Wi2017B	3.658	1.503
EO10_S_Wi2018	3.067	3.067
EO10_S_Wi2019	2.7	3.289
EOI10_S_Wi2013	4.209	3.95
EOI10_S_Wi2015	2.741	3.132
