	otu_preds	taxa_preds
EA05_S_Wi2017RNA	4.66571083333333	4.33528793333333
EA10_S_Wi2017RNA	3.96446763333333	3.85712896666666
EB05_S_Wi2013RNA	4.71620052380952	4.25048746666666
EB05_S_Wi2017RNA	3.93584766666667	4.01878506666666
EB05_S_Wi2018RNA	4.15220619047619	4.09161106666667
EB07_S_Wi2017RNA	3.76892066666667	3.8200872
EB10_S_Wi2017RNA	4.0015529047619	4.21887903333333
EBI05_S_Wi2018RNA	3.89872036666667	3.23985666666667
EBI10_S_Wi2017RNA	4.03034053333333	4.47588333333333
EBI20_S_Wi2018RNA	4.05881233333333	4.17698666666667
ED05_S_Wi2013RNA	4.44159603333333	4.54071633333333
ED05_S_Wi2016RNA	4.18765043333333	4.24053944444445
ED05_S_Wi2017RNA	4.15628666666666	4.34661555555556
ED05_S_Wi2018RNA	4.24507439999999	4.16269355555555
ED10_S_Wi2017RNA	3.79700109999999	4.00166
EL05_S_Wi2017RNA	4.03869525	3.98849466666667
EL05_S_Wi2018RNA	4.06971908333333	4.01928
EL10_S_Wi2017RNA	3.72331416666667	3.754841
EM05_S_Wi2017RNA	3.85554483333333	3.760052
EM10_S_Wi2015RNA	3.65153216666667	3.36334755555555
EN10_S_Wi2017RNA	4.75008033333333	4.68195658333334
EN15_S_Wi2017RNA	4.627749	4.43181108333333
EN15_S_Wi2018RNA	4.076324	4.47285516666667
EN17_S_Wi2013RNA	4.340893	4.66150583333333
EN17_S_Wi2017RNA	3.99048566666667	4.07797175
EN20_S_Wi2013RNA	4.674772	4.75234983333333
EN20_S_Wi2016RNA	4.40449466666667	4.54186675
EN20_S_Wi2017RNA	4.98717333333334	5.05173525
EN20_S_Wi2018RNA	4.47318366666667	4.36387991666667
EO05_S_Wi2013RNA	4.04640793333333	3.83067233333333
EO05_S_Wi2017RNA	3.9405816	3.82260233333333
EO10_S_Wi2017RNA	4.27459243333333	4.11679033333333
EOI10_S_Wi2017RNA	3.67300352380952	3.59956633333333
EOI10_S_Wi2018RNA	3.75807171428571	3.504966
EOI15_S_Wi2017RNA	3.87923438095238	3.76410433333333
EOI20_S_Wi2013RNA	3.64926109523809	3.69051533333333
EOK05_S_Wi2017RNA	4.0439299	4.13828891666666
EOK05_S_Wi2018RNA	4.07407573333333	4.35102575
EOK10_S_Wi2013RNA	4.10247423333334	4.10256304166666
EOK10_S_Wi2017RNA	4.0172654	3.99514225
EOK10_S_Wi2018RNA	4.06434883333333	4.15806816666667
EU05_S_Wi2013RNA	4.50983413333334	4.196396
EU05_S_Wi2017RNA	4.73044506666667	4.23106433333334
EU05_S_Wi2018RNA	4.5511684	3.857232
EU08_S_Wi2013RNA	4.15478913333333	3.98150733333333
EU08_S_Wi2017RNA	4.01799806666667	3.840007
EU08_S_Wi2018RNA	4.22369353333333	4.29496533333333
EUR05_S_Wi2015RNA	4.178995	3.95323449999999
EUR05_S_Wi2016RNA	3.901465	3.90386826666666
EUR05_S_Wi2017RNA	3.920609	3.8601084
EUR05_S_Wi2018RNA	4.187211	3.90831716666666
