	otu_preds	taxa_preds
EA05_S_Wi2013	1.58066660515225	1.78069666835839
EA05_S_Wi2015	1.68937912859707	1.81090811218738
EA05_S_Wi2016	1.76897226850743	2.15763031086941
EA05_S_Wi2017	1.72162850149998	1.77997397029928
EA05_S_Wi2018	1.44816532950889	1.59609150735076
EA05_S_Wi2019	1.67241945964477	1.71179686484721
EA10_S_Wi2013	2.20044051426809	1.91611243381098
EA10_S_Wi2015	1.86614480323038	1.84442585788131
EA10_S_Wi2016	2.62406374738092	2.08006102778993
EA10_S_Wi2017	2.77388442891312	2.12645166786423
EA10_S_Wi2018	1.94386901002414	1.96523403700021
EA10_S_Wi2019	2.36622938773661	2.08861166019822
EB05_S_Wi2013	1.68529857491477	1.68580519121425
EB05_S_Wi2015	1.54845408228449	1.63329703240975
EB05_S_Wi2016	1.58731900622466	1.72415455808276
EB05_S_Wi2017	1.5848963243107	1.69624565973749
EB05_S_Wi2018	1.60369528324741	1.72409780558764
EB05_S_Wi2019	1.59502408454391	1.70449911086513
EB07_S_Wi2013	1.15960115808333	0.979385847699173
EB07_S_Wi2015	0.948176501643866	0.942803117223546
EB07_S_Wi2016	1.7812281794567	1.96879606968397
EB07_S_Wi2017	1.33316213194297	1.25736559332519
EB07_S_Wi2018	1.21216798351267	1.02810208815031
EB07_S_Wi2019	1.50972050305265	1.41591649915383
EB10_S_Wi2013	0.933114686922667	0.956057732424986
EB10_S_Wi2015	1.08753780388883	1.33729964823925
EB10_S_Wi2016	1.18369763351189	1.15489437393514
EB10_S_Wi2017	1.64668976886127	1.67432685958528
EB10_S_Wi2018	1.68555081812908	1.64242472598019
EB10_S_Wi2019	1.24010453440571	1.19186145674796
EBI05_S_Wi2013	1.81372934448615	1.63871720260603
EBI05_S_Wi2015	1.92319441898942	1.96165544974899
EBI05_S_Wi2016	1.90175196459037	1.96578459859056
EBI05_S_Wi2017	1.76213292763865	1.59144804568302
EBI05_S_Wi2018	1.83926339009533	1.79198695641827
EBI05_S_Wi2019	1.69632990428806	1.93624371873547
EBI10_S_Wi2013	1.82098489435052	1.90015542410621
EBI10_S_Wi2016	1.76885177364626	1.81431920051311
EBI10_S_Wi2017	1.70834685428551	1.68757463968061
EBI10_S_Wi2018	1.90597276017002	1.79113688888671
EBI10_S_Wi2019	1.85790572406553	1.90804112593963
EBI20_S_Wi2013	1.34549622510006	1.31810040028812
EBI20_S_Wi2015	1.22187797095206	1.15285134181831
EBI20_S_Wi2017	1.22136987646685	1.13170194160492
EBI20_S_Wi2018	1.22516245741658	1.18416315693301
EBI20_S_Wi2019	1.28347686968799	1.11683730738866
ED05_S_Su2017	1.81982928196747	1.72891846572713
ED05_S_Su2018	1.51265149849469	1.67598146106003
ED05_S_Wi2013	1.76275588383148	2.19198514577358
ED05_S_Wi2015	1.45817171861059	1.65468128932546
ED05_S_Wi2016	1.84981909660337	1.76464498931467
ED05_S_Wi2017	1.76390850343384	1.80006986181943
ED05_S_Wi2018	1.51506192433834	1.52040173047633
ED05_S_Wi2019	1.64001315615502	1.67354723619781
