	otu_preds	taxa_preds
EA05_S_Wi2013	1.64770763333333	1.6351309
EA05_S_Wi2015	1.68317943333333	1.75714636666667
EA05_S_Wi2016	1.66072006666667	1.84820526666667
EA05_S_Wi2017	1.70169213333333	1.77696333333334
EA05_S_Wi2017RNA	1.67463953333333	1.8587723
EA05_S_Wi2018	1.36629986666667	1.57008296666667
EA05_S_Wi2019	1.6715685	1.73861033333333
EA10_S_Wi2013	2.44722366666667	2.1454205
EA10_S_Wi2015	1.76271933333334	1.81092026666667
EA10_S_Wi2016	2.6294309	2.19507976666667
EA10_S_Wi2017	2.74353223333333	2.27751143333333
EA10_S_Wi2017RNA	2.29990123333333	2.36271966666667
EA10_S_Wi2018	2.300184	2.27575776666667
EA10_S_Wi2019	2.43283133333333	2.25143476666667
EB05_S_Wi2013	1.69642433333333	1.69155572222222
EB05_S_Wi2013RNA	1.7274259	1.9199735
EB05_S_Wi2015	1.47422963333333	1.70302044444445
EB05_S_Wi2016	1.6367314	1.727386
EB05_S_Wi2017	1.6098493	1.70058872222222
EB05_S_Wi2017RNA	1.68501143333333	1.84592111111111
EB05_S_Wi2018	1.60034763333333	1.63502466666667
EB05_S_Wi2018RNA	1.7106056	1.74213666666667
EB05_S_Wi2019	1.56116216666667	1.68905333333333
EB07_S_Wi2013	0.9913554	0.837852333333334
EB07_S_Wi2015	0.949300333333332	0.791149777777778
EB07_S_Wi2016	1.67756323333333	2.07085911111111
EB07_S_Wi2017	1.27737716666667	1.15080144444444
EB07_S_Wi2017RNA	1.3204203	1.33036927777778
EB07_S_Wi2018	1.13861316666667	0.943161
EB07_S_Wi2019	1.45590776666667	1.45552405555556
EB10_S_Wi2013	0.874899599999999	0.805717
EB10_S_Wi2015	0.9177291	0.933896388888889
EB10_S_Wi2016	0.9905631	1.00090105555556
EB10_S_Wi2017	1.69570026666667	1.73342472222222
EB10_S_Wi2017RNA	1.67657403333333	1.81528238888889
EB10_S_Wi2018	1.5792051	1.69241811111111
EB10_S_Wi2019	1.0483944	1.11673511111111
EBI05_S_Wi2013	1.82175379166667	1.54262904761905
EBI05_S_Wi2015	1.81051045833333	1.99455466666667
EBI05_S_Wi2016	1.86698829166667	1.90934685714286
EBI05_S_Wi2017	1.85287045833333	1.76068504761905
EBI05_S_Wi2018	1.8381455	1.88416257142857
EBI05_S_Wi2018RNA	1.57871795833333	1.65795338095238
EBI05_S_Wi2019	1.755093625	1.87508847619047
EBI10_S_Wi2013	1.72401070833333	2.09000776190476
EBI10_S_Wi2016	1.81676358333333	1.83606776190476
EBI10_S_Wi2017	1.77345566666667	1.75426876190476
EBI10_S_Wi2017RNA	2.043622875	2.09628452380952
EBI10_S_Wi2018	1.79025495833333	1.82989909523809
EBI10_S_Wi2019	2.00087391666667	1.96102390476191
EBI20_S_Wi2013	1.27970845833333	1.29881914285714
EBI20_S_Wi2015	1.08853529166667	1.03136171428571
EBI20_S_Wi2017	1.02232783333333	1.06390495238095
EBI20_S_Wi2018	1.022749375	1.03980409523809
EBI20_S_Wi2018RNA	1.03269991666667	1.13031404761905
EBI20_S_Wi2019	1.04111895833333	1.10448
ED05_S_Su2017	1.79140206666667	1.73054157142857
ED05_S_Su2017RNA	1.5923563	1.75320271428571
ED05_S_Su2018	1.58546266666666	1.647578
ED05_S_Wi2013	2.07409523333334	2.17546233333333
ED05_S_Wi2013RNA	1.91569343333333	1.998832
ED05_S_Wi2015	1.56836236666667	1.78591576190476
ED05_S_Wi2016	1.95028043333333	1.68300042857143
ED05_S_Wi2016RNA	2.00203393333333	1.65898047619048
ED05_S_Wi2017	1.8826829	1.78155580952381
ED05_S_Wi2017RNA	1.89592126666667	1.87169242857143
ED05_S_Wi2018	1.58866793333334	1.62355128571429
ED05_S_Wi2018RNA	2.06248043333333	1.73327176190476
ED05_S_Wi2019	1.70156896666667	1.63876380952381
ED10_S_Su2017	1.32397256666667	1.36751328571429
ED10_S_Su2018	1.1489927	0.910284904761905
ED10_S_Wi2013	1.74972476666667	1.69085676190476
ED10_S_Wi2015	1.91521106666667	1.87229228571429
ED10_S_Wi2016	1.27523796666667	1.17785166666667
ED10_S_Wi2017	1.44912576666667	1.41738680952381
ED10_S_Wi2017RNA	1.44286063333333	1.383957
ED10_S_Wi2018	1.44315606666667	1.27340509523809
ED10_S_Wi2019	1.53978593333333	1.36808157142857
EL05_S_Wi2013	1.763900375	1.61685876666667
EL05_S_Wi2015	1.52056966666667	1.4921932
EL05_S_Wi2016	1.61800404166667	1.65120383333333
EL05_S_Wi2017A	1.623730625	1.33639106666667
EL05_S_Wi2017B	1.69799070833333	1.40979716666667
EL05_S_Wi2017RNA	1.61825475	1.43131753333333
EL05_S_Wi2018	1.532473625	1.50812146666666
EL05_S_Wi2018RNA	1.65332333333333	1.43775626666667
EL05_S_Wi2019	1.56998308333333	1.59932603333333
EL10_S_Wi2013	0.954749541666666	1.09145296666667
EL10_S_Wi2015	1.39204645833333	1.4573969
EL10_S_Wi2016	0.960995541666667	0.975079066666668
EL10_S_Wi2017	1.17486391666667	1.32265153333333
EL10_S_Wi2017RNA	1.77444133333334	1.40062353333333
EL10_S_Wi2018	1.03679766666667	1.08831423333333
EL10_S_Wi2019	0.941085708333334	1.1013254
EM05_S_Wi2013	1.78637243333333	2.10051293333334
EM05_S_Wi2015	1.7425501	1.91354263333333
EM05_S_Wi2016	1.7485697	1.70033006666667
EM05_S_Wi2017	1.6059576	1.34606633333333
EM05_S_Wi2017RNA	1.59222936666667	1.52447603333333
EM05_S_Wi2018	1.65863206666667	1.7689186
EM05_S_Wi2019	1.740952	1.72424053333333
EM10_S_Wi2013	1.0386068	0.859668666666667
EM10_S_Wi2015	1.13077963333333	0.946367733333334
