	otu_preds	taxa_preds
EA05_S_Wi2013	0.787	1.507
EA05_S_Wi2015	2.392	1.065
EA05_S_Wi2016	1.351	2.037
EA05_S_Wi2017	2.163	1.873
EA05_S_Wi2018	0.787	0.787
EA05_S_Wi2019	2.037	2.037
EA10_S_Wi2013	3.009	2.512
EA10_S_Wi2015	0.787	0.954
EA10_S_Wi2016	2.718	2.512
EA10_S_Wi2017	3.009	2.874
EA10_S_Wi2018	3.392	2.512
EA10_S_Wi2019	3.009	2.512
EB05_S_Wi2013	2.22	2.291
EB05_S_Wi2015	1.932	1.844
EB05_S_Wi2016	1.435	1.427
EB05_S_Wi2017	1.435	1.902
EB05_S_Wi2018	1.427	1.435
EB05_S_Wi2019	2.013	1.435
EB07_S_Wi2013	1.286	0.912
EB07_S_Wi2015	0.454	0.466
EB07_S_Wi2016	1.923	2.22
EB07_S_Wi2017	1.238	1.427
EB07_S_Wi2018	1.902	0.466
EB07_S_Wi2019	1.427	1.902
EB10_S_Wi2013	0.466	1.003
EB10_S_Wi2015	0.466	1.003
EB10_S_Wi2016	0.454	1.003
EB10_S_Wi2017	1.89	1.89
EB10_S_Wi2018	1.385	1.435
EB10_S_Wi2019	0.466	2.064
EBI05_S_Wi2013	2.037	1.321
EBI05_S_Wi2015	2.089	3.392
EBI05_S_Wi2016	1.959	1.959
EBI05_S_Wi2017	2.089	1.351
EBI05_S_Wi2018	1.487	1.131
EBI05_S_Wi2019	1.959	1.605
EBI10_S_Wi2013	1.797	3.51
EBI10_S_Wi2016	1.827	1.827
EBI10_S_Wi2017	1.827	1.827
EBI10_S_Wi2018	1.435	0.849
EBI10_S_Wi2019	1.456	2.064
EBI20_S_Wi2013	1.003	1.003
EBI20_S_Wi2015	0.466	1.003
EBI20_S_Wi2017	0.466	1.003
EBI20_S_Wi2018	0.466	1.003
EBI20_S_Wi2019	0.466	1.261
ED05_S_Su2017	1.902	0.454
ED05_S_Su2018	1.583	1.343
ED05_S_Wi2013	1.487	1.932
ED05_S_Wi2015	2.089	2.464
ED05_S_Wi2016	1.226	3.392
ED05_S_Wi2017	1.932	1.932
ED05_S_Wi2018	1.351	1.592
ED05_S_Wi2019	1.583	1.465
ED10_S_Su2017	2.077	2.077
ED10_S_Su2018	1.286	1.003
ED10_S_Wi2013	2.392	1.231
ED10_S_Wi2015	2.392	3.392
ED10_S_Wi2016	2.077	1.847
ED10_S_Wi2017	2.077	1.847
ED10_S_Wi2018	2.077	0.849
ED10_S_Wi2019	2.077	0.849
EL05_S_Wi2013	1.558	1.679
EL05_S_Wi2015	2.013	1.937
EL05_S_Wi2016	1.717	1.679
EL05_S_Wi2017A	1.435	0.762
EL05_S_Wi2017B	1.435	0.762
EL05_S_Wi2018	1.435	1.435
EL05_S_Wi2019	2.169	2.077
EL10_S_Wi2013	1.798	0.487
EL10_S_Wi2015	1.351	1.465
EL10_S_Wi2016	1.286	1.003
EL10_S_Wi2017	2.077	3.51
EL10_S_Wi2018	2.092	1.827
EL10_S_Wi2019	2.064	2.064
EM05_S_Wi2013	1.869	2.683
EM05_S_Wi2015	3.009	1.4
EM05_S_Wi2016	2.037	2.037
EM05_S_Wi2017	2.037	1.902
EM05_S_Wi2018	2.037	2.037
EM05_S_Wi2019	3.392	1.902
EM10_S_Wi2013	0.466	1.187
EM10_S_Wi2015	0.466	0.466
EM10_S_Wi2016	0.466	0.466
EM10_S_Wi2017	0.466	0.466
EM10_S_Wi2018	0.466	1.261
EN10_S_Wi2013_PS	2.742	1.873
EN10_S_Wi2015	1.351	2.742
EN10_S_Wi2016	1.456	1.4
EN10_S_Wi2017	1.292	1.819
EN10_S_Wi2018	0.525	1.932
EN15_S_Su2017	3.019	3.019
EN15_S_Su2018	1.844	3.019
EN15_S_Wi2013	2.742	2.742
EN15_S_Wi2015	2.742	2.742
EN15_S_Wi2016	1.797	3.019
EN15_S_Wi2017	1.797	3.019
EN15_S_Wi2018	1.844	2.548
EN15_S_Wi2019A	1.292	1.292
EN15_S_Wi2019B	1.292	1.292
