	otu_preds	taxa_preds
EA05_S_Wi2017RNA	1.89645085714286	1.96438383333333
EA10_S_Wi2017RNA	2.34187223809524	2.52363966666667
EB05_S_Wi2013RNA	1.91161955555556	1.89091366666667
EB05_S_Wi2017RNA	1.67569033333333	1.74909883333333
EB05_S_Wi2018RNA	2.02135511111111	1.85675383333333
EB07_S_Wi2017RNA	1.59193977777778	1.5279045
EB10_S_Wi2017RNA	1.71788466666667	1.86147133333333
EBI05_S_Wi2018RNA	1.6340795	1.9594537
EBI10_S_Wi2017RNA	1.98428933333333	2.44807593333333
EBI20_S_Wi2018RNA	1.53056991666667	1.5251738
ED05_S_Su2017RNA	1.72385845833333	1.60820733333333
ED05_S_Wi2013RNA	1.90489933333333	1.93570406666667
ED05_S_Wi2016RNA	1.93179170833333	1.7781532
ED05_S_Wi2017RNA	1.92150791666667	1.97592226666667
ED05_S_Wi2018RNA	1.85036158333334	1.80800756666667
ED10_S_Wi2017RNA	1.38344983333333	1.34546756666667
EL05_S_Wi2017RNA	1.58170258333333	1.57529906666666
EL05_S_Wi2018RNA	1.62316925	1.66192513333333
EL10_S_Wi2017RNA	1.57030791666667	1.61028276666667
EM05_S_Wi2017RNA	1.470163	1.46484466666667
EM10_S_Wi2015RNA	1.47343366666667	1.62036743333333
EN10_S_Wi2017RNA	1.90090433333333	1.97808683333333
EN15_S_Wi2017RNA	2.307473	1.914132
EN15_S_Wi2018RNA	2.39976266666667	2.43476316666667
EN17_S_Wi2013RNA	2.00263666666667	2.0612485
EN17_S_Wi2017RNA	1.97466366666667	1.781942
EN20_S_Wi2013RNA	2.21093633333333	2.09002133333333
EN20_S_Wi2016RNA	2.58247933333333	2.41151983333333
EN20_S_Wi2017RNA	2.22489266666667	2.22865166666667
EN20_S_Wi2018RNA	2.43397833333333	2.2554025
EN30_S_Su2017RNA	1.62440433333333	1.73970533333333
EO05_S_Wi2013RNA	1.52890388888889	1.48903177777778
EO05_S_Wi2017RNA	1.81500216666667	1.97425622222222
EO10_S_Wi2017RNA	1.318001	1.33092033333333
EOI10_S_Su2017RNA	2.65738855555555	2.38812653333334
EOI10_S_Wi2017RNA	2.91078033333334	2.6345309
EOI10_S_Wi2018RNA	2.819327	2.54001653333333
EOI15_S_Su2017RNA	2.86366722222222	2.52341513333333
EOI15_S_Wi2017RNA	2.73640666666667	2.55951103333333
EOI20_S_Su2017RNA	2.65582288888889	2.07241533333333
EOI20_S_Su2018RNA	1.92138611111111	1.90662703333333
EOI20_S_Wi2013RNA	2.77843155555556	2.27615206666667
EOK05_S_Su2017RNA	1.88319433333333	2.15228523809524
EOK05_S_Wi2017RNA	1.88120266666667	2.02444428571429
EOK05_S_Wi2018RNA	2.00977433333333	2.06520890476191
EOK10_S_Wi2013RNA	1.85380466666667	2.08967685714286
EOK10_S_Wi2017RNA	1.618067	2.10432447619048
EOK10_S_Wi2018RNA	1.84264733333333	1.95589704761905
EU05_S_Wi2013RNA	1.93707228571428	2.03173866666667
EU05_S_Wi2017RNA	1.90132623809524	2.07213333333333
EU05_S_Wi2018RNA	1.88192285714285	1.99922833333333
EU08_S_Wi2013RNA	1.81350038095238	1.89479875
EU08_S_Wi2017RNA	2.01995714285714	1.87026633333333
EU08_S_Wi2018RNA	1.86601952380952	1.92102454166667
EUR05_S_Wi2015RNA	1.84013233333333	1.91407477777778
EUR05_S_Wi2016RNA	1.756579	1.86166288888889
EUR05_S_Wi2017RNA	2.19261483333333	2.85146055555555
EUR05_S_Wi2018RNA	1.70517916666667	1.99837266666667
EUR05_S_Wi2019RNA	1.822338	1.79294505555556
