	otu_preds	taxa_preds
EA05_S_Wi2013	1.373	2.913
EA05_S_Wi2015	2.182	1.062
EA05_S_Wi2016	2.156	1.106
EA05_S_Wi2017	1.687	0.998
EA05_S_Wi2018	1.306	1.328
EA05_S_Wi2019	1.273	1.273
EA10_S_Wi2013	1.946	1.946
EA10_S_Wi2015	1.062	1.328
EA10_S_Wi2016	1.687	1.687
EA10_S_Wi2017	1.306	1.883
EA10_S_Wi2018	1.7988223406	1.7988223406
EA10_S_Wi2019	1.749	2.261
EB05_S_Wi2013	3.62	1.263
EB05_S_Wi2015	2.182	2.127
EB05_S_Wi2016	1.263	1.354
EB05_S_Wi2017	1.445	1.445
EB05_S_Wi2018	1.369	1.193
EB05_S_Wi2019	1.445	1.369
EB07_S_Wi2013	0.267	3.756
EB07_S_Wi2015	0.267	0.267
EB07_S_Wi2016	3.62	1.48
EB07_S_Wi2017	1.454	1.883
EB07_S_Wi2018	1.445	2.3639482834
EB07_S_Wi2019	1.445	1.445
EB10_S_Wi2013	1.184	0.267
EB10_S_Wi2015	1.184	0.267
EB10_S_Wi2016	1.481	2.349
EB10_S_Wi2017	1.445	1.193
EB10_S_Wi2018	1.512	1.7988223406
EB10_S_Wi2019	1.552	1.262
EBI05_S_Wi2013	1.193	1.074
EBI05_S_Wi2015	1.472	1.7988223406
EBI05_S_Wi2016	2.417	1.909
EBI05_S_Wi2017	1.546	1.7988223406
EBI05_S_Wi2018	1.223	1.223
EBI05_S_Wi2019	2.417	1.223
EBI10_S_Wi2013	2.182	1.315
EBI10_S_Wi2016	2.391	1.428
EBI10_S_Wi2017	1.428	2.391
EBI10_S_Wi2018	2.182	0.837
EBI10_S_Wi2019	1.191	1.454
EBI20_S_Wi2013	2.3217125693	1.184
EBI20_S_Wi2015	0.548	1.184
EBI20_S_Wi2017	0.797	1.184
EBI20_S_Wi2018	1.0486539228	1.184
EBI20_S_Wi2019	0.797	1.262
ED05_S_Su2017	1.445	2.367
ED05_S_Su2018	1.445	1.687
ED05_S_Wi2013	2.182	2.182
ED05_S_Wi2015	0.998	0.998
ED05_S_Wi2016	2.446	1.7988223406
ED05_S_Wi2017	1.373	2.182
ED05_S_Wi2018	1.909	1.373
ED05_S_Wi2019	2.355	1.246
ED10_S_Su2017	2.379	2.425
ED10_S_Su2018	1.184	1.246
ED10_S_Wi2013	0.954	0.954
ED10_S_Wi2015	2.127	1.7988223406
ED10_S_Wi2016	2.379	1.184
ED10_S_Wi2017	2.379	0.304
ED10_S_Wi2018	0.837	0.837
ED10_S_Wi2019	0.837	0.985
EL05_S_Wi2013	1.263	1.48
EL05_S_Wi2015	2.418	2.156
