	otu_preds	taxa_preds
EA05_S_Wi2013	1.36223264275957	1.42730316034975
EA05_S_Wi2015	1.52804019344195	1.55762658912203
EA05_S_Wi2016	1.54320021904173	1.51508869559637
EA05_S_Wi2017	1.43417332357512	1.62914604781847
EA05_S_Wi2018	1.29134208232107	1.32450854361528
EA05_S_Wi2019	1.53048907157954	1.63087886669902
EA10_S_Wi2013	2.21103394355766	2.26081002482557
EA10_S_Wi2015	1.8046257823966	1.59189454750943
EA10_S_Wi2016	2.52145664793876	2.38801770028348
EA10_S_Wi2017	2.59630803195509	2.35486655465748
EA10_S_Wi2018	1.66461353773412	1.66188390815897
EA10_S_Wi2019	2.52823551514227	2.40076185326717
EB05_S_Wi2013	2.0252808534403	2.03500255075655
EB05_S_Wi2015	1.46559634915718	1.62683675683213
EB05_S_Wi2016	1.55455777825041	1.7326168468665
EB05_S_Wi2017	1.51397771174029	1.70515940287291
EB05_S_Wi2018	1.59248444706347	1.69527595623243
EB05_S_Wi2019	1.53079997101337	1.70245781569242
EB07_S_Wi2013	0.984889207884804	0.856688983382539
EB07_S_Wi2015	1.03185741798823	0.802250113081143
EB07_S_Wi2016	2.19120909938726	2.21693250946979
EB07_S_Wi2017	1.27807627279567	1.29921015270087
EB07_S_Wi2018	1.2295477603785	0.993355340778975
EB07_S_Wi2019	1.4176574852658	1.34067298460279
EB10_S_Wi2013	0.803658913643327	0.806350282568221
EB10_S_Wi2015	0.934944622099707	0.99657949520158
EB10_S_Wi2016	1.14785303169519	1.052456561482
EB10_S_Wi2017	1.53840652621068	1.75435151459895
EB10_S_Wi2018	1.53698857399085	1.57691302473362
EB10_S_Wi2019	1.23728225646218	1.20752216475438
EBI05_S_Wi2013	1.45086045005142	1.32687227654472
EBI05_S_Wi2015	1.525053839503	1.63005550210434
EBI05_S_Wi2016	1.64037560673941	1.88787907608997
EBI05_S_Wi2017	1.46864530403036	1.34233600978519
EBI05_S_Wi2018	1.58372899476894	1.64616839271151
EBI05_S_Wi2019	1.53370868756392	1.68762718131224
EBI10_S_Wi2013	1.90283335489147	2.08941778641965
EBI10_S_Wi2016	1.52932452844119	1.58493288553406
EBI10_S_Wi2017	1.66996406129868	1.50979330865471
EBI10_S_Wi2018	2.06033744848057	1.89940823440406
EBI10_S_Wi2019	1.84320957951057	1.94147021388626
EBI20_S_Wi2013	1.28885631099868	1.29106028743931
EBI20_S_Wi2015	1.07187220556943	1.08426278556817
EBI20_S_Wi2017	1.04877841466052	1.03576888728001
EBI20_S_Wi2018	1.06061989160149	1.12279881811783
EBI20_S_Wi2019	1.14845679297491	1.08840788154543
ED05_S_Wi2013	1.55420980767107	1.94201864566433
ED05_S_Wi2015	1.28287442207431	1.38497974377845
ED05_S_Wi2016	1.54578991933783	1.5897138496216
ED05_S_Wi2017	1.58143898652961	1.7431992413437
ED05_S_Wi2018	1.44208127812991	1.49522064368787
ED05_S_Wi2019	1.61427506282981	1.80088662928444
ED10_S_Wi2013	1.4301047575108	1.54710420952956
ED10_S_Wi2015	1.5360403452913	1.38302482052415
ED10_S_Wi2016	1.29086977614257	1.15081347432415
ED10_S_Wi2017	1.49606321912734	1.48849767961914
ED10_S_Wi2018	1.59821723730745	1.42078928459462
ED10_S_Wi2019	1.47067473461084	1.34671950662345
EL05_S_Wi2013	1.62944016530043	1.53762059509407
EL05_S_Wi2015	1.42000676684722	1.38029143324193
EL05_S_Wi2016	1.55111883961808	1.62354703702673
EL05_S_Wi2017A	1.40280956776325	1.4957949359261
EL05_S_Wi2017B	1.46590484745978	1.60256479887737
EL05_S_Wi2018	1.45872632393136	1.50771290811387
EL05_S_Wi2019	1.45379801511586	1.6025867796794
EL10_S_Wi2013	1.08809030393611	1.06053737892027
EL10_S_Wi2015	1.28324267173276	1.22971822997663
EL10_S_Wi2016	1.01899126742242	0.756607192569534
EL10_S_Wi2017	1.36234334990923	1.2532764915422
EL10_S_Wi2018	1.14882498423999	1.16693677866603
EL10_S_Wi2019	1.00640011221737	1.2101495344451
EM05_S_Wi2013	1.72160198809233	2.25940978661359
EM05_S_Wi2015	1.58902111186604	1.82066508696724
EM05_S_Wi2016	1.74645599667293	1.72875723211047
EM05_S_Wi2017	1.51629296901502	1.21817243632788
EM05_S_Wi2018	1.41391700502347	1.45926672780793
EM05_S_Wi2019	1.58637560143018	1.485068935453
EM10_S_Wi2013	0.98708839426244	0.865510958238286
EM10_S_Wi2015	1.05569727748908	0.94000801565994
EM10_S_Wi2016	1.0650026931606	0.833547392453697
EM10_S_Wi2017	1.03651436021598	0.915973980894537
EM10_S_Wi2018	0.956635236354745	0.844268506981427
EN10_S_Wi2013_PS	1.48987195638543	1.74325444035081
EN10_S_Wi2015	1.48921406789705	1.72349045107308
EN10_S_Wi2016	1.61235913344456	1.81208140077245
EN10_S_Wi2017	1.6474810414385	1.84820454654363
EN10_S_Wi2018	1.63553861335947	1.82757438859916
EN15_S_Wi2013	1.40738379560335	1.84659118242372
EN15_S_Wi2015	1.57409812893681	1.88020059259096
EN15_S_Wi2016	2.05073067471803	2.08731853421966
EN15_S_Wi2017	1.80487979812173	2.0463896683535
EN15_S_Wi2018	1.97860208130947	2.2227834603775
EN15_S_Wi2019A	1.6049491838011	1.51920460848454
EN15_S_Wi2019B	1.58064208132312	1.50687130756868
EN17_S_Wi2013	1.55427381522377	1.78676618069999
EN17_S_Wi2015	1.80179677999563	1.74472443459829
EN17_S_Wi2016	1.80442524461663	1.58603380519574
EN17_S_Wi2017	1.59085600287744	1.62828402121544
EN17_S_Wi2018	1.93061537774665	1.98723685035325
EN17_S_Wi2019	1.79141307346935	1.92804197723567
EN20_S_Wi2013	1.85872955126581	1.74123073688889
EN20_S_Wi2015	1.87854690934461	1.8424103355871
EN20_S_Wi2016	2.07526614647354	2.17046012093647
EN20_S_Wi2017	1.87947581665669	1.76225546438464
EN20_S_Wi2018	1.99661695195478	2.07286805038833
EN20_S_Wi2019	1.80485421862466	1.80117839842857
EN30_S_Wi2013	1.0945547638833	1.36478148057338
EN30_S_Wi2016	1.13265522443071	1.4304913220976
EN30_S_Wi2017	1.00751986474395	1.27128608814351
EN30_S_Wi2018	1.03765149616886	1.42394126572052
EN30_S_Wi2019	1.20561658539419	1.41789966771199
EN_Asua_S_Wi2019	1.63250046725436	1.44723267448785
EN_Axpe_S_Wi2019	1.69260049291824	2.05038840195065
EN_LasArenas_S_Wi2019	1.93214211671868	1.99892853431563
EN_Sestao_S_Wi2019	1.52185912792344	2.09260980606117
EO05_S_Wi2013	1.72953321560759	2.01095372029312
EO05_S_Wi2015	1.75989443781842	1.90095189664671
EO05_S_Wi2016	1.76575824950197	1.87610444855458
EO05_S_Wi2017	1.72181160619738	1.75515970478508
EO05_S_Wi2018	1.71867583982902	1.80612685370947
EO05_S_Wi2019	1.73787315441367	1.73328401646697
EO10_S_Wi2013	1.61991199167162	1.72048286634738
EO10_S_Wi2015	1.00403528217515	0.862254747098043
EO10_S_Wi2016	1.80315050531437	1.99489154992163
EO10_S_Wi2017A	0.857608177224407	0.712002507757138
EO10_S_Wi2017B	0.813836937824797	0.689209527016324
EO10_S_Wi2018	0.799803412928423	0.702555878861862
EO10_S_Wi2019	1.08819848865383	0.740763098441029
EOI10_S_Wi2013	2.26016719099907	2.23097115254677
EOI10_S_Wi2015	2.51497650976571	2.09471777040726
EOI10_S_Wi2016	2.45751309151893	2.13936633170245
EOI10_S_Wi2017	2.38184947524194	2.13619396219261
EOI10_S_Wi2018	2.43530924605477	2.23335125011896
EOI10_S_Wi2019	2.40252151023462	2.25079875794333
EOI15_S_Wi2013	2.44918264117517	2.14793495867532
EOI15_S_Wi2015	2.22393441280072	2.31274090361653
EOI15_S_Wi2016	2.42488427939719	2.57008083993115
EOI15_S_Wi2017	2.17769108954726	2.31893532172337
EOI15_S_Wi2018	2.28571246785498	2.16154844496642
EOI15_S_Wi2019	2.30152738009425	2.52073204876006
EOI20_S_Wi2013	2.17298350386945	1.65554807991491
EOI20_S_Wi2015	1.65222004558627	1.55589959730126
EOI20_S_Wi2016	1.67212227823825	1.42243942061099
EOI20_S_Wi2017A	1.6534553224944	1.4712850452058
EOI20_S_Wi2018	1.98457259731889	1.63447151117326
EOI20_S_Wi2019	1.61634546527543	1.55216327742871
