	otu_preds	taxa_preds
EA05_S_Wi2013	205.4168	219.6134
EA05_S_Wi2015	169.938533333333	211.520333333333
EA05_S_Wi2016	115.190466666667	70.0309333333334
EA05_S_Wi2017	224.7648	180.939
EA05_S_Wi2017RNA	230.8148	176.331233333333
EA05_S_Wi2018	190.062066666667	230.827566666667
EA05_S_Wi2019	72.9918666666667	60.1086666666667
EA10_S_Wi2013	20.6537333333333	11.9334333333333
EA10_S_Wi2015	152.609	146.1693
EA10_S_Wi2016	-7.34766666666667	-37.7818
EA10_S_Wi2017	2.81433333333333	-10.5009666666667
EA10_S_Wi2017RNA	22.9739333333333	5.05196666666667
EA10_S_Wi2018	65.9915333333333	64.5740666666666
EA10_S_Wi2019	-22.5408666666667	-26.3954333333333
EB05_S_Wi2013	68.7661416666667	72.3781333333333
EB05_S_Wi2013RNA	221.74055	218.250026666667
EB05_S_Wi2015	62.1200833333333	65.3132666666666
EB05_S_Wi2016	21.9522083333333	49.2590666666666
EB05_S_Wi2017	40.7156666666667	93.3948266666667
EB05_S_Wi2017RNA	45.678225	53.7790666666667
EB05_S_Wi2018	52.4415833333333	57.2468
EB05_S_Wi2018RNA	85.7746583333333	93.836
EB05_S_Wi2019	46.2022083333333	57.4723
EB07_S_Wi2013	300.904308333333	314.9733
EB07_S_Wi2015	329.684	361.3916
EB07_S_Wi2016	155.087033333333	122.701573333333
EB07_S_Wi2017	226.73	171.869466666667
EB07_S_Wi2017RNA	186.220416666667	164.294266666667
EB07_S_Wi2018	281.7201375	297.799966666666
EB07_S_Wi2019	93.1083291666666	115.060466666667
EB10_S_Wi2013	331.154041666667	348.22776
EB10_S_Wi2015	312.681641666667	365.8804
EB10_S_Wi2016	287.348	254.44012
EB10_S_Wi2017	47.2946666666667	67.9513333333333
EB10_S_Wi2017RNA	40.2262083333334	58.4787333333333
EB10_S_Wi2018	63.2222333333333	81.9365999999999
EB10_S_Wi2019	172.082875	230.509733333333
EBI05_S_Wi2013	160.847976190476	246.262553333333
EBI05_S_Wi2015	241.921980952381	259.17072
EBI05_S_Wi2016	115.985719047619	134.793053333333
EBI05_S_Wi2017	240.593033333333	308.309043333334
EBI05_S_Wi2018	202.210828571428	168.403223333333
EBI05_S_Wi2018RNA	83.0604380952381	86.1279666666666
EBI05_S_Wi2019	118.5528	153.59438
EBI10_S_Wi2013	75.1753476190476	24.5911333333333
EBI10_S_Wi2016	146.615923809524	150.916456666667
EBI10_S_Wi2017	131.078285714286	138.91452
EBI10_S_Wi2017RNA	34.6673571428571	-6.37786666666667
EBI10_S_Wi2018	35.1844761904762	17.8192333333333
EBI10_S_Wi2019	40.8490666666667	36.1755333333334
EBI20_S_Wi2013	316.835638095238	281.87345
EBI20_S_Wi2015	348.627523809524	364.15835
EBI20_S_Wi2017	352.769571428572	331.258233333333
EBI20_S_Wi2018	359.420333333334	360.048383333333
EBI20_S_Wi2018RNA	359.102571428571	350.871133333333
EBI20_S_Wi2019	302.083	283.211833333333
ED05_S_Su2018	74.7181666666667	63.0179999999999
ED05_S_Wi2013	172.755516666667	218.105495833333
ED05_S_Wi2013RNA	164.087616666667	169.370545833333
ED05_S_Wi2015	259.4393	295.332029166667
ED05_S_Wi2016	139.211	153.888233333333
ED05_S_Wi2016RNA	93.957	131.949658333333
ED05_S_Wi2017	127.144016666667	158.691925
ED05_S_Wi2017RNA	135.694	168.367345833333
ED05_S_Wi2018	132.477066666667	169.876579166667
ED05_S_Wi2018RNA	140.798883333333	146.946729166667
ED05_S_Wi2019	88.3494	85.6734166666666
ED10_S_Su2018	309.8505	335.491883333333
ED10_S_Wi2013	271.805483333333	281.582908333333
ED10_S_Wi2015	215.842333333333	258.891958333333
ED10_S_Wi2016	338.566	343.670241666667
ED10_S_Wi2017	306.025	242.582995833333
ED10_S_Wi2017RNA	304.979	303.096525
ED10_S_Wi2018	283.485	302.481883333333
ED10_S_Wi2019	310.32575	292.238325
EL05_S_Wi2013	52.0097333333333	58.1137083333333
EL05_S_Wi2015	151.6314	156.813145833333
EL05_S_Wi2016	83.2358933333333	104.059141666667
EL05_S_Wi2017A	62.1801	47.375875
EL05_S_Wi2017B	73.7355333333333	58.671
EL05_S_Wi2017RNA	76.5076	70.5473333333333
EL05_S_Wi2018	58.1576	53.9339166666666
EL05_S_Wi2018RNA	64.3419333333333	73.6108041666667
EL05_S_Wi2019	61.0982333333333	37.8779166666667
EL10_S_Wi2013	392.0928	395.769191666667
EL10_S_Wi2015	220.323333333333	138.689066666667
EL10_S_Wi2016	332.023866666667	328.222395833333
EL10_S_Wi2017	280.144133333333	191.512783333333
EL10_S_Wi2017RNA	186.048466666667	174.486583333333
EL10_S_Wi2018	270.462933333333	193.559
EL10_S_Wi2019	208.6792	182.569270833333
EM05_S_Wi2013	38.5415904761905	26.5701333333333
EM05_S_Wi2015	41.7449714285714	48.0484933333333
EM05_S_Wi2016	41.9318190476191	25.7841666666667
EM05_S_Wi2017	177.305452380952	234.600026666667
EM05_S_Wi2017RNA	153.623814285714	219.936906666667
EM05_S_Wi2018	130.215604761905	126.4548
EM05_S_Wi2019	128.687176190476	164.76252
EM10_S_Wi2013	374.122523809524	384.68162
EM10_S_Wi2015	358.619323809524	389.116196666667
EM10_S_Wi2015RNA	312.981047619048	370.696786666667
EM10_S_Wi2016	341.1174	378.776713333333
EM10_S_Wi2017	327.826085714286	358.018993333333
EM10_S_Wi2018	351.034290476191	365.091466666667
EN10_S_Wi2013_PS	234.670023809524	176.643886666667
EN10_S_Wi2015	192.577866666667	140.640476666667
EN10_S_Wi2016	118.187476190476	96.4089266666667
EN10_S_Wi2017	136.362866666667	112.378526666667
EN10_S_Wi2017RNA	145.614352380952	118.046666666667
EN10_S_Wi2018	161.427190476191	114.721583333333
EN15_S_Su2017	14.4881095238095	-0.190623333333331
EN15_S_Su2018	-2.57252380952381	-27.4369666666667
EN15_S_Wi2013	195.872180952381	158.422066666667
EN15_S_Wi2015	172.206857142857	181.650696666667
EN15_S_Wi2016	52.8640380952381	21.7546266666667
EN15_S_Wi2017	64.0468333333333	25.1246
EN15_S_Wi2017RNA	54.126380952381	14.3679333333333
EN15_S_Wi2018	-3.48357142857143	18.7218
EN15_S_Wi2018RNA	31.5707380952381	11.6079333333333
EN15_S_Wi2019A	158.944819047619	121.119776666667
EN15_S_Wi2019B	131.862842857143	104.633126666667
EN17_S_Su2017	43.2073571428571	49.6650633333333
EN17_S_Su2018	69.4722571428571	60.7782333333333
EN17_S_Wi2013	171.879342857143	170.79467
EN17_S_Wi2013RNA	136.234904761905	130.961303333333
EN17_S_Wi2015	156.134604761905	145.415693333333
EN17_S_Wi2016	138.615880952381	139.93411
EN17_S_Wi2017	179.615657142857	132.000473333333
EN17_S_Wi2017RNA	-7.39676190476191	-18.6759333333333
EN17_S_Wi2018	76.7559523809524	59.3054466666667
EN17_S_Wi2019	69.2273333333333	61.63876
EN20_S_Su2017	-47.6971428571428	-76.9181666666667
EN20_S_Su2018	-22.1736904761905	-72.4390666666667
EN20_S_Wi2013	69.0317333333333	83.0508
EN20_S_Wi2013RNA	94.1602761904762	72.4580333333333
EN20_S_Wi2015	101.510114285714	59.4133933333333
EN20_S_Wi2016	-12.7540714285714	-49.8604333333333
EN20_S_Wi2016RNA	-37.9851904761905	-72.5439333333334
EN20_S_Wi2017	46.1470952380953	41.8734
EN20_S_Wi2017RNA	77.0475904761905	44.9932666666667
EN20_S_Wi2018	29.960619047619	30.22036
EN20_S_Wi2018RNA	-66.4938571428572	-72.6689666666667
EN20_S_Wi2019	79.3562571428571	44.1227333333333
EN30_S_Su2017	195.457714285714	118.511396666667
EN30_S_Su2017RNA	128.189904761905	77.5772166666667
EN30_S_Su2018	264.468423809524	251.910943333333
EN30_S_Wi2013	254.68569047619	316.978463333333
EN30_S_Wi2016	259.953842857143	240.335216666667
EN30_S_Wi2017	300.920523809524	284.111106666667
EN30_S_Wi2018	267.676657142857	264.541923333334
EN30_S_Wi2019	242.277619047619	252.32671
EN_Asua_S_Wi2019	60.4877619047619	51.34606
EN_Axpe_S_Wi2019	103.497380952381	92.2842733333334
EN_LasArenas_S_Wi2019	-6.10947619047619	-31.4409166666667
EN_Sestao_S_Wi2019	187.594985714286	101.128976666667
EO05_S_Wi2013	59.7616666666667	14.4204266666667
EO05_S_Wi2013RNA	126.993055555556	180.762596666667
EO05_S_Wi2015	35.9526666666667	16.9306333333334
EO05_S_Wi2016	30.0715	17.1359333333333
EO05_S_Wi2017	76.2592222222223	32.0015
EO05_S_Wi2017RNA	65.2811333333333	47.1305666666667
EO05_S_Wi2018	64.0733722222222	43.3357566666667
EO10_S_Wi2013	159.278777777778	116.069766666667
EO10_S_Wi2015	330.968555555555	313.548276666667
EO10_S_Wi2016	67.9992222222222	51.0911666666667
EO10_S_Wi2017A	337.064522222222	343.608766666667
EO10_S_Wi2017B	365.767833333333	369.2093
EO10_S_Wi2017RNA	329.85125	351.1337
EO10_S_Wi2018	343.100055555556	374.75481
EO10_S_Wi2019	258.087188888889	265.69696
EOI10_S_Su2017	-7.25166666666666	33.37
EOI10_S_Su2017RNA	-5.56527777777778	41.3403333333333
EOI10_S_Su2018	-41.8721111111111	-36.4356666666667
EOI10_S_Wi2013	-36.6055555555556	-11.6826666666667
EOI10_S_Wi2016	-21.6301111111111	-30.4625
EOI10_S_Wi2017	-17.53	25.5565
EOI10_S_Wi2017RNA	-16.6887777777778	-15.383
EOI10_S_Wi2018	-21.957	-6.95283333333334
EOI10_S_Wi2018RNA	-29.6044444444445	1.99166666666667
EOI10_S_Wi2019	-20.1914444444444	-31.7028333333333
EOI15_S_Su2017	-7.482	-26.208
EOI15_S_Su2017RNA	-17.6105555555556	13.5186666666667
EOI15_S_Su2018	-9.12022222222222	13.6535
EOI15_S_Wi2013	-18.0515555555556	14.5766666666667
EOI15_S_Wi2016	-9.82622222222223	26.0838333333333
EOI15_S_Wi2017	10.9563333333333	67.2321666666667
EOI15_S_Wi2017RNA	-12.646	7.82583333333333
EOI15_S_Wi2018	-19.266	35.7085
EOI15_S_Wi2019	-16.4833333333333	4.32356666666667
EOI20_S_Su2017	53.3914444444444	79.472
EOI20_S_Su2017RNA	23.8733333333333	85.2703333333333
EOI20_S_Su2018	45.6637777777778	116.964583333333
EOI20_S_Su2018RNA	164.504088888889	192.164583333333
EOI20_S_Wi2013	27.6123333333333	72.236
