	otu_preds	taxa_preds
EA05_S_Wi2013	204.5836	217.1509
EA05_S_Wi2015	182.742066666667	228.721766666667
EA05_S_Wi2016	122.7306	96.1931666666666
EA05_S_Wi2017	240.948733333333	211.246233333333
EA05_S_Wi2018	233.206666666667	228.634433333333
EA05_S_Wi2019	103.9632	85.3736666666666
EA10_S_Wi2013	3.83073333333333	15.3945333333333
EA10_S_Wi2015	172.1514	176.502333333333
EA10_S_Wi2016	-0.116733333333333	-26.5155333333333
EA10_S_Wi2017	-5.93206666666667	-3.22043333333333
EA10_S_Wi2018	80.6798	100.420966666667
EA10_S_Wi2019	0.685133333333333	-31.2335
EB05_S_Wi2013	82.7100600000001	92.7332666666667
EB05_S_Wi2015	78.7345000000001	84.3259833333334
EB05_S_Wi2016	47.6747466666666	82.6398333333333
EB05_S_Wi2017	63.7192	101.08075
EB05_S_Wi2018	53.8170066666666	57.1981666666667
EB05_S_Wi2019	59.35644	57.9311666666667
EB07_S_Wi2013	282.636833333333	298.872033333333
EB07_S_Wi2015	334.852733333333	349.445866666667
EB07_S_Wi2016	165.784676666667	162.896441666667
EB07_S_Wi2017	175.3925	167.384616666667
EB07_S_Wi2018	235.068753333333	283.247275
EB07_S_Wi2019	105.251913333333	133.416283333333
EB10_S_Wi2013	341.177626666667	351.229266666667
EB10_S_Wi2015	302.032146666667	354.192833333333
EB10_S_Wi2016	250.073366666667	251.168208333333
EB10_S_Wi2017	46.0340666666666	67.8348333333333
EB10_S_Wi2018	68.5155	73.3343333333333
EB10_S_Wi2019	173.2503	206.819408333333
EBI05_S_Wi2013	156.945370833333	230.031883333333
EBI05_S_Wi2015	219.764754166667	251.454883333333
EBI05_S_Wi2016	114.6874625	140.738816666667
EBI05_S_Wi2017	215.417408333333	261.734383333333
EBI05_S_Wi2018	193.208666666667	171.9063
EBI05_S_Wi2019	95.5828666666666	159.842666666667
EBI10_S_Wi2013	96.9220791666667	42.4613333333333
EBI10_S_Wi2016	168.3451	198.5154
EBI10_S_Wi2017	160.589458333333	185.255333333333
EBI10_S_Wi2018	51.524725	27.7251666666667
EBI10_S_Wi2019	54.098725	50.4574333333333
EBI20_S_Wi2013	324.505208333333	298.335866666667
EBI20_S_Wi2015	352.226708333333	366.732833333333
EBI20_S_Wi2017	339.391833333333	340.8445
EBI20_S_Wi2018	356.363083333333	378.944833333333
EBI20_S_Wi2019	313.078333333333	312.269166666667
ED05_S_Wi2013	160.027756666667	220.406983333333
ED05_S_Wi2015	254.878336666667	277.371016666667
ED05_S_Wi2016	147.421676666667	163.40579
ED05_S_Wi2017	144.94321	175.89332
ED05_S_Wi2018	167.985626666667	172.10197
ED05_S_Wi2019	95.6761533333333	68.9229333333333
ED10_S_Wi2013	234.076213333333	272.298326666667
ED10_S_Wi2015	195.5182	259.078836666667
ED10_S_Wi2016	316.587866666666	328.617693333334
ED10_S_Wi2017	263.971533333333	227.640273333333
ED10_S_Wi2018	269.229476666667	289.899226666666
ED10_S_Wi2019	266.562616666667	292.004733333334
EL05_S_Wi2013	57.5468333333334	57.1652857142857
EL05_S_Wi2015	156.591927777778	178.571828571429
EL05_S_Wi2016	95.7090833333333	148.911776190476
EL05_S_Wi2017A	90.6052222222222	73.1988571428571
EL05_S_Wi2017B	86.9428777777778	76.2177619047619
EL05_S_Wi2018	81.306	71.6550952380952
EL05_S_Wi2019	59.6666333333333	56.0444761904762
EL10_S_Wi2013	371.8505	380.473366666667
EL10_S_Wi2015	217.070733333333	139.319576190476
EL10_S_Wi2016	305.688305555556	332.861952380952
EL10_S_Wi2017	269.289466666667	175.298895238095
EL10_S_Wi2018	296.413555555555	188.38390952381
EL10_S_Wi2019	195.941966666667	170.083852380952
EM05_S_Wi2013	63.1185	28.1758666666667
EM05_S_Wi2015	53.8236166666667	47.77933
EM05_S_Wi2016	41.2982291666667	34.75255
EM05_S_Wi2017	184.3815125	242.736463333333
EM05_S_Wi2018	164.0713	133.77303
EM05_S_Wi2019	146.1985125	162.756496666667
EM10_S_Wi2013	368.076791666667	394.493276666667
EM10_S_Wi2015	370.475791666667	393.778733333333
EM10_S_Wi2016	353.924854166667	375.611383333334
EM10_S_Wi2017	331.360083333333	366.72045
EM10_S_Wi2018	367.025145833333	376.330983333334
EN10_S_Wi2013_PS	204.312	197.539686666667
EN10_S_Wi2015	180.8114	164.717366666667
EN10_S_Wi2016	101.782333333333	92.2878933333333
EN10_S_Wi2017	133.0236	107.98182
EN10_S_Wi2018	89.3241333333334	127.254866666667
EN15_S_Wi2013	182.178466666667	184.050973333333
EN15_S_Wi2015	174.240266666667	181.13802
EN15_S_Wi2016	11.0626666666667	36.0628
EN15_S_Wi2017	25.033	34.7865
EN15_S_Wi2018	10.4043333333333	28.5532
EN15_S_Wi2019A	114.545133333333	134.16234
EN15_S_Wi2019B	108.507666666667	127.536086666667
EN17_S_Wi2013	122.961666666667	177.007586666667
EN17_S_Wi2015	143.226	144.062653333333
EN17_S_Wi2016	132.619	166.917806666667
EN17_S_Wi2017	208.976566666667	161.707906666667
EN17_S_Wi2018	70.3796666666667	69.86148
EN17_S_Wi2019	36.8646666666667	37.44616
EN20_S_Wi2013	53.3515	71.8924333333333
EN20_S_Wi2015	55.1025	61.1050666666667
EN20_S_Wi2016	-33.9196666666667	9.33292666666667
EN20_S_Wi2017	11.429	32.8653933333333
EN20_S_Wi2018	-4.67333333333333	24.0432666666667
EN20_S_Wi2019	45.2723333333333	35.1859
EN30_S_Wi2013	263.964333333333	311.503426666667
EN30_S_Wi2016	245.06	285.261653333333
EN30_S_Wi2017	302.848333333333	297.356933333333
EN30_S_Wi2018	277.498666666667	286.94132
EN30_S_Wi2019	240.868666666667	253.59924
EN_Asua_S_Wi2019	60.5643333333333	56.0856333333333
EN_Axpe_S_Wi2019	101.408266666667	150.8322
