	otu_preds	taxa_preds
EA05_S_Wi2013	3.34079697518852	2.89710630896954
EA05_S_Wi2015	3.59002916128934	3.17364820878916
EA05_S_Wi2016	2.93337748418035	3.06971085523564
EA05_S_Wi2017	3.17259821798799	3.16295144142966
EA05_S_Wi2018	3.06857549987433	2.77519276189748
EA05_S_Wi2019	2.98958428625507	2.79742733020049
EA10_S_Wi2013	2.92021456778546	3.05252267629885
EA10_S_Wi2015	2.84446917371691	2.79454605735901
EA10_S_Wi2016	2.61171691129422	2.82003642872273
EA10_S_Wi2017	2.93062851334296	3.04530091887159
EA10_S_Wi2018	3.26898821195704	3.14098355128957
EA10_S_Wi2019	2.89305674347828	2.9343346124908
EB05_S_Wi2013	2.52450563871279	2.64542504724015
EB05_S_Wi2015	2.77743332446991	2.75319013894212
EB05_S_Wi2016	2.24856003127567	2.39143049097316
EB05_S_Wi2017	2.33942953981847	2.29471928949448
EB05_S_Wi2018	2.48692195284558	2.48427150407436
EB05_S_Wi2019	2.48881315150302	2.48606054419203
EB07_S_Wi2013	1.68680135602619	1.62960588475245
EB07_S_Wi2015	1.53890969123253	1.36748161243619
EB07_S_Wi2016	3.17999022579482	3.02044025711577
EB07_S_Wi2017	1.92807825411063	1.85497358764259
EB07_S_Wi2018	1.94297106938504	1.95874815594609
EB07_S_Wi2019	1.98559995552133	1.88666218626902
EB10_S_Wi2013	1.46100081386107	1.51980617272001
EB10_S_Wi2015	1.86204948398563	1.94040245247022
EB10_S_Wi2016	1.6485582740316	1.77183726064874
EB10_S_Wi2017	2.48448774159419	2.52918837860235
EB10_S_Wi2018	2.95151140254362	2.89382356271869
EB10_S_Wi2019	1.70947030787254	2.06908344063927
EBI05_S_Wi2013	2.93628398622655	2.24392099951782
EBI05_S_Wi2015	3.37836564429739	3.0430609076847
EBI05_S_Wi2016	3.38094778844042	3.21451961899575
EBI05_S_Wi2017	3.11409663238395	3.11945791310298
EBI05_S_Wi2018	3.2397108356236	3.04163339598367
EBI05_S_Wi2019	3.02413138371339	2.58115229682833
EBI10_S_Wi2013	2.45992135455767	2.70583520388735
EBI10_S_Wi2016	2.24232816574387	2.25936894479822
EBI10_S_Wi2017	2.24228139778668	2.27455703721775
EBI10_S_Wi2018	2.64890898897572	2.79549717959537
EBI10_S_Wi2019	3.21963032987827	3.29919849576238
EBI20_S_Wi2013	2.33492690548597	2.29840554625117
EBI20_S_Wi2015	1.34682213460158	1.28118599128559
EBI20_S_Wi2017	1.32488881745191	1.384042982153
EBI20_S_Wi2018	1.28979646337665	1.38876391282983
EBI20_S_Wi2019	1.40541143846274	1.5211640077095
ED05_S_Su2017	2.43336393522085	2.19692173785364
ED05_S_Su2018	2.72294411803509	2.89082647129623
ED05_S_Wi2013	3.71652919063856	3.79954468897482
ED05_S_Wi2015	3.35575715686557	3.17047988613403
ED05_S_Wi2016	3.00085847561129	2.86793437242311
ED05_S_Wi2017	3.51887429536102	3.74771770661585
ED05_S_Wi2018	3.25145885822608	2.94762902153017
ED05_S_Wi2019	3.17483426659449	2.96990797870939
ED10_S_Su2017	1.94508337050359	1.75576944765984
ED10_S_Su2018	1.85510071844407	1.53971655056874
ED10_S_Wi2013	3.46721320256618	3.54617606114223
ED10_S_Wi2015	3.14088260522447	3.11943425070962
ED10_S_Wi2016	1.97147415293902	1.76952806924755
ED10_S_Wi2017	2.1575009985315	1.99300620943533
ED10_S_Wi2018	2.32499088092978	2.01192909243137
ED10_S_Wi2019	2.43938891302359	2.22199353775041
EL05_S_Wi2013	2.69819516177384	2.59390003037926
EL05_S_Wi2015	2.79902677280249	2.71693171270277
EL05_S_Wi2016	2.64026330551986	2.60207170249861
EL05_S_Wi2017A	2.33970669935038	2.3657313506615
EL05_S_Wi2017B	2.43055142840752	2.32890806446142
EL05_S_Wi2018	2.34776188850647	2.40408415695286
EL05_S_Wi2019	2.51320160411495	2.34666528600043
EL10_S_Wi2013	1.93676541693982	1.98282483706103
