	otu_preds	taxa_preds
EA05_S_Wi2017RNA	0.984593838701953	1.2278120179963
EA10_S_Wi2017RNA	2.51376727448131	2.4540828889867
EB05_S_Wi2013RNA	1.30219382426857	1.09013417104706
EB05_S_Wi2017RNA	1.80581600865033	1.47079984639104
EB05_S_Wi2018RNA	1.67574754573908	1.20711466386895
EB07_S_Wi2017RNA	1.34711814543587	1.52457753204982
EB10_S_Wi2017RNA	1.57255096003384	1.90894768370257
EBI05_S_Wi2018RNA	1.29146707818774	1.95392872621348
EBI10_S_Wi2017RNA	1.96598858554967	3.14100243092972
EBI20_S_Wi2018RNA	1.24797002615379	1.14811828975283
ED05_S_Su2017RNA	1.03035390782967	1.52520876154123
ED05_S_Wi2013RNA	1.13868723201698	1.67140061889211
ED05_S_Wi2016RNA	1.26256615229168	0.984904442538826
ED05_S_Wi2017RNA	1.22073754086331	1.57603558639539
ED05_S_Wi2018RNA	1.11102972382324	1.28011875529526
ED10_S_Wi2017RNA	0.896325167005209	0.803172104571295
EL05_S_Wi2017RNA	1.10856823519814	1.80284235361722
EL05_S_Wi2018RNA	1.14420858597548	0.970366147301019
EL10_S_Wi2017RNA	1.17745926632804	1.51351310524501
EM05_S_Wi2017RNA	0.728192929793097	1.01216629783442
EM10_S_Wi2015RNA	1.89601104918902	1.93620929233637
EN10_S_Wi2017RNA	0.922839584039509	1.21845375755397
EN15_S_Wi2017RNA	1.2898537781648	1.31489403095241
EN15_S_Wi2018RNA	1.96782757874172	2.47710160122107
EN17_S_Wi2013RNA	0.984393726717292	1.42011958953714
EN17_S_Wi2017RNA	2.94812517290757	2.85798668559006
EN20_S_Wi2013RNA	1.10565151477783	1.19375042346808
EN20_S_Wi2016RNA	2.95733126566234	2.92933064620423
EN20_S_Wi2017RNA	1.09815317655607	1.78864262458304
EN20_S_Wi2018RNA	3.11051299541892	2.87447874106425
EN30_S_Su2017RNA	2.43751320231777	2.18070154174424
EO05_S_Wi2013RNA	1.00836830566812	0.828482073474282
EO05_S_Wi2017RNA	1.24722072482211	1.37043239485786
EO10_S_Wi2017RNA	0.751840128716801	0.736288073814932
EOI10_S_Su2017RNA	2.71679879304086	2.54963205368029
EOI10_S_Wi2017RNA	2.93690987294324	2.64706499793839
EOI10_S_Wi2018RNA	3.13051387560858	2.51117122133771
EOI15_S_Su2017RNA	3.43603328014884	3.41574770753546
EOI15_S_Wi2017RNA	2.88578029329045	2.64684482218293
EOI20_S_Su2017RNA	3.58379842989808	2.57824398245818
EOI20_S_Su2018RNA	0.964497342324737	1.0109006916345
EOI20_S_Wi2013RNA	3.39335029848031	2.5293841781847
EOK05_S_Su2017RNA	1.85533140449642	2.81408340484526
EOK05_S_Wi2017RNA	1.37599072949815	1.94124969569111
EOK05_S_Wi2018RNA	1.46974959877012	1.67302913210172
EOK10_S_Wi2013RNA	1.56159108268702	1.56497741961586
EOK10_S_Wi2017RNA	1.32039436694644	2.36239235189168
EOK10_S_Wi2018RNA	1.29124447817222	1.69027118392457
EU05_S_Wi2013RNA	1.62311798493275	1.62436850742612
EU05_S_Wi2017RNA	1.29698060926704	1.37741950484879
EU05_S_Wi2018RNA	1.28538540544164	1.68364986830883
EU08_S_Wi2013RNA	1.19610486220726	1.2360264878483
EU08_S_Wi2017RNA	1.60240581489056	1.64554854479386
EU08_S_Wi2018RNA	1.12776415481135	1.67004845373676
EUR05_S_Wi2015RNA	1.39745417510704	1.36314108292312
EUR05_S_Wi2016RNA	1.12745846447537	1.1577696304918
EUR05_S_Wi2017RNA	2.00970154584111	2.40086512821615
EUR05_S_Wi2018RNA	1.20187968696404	1.21524682430469
EUR05_S_Wi2019RNA	1.48072157133088	1.3465675474852
