	otu_preds	taxa_preds
EA05_S_Wi2013	1.48594850358183	1.41952603162136
EA05_S_Wi2015	1.51803525907259	1.38950703118909
EA05_S_Wi2016	1.82992376912018	1.79154466990046
EA05_S_Wi2017	1.83286577327464	1.88268180180794
EA05_S_Wi2018	1.36051154723494	1.38340647887404
EA05_S_Wi2019	1.67443631863778	1.6458561262516
EA10_S_Wi2013	2.16091075354596	2.04288513811469
EA10_S_Wi2015	1.83750841639497	1.73286385482175
EA10_S_Wi2016	2.25596450415143	2.1097918924323
EA10_S_Wi2017	2.32760821994995	2.13881644033968
EA10_S_Wi2018	1.57737527326144	1.55003970874122
EA10_S_Wi2019	2.28102238461752	1.92823312633061
EB05_S_Wi2013	1.76223725990096	1.72589724272379
EB05_S_Wi2015	1.41848390870451	1.57677077298491
EB05_S_Wi2016	1.47072433267777	1.59557506545302
EB05_S_Wi2017	1.39084667580258	1.55303014011787
EB05_S_Wi2018	1.45859957128647	1.6667404514244
EB05_S_Wi2019	1.39098843317872	1.52747431945206
EB07_S_Wi2013	1.2860292035438	1.24506991040141
EB07_S_Wi2015	1.13630035546755	1.08689642551536
EB07_S_Wi2016	2.19736828345274	2.18217551675318
EB07_S_Wi2017	1.20822589941641	1.26614134840307
EB07_S_Wi2018	1.2428625065688	1.23245463489232
EB07_S_Wi2019	1.29569077190528	1.2868094413083
EB10_S_Wi2013	0.938917453836126	1.15288420266635
EB10_S_Wi2015	1.14506429309841	1.20840534302486
EB10_S_Wi2016	1.45998598660407	1.5163351876615
EB10_S_Wi2017	1.43424700795635	1.58991520045301
EB10_S_Wi2018	1.42863087795273	1.463145109593
EB10_S_Wi2019	1.28398108735779	1.28783276577468
EBI05_S_Wi2013	1.58275661585086	1.62859154921062
EBI05_S_Wi2015	1.50212514458138	1.56252501597207
EBI05_S_Wi2016	1.68600406392508	1.77366946631004
EBI05_S_Wi2017	1.60641592963827	1.57838219312718
EBI05_S_Wi2018	1.54201038859365	1.56518068953794
EBI05_S_Wi2019	1.58866276481882	1.67838825925589
EBI10_S_Wi2013	1.79285847370637	2.01894554985065
EBI10_S_Wi2016	1.67686797112805	1.87954557359353
EBI10_S_Wi2017	1.62810157190906	1.72209840024894
EBI10_S_Wi2018	2.13587928969778	1.92087609575016
EBI10_S_Wi2019	1.71320577200976	1.77137691863765
EBI20_S_Wi2013	1.55982705369862	1.58578738463165
EBI20_S_Wi2015	1.39576703815701	1.32133134182652
EBI20_S_Wi2017	1.38274032671941	1.32681891935263
EBI20_S_Wi2018	1.45133980410334	1.33030217213956
EBI20_S_Wi2019	1.456595526592	1.31516947198784
ED05_S_Su2017	1.78626229762629	1.597984178235
ED05_S_Su2018	1.56736963175806	1.76547447887705
ED05_S_Wi2013	1.4342991984063	1.79905387393682
ED05_S_Wi2015	1.36389571683386	1.58687432216437
ED05_S_Wi2016	1.57684905645922	1.63626748382505
ED05_S_Wi2017	1.54930590505203	1.70862775641148
ED05_S_Wi2018	1.41048502698159	1.45873162855893
ED05_S_Wi2019	1.63559321233906	1.80920054395606
ED10_S_Su2017	1.98444213626449	1.67080108209711
ED10_S_Su2018	1.50978629116769	1.24882504444526
ED10_S_Wi2013	1.51299410679053	1.65971655681713
ED10_S_Wi2015	1.54012040590593	1.47850257965861
ED10_S_Wi2016	2.14901097028273	1.79370721583804
ED10_S_Wi2017	1.97923879075502	1.83811515744976
ED10_S_Wi2018	1.93416256896685	1.87290051803552
ED10_S_Wi2019	1.82729969939324	1.79312599379909
EL05_S_Wi2013	1.62333946108064	1.60126152834608
EL05_S_Wi2015	1.29259220999702	1.3838243179516
EL05_S_Wi2016	1.89236334010661	1.88159932721205
EL05_S_Wi2017A	1.49876812493872	1.49855536747246
EL05_S_Wi2017B	1.36134173035504	1.44922064614236
EL05_S_Wi2018	1.43241236198042	1.42961489291363
EL05_S_Wi2019	1.35123771727389	1.49130728971148
EL10_S_Wi2013	1.44900294658062	1.45847287698379
EL10_S_Wi2015	1.53560751674156	1.50951894020233
EL10_S_Wi2016	1.36014769281243	1.39330535518369
EL10_S_Wi2017	1.68668713117118	1.87919830495971
EL10_S_Wi2018	1.42059259796495	1.58126448473675
EL10_S_Wi2019	1.29992077283534	1.46196818202506
EM05_S_Wi2013	1.8474225935704	2.23291035582275
EM05_S_Wi2015	1.61645547425694	1.71267032365673
EM05_S_Wi2016	1.67802305590076	1.76567012138127
EM05_S_Wi2017	1.5704721115132	1.41880961077593
EM05_S_Wi2018	1.48946068873973	1.47355045400319
EM05_S_Wi2019	1.68514593156863	1.58564460859442
EM10_S_Wi2013	1.41617372057262	1.17193403846807
EM10_S_Wi2015	1.46843790179314	1.24682793421349
EM10_S_Wi2017	1.34520888166811	1.25876897126057
EM10_S_Wi2018	1.1437609353188	1.28541201583506
