	otu_preds	taxa_preds
EA05_S_Wi2013	1.5095893978118	1.50765054262936
EA05_S_Wi2015	1.56234310765303	1.4223423870959
EA05_S_Wi2016	1.83698530167279	1.76527501077464
EA05_S_Wi2017	1.80400009138937	1.80182052553909
EA05_S_Wi2017RNA	1.88361540825983	1.97035357686999
EA05_S_Wi2018	1.3710956816059	1.4302914474588
EA05_S_Wi2019	1.87458624295034	1.7531975543961
EA10_S_Wi2013	2.32573766842696	2.08496975878927
EA10_S_Wi2015	1.85382234277572	1.97258989700528
EA10_S_Wi2016	2.47379567943946	2.26087927274314
EA10_S_Wi2017	2.54952610462598	2.34304519022463
EA10_S_Wi2017RNA	2.44967676079916	2.52751683636537
EA10_S_Wi2018	1.5577824675112	1.56092960222604
EA10_S_Wi2019	2.42933015404722	2.02201017115663
EB05_S_Wi2013	1.62965271851484	1.6095177591851
EB05_S_Wi2013RNA	1.49560657300921	1.68276053507909
EB05_S_Wi2015	1.46731171613043	1.49891435496071
EB05_S_Wi2016	1.40168689873497	1.59790913636426
EB05_S_Wi2017	1.35544519239795	1.52448752442629
EB05_S_Wi2017RNA	1.39910386960012	1.64577279622249
EB05_S_Wi2018	1.43940040094178	1.55748668575847
EB05_S_Wi2018RNA	1.55583756627731	1.72347481292559
EB05_S_Wi2019	1.40496646630382	1.54360104739857
EB07_S_Wi2013	1.30797695851847	1.22872908452732
EB07_S_Wi2015	1.11133774419479	1.06262900775814
EB07_S_Wi2016	2.23612771218894	2.27430442100441
EB07_S_Wi2017	1.22848138274364	1.28986632318167
EB07_S_Wi2017RNA	1.37580287747704	1.33519003872479
EB07_S_Wi2018	1.21394713913219	1.2056216818818
EB07_S_Wi2019	1.31636791814591	1.2283059321188
EB10_S_Wi2013	1.00349149761652	1.11914224195382
EB10_S_Wi2015	1.21602293870317	1.15359481136555
EB10_S_Wi2016	1.40980950393278	1.48117885289588
EB10_S_Wi2017	1.44917004002878	1.4839931234436
EB10_S_Wi2017RNA	1.4765069458213	1.63562587986915
EB10_S_Wi2018	1.47626556303116	1.44129303528547
EB10_S_Wi2019	1.26679000364439	1.30609155908532
EBI05_S_Wi2013	1.57833111167422	1.6090844251417
EBI05_S_Wi2015	1.42831905799401	1.48604150082724
EBI05_S_Wi2016	1.68341866662004	1.82130520104426
EBI05_S_Wi2017	1.60487681990633	1.50938887029803
EBI05_S_Wi2018	1.47981930245907	1.53812971454748
EBI05_S_Wi2018RNA	1.44338092266896	1.52263384999766
EBI05_S_Wi2019	1.73158478403974	1.71398106983636
EBI10_S_Wi2013	1.78450299783259	2.06666442725388
EBI10_S_Wi2016	1.69795150351055	1.83053264991592
EBI10_S_Wi2017	1.63627183310109	1.62659036901983
EBI10_S_Wi2017RNA	1.82347961236624	2.26964813779182
EBI10_S_Wi2018	2.04974098133479	1.90726862213763
EBI10_S_Wi2019	1.84619404432797	1.82564862209379
EBI20_S_Wi2013	1.63788774360707	1.6979019486341
EBI20_S_Wi2015	1.51391567506236	1.38675757292153
EBI20_S_Wi2017	1.40654611735829	1.46714208750868
EBI20_S_Wi2018	1.49725236799988	1.42166622137082
EBI20_S_Wi2018RNA	1.58841950605275	1.45388389183642
EBI20_S_Wi2019	1.36047382050863	1.47791825374129
ED05_S_Su2017	1.88335249508261	1.67518453846281
ED05_S_Su2017RNA	1.6564190480834	1.70560855318136
ED05_S_Su2018	1.64420822265003	1.70687479000304
ED05_S_Wi2013	1.53067235978454	1.70837707984666
ED05_S_Wi2013RNA	1.62026028562382	1.71356176897323
ED05_S_Wi2015	1.46559087794596	1.58517426195005
ED05_S_Wi2016	1.67019995216167	1.54815568837343
ED05_S_Wi2016RNA	1.79002592740578	1.63245599736645
ED05_S_Wi2017	1.59709582912261	1.72765868768706
ED05_S_Wi2017RNA	1.61423866612022	1.7018872238279
ED05_S_Wi2018	1.43244033113433	1.48438064482698
ED05_S_Wi2018RNA	1.713839084285	1.62967740013224
ED05_S_Wi2019	1.66420802447934	1.86528191671672
ED10_S_Su2017	1.93614183550423	1.6305604937404
ED10_S_Su2018	1.49331229914125	1.27972920683272
ED10_S_Wi2013	1.6088766796587	1.77866347317545
ED10_S_Wi2015	1.61116295897486	1.50378247251515
ED10_S_Wi2016	2.0623125529576	1.86251144704229
ED10_S_Wi2017	1.9451611943542	1.88148689466104
ED10_S_Wi2017RNA	1.98489220966862	1.68243112509799
ED10_S_Wi2018	1.86780459083089	1.86406612327725
ED10_S_Wi2019	1.79947583141406	1.74366884799407
EL05_S_Wi2013	1.63404422814662	1.59688222740439
EL05_S_Wi2015	1.34209112642859	1.37639277438294
EL05_S_Wi2016	1.93408292199016	2.09440677840133
EL05_S_Wi2017A	1.42100445286253	1.4999849277392
EL05_S_Wi2017B	1.36502691066722	1.44457427332563
EL05_S_Wi2017RNA	1.72599848885323	1.71587458586201
EL05_S_Wi2018	1.37625774296737	1.43195494597672
EL05_S_Wi2018RNA	1.53180293153538	1.49601545757011
EL05_S_Wi2019	1.39779732874865	1.54242743155439
EL10_S_Wi2013	1.4893436460864	1.38936150888462
EL10_S_Wi2015	1.44031159990199	1.48660103573668
EL10_S_Wi2016	1.29845159396841	1.27179045573433
EL10_S_Wi2017	1.61532409066513	1.74995104509131
EL10_S_Wi2017RNA	1.81128337461823	1.80748501428779
EL10_S_Wi2018	1.32886917380815	1.49401316404985
EL10_S_Wi2019	1.25625647653911	1.40546120373208
EM05_S_Wi2013	1.80087414203433	2.27640773162731
EM05_S_Wi2015	1.54437923110806	1.75628451147446
EM05_S_Wi2016	1.66976749213592	1.80718955605742
EM05_S_Wi2017	1.60926294790893	1.42951632284338
EM05_S_Wi2017RNA	1.63251511724111	1.52424814982995
EM05_S_Wi2018	1.43097553955283	1.5128996137497
EM05_S_Wi2019	1.81042200704039	1.64886489595917
EM10_S_Wi2013	1.37842528151697	1.22333737293604
EM10_S_Wi2015	1.41494582062915	1.341955287608
EM10_S_Wi2015RNA	1.55714873644778	1.50732665962592
EM10_S_Wi2017	1.32197308856162	1.32894068043285
EM10_S_Wi2018	1.22116938962409	1.27259365022855
EN10_S_Wi2013_PS	1.89176710255739	1.95663992610534
EN10_S_Wi2015	1.89912442095331	1.993544442442
EN10_S_Wi2016	1.85784807905592	1.99268814787924
EN10_S_Wi2017	1.75618169124965	1.96779763525515
EN10_S_Wi2017RNA	2.01097182699776	2.08305909243927
EN10_S_Wi2018	2.04228985036915	2.02356977927848
EN15_S_Su2017	2.09281515844431	2.18925672121987
EN15_S_Su2018	2.25584243940723	2.45811719644227
EN15_S_Wi2013	1.82756524339347	1.88566510398018
EN15_S_Wi2015	1.98334885885031	1.93019244505239
EN15_S_Wi2016	1.92195635374584	2.27795558002818
EN15_S_Wi2017	1.79373365907865	2.13301677875476
EN15_S_Wi2017RNA	1.90149141195383	2.05097587147906
EN15_S_Wi2018	2.05989438090233	2.41827988879017
EN15_S_Wi2018RNA	2.12911527806232	2.56681176341683
EN15_S_Wi2019A	1.73885143043946	1.67982308492943
EN15_S_Wi2019B	1.82513779576899	1.62772725744288
