	otu_preds	taxa_preds
EA05_S_Wi2013	1.56754209764978	1.43895800947371
EA05_S_Wi2015	1.49901999074821	1.52384717983536
EA05_S_Wi2016	1.77424261880244	1.79829466684488
EA05_S_Wi2017	1.91807196668068	1.92429173678586
EA05_S_Wi2018	1.41609940662313	1.31459555772154
EA05_S_Wi2019	1.86272509139437	1.82835581869
EA10_S_Wi2013	2.20673776140556	1.74643463531534
EA10_S_Wi2015	1.75730648578164	1.86776842719767
EA10_S_Wi2016	2.11481660515361	2.18819087149396
EA10_S_Wi2017	2.23564757208819	2.27982620686584
EA10_S_Wi2018	1.62543602329696	1.52132399539207
EA10_S_Wi2019	2.14414329005319	2.09517088673846
EB05_S_Wi2013	1.95183150364335	1.54779083212294
EB05_S_Wi2015	1.52914944677489	1.70274071239184
EB05_S_Wi2016	1.46079755724129	1.56788727348455
EB05_S_Wi2017	1.40145449636385	1.54200606673498
EB05_S_Wi2018	1.46639618277227	1.64385843036581
EB05_S_Wi2019	1.46142325778944	1.57064916402529
EB07_S_Wi2013	1.32551823711787	1.52434483970108
EB07_S_Wi2015	1.33554428473294	1.19332209995639
EB07_S_Wi2016	2.19692370306054	2.08350664934716
EB07_S_Wi2017	1.23003151622682	1.39556634229377
EB07_S_Wi2018	1.33714549571351	1.26037202878091
EB07_S_Wi2019	1.36749233769018	1.3151326720874
EB10_S_Wi2013	1.0654186142209	1.19334425898115
EB10_S_Wi2015	1.1029814731723	1.27917038037692
EB10_S_Wi2016	1.56187012125927	1.48100000415247
EB10_S_Wi2017	1.43689757188379	1.56007933317373
EB10_S_Wi2018	1.38951443743239	1.45982402285583
EB10_S_Wi2019	1.49216556583226	1.28584525794086
EBI05_S_Wi2013	1.51590052763338	1.52012312021018
EBI05_S_Wi2015	1.57284782490647	1.5238169370349
EBI05_S_Wi2016	1.69497321048296	1.8489288734794
EBI05_S_Wi2017	1.57429764035426	1.575030662264
EBI05_S_Wi2018	1.54524169393087	1.56528940843306
EBI05_S_Wi2019	1.60405383850137	1.67213004117593
EBI10_S_Wi2013	1.69065545335144	2.06948434290226
EBI10_S_Wi2016	1.59827223013875	1.83561877027308
EBI10_S_Wi2017	1.56785707712388	1.62251350782341
EBI10_S_Wi2018	2.06609764099279	1.84434654451466
EBI10_S_Wi2019	1.68255129085288	1.79970655186578
EBI20_S_Wi2013	1.48097711662519	1.63555002201829
EBI20_S_Wi2015	1.35272375247141	1.33951460070568
EBI20_S_Wi2017	1.40188181953853	1.33018635539997
EBI20_S_Wi2018	1.3510056453378	1.41417385813934
EBI20_S_Wi2019	1.42106878513451	1.42015384439171
ED05_S_Wi2013	1.46703272463991	1.91228617516579
ED05_S_Wi2015	1.39014262881399	1.66892376881015
ED05_S_Wi2016	1.54540772349749	1.55832133347509
ED05_S_Wi2017	1.58546852098097	1.79950225554752
ED05_S_Wi2018	1.42965799119959	1.42094584709619
ED05_S_Wi2019	1.66855137969976	1.81002626460852
ED10_S_Wi2013	1.53872656444096	1.68827365131539
ED10_S_Wi2015	1.60504365782036	1.49281430473555
ED10_S_Wi2016	2.1000188055319	1.82549883198263
ED10_S_Wi2017	2.04509532706939	1.95357632058071
ED10_S_Wi2018	1.98034281496698	1.98184400741671
ED10_S_Wi2019	1.8662307636842	1.78023598917692
EL05_S_Wi2013	1.61782864270801	1.56647390721204
EL05_S_Wi2015	1.29812282563916	1.44291782911789
EL05_S_Wi2016	1.74893711518912	1.71742189732961
EL05_S_Wi2017A	1.47291812971879	1.35777730275447
EL05_S_Wi2017B	1.3988171953491	1.38770785839038
EL05_S_Wi2018	1.44009528067942	1.38740425811805
EL05_S_Wi2019	1.28251566056074	1.39399700225756
EL10_S_Wi2013	1.38857859349901	1.56263870311982
EL10_S_Wi2015	1.41920266260899	1.43219521250976
EL10_S_Wi2016	1.28042926531028	1.29257277225608
EL10_S_Wi2017	1.67167777741376	1.81316822590603
EL10_S_Wi2018	1.350962078066	1.55980291484923
