	otu_preds	taxa_preds
EA05_S_Wi2017RNA	1.84611995935978	1.82179697901234
EA10_S_Wi2017RNA	2.37765712283573	2.40778942631907
EB05_S_Wi2013RNA	1.85773408552232	1.85673566016925
EB05_S_Wi2017RNA	1.5257084388145	1.62146225295805
EB05_S_Wi2018RNA	1.55094167651828	1.79245326488436
EB07_S_Wi2017RNA	1.50205595818264	1.53914864481186
EB10_S_Wi2017RNA	1.71299008572832	1.7557941866933
EBI05_S_Wi2018RNA	2.03586281249491	2.60864364685176
EBI10_S_Wi2017RNA	2.23156466907395	2.81417362566672
EBI20_S_Wi2018RNA	1.71939039115097	1.62271379253449
ED05_S_Su2017RNA	1.75066647615854	1.48250369986314
ED05_S_Wi2013RNA	1.63437631779562	1.82997577669999
ED05_S_Wi2016RNA	1.85405153631202	1.59301209779166
ED05_S_Wi2017RNA	1.7031425797725	1.6953944620766
ED05_S_Wi2018RNA	1.69112372629669	1.80009856069793
ED10_S_Wi2017RNA	1.65516062192106	1.59155062965404
EL05_S_Wi2017RNA	1.49667122036425	1.61626580230514
EL05_S_Wi2018RNA	1.70200657131831	1.97156212043919
EL10_S_Wi2017RNA	1.76648368912539	1.65519985697701
EM05_S_Wi2017RNA	1.56222628642149	1.57631845022604
EM10_S_Wi2015RNA	1.64981279071507	1.79466204010992
EN10_S_Wi2017RNA	2.06879785138337	1.87651562421911
EN15_S_Wi2017RNA	1.88168839907667	1.98658366731844
EN15_S_Wi2018RNA	2.5582594881286	2.64579859003508
EN17_S_Wi2013RNA	2.01919875559333	1.76797672548754
EN17_S_Wi2017RNA	2.21588910627707	2.37592945007741
EN20_S_Wi2013RNA	2.22537129816434	2.12577116339663
EN20_S_Wi2016RNA	2.65383750686373	2.89877389777793
EN20_S_Wi2017RNA	2.3885784264302	2.70207319392785
EN20_S_Wi2018RNA	2.50524145073241	2.82182296460881
EN30_S_Su2017RNA	1.72318107155827	1.86409537626925
EO05_S_Wi2013RNA	1.51968882548709	1.50129498586507
EO05_S_Wi2017RNA	2.0248167366439	1.97175620707265
EO10_S_Wi2017RNA	1.540498906752	1.60601778499555
EOI10_S_Su2017RNA	2.14407036549567	2.47102224779948
EOI10_S_Wi2017RNA	2.03108835182436	1.90796420992082
EOI10_S_Wi2018RNA	2.4369697265826	2.00457496971472
EOI15_S_Su2017RNA	2.44958008244718	2.7473817246025
EOI15_S_Wi2017RNA	2.14428348288477	2.08324531169123
EOI20_S_Su2017RNA	1.96035346966607	1.97149086709393
EOI20_S_Su2018RNA	1.86260356371774	1.93258324066551
EOI20_S_Wi2013RNA	1.8819679538911	1.73566241614786
EOK05_S_Su2017RNA	2.03343840841592	2.10139028232295
EOK05_S_Wi2017RNA	1.80597452478763	2.01848673612451
EOK05_S_Wi2018RNA	1.86101113803679	2.00500591813581
EOK10_S_Wi2013RNA	1.94243778336959	1.97578011499507
EOK10_S_Wi2017RNA	1.79999598273596	1.96962881161909
EOK10_S_Wi2018RNA	1.82592071141555	1.81934308542744
EU05_S_Wi2013RNA	1.81564093667176	1.92989029141479
EU05_S_Wi2017RNA	1.77267115501848	1.97325149470084
EU05_S_Wi2018RNA	1.73371695911417	1.85798695558457
EU08_S_Wi2013RNA	1.72776903412992	1.76997238314002
EU08_S_Wi2017RNA	1.61326310757456	1.71944742153842
EU08_S_Wi2018RNA	1.70887886993788	1.82064256005901
EUR05_S_Wi2015RNA	1.72982161781105	1.70174051421145
EUR05_S_Wi2016RNA	1.7964217278366	1.60949459138403
EUR05_S_Wi2017RNA	2.52332571774947	2.13272566067737
EUR05_S_Wi2018RNA	2.03754854675066	2.00841562586779
EUR05_S_Wi2019RNA	1.75865506357585	1.6778055212095
