	otu_preds	taxa_preds
EA05_S_Wi2013	2.88803993055556	2.92251931666667
EA05_S_Wi2015	2.76703409722222	2.7194729
EA05_S_Wi2016	3.06160141666667	3.12164315
EA05_S_Wi2017	2.90198419444445	3.00698244166667
EA05_S_Wi2018	2.85047890277778	2.7664272
EA05_S_Wi2019	3.05746886111111	3.12419543333334
EA10_S_Wi2013	3.93181601388889	3.54729601666667
EA10_S_Wi2015	3.26710240277778	3.29534968333333
EA10_S_Wi2016	3.73375151388889	3.58124005833333
EA10_S_Wi2017	3.64414834722222	3.59207101666667
EA10_S_Wi2018	3.31881591666667	3.25985409166667
EA10_S_Wi2019	3.81476818055555	3.57609305833333
EB05_S_Wi2013	3.38837827777778	3.42034286111111
EB05_S_Wi2015	3.22084109722222	3.30170702083333
EB05_S_Wi2016	3.36392886805556	3.38656939583333
EB05_S_Wi2017	3.20834634722222	3.28090240277778
EB05_S_Wi2018	3.4080929375	3.33615036805555
EB05_S_Wi2019	3.31596639583334	3.35235690277778
EB07_S_Wi2013	1.35742322222222	1.32786288888889
EB07_S_Wi2015	1.07880205555556	1.22043283333333
EB07_S_Wi2016	2.73406823611111	2.68657891666667
EB07_S_Wi2017	1.30981530555555	1.83273270833333
EB07_S_Wi2018	1.747653125	1.78401719444445
EB07_S_Wi2019	2.13468451388889	2.37721470833333
EB10_S_Wi2013	1.36277686111111	1.25096330555556
EB10_S_Wi2015	1.49735733333333	1.61751972222222
EB10_S_Wi2016	1.46626936111111	1.46943320833333
EB10_S_Wi2017	3.43433019444444	3.29903088888889
EB10_S_Wi2018	3.20370639583334	3.39688046527778
EB10_S_Wi2019	1.79333066666667	2.08282729166667
EBI05_S_Wi2013	3.16278151388889	2.59116977083333
EBI05_S_Wi2015	3.26543535416667	3.162726875
EBI05_S_Wi2016	3.34174318055556	3.51595201041667
EBI05_S_Wi2017	3.20841645833334	3.05668534375
EBI05_S_Wi2018	3.32047215277778	3.32053714583333
EBI05_S_Wi2019	3.19764945833333	3.05423547916667
EBI10_S_Wi2013	2.75984189583333	3.06558476041667
EBI10_S_Wi2016	2.37100767361111	2.09375526041667
