	otu_preds	taxa_preds
EA05_S_Wi2013	2.55728122514293	2.52590714697614
EA05_S_Wi2015	2.91506910077644	2.79111583045699
EA05_S_Wi2016	2.73476602333274	2.94928058250293
EA05_S_Wi2017	2.42077330851592	2.55694258189197
EA05_S_Wi2017RNA	2.33590491798684	2.45414974266221
EA05_S_Wi2018	2.59408015142148	2.68791155602454
EA05_S_Wi2019	2.87361262357939	3.33704842576669
EA10_S_Wi2013	3.87853672573432	3.80132804975085
EA10_S_Wi2015	2.50739917761477	2.77280841307958
EA10_S_Wi2016	3.5237997249208	3.71616885973054
EA10_S_Wi2017	3.61135709116415	3.72701533751605
EA10_S_Wi2017RNA	3.53440594585262	3.51792458489445
EA10_S_Wi2018	3.38184454125316	3.31900177812363
EA10_S_Wi2019	3.73488392561981	3.78437045235221
EB05_S_Wi2013	3.23987422406729	3.25027597426398
EB05_S_Wi2013RNA	2.86407802518516	2.71182392197601
EB05_S_Wi2015	3.15056972983659	3.1966460077217
EB05_S_Wi2016	3.20144971444615	3.25210128553845
EB05_S_Wi2017	3.40044534554326	3.44965431426096
EB05_S_Wi2017RNA	3.4053633133712	3.49141168150928
EB05_S_Wi2018	3.24918722677308	3.31984882458909
EB05_S_Wi2018RNA	3.35470412814541	3.36076709117989
EB05_S_Wi2019	3.47350028559569	3.31771200431044
EB07_S_Wi2013	1.36647537227076	1.24804640071727
EB07_S_Wi2015	1.09984130234263	1.01504717081988
EB07_S_Wi2016	2.5576516689515	2.83059669387976
EB07_S_Wi2017	1.89601709471231	2.00768865923827
EB07_S_Wi2017RNA	2.09142423922425	2.32667999453411
EB07_S_Wi2018	1.54688242873935	1.48559002956834
EB07_S_Wi2019	2.18797175678263	2.54966727923812
EB10_S_Wi2013	0.995205159195653	0.978229401719795
EB10_S_Wi2015	1.16612395232335	1.22398959725558
EB10_S_Wi2016	1.27936998573692	1.70911531387861
EB10_S_Wi2017	3.3605623683304	3.51794110543868
EB10_S_Wi2017RNA	3.40163352628286	3.42260573239838
EB10_S_Wi2018	3.27383611105193	3.36448497798717
EB10_S_Wi2019	1.76419059888959	2.02606916653945
EBI05_S_Wi2013	2.82501468171445	2.55079141015313
EBI05_S_Wi2015	2.86481872884347	2.64624775995396
EBI05_S_Wi2016	3.38685160393973	3.29834109539494
EBI05_S_Wi2017	2.81243590005442	2.46696907849712
EBI05_S_Wi2018	3.00133724477592	3.05762667410372
EBI05_S_Wi2018RNA	3.05990034695666	3.07770018397995
EBI05_S_Wi2019	3.27790036284066	3.10433252386258
EBI10_S_Wi2013	3.06233373178989	2.97871646565791
EBI10_S_Wi2016	2.34043730981835	2.32822612529525
EBI10_S_Wi2017	2.28734180870487	2.32644566856391
EBI10_S_Wi2017RNA	3.31881243638119	3.33091043398036
EBI10_S_Wi2018	3.29049767783299	3.37086070615169
EBI10_S_Wi2019	3.53589153316101	3.62137091490702
EBI20_S_Wi2013	1.25001484615469	1.89252417772563
EBI20_S_Wi2015	0.855820720713388	1.01572728004354
EBI20_S_Wi2017	0.91919530004258	1.24910957892327
EBI20_S_Wi2018	0.975546325874388	1.01216231940775
