	otu_preds	taxa_preds
EA05_S_Wi2013	2.46093793991434	2.67480701755239
EA05_S_Wi2015	3.03150625918969	2.95317151879369
EA05_S_Wi2016	2.52099666945223	2.72374549032088
EA05_S_Wi2017	2.25789255060357	2.29670546014934
EA05_S_Wi2018	2.45385028596596	2.49923673844142
EA05_S_Wi2019	2.80836931406691	3.08503882545923
EA10_S_Wi2013	3.71587055204484	3.68786163051795
EA10_S_Wi2015	2.42165505745921	2.61756979577357
EA10_S_Wi2016	3.42258418409364	3.48899521685648
EA10_S_Wi2017	3.57354949373137	3.63741481139142
EA10_S_Wi2018	3.41423281876055	3.20039098482591
EA10_S_Wi2019	3.62073634582013	3.59635652212045
EB05_S_Wi2013	3.18812174724682	3.19437459724763
EB05_S_Wi2015	3.07686097718865	3.10784244744897
EB05_S_Wi2016	3.2029693031757	3.11857341083587
EB05_S_Wi2017	3.26815518312344	3.31749202382653
EB05_S_Wi2018	3.23667905119546	3.13911880747951
EB05_S_Wi2019	3.26989766155513	3.21963800929192
EB07_S_Wi2013	1.32624012239064	1.17863460581571
EB07_S_Wi2015	1.11620501907428	1.02293190476191
EB07_S_Wi2016	2.39726707272971	2.85074270558764
EB07_S_Wi2017	1.73152114801386	1.82198615643063
EB07_S_Wi2018	1.95588220228846	1.56443972130969
EB07_S_Wi2019	2.57093217134538	2.49517325754463
EB10_S_Wi2013	0.980635261989194	1.06382119047619
EB10_S_Wi2015	1.27985653406342	1.46896161158092
EB10_S_Wi2016	1.31861579432805	1.64469597276516
EB10_S_Wi2017	3.39104164048752	3.30024157466093
EB10_S_Wi2018	3.15902169850071	3.40717661035371
EB10_S_Wi2019	1.6954112295626	2.01619638735371
EBI05_S_Wi2013	2.64407798450463	2.27645738827457
EBI05_S_Wi2015	2.87676262032031	2.73559540118107
EBI05_S_Wi2016	3.36824393494469	3.44877014084036
EBI05_S_Wi2017	2.63918216703345	2.52421195482919
EBI05_S_Wi2018	3.00736095361429	3.14541492596432
EBI05_S_Wi2019	3.33091816944173	2.97784686543631
EBI10_S_Wi2013	3.056755255164	2.83892326895912
EBI10_S_Wi2016	2.67608167665995	1.92369340127783
EBI10_S_Wi2017	2.52076840837523	1.87697455862972
EBI10_S_Wi2018	3.25888952715857	3.41795178544989
EBI10_S_Wi2019	3.67894140167536	3.64424651175947
EBI20_S_Wi2013	1.85966734018263	2.05863969789996
EBI20_S_Wi2015	0.998705833333333	1.06561925
EBI20_S_Wi2017	0.98170125570775	1.2316495
EBI20_S_Wi2018	1.02530666666667	1.044785
EBI20_S_Wi2019	1.11375958333333	1.167274
ED05_S_Wi2013	3.23857253993798	3.02594008787525
ED05_S_Wi2015	2.41230055809233	2.45707017618657
ED05_S_Wi2016	2.81867267978862	2.68602525739151
ED05_S_Wi2017	3.27318667200053	3.23989323192358
ED05_S_Wi2018	3.28972271740497	3.37985096963055
ED05_S_Wi2019	3.19540456696766	3.40024964537805
ED10_S_Wi2013	2.46862107175032	2.15822595395215
ED10_S_Wi2015	2.76563644912462	2.6235840766422
ED10_S_Wi2016	1.02951805555556	1.16759177398161
ED10_S_Wi2017	1.38865282322238	1.49814284877357
ED10_S_Wi2018	1.3304201650605	1.37088760731494
ED10_S_Wi2019	1.57313535867438	1.62379236867329
EL05_S_Wi2013	2.9562520655891	2.98746226993909
EL05_S_Wi2015	3.02766881706493	3.19451855504668
EL05_S_Wi2016	2.94096724545815	2.79295640277358
EL05_S_Wi2017A	2.8705117669882	2.90381330685228
EL05_S_Wi2017B	2.96191840507612	2.81660110292883
EL05_S_Wi2018	2.84665909880989	2.98006682453358
EL05_S_Wi2019	3.21073051417459	3.30146030801493
EL10_S_Wi2013	1.06327111111111	1.35432758333333
EL10_S_Wi2015	1.886303547731	2.3784076427265
EL10_S_Wi2016	1.09890473262521	1.10733066666667
EL10_S_Wi2017	1.39185465342583	1.46108347185858
EL10_S_Wi2018	1.23566438604177	1.51230719081253
EL10_S_Wi2019	1.59721131205808	1.95624735668414
EM05_S_Wi2013	3.30710733354668	3.45508655111065
EM05_S_Wi2015	3.45341571052334	3.7081395999786
EM05_S_Wi2016	3.31406581899353	3.32999639913427
EM05_S_Wi2017	2.71591137652695	1.95938428140193
EM05_S_Wi2018	2.66351284939467	2.68906124752072
EM05_S_Wi2019	2.73574569584923	2.42294820525679
EM10_S_Wi2013	1.07837766670743	0.839404761904762
EM10_S_Wi2015	0.950365070212436	1.10278664990446
EM10_S_Wi2016	1.13281271009801	0.801690952380953
EM10_S_Wi2017	1.13640554134435	0.95663880952381
EM10_S_Wi2018	1.06177247784968	0.88671261904762
EN10_S_Wi2013_PS	2.864248	2.93210401041666
EN10_S_Wi2015	2.99058608333333	3.11358526041667
EN10_S_Wi2016	3.23658991666667	2.80540442708333
EN10_S_Wi2017	3.09972225	3.04542854166667
EN10_S_Wi2018	3.1853975	3.11509473958333
EN15_S_Wi2013	2.95598808333334	2.97123119791667
EN15_S_Wi2015	2.75827583333333	2.82082635416667
EN15_S_Wi2016	3.47099791666667	3.67940145833333
EN15_S_Wi2017	3.54032841666667	3.71969510416667
EN15_S_Wi2018	3.12919641666667	3.31946416666666
EN15_S_Wi2019A	2.90939575	2.768871875
EN15_S_Wi2019B	2.96548408333334	2.73181932291667
EN17_S_Wi2013	2.89931416666667	2.81516770833333
EN17_S_Wi2015	3.20433108333333	3.20064
EN17_S_Wi2016	2.78629158333333	2.21445604166666
EN17_S_Wi2017	2.21605108333333	2.56140395833333
EN17_S_Wi2018	3.35923933333333	3.24737526041667
EN17_S_Wi2019	3.42431033333333	3.47220963541667
EN20_S_Wi2013	3.57910783333334	3.53353880208333
EN20_S_Wi2015	3.60459641666667	3.43286848958333
EN20_S_Wi2016	3.28604633333333	3.15167411458334
EN20_S_Wi2017	3.5626665	3.82911880208333
EN20_S_Wi2018	3.656197	3.74722817708333
EN20_S_Wi2019	3.54237833333333	3.42633171875
EN30_S_Wi2013	1.88504766666667	1.4656484375
EN30_S_Wi2016	1.85740275	1.73779588541667
