	otu_preds	taxa_preds
EA05_S_Wi2017RNA	2.65412781345478	2.58606244242156
EA10_S_Wi2017RNA	3.55196046034549	3.6027763078232
EB05_S_Wi2013RNA	2.84517355758059	2.48710500551046
EB05_S_Wi2017RNA	3.28375674210303	3.58686058196483
EB05_S_Wi2018RNA	3.36106256542691	3.36847971487847
EB07_S_Wi2017RNA	2.46985790648339	2.77822011859558
EB10_S_Wi2017RNA	3.35244167458349	3.45106373924094
EBI05_S_Wi2018RNA	3.20888078077171	3.30569113146128
EBI10_S_Wi2017RNA	3.31095654290686	3.37537037058385
EBI20_S_Wi2018RNA	2.55132205789458	2.30992585367557
ED05_S_Su2017RNA	3.30757019259889	3.41990920508772
ED05_S_Wi2013RNA	3.24056550521542	3.04399141951612
ED05_S_Wi2016RNA	2.63915099633803	2.40636499850643
ED05_S_Wi2017RNA	3.23582869230611	3.19507859947764
ED05_S_Wi2018RNA	3.04629642208576	3.27686650124296
ED10_S_Wi2017RNA	2.60569975931601	2.41676355801209
EL05_S_Wi2017RNA	3.12290014742849	3.3479798364901
EL05_S_Wi2018RNA	3.17963798521844	3.10179289404994
EL10_S_Wi2017RNA	2.3827402246752	2.61357738219614
EM05_S_Wi2017RNA	2.73981729894376	2.45238426284306
EM10_S_Wi2015RNA	2.53273674746409	1.85780829033126
EN10_S_Wi2017RNA	3.03702366966219	2.98626226878606
EN15_S_Wi2017RNA	3.63344662894567	3.47280259172896
EN15_S_Wi2018RNA	3.46257417974664	3.67577183007759
EN17_S_Wi2013RNA	2.65596339249945	2.6533947374489
EN17_S_Wi2017RNA	3.35609548585392	3.3714519646048
EN20_S_Wi2013RNA	3.20155403611028	3.06914297862152
EN20_S_Wi2016RNA	3.5587933437798	3.66833300929203
EN20_S_Wi2017RNA	3.36733019455607	3.53991596635323
EN20_S_Wi2018RNA	3.57252205680369	3.51606005431435
EN30_S_Su2017RNA	3.06291423348168	2.4959208401875
EO05_S_Wi2013RNA	2.77916694539948	2.14113727956254
EO05_S_Wi2017RNA	3.15153331933699	3.45429641842944
EO10_S_Wi2017RNA	1.77306528232792	1.80935924373964
EOI10_S_Su2017RNA	3.31292672892299	3.20341131518872
EOI10_S_Wi2017RNA	3.41835154231651	3.35764249824063
EOI10_S_Wi2018RNA	3.35570800049911	3.31834699335468
EOI15_S_Su2017RNA	3.26893157696071	3.2217753652691
EOI15_S_Wi2017RNA	3.44985262041733	3.32991222424471
EOI20_S_Su2017RNA	3.09005682339072	3.28111040929331
EOI20_S_Su2018RNA	2.68428914242167	2.52026998625414
EOI20_S_Wi2013RNA	3.17122906417751	3.35032639841632
EOK05_S_Su2017RNA	3.42653122534098	3.30031637616462
EOK05_S_Wi2017RNA	3.19126027717323	3.13523589714604
EOK05_S_Wi2018RNA	3.04576757565969	2.9754740583021
EOK10_S_Wi2013RNA	3.15848806130305	3.37867811432397
EOK10_S_Wi2017RNA	3.25237850580195	3.53771941738476
EOK10_S_Wi2018RNA	3.15383639175231	3.4803268921819
EU05_S_Wi2013RNA	2.59960830531859	2.4439908752916
EU05_S_Wi2017RNA	2.93501782349759	3.05329078020931
EU05_S_Wi2018RNA	2.65198990169808	2.79324851979884
EU08_S_Wi2013RNA	3.16543731414629	3.21041049124927
EU08_S_Wi2017RNA	3.25071276049142	3.45633915780337
EU08_S_Wi2018RNA	3.15156747428632	3.21485388094055
EUR05_S_Wi2015RNA	2.64734868982791	2.50995476128247
EUR05_S_Wi2016RNA	2.82415081583604	2.91778746121653
EUR05_S_Wi2017RNA	3.48777137966209	3.38287384691822
EUR05_S_Wi2018RNA	3.21814251963154	3.20778398769827
EUR05_S_Wi2019RNA	2.83417051175828	3.07378156072556
