	EA05_S_Wi2017RNA	EA10_S_Wi2017RNA	EB05_S_Wi2013RNA	EB05_S_Wi2017RNA	EB05_S_Wi2018RNA	EB07_S_Wi2017RNA	EB10_S_Wi2017RNA	EBI05_S_Wi2018RNA	EBI10_S_Wi2017RNA	EBI20_S_Wi2018RNA	ED05_S_Su2017RNA	ED05_S_Wi2013RNA	ED05_S_Wi2016RNA	ED05_S_Wi2017RNA	ED05_S_Wi2018RNA	ED10_S_Wi2017RNA	EL05_S_Wi2017RNA	EL05_S_Wi2018RNA	EL10_S_Wi2017RNA	EM05_S_Wi2017RNA	EM10_S_Wi2015RNA	EN10_S_Wi2017RNA	EN15_S_Wi2017RNA	EN15_S_Wi2018RNA	EN17_S_Wi2013RNA	EN17_S_Wi2017RNA	EN20_S_Wi2013RNA	EN20_S_Wi2016RNA	EN20_S_Wi2017RNA	EN20_S_Wi2018RNA	EN30_S_Su2017RNA	EO05_S_Wi2013RNA	EO05_S_Wi2017RNA	EO10_S_Wi2017RNA	EOI10_S_Su2017RNA	EOI10_S_Wi2017RNA	EOI10_S_Wi2018RNA	EOI15_S_Su2017RNA	EOI15_S_Wi2017RNA	EOI20_S_Su2017RNA	EOI20_S_Su2018RNA	EOI20_S_Wi2013RNA	EOK05_S_Su2017RNA	EOK05_S_Wi2017RNA	EOK05_S_Wi2018RNA	EOK10_S_Wi2013RNA	EOK10_S_Wi2017RNA	EOK10_S_Wi2018RNA	EU05_S_Wi2013RNA	EU05_S_Wi2017RNA	EU05_S_Wi2018RNA	EU08_S_Wi2013RNA	EU08_S_Wi2017RNA	EU08_S_Wi2018RNA	EUR05_S_Wi2015RNA	EUR05_S_Wi2016RNA	EUR05_S_Wi2017RNA	EUR05_S_Wi2018RNA	EUR05_S_Wi2019RNA	LOK10_S_Wi2013RNA
EA05_S_Wi2017	0.278426742435847	0.782471839502038	0.589574879772751	0.751369901526845	0.687954145889515	0.842737492265236	0.706830760934201	0.676531407831609	0.784927245619334	0.86932152136126	0.897368595237541	0.669016411595581	0.549177414288723	0.659810396275145	0.638698702432814	0.679137189470249	0.775652015905474	0.734847532958517	0.783972323987871	0.664264124535409	0.905091099910059	0.643392472718314	0.702491589821843	0.873037527788694	0.743407394434108	0.941892670330962	0.657725174987291	0.931426608202572	0.751456285426635	0.944985702128827	0.952833051027413	0.762661456943877	0.660168223724758	0.835728952696169	0.893195413000353	0.850563510283722	0.847418701459067	0.955886926766693	0.859572148751624	0.949728567396824	0.49963174094743	0.892941616447467	0.852213327686111	0.708167139689836	0.626825527281606	0.64852997366182	0.767759992286239	0.678313887298622	0.711301302927097	0.584810364405889	0.641873722880753	0.634741823403565	0.69656149660549	0.664413779311793	0.480249517105832	0.530343500680567	0.684157243089727	0.723757402499547	0.556339907072033	0.96942008129578
EA10_S_Wi2017	0.822752342147536	0.419701318300503	0.893744276191915	0.631115954837158	0.738593885493281	0.661206870415166	0.64863045334166	0.716502863181419	0.676004752967912	0.839656830621011	0.803288523473838	0.903982443143121	0.710668048161863	0.88318796104348	0.883834758475769	0.76470152705449	0.65654848714033	0.67708105615372	0.709688555286766	0.713612549263134	0.944109476816249	0.762708352233327	0.579573496486576	0.590996686090335	0.663172671402429	0.780663949870843	0.610285485046004	0.611259005063444	0.614984074974744	0.656934044864084	0.812553685553002	0.743217126846396	0.555974827181607	0.882239180487504	0.669261125845399	0.518504700090188	0.546656716264438	0.751310394236613	0.676267880030696	0.767442178261232	0.815598329345148	0.632573966629466	0.767476381469512	0.744148720212427	0.83028813872859	0.659125742638101	0.582738744191851	0.621622014936741	0.91059880029264	0.778796472739058	0.885815644286948	0.721343133929374	0.720236056586875	0.756564799869847	0.858366545503204	0.761582631482606	0.662965745501112	0.747114694047793	0.750044540990468	0.916846429330187
EB05_S_Wi2013	0.858896989229019	0.741617788258775	0.909430353665552	0.578284090934886	0.630632141348772	0.646959087973561	0.703410902165826	0.51530816956547	0.699186148090427	0.836204732732734	0.790929918375199	0.919124346462236	0.798350202525161	0.909039780973859	0.902589871891114	0.779820195655955	0.685225419870531	0.646158294356944	0.716934669803676	0.74764136121731	0.938049452328011	0.862909355685412	0.740807837937018	0.640665752547201	0.799032949906777	0.77648739235376	0.777275024305034	0.734504664992263	0.768816063054046	0.713578321523503	0.821854249585358	0.720944475944916	0.648971682581172	0.87755321303338	0.829256415812525	0.757443688053643	0.699924759953122	0.760323912497663	0.797896508248067	0.765360722242127	0.842303784668035	0.700115784293975	0.728030129493214	0.762740196317369	0.837677148957214	0.683578299146468	0.647794297225617	0.695982987215746	0.92933948939132	0.824286789668285	0.904532770414849	0.794197741992344	0.811900934299348	0.817574581199042	0.873982907909901	0.836480438640558	0.776236344717061	0.797833131493332	0.825122654149419	0.890899996435765
EB05_S_Wi2017	0.803546650470989	0.643246702927853	0.882541439435927	0.392073291690455	0.609682450327899	0.530065497634826	0.560040965195269	0.562895802002291	0.687973992215452	0.786503718773527	0.754122401433608	0.894518923107091	0.712498863668169	0.873620973445489	0.869259832268238	0.71608439372532	0.525346052273484	0.591328134833417	0.657294503157946	0.61040898717099	0.926112307060563	0.806563985207819	0.64411947944605	0.657281535527077	0.743441296563463	0.781284177818081	0.718971059701005	0.730113645259377	0.724083848206912	0.724740717145274	0.768526226932323	0.68077885178335	0.574348935509798	0.852409701118269	0.828908785772815	0.70441582560464	0.657518422693346	0.788607778163803	0.772767129546518	0.776821072061447	0.802680948757139	0.667128827462541	0.703160148521555	0.705426487401286	0.806724661533985	0.622750108037205	0.553489901238154	0.609677087644794	0.906796927048786	0.773461041674376	0.871554168450339	0.707315178327714	0.729547778695299	0.744429290028493	0.838321377274473	0.752484562659668	0.73990040100883	0.762278321751304	0.746137864121852	0.889747847752247
EB05_S_Wi2018	0.807339598099544	0.698664694523194	0.864435854651165	0.509296411349788	0.521302365364084	0.580499940227666	0.651396785537769	0.482916762033471	0.641993252842745	0.811816685735043	0.769203821221797	0.882772651377266	0.757959100997573	0.870438329764613	0.862737642215969	0.740805960832553	0.621396565672939	0.570510281532643	0.67196026567919	0.70315589596261	0.928060447812974	0.82497957030158	0.698220569494543	0.619444890741304	0.77598118196036	0.746508154964247	0.736517900203261	0.705402940131758	0.723095500048018	0.683323001050225	0.80231289415698	0.68032893664056	0.581914419283914	0.856358548507569	0.805567198995427	0.718017288154059	0.654800396609342	0.753963983047497	0.77234206103403	0.742345406655705	0.791466694669046	0.665879376033827	0.693755160001322	0.73076973821997	0.789817516978999	0.633868830003609	0.596514535105259	0.654754934936725	0.894789118182797	0.777110319257042	0.863254178197475	0.750099484421666	0.769342021739383	0.774269026318166	0.817619504833339	0.787220100348913	0.736592777466079	0.728634398102943	0.771762699420287	0.884074378964699
EB07_S_Wi2017	0.865834282035232	0.675863467697448	0.932696978903725	0.51996218306894	0.67123944853088	0.384004580590335	0.640514001501731	0.63985446884138	0.730126121125825	0.681144739082767	0.768346224689519	0.943124381636921	0.77950153240214	0.926726851245562	0.92458722233584	0.686893736200844	0.567275331656168	0.631618556787302	0.578330074288941	0.68126725073143	0.874635732736247	0.857790573451228	0.707314106543958	0.673341074801004	0.775315529622741	0.70829734484695	0.771474869905558	0.708403368331325	0.763575680612623	0.705274979042312	0.680991122196741	0.659708681860807	0.630071007865917	0.784586352740716	0.826053733767773	0.719706698735641	0.676403109215162	0.769046680048625	0.778687881303774	0.709946948430103	0.849021554217146	0.635467924987907	0.753961946429768	0.78427619986689	0.878168587084152	0.701477409146862	0.628108740511981	0.683102854308403	0.950404423386624	0.841518109546762	0.930176853451535	0.778217827060183	0.789539923485744	0.810651911997993	0.895070250617856	0.817763024786166	0.793769157088618	0.781450870876597	0.786578498143353	0.816862513133153
EB10_S_Wi2017	0.735043570454842	0.593654509309154	0.808676424666115	0.449147897967102	0.624801057770215	0.559140573919088	0.416345246114126	0.587799853398093	0.708153449047774	0.809401084647005	0.77250584101747	0.832700267701122	0.62071087154373	0.799866136779797	0.792637633288681	0.712439547296891	0.551265459475715	0.579662959980136	0.705192621890827	0.60806009253677	0.919010012337464	0.697766879408096	0.520004513535608	0.686884542063815	0.692795736922113	0.820410806048843	0.609410828656036	0.743888604258413	0.63162814944731	0.752280909971301	0.796033942979657	0.710346961943349	0.53753873176458	0.850074134247893	0.813429007257658	0.695021588841832	0.647958522197352	0.82951054937717	0.734056911411922	0.822849870914233	0.748885827751187	0.6869575479455	0.71842770315113	0.674429933402567	0.753998695510457	0.581391545928946	0.54070052602389	0.573854215483296	0.846267872682577	0.699595891613375	0.794536923007462	0.634989198620934	0.670548592521336	0.664718406101464	0.763331095962036	0.680022248309898	0.63609208670341	0.735123088361909	0.689654713497516	0.911715522769541
EBI05_S_Wi2018	0.530201669580491	0.846039495115764	0.367777751536757	0.812492993167693	0.724198015968048	0.911519644836267	0.738605815319516	0.708117272341847	0.850639874504205	0.899433202377263	0.956620196565154	0.553432115209012	0.621673701136609	0.541977254521721	0.528066905378143	0.741003194507755	0.874577543760746	0.797489859686334	0.889834225704795	0.774376567743545	0.918597066752875	0.625927910780296	0.717594179032821	0.914356182148404	0.809019685510625	0.968609272283933	0.667516109445387	0.962712712219766	0.786266512329067	0.97525160726253	0.979473665858888	0.856777688225179	0.681188767683099	0.862264622353867	0.919804613158729	0.891751998363931	0.884902421329428	0.978857288308333	0.890721262661521	0.976404564470228	0.549331480752708	0.931264264588621	0.905043186661178	0.757244058754727	0.594085404689006	0.687663115559381	0.832182129183884	0.72461626747366	0.587148825404015	0.530936236616953	0.540776667347877	0.640085433356822	0.640599979039993	0.659803008331999	0.424155713998653	0.535972469958781	0.725888870922001	0.81182466044441	0.633211257815837	0.983557910844286
EBI10_S_Wi2017	0.816345213400949	0.730899979162409	0.907195078209523	0.65516795919741	0.705785720210302	0.629281694832543	0.744312915441857	0.677830921183967	0.698150532221219	0.743643926297796	0.782489590211655	0.918628001702258	0.75139225861511	0.903960940942777	0.902224389580516	0.577579862518654	0.642370748759482	0.649124902358502	0.507287637075597	0.713491787007249	0.896719415290496	0.831649750592027	0.757814717413761	0.73436364446548	0.762858595506464	0.754116225735051	0.80248584086382	0.806496678366509	0.799589426610815	0.782002166898275	0.803622331430387	0.363289585762946	0.641126151542743	0.778939095362534	0.84548603710187	0.772285927037305	0.751008397046112	0.823548988256737	0.821374782484132	0.757919942802021	0.748387582064998	0.719044054555195	0.759387142018554	0.753270436570158	0.844502028286863	0.719248713419434	0.680823485338866	0.713865200651796	0.927898406178611	0.822466124841565	0.906074212358559	0.771394949196398	0.790998442330533	0.800162241498048	0.83060461090463	0.781209377232097	0.809629699162012	0.727543743144889	0.727605450663185	0.878184126823391
EBI20_S_Wi2018	0.932625810965005	0.869681785047998	0.960538116523888	0.819603741956182	0.870215217476434	0.703765327403306	0.86337430239992	0.857302930919354	0.884434318736037	0.401234669832888	0.900963635835406	0.965480291308806	0.89300109935687	0.959013071620459	0.955769260520519	0.749591896203114	0.811763984900184	0.843487992862436	0.723495792575074	0.835170003664581	0.784299000147718	0.932160861291251	0.890310711914281	0.878274040544378	0.893888760784743	0.775919202282334	0.913694396301232	0.892067091136487	0.912659024304693	0.870351497973965	0.7138228796806	0.778980557518806	0.846949314107202	0.700166903275168	0.920515691336457	0.879637285727786	0.856078698420176	0.877646016955054	0.8928216904104	0.797495449289392	0.914340251995597	0.795181027268345	0.907638031349386	0.909639521499532	0.942670117270436	0.889880107879598	0.856913792026516	0.880239105685246	0.970623270497295	0.930332829784504	0.961551037023411	0.90063533152524	0.896846178384972	0.909606143425144	0.940301978402875	0.901950246633204	0.925890766965223	0.889107114474921	0.882122047608134	0.760777602851077
