"","AMBI","PI","PI5yAvg","piMetals","piHC","piOM","Redox"
"SWARM_12023",NA,NA,NA,NA,NA,NA,NA
"SWARM_12025",NA,NA,NA,NA,NA,NA,NA
"SWARM_10883",NA,NA,NA,NA,NA,NA,NA
"SWARM_10880",NA,NA,NA,NA,NA,NA,NA
"SWARM_10886",NA,NA,NA,NA,NA,NA,NA
"SWARM_11596",NA,NA,NA,NA,NA,NA,NA
"SWARM_5295",NA,NA,NA,NA,NA,NA,NA
"SWARM_8513",NA,NA,NA,NA,NA,NA,NA
"SWARM_8512",NA,NA,NA,NA,NA,NA,NA
"SWARM_8519",NA,NA,NA,NA,NA,NA,NA
"SWARM_3427",NA,NA,NA,NA,NA,NA,NA
"SWARM_11202",NA,NA,NA,NA,NA,NA,NA
"SWARM_4159",NA,NA,NA,NA,NA,NA,NA
"SWARM_51804",NA,NA,NA,NA,NA,NA,NA
"SWARM_9159",NA,NA,NA,NA,NA,NA,NA
"SWARM_9152",NA,NA,NA,NA,NA,NA,NA
"SWARM_9154",NA,NA,NA,NA,NA,NA,NA
"SWARM_9157",NA,NA,NA,NA,NA,NA,NA
"SWARM_10920",NA,NA,NA,NA,NA,NA,NA
"SWARM_10927",NA,NA,NA,NA,NA,NA,NA
"SWARM_9040",NA,NA,NA,NA,NA,NA,NA
"SWARM_1915",NA,NA,NA,NA,NA,NA,NA
"SWARM_3527",NA,NA,NA,NA,NA,NA,NA
"SWARM_26805",NA,NA,NA,NA,NA,NA,NA
"SWARM_8511",NA,NA,NA,NA,NA,NA,NA
"SWARM_2920",NA,NA,NA,NA,NA,NA,NA
"SWARM_2921",2.2795,2.32475310365,NA,NA,2.7904284355538,NA,-151
"SWARM_2922",NA,NA,NA,NA,NA,NA,NA
"SWARM_875",NA,NA,NA,NA,NA,NA,NA
"SWARM_874",NA,NA,NA,NA,NA,NA,NA
"SWARM_3898",NA,NA,NA,NA,NA,NA,NA
"SWARM_3892",NA,NA,NA,NA,NA,NA,NA
"SWARM_3897",NA,NA,NA,NA,NA,NA,NA
"SWARM_3896",NA,NA,NA,NA,NA,NA,NA
"SWARM_3894",NA,NA,NA,NA,NA,NA,NA
"SWARM_1963",NA,NA,NA,NA,NA,NA,NA
"SWARM_25691",NA,NA,NA,NA,NA,NA,NA
"SWARM_10398",NA,NA,NA,NA,NA,NA,NA
"SWARM_2883",NA,NA,NA,NA,NA,NA,NA
"SWARM_2882",NA,0.35499149005,0.52353385445,0.604639926720508,4.74687707109647,4.5425595238125,-94.5
"SWARM_2880",NA,NA,NA,NA,NA,NA,NA
"SWARM_18149",NA,NA,NA,NA,NA,NA,NA
"SWARM_18140",NA,NA,NA,NA,NA,NA,NA
"SWARM_6641",NA,NA,NA,NA,NA,NA,NA
"SWARM_6643",NA,NA,NA,NA,NA,NA,NA
"SWARM_7118",NA,NA,NA,NA,NA,NA,NA
"SWARM_7119",NA,NA,NA,NA,NA,NA,NA
"SWARM_7112",NA,NA,NA,NA,NA,NA,NA
"SWARM_7113",NA,NA,NA,NA,NA,NA,NA
"SWARM_3913",NA,NA,NA,NA,NA,NA,NA
"SWARM_3910",NA,NA,NA,NA,NA,NA,NA
"SWARM_3918",NA,NA,NA,NA,NA,NA,NA
"SWARM_3919",NA,NA,NA,NA,NA,NA,NA
"SWARM_10307",NA,NA,NA,NA,NA,NA,NA
"SWARM_16879",NA,NA,NA,NA,NA,NA,NA
"SWARM_16872",NA,NA,NA,NA,NA,NA,NA
"SWARM_2570",NA,NA,NA,NA,NA,NA,NA
"SWARM_2575",NA,NA,NA,NA,NA,NA,NA
"SWARM_7050",NA,NA,NA,NA,NA,NA,NA
"SWARM_7056",NA,NA,NA,NA,NA,NA,NA
"SWARM_11729",NA,NA,NA,NA,NA,NA,NA
"SWARM_11721",NA,NA,NA,NA,NA,NA,NA
"SWARM_11722",NA,NA,NA,NA,NA,NA,NA
"SWARM_10144",NA,NA,NA,NA,NA,NA,NA
"SWARM_10145",NA,NA,NA,NA,NA,NA,NA
"SWARM_7909",NA,NA,NA,NA,NA,NA,NA
"SWARM_4214",NA,NA,NA,NA,NA,NA,NA
"SWARM_5161",NA,NA,NA,NA,NA,NA,NA
"SWARM_5160",NA,NA,NA,NA,NA,NA,NA
"SWARM_5164",NA,NA,NA,NA,NA,NA,NA
"SWARM_8",NA,NA,NA,NA,NA,NA,NA
"SWARM_9",NA,NA,NA,NA,NA,NA,NA
"SWARM_507",NA,NA,NA,NA,NA,NA,NA
"SWARM_506",1.9805,NA,NA,NA,NA,NA,NA
"SWARM_501",NA,0.5795,0.8463990458,0.621331584361621,0,0.445,495.5
"SWARM_503",NA,NA,NA,NA,NA,NA,NA
"SWARM_509",NA,0.35499149005,NA,0.53566772343266,0.65248961605982,NA,-151
"SWARM_508",1.0705,0.9927300935,2.4543799801,0.53566772343266,0,1.555,495.5
"SWARM_12334",NA,NA,NA,NA,NA,NA,NA
"SWARM_12333",NA,NA,NA,NA,NA,NA,NA
"SWARM_5594",NA,NA,NA,NA,NA,NA,NA
"SWARM_2069",NA,NA,NA,NA,NA,NA,NA
"SWARM_12647",NA,NA,NA,NA,NA,NA,NA
"SWARM_12644",NA,NA,NA,NA,NA,NA,NA
"SWARM_4881",NA,NA,NA,NA,NA,NA,NA
"SWARM_8379",NA,NA,NA,NA,NA,NA,NA
"SWARM_8376",NA,NA,NA,NA,NA,NA,NA
"SWARM_8289",NA,NA,NA,NA,NA,NA,NA
"SWARM_9029",NA,NA,NA,NA,NA,NA,NA
"SWARM_9021",NA,NA,NA,NA,NA,NA,NA
"SWARM_9023",NA,NA,NA,NA,NA,NA,NA
"SWARM_35433",NA,NA,NA,NA,NA,NA,NA
"SWARM_26977",NA,NA,NA,NA,NA,NA,NA
"SWARM_5317",NA,NA,NA,NA,NA,NA,NA
"SWARM_2638",NA,NA,NA,NA,NA,NA,NA
"SWARM_2639",NA,NA,NA,NA,NA,NA,NA
"SWARM_2632",NA,NA,NA,NA,NA,NA,NA
"SWARM_2633",NA,NA,NA,NA,NA,NA,NA
