"","AMBI","PI","PI5yAvg","piMetals","piHC","piOM","Redox"
"SWARM_12023",0,0,0,0,0,0,0
"SWARM_12025",0,0,0,0,0,0,0
"SWARM_10883",0,0,0,0,0,0,0
"SWARM_10880",0,0,0,0,0,0,0
"SWARM_10886",0,0,0,0,0,0,0
"SWARM_11596",0,0,0,0,0,0,0
"SWARM_5295",0,0,0,0,0,0,0
"SWARM_8513",0,0,0,0,0,0,0
"SWARM_8512",0,0,0,0,0,0,0
"SWARM_8519",0,0,0,0,0,0,0
"SWARM_3427",0,0,0,0,0,0,0
"SWARM_11202",0,0,0,0,0,0,0
"SWARM_4159",0,0,0,0,0,0,0
"SWARM_51804",0,0,0,0,0,0,0
"SWARM_9159",0,0,0,0,0,0,0
"SWARM_9152",0,0,0,0,0,0,0
"SWARM_9154",0,0,0,0,0,0,0
"SWARM_9157",0,0,0,0,0,0,0
"SWARM_10920",0,0,0,0,0,0,0
"SWARM_10927",0,0,0,0,0,0,0
"SWARM_9040",0,0,0,0,0,0,0
"SWARM_1915",0,0,0,0,0,0,0
"SWARM_3527",0,0,0,0,0,0,0
"SWARM_26805",0,0,0,0,0,0,0
"SWARM_8511",0,0,0,0,0,0,0
"SWARM_2920",0,0,0,0,0,0,0
"SWARM_2921",52.85,59.64,0,0,52.24,0,61.83
"SWARM_2922",0,0,0,0,0,0,0
"SWARM_875",0,0,0,0,0,0,0
"SWARM_874",0,0,0,0,0,0,0
"SWARM_3898",0,0,0,0,0,0,0
"SWARM_3892",0,0,0,0,0,0,0
"SWARM_3897",0,0,0,0,0,0,0
"SWARM_3896",0,0,0,0,0,0,0
"SWARM_3894",0,0,0,0,0,0,0
"SWARM_1963",0,0,0,0,0,0,0
"SWARM_25691",0,0,0,0,0,0,0
"SWARM_10398",0,0,0,0,0,0,0
"SWARM_2883",0,0,0,0,0,0,0
"SWARM_2882",0,65.67,62.37,59.07,68.04,59.66,66.11
"SWARM_2880",0,0,0,0,0,0,0
"SWARM_18149",0,0,0,0,0,0,0
"SWARM_18140",0,0,0,0,0,0,0
"SWARM_6641",0,0,0,0,0,0,0
"SWARM_6643",0,0,0,0,0,0,0
"SWARM_7118",0,0,0,0,0,0,0
"SWARM_7119",0,0,0,0,0,0,0
"SWARM_7112",0,0,0,0,0,0,0
"SWARM_7113",0,0,0,0,0,0,0
"SWARM_3913",0,0,0,0,0,0,0
"SWARM_3910",0,0,0,0,0,0,0
"SWARM_3918",0,0,0,0,0,0,0
"SWARM_3919",0,0,0,0,0,0,0
"SWARM_10307",0,0,0,0,0,0,0
"SWARM_16879",0,0,0,0,0,0,0
"SWARM_16872",0,0,0,0,0,0,0
"SWARM_2570",0,0,0,0,0,0,0
"SWARM_2575",0,0,0,0,0,0,0
"SWARM_7050",0,0,0,0,0,0,0
"SWARM_7056",0,0,0,0,0,0,0
"SWARM_11729",0,0,0,0,0,0,0
"SWARM_11721",0,0,0,0,0,0,0
"SWARM_11722",0,0,0,0,0,0,0
"SWARM_10144",0,0,0,0,0,0,0
"SWARM_10145",0,0,0,0,0,0,0
"SWARM_7909",0,0,0,0,0,0,0
"SWARM_4214",0,0,0,0,0,0,0
"SWARM_5161",0,0,0,0,0,0,0
"SWARM_5160",0,0,0,0,0,0,0
"SWARM_5164",0,0,0,0,0,0,0
"SWARM_8",0,0,0,0,0,0,0
"SWARM_9",0,0,0,0,0,0,0
"SWARM_507",0,0,0,0,0,0,0
"SWARM_506",71.32,0,0,0,0,0,0
"SWARM_501",0,72.94,71.47,74.72,64.9,70.71,64.26
"SWARM_503",0,0,0,0,0,0,0
"SWARM_509",0,62.68,0,61.11,59.75,0,64.19
"SWARM_508",61.28,73.24,72.07,73.51,70.02,72.15,74.53
"SWARM_12334",0,0,0,0,0,0,0
"SWARM_12333",0,0,0,0,0,0,0
"SWARM_5594",0,0,0,0,0,0,0
"SWARM_2069",0,0,0,0,0,0,0
"SWARM_12647",0,0,0,0,0,0,0
"SWARM_12644",0,0,0,0,0,0,0
"SWARM_4881",0,0,0,0,0,0,0
"SWARM_8379",0,0,0,0,0,0,0
"SWARM_8376",0,0,0,0,0,0,0
"SWARM_8289",0,0,0,0,0,0,0
"SWARM_9029",0,0,0,0,0,0,0
"SWARM_9021",0,0,0,0,0,0,0
"SWARM_9023",0,0,0,0,0,0,0
"SWARM_35433",0,0,0,0,0,0,0
"SWARM_26977",0,0,0,0,0,0,0
"SWARM_5317",0,0,0,0,0,0,0
"SWARM_2638",0,0,0,0,0,0,0
"SWARM_2639",0,0,0,0,0,0,0
"SWARM_2632",0,0,0,0,0,0,0
"SWARM_2633",0,0,0,0,0,0,0
"SWARM_909",74.26,0,0,0,56.39,62.5,0
"SWARM_908",53.79,52.3,53.41,0,0,64.33,53.91
"SWARM_905",53,71.06,74.21,63.61,67.42,68.62,74.64
"SWARM_904",0,60.99,49.61,50.76,59.82,63.36,59.9
"SWARM_907",0,0,0,0,0,0,0
"SWARM_13932",0,0,0,0,0,0,0
"SWARM_28618",0,0,0,0,0,0,0
"SWARM_4055",0,0,0,0,0,0,0
"SWARM_8402",0,0,0,0,0,0,0
"SWARM_2381",0,0,0,0,0,0,0
"SWARM_2382",0,0,0,0,0,0,81.56
"SWARM_2384",0,0,0,0,0,0,0
"SWARM_2385",0,0,0,0,0,0,0
"SWARM_2389",0,0,0,0,0,0,0
"SWARM_7260",0,0,0,0,0,0,0
"SWARM_7261",0,0,0,0,0,0,0
"SWARM_19383",0,0,0,0,0,0,0
"SWARM_19384",0,0,0,0,0,0,0
"SWARM_1855",62.12,0,0,0,0,63.29,0
"SWARM_1856",0,0,0,0,0,50.28,53.96
"SWARM_1850",0,0,0,0,0,0,0
"SWARM_1853",38.49,0,0,0,39.78,49.43,42.19
"SWARM_1852",0,0,0,0,0,0,0
"SWARM_1858",0,0,0,0,0,0,0
"SWARM_29017",0,0,0,0,0,0,0
"SWARM_29019",0,0,0,0,0,0,0
"SWARM_3828",0,0,0,0,0,0,0
"SWARM_3821",0,0,0,0,0,0,0
"SWARM_3825",0,0,0,0,0,0,0
"SWARM_25816",0,0,0,0,0,0,0
"SWARM_25817",0,0,0,0,0,0,0
"SWARM_5750",0,0,0,0,0,0,0
"SWARM_41036",0,0,0,0,0,0,0
"SWARM_6479",0,0,0,0,0,0,0
"SWARM_6474",0,0,0,0,0,0,0
"SWARM_6473",0,0,0,0,0,0,0
"SWARM_1336",69.6,0,0,0,0,53.94,0
"SWARM_11033",0,0,0,0,0,0,0
"SWARM_3521",0,0,0,0,0,0,0
"SWARM_3525",0,0,0,0,0,0,0
"SWARM_3529",0,0,0,0,0,0,0
"SWARM_4367",0,0,0,0,0,0,0
"SWARM_4368",0,0,0,0,0,0,0
"SWARM_5095",0,0,0,0,0,0,0
"SWARM_5094",0,0,0,0,0,0,0
"SWARM_5093",0,0,0,0,0,0,0
"SWARM_211",0,43.24,57.9,40.91,71.04,0,0
"SWARM_210",70.08,73.45,68.44,77.3,74.66,72.98,81.69
"SWARM_216",78.72,63.23,74.58,74.85,65.96,74.24,70.85
"SWARM_1657",0,0,0,0,0,0,0
"SWARM_1656",0,0,0,0,0,0,0
"SWARM_1655",0,0,0,0,0,0,0
"SWARM_1654",56.42,0,0,0,0,58.21,0
"SWARM_1653",0,0,0,0,0,0,0
"SWARM_1652",74.11,75.23,82.41,68.2,62.16,86.79,64.74
"SWARM_1651",0,0,0,0,0,0,0
"SWARM_1650",0,0,50.1,42.98,0,0,0
"SWARM_1659",0,51.16,0,0,55.28,55.15,61.04
"SWARM_1658",0,63.98,0,62.24,74.56,0,0
"SWARM_12242",0,0,0,0,0,0,0
"SWARM_22755",0,0,0,0,0,0,0
"SWARM_22750",0,0,0,0,0,0,0
"SWARM_6824",0,0,0,0,0,0,0
"SWARM_15713",0,0,0,0,0,0,0
"SWARM_13",54.41,50.69,0,47.95,45.45,0,0
"SWARM_14",0,0,0,0,0,0,0
"SWARM_15",87.07,0,0,0,68.93,0,60.9
"SWARM_16",78.17,84.25,82.33,79.1,81.31,86.63,86.97
"SWARM_18",0,0,0,0,0,0,0
"SWARM_19",81.66,0,70.67,0,0,69.1,0
"SWARM_614",0,63.92,64.95,65.93,60.34,66.02,68.56
"SWARM_1752",0,0,0,0,0,0,0
"SWARM_1753",56.29,0,0,0,0,49.93,0
"SWARM_1750",73.37,0,0,0,49.1,54.12,0
"SWARM_1751",58.6,0,0,0,0,0,0
"SWARM_1754",0,0,0,0,0,0,0
"SWARM_1755",0,0,0,0,0,0,0
"SWARM_13530",0,0,0,0,0,0,0
"SWARM_13538",0,0,0,0,0,0,0
"SWARM_22652",0,0,0,0,0,0,0
"SWARM_5650",0,0,0,0,0,0,0
"SWARM_2924",0,0,0,0,0,0,0
"SWARM_2926",0,0,0,0,0,0,0
"SWARM_2927",0,0,0,0,0,0,0
"SWARM_12691",0,0,0,0,0,0,0
"SWARM_876",0,39.98,24.98,29.98,39.99,0,0
"SWARM_5254",0,0,0,0,0,0,0
"SWARM_5253",0,0,0,0,0,0,0
"SWARM_5252",0,0,0,0,0,0,0
"SWARM_5251",0,0,0,0,0,0,0
"SWARM_2707",0,74.92,70.69,70.85,59.44,54.18,59.86
"SWARM_2700",0,0,0,0,0,0,0
"SWARM_2701",0,0,0,0,0,0,0
"SWARM_26356",0,0,0,0,0,0,0
"SWARM_14126",0,0,0,0,0,0,0
"SWARM_14127",0,0,0,0,0,0,0
"SWARM_20989",0,0,0,0,0,0,0
"SWARM_13473",0,0,0,0,0,0,0
"SWARM_13472",0,0,0,0,0,0,0
"SWARM_13470",0,0,0,0,0,0,0
"SWARM_20174",0,0,0,0,0,0,0
"SWARM_7525",0,0,0,0,0,0,0
"SWARM_7524",0,0,0,0,0,0,0
"SWARM_7522",0,0,0,0,0,0,0
"SWARM_7521",0,0,0,0,0,0,0
"SWARM_7520",0,0,0,0,0,0,0
"SWARM_4870",0,0,0,0,0,0,0
"SWARM_4871",0,0,0,0,0,0,0
"SWARM_4878",0,0,0,0,0,0,0
"SWARM_2094",0,0,0,0,0,0,0
"SWARM_2096",0,0,0,0,0,0,0
"SWARM_2090",66.32,0,0,0,0,63.05,0
"SWARM_2091",0,0,0,0,0,0,0
"SWARM_2092",0,0,0,0,0,0,0
"SWARM_9832",0,0,0,0,0,0,0
"SWARM_4004",0,0,0,0,0,0,0
"SWARM_4000",0,0,0,0,0,0,77.17
"SWARM_4008",57.19,63.58,0,0,59.7,0,67.44
"SWARM_5359",0,0,0,0,0,0,0
"SWARM_14789",0,0,0,0,0,0,0
"SWARM_3895",0,0,0,0,0,0,0
"SWARM_26257",0,0,0,0,0,0,0
"SWARM_51152",0,0,0,0,0,0,0
"SWARM_14834",0,0,0,0,0,0,0
"SWARM_2353",0,0,0,0,0,0,0
"SWARM_2352",0,0,0,0,0,0,0
"SWARM_2356",0,0,0,0,0,0,0
"SWARM_2354",0,0,0,0,0,0,0
"SWARM_2358",0,0,0,0,0,0,0
"SWARM_6500",0,0,0,0,0,0,0
"SWARM_6501",0,0,0,0,0,0,0
"SWARM_6506",0,0,0,0,0,0,0
"SWARM_6507",0,0,0,0,0,0,0
"SWARM_3801",0,0,0,0,0,0,0
"SWARM_3219",0,0,0,0,0,0,0
"SWARM_7923",0,0,0,0,0,0,0
"SWARM_9924",0,0,0,0,0,0,0
"SWARM_32331",0,0,0,0,0,0,0
"SWARM_35640",0,0,0,0,0,0,0
"SWARM_6957",0,0,0,0,0,0,0
"SWARM_12869",0,0,0,0,0,0,0
"SWARM_2070",0,0,0,0,0,0,0
"SWARM_353",52.95,0,51.23,0,0,48.99,0
"SWARM_32682",0,0,0,0,0,0,0
"SWARM_3040",0,0,0,0,0,0,0
"SWARM_3044",0,0,0,0,0,0,0
"SWARM_3046",0,0,0,0,0,0,0
"SWARM_22507",0,0,0,0,0,0,0
"SWARM_16309",0,0,0,0,0,0,0
"SWARM_5776",0,0,0,0,0,0,0
"SWARM_9555",0,0,0,0,0,0,0
"SWARM_44120",0,0,0,0,0,0,0
"SWARM_18910",0,0,0,0,0,0,0
"SWARM_1178",80.7,60.52,63.89,54.63,55.79,71.2,69.45
"SWARM_1179",0,0,0,0,0,0,0
"SWARM_1177",61.18,59.52,60.85,66.5,0,0,0
"SWARM_1175",70.22,68.23,69.36,58.64,65.66,67.07,70.34
"SWARM_1173",63.93,65.68,64.12,60.99,59.53,61.97,58.17
"SWARM_1170",63.11,40.6,33.78,36.61,37.33,60.56,93.58
"SWARM_1171",0,64.29,58.15,58.66,62.91,61.01,56.96
"SWARM_2209",0,0,0,0,0,0,0
"SWARM_2208",0,0,0,0,0,0,0
"SWARM_30392",0,0,0,0,0,0,0
"SWARM_14056",0,0,0,0,0,0,0
"SWARM_7417",0,0,0,0,0,0,0
"SWARM_7416",0,0,0,0,0,0,0
"SWARM_2160",59.17,68.73,0,0,0,51.88,0
"SWARM_2161",0,0,0,0,0,0,0
"SWARM_2162",0,0,0,0,0,0,0
"SWARM_2163",0,0,0,0,0,0,0
"SWARM_2164",0,0,0,0,53.75,0,0
"SWARM_2166",0,0,0,0,0,0,0
"SWARM_2167",0,0,0,0,0,0,0
"SWARM_3417",0,0,0,0,0,0,0
"SWARM_3416",0,0,0,0,0,0,0
"SWARM_3413",0,0,0,0,0,0,0
"SWARM_3412",0,0,0,0,0,0,0
"SWARM_3411",0,0,0,0,0,0,0
"SWARM_3410",0,0,0,0,0,0,0
"SWARM_3419",51.52,0,0,0,0,0,0
"SWARM_7180",0,0,0,0,0,0,0
"SWARM_10396",0,0,0,0,0,0,0
"SWARM_2886",0,0,0,0,0,0,0
"SWARM_2884",0,60.81,61.47,53.7,62.66,60.22,65.43
"SWARM_6242",0,0,0,0,0,0,0
"SWARM_6244",0,0,0,0,0,0,0
"SWARM_5577",0,0,0,0,0,0,0
"SWARM_5574",0,0,0,0,0,0,0
"SWARM_5572",0,0,0,0,0,0,0
"SWARM_7595",0,0,0,0,0,0,0
"SWARM_40525",0,0,0,0,0,0,0
"SWARM_9381",0,0,0,0,0,0,0
"SWARM_9385",0,0,0,0,0,0,0
"SWARM_7116",0,0,0,0,0,0,0
"SWARM_1932",66.91,61.83,67.65,0,70.52,69.7,80.23
"SWARM_59954",0,0,0,0,0,0,0
"SWARM_30153",0,0,0,0,0,0,0
"SWARM_20854",0,0,0,0,0,0,0
"SWARM_12589",0,0,0,0,0,0,0
"SWARM_13745",0,0,0,0,0,0,0
"SWARM_13744",0,0,0,0,0,0,0
"SWARM_13747",0,0,0,0,0,0,0
"SWARM_624",0,0,0,0,0,0,0
"SWARM_625",82.1,66.23,72.11,68.29,72.15,74.16,74.48
"SWARM_626",58.55,0,0,0,53.36,0,0
"SWARM_627",0,69.34,68.52,60.13,74.41,53.61,57.19
"SWARM_629",0,0,63.51,63.08,64.69,64.46,0
"SWARM_16629",0,0,0,0,0,0,0
"SWARM_16623",0,0,0,0,0,0,0
"SWARM_16625",0,0,0,0,0,0,0
"SWARM_4544",0,0,0,0,0,0,0
"SWARM_4545",0,0,0,0,0,0,0
"SWARM_4541",0,0,0,0,0,0,0
"SWARM_4543",0,0,0,0,0,0,0
"SWARM_1438",63.01,0,0,0,0,48.65,0
"SWARM_1437",57.18,64.67,56.84,57.05,61.29,68.63,72.34
"SWARM_1436",0,0,0,0,0,0,0
"SWARM_1434",0,76.01,80.19,68.45,75.44,62.57,63.53
"SWARM_1433",0,0,0,0,0,0,0
"SWARM_1432",0,0,0,0,55.78,0,0
"SWARM_1430",49.98,0,0,0,0,0,0
"SWARM_3301",0,0,0,0,0,0,0
"SWARM_14313",0,0,0,0,0,0,0
"SWARM_14319",0,0,0,0,0,0,0
"SWARM_9349",0,0,0,0,0,0,0
"SWARM_9348",0,0,0,0,0,0,0
"SWARM_9344",0,0,0,0,0,0,0
"SWARM_9346",0,0,0,0,0,0,0
"SWARM_9341",0,0,0,0,0,0,0
"SWARM_7999",0,0,0,0,0,0,0
"SWARM_7991",0,0,0,0,0,0,0
"SWARM_18478",0,0,0,0,0,0,0
"SWARM_32930",0,0,0,0,0,0,0
"SWARM_1578",0,0,0,0,0,0,0
"SWARM_1572",69.94,59.21,62.94,84.35,63.3,81.47,69.97
"SWARM_1570",64.71,0,0,0,52.56,64.28,0
"SWARM_1571",0,0,0,0,60.04,52.49,52.29
"SWARM_1576",70.44,0,0,0,0,57.39,62.38
"SWARM_1577",0,0,0,0,49.22,59.68,52.28
"SWARM_1574",60.95,0,0,0,0,53.54,0
"SWARM_1575",45.91,64.21,57.45,52.68,60.54,57.94,65.81
"SWARM_25121",0,0,0,0,0,0,0
"SWARM_8770",0,0,0,0,0,0,0
"SWARM_5801",0,0,0,0,0,0,0
"SWARM_1002",56.68,64.39,70.64,0,59.66,74.06,51.8
"SWARM_1000",55.19,0,0,0,0,0,0
"SWARM_1001",0,0,0,44.4,0,0,0
"SWARM_1007",65.69,0,61.85,0,0,60.37,0
"SWARM_1004",71.58,71.24,63.58,73.14,62.43,68.35,69.32
"SWARM_1008",0,0,0,50.28,58.25,0,60.04
"SWARM_1009",0,0,0,0,0,0,0
"SWARM_3097",0,0,0,0,0,0,0
"SWARM_3099",0,0,0,0,0,0,0
"SWARM_24198",0,0,0,0,0,0,0
"SWARM_13290",0,0,0,0,0,0,0
"SWARM_13294",0,0,0,0,0,0,0
"SWARM_2571",0,51.25,51.58,56.72,51.84,49.79,0
"SWARM_2577",0,0,0,0,0,0,0
"SWARM_4308",0,0,0,0,0,0,0
"SWARM_6919",0,0,0,0,0,0,0
"SWARM_3708",0,0,0,0,0,0,0
"SWARM_3706",0,0,0,0,0,0,0
"SWARM_6981",0,0,0,0,0,0,0
"SWARM_11575",0,0,0,0,0,0,0
"SWARM_11576",0,0,0,0,0,0,0
"SWARM_11571",0,0,0,0,0,0,0
"SWARM_10628",0,0,0,0,0,0,0
"SWARM_4755",0,0,0,0,0,0,0
"SWARM_4757",0,0,0,0,0,0,0
"SWARM_4752",0,0,0,0,0,0,0
"SWARM_4759",0,0,0,0,0,0,0
"SWARM_4758",0,0,0,0,0,0,0
"SWARM_2304",0,0,0,0,0,0,0
"SWARM_5409",0,0,0,0,0,0,0
"SWARM_232",70.89,0,0,0,0,0,0
"SWARM_231",75.41,0,59.61,0,0,66.97,0
"SWARM_54577",0,0,0,0,0,0,0
"SWARM_712",0,50.81,51.6,47.35,56.42,0,51.27
"SWARM_713",0,37.97,41.34,37.76,36.83,33.63,36.7
"SWARM_10984",0,0,0,0,0,0,0
"SWARM_12161",0,0,0,0,0,0,0
"SWARM_12164",0,0,0,0,0,0,0
"SWARM_9749",0,0,0,0,0,0,0
"SWARM_9748",0,0,0,0,0,0,0
"SWARM_71629",0,0,0,0,0,0,0
"SWARM_1323",55.93,0,59.46,0,52.69,68.46,63.13
"SWARM_1322",0,0,0,0,0,0,0
"SWARM_1320",56.3,58.13,75.65,61.74,58.81,56.62,0
"SWARM_1326",0,0,0,0,0,0,0
"SWARM_1325",0,54.47,80.81,0,54.19,51.68,60.81
"SWARM_1328",50.92,0,0,53.97,0,54.67,0
"SWARM_6613",0,0,0,0,0,0,0
"SWARM_11102",0,0,0,0,0,0,0
"SWARM_11105",0,0,0,0,0,0,0
"SWARM_11104",0,0,0,0,0,0,0
"SWARM_11108",0,0,0,0,0,0,0
"SWARM_22220",0,0,0,0,0,0,0
"SWARM_1622",60.4,0,0,0,0,58.93,0
"SWARM_1623",0,0,0,0,38.39,55.47,37.55
"SWARM_1620",0,0,0,0,0,0,0
"SWARM_1621",0,0,0,0,0,0,0
"SWARM_8188",0,0,0,0,0,0,0
"SWARM_696",0,0,0,0,55.16,64.43,68.61
"SWARM_693",67.43,69.41,72.43,81.36,71.61,75.63,81.48
"SWARM_3033",0,0,0,0,0,0,0
"SWARM_45397",0,0,0,0,0,0,0
"SWARM_3036",0,0,0,0,0,0,0
"SWARM_3229",0,0,0,0,0,0,0
"SWARM_325",0,0,0,0,0,0,0
"SWARM_324",82.01,0,0,0,68.07,0,62.9
"SWARM_327",64.16,0,0,0,0,58.25,0
"SWARM_326",62.96,0,64.75,60.15,0,75.22,0
"SWARM_321",72.5,0,0,0,0,70.52,73.46
"SWARM_320",84.18,0,83.22,0,0,77.06,70.62
"SWARM_323",76.1,69.51,75.35,68.2,65.8,0,0
"SWARM_322",55.76,87.09,76.49,82.29,76.99,73.02,76.19
"SWARM_13002",0,0,0,0,0,0,0
"SWARM_2864",0,0,0,0,0,0,0
"SWARM_2867",0,0,0,0,0,0,0
"SWARM_2861",0,0,0,0,0,0,0
"SWARM_2863",0,0,0,0,0,57.28,0
"SWARM_49699",0,0,0,0,0,0,0
"SWARM_16958",0,0,0,0,0,0,0
"SWARM_18774",0,0,0,0,0,0,0
"SWARM_18772",0,0,0,0,0,0,0
"SWARM_58031",0,0,0,0,0,0,0
"SWARM_28407",0,0,0,0,0,0,0
"SWARM_28400",0,0,0,0,0,0,0
"SWARM_6529",0,0,0,0,0,0,0
"SWARM_7671",0,0,0,0,0,0,0
"SWARM_7678",0,0,0,0,0,0,0
"SWARM_30847",0,0,0,0,0,0,0
"SWARM_2081",0,0,0,0,51.01,53.72,59.34
"SWARM_2410",48,80.58,85.07,53.6,49.65,66.38,41.62
"SWARM_2414",67.19,55.16,53.57,63.91,54.05,63.42,68.15
"SWARM_2415",0,0,0,0,0,0,0
"SWARM_2416",0,0,0,0,0,0,0
"SWARM_2417",0,0,0,0,0,0,0
"SWARM_2418",71.18,0,0,0,0,0,0
"SWARM_12392",0,0,0,0,0,0,0
"SWARM_10536",0,0,0,0,0,0,0
"SWARM_6068",0,0,0,0,0,0,0
"SWARM_6062",0,0,0,0,0,0,0
"SWARM_33837",0,0,0,0,0,0,0
"SWARM_33836",0,0,0,0,0,0,0
"SWARM_10047",0,0,0,0,0,0,0
"SWARM_10040",0,0,0,0,0,0,0
"SWARM_405",74.48,61.24,84.05,58.8,75.99,0,0
"SWARM_407",0,0,0,0,0,63.36,69.8
"SWARM_400",0,0,0,0,0,0,0
"SWARM_403",61.93,0,56.8,0,0,70.51,66.73
"SWARM_10877",0,0,0,0,0,0,0
"SWARM_8504",0,0,0,0,0,0,0
"SWARM_8500",0,0,0,0,0,0,0
"SWARM_8503",0,0,0,0,0,0,0
"SWARM_6932",0,0,0,0,0,0,0
"SWARM_34652",0,0,0,0,0,0,0
"SWARM_174",76.27,69.81,80.9,68.02,0,67.45,0
"SWARM_176",76.69,77.37,79.71,66.79,74.25,71.74,76.9
"SWARM_177",0,77.79,69.18,65.91,74.04,63.73,70.06
"SWARM_173",91.82,79.86,80.84,82.96,69.06,81.52,82.34
"SWARM_12742",0,0,0,0,0,0,0
"SWARM_11215",0,0,0,0,0,0,0
"SWARM_829",0,0,0,0,0,0,0
"SWARM_10931",0,0,0,0,0,0,0
"SWARM_820",84.77,74.86,76.21,0,0,70.09,62.77
"SWARM_20062",0,0,0,0,0,0,0
"SWARM_20068",0,0,0,0,0,0,0
"SWARM_3739",0,0,0,0,0,0,0
"SWARM_89",0,0,0,0,53.12,0,51.37
"SWARM_1775",0,0,0,0,0,0,0
"SWARM_1770",0,0,0,0,0,0,0
"SWARM_1771",0,0,0,0,0,0,0
"SWARM_1772",0,0,0,0,0,0,45.74
"SWARM_1773",0,0,0,0,0,0,0
"SWARM_3538",0,0,0,0,0,0,0
"SWARM_15791",0,0,0,0,0,0,0
"SWARM_15792",0,0,0,0,0,0,0
"SWARM_2911",0,0,0,0,0,0,0
"SWARM_2910",0,0,0,0,0,0,0
"SWARM_2914",0,0,0,0,0,0,0
"SWARM_2917",0,0,0,0,0,0,0
"SWARM_800",0,0,0,0,0,0,0
"SWARM_803",53.74,56.6,61.65,45.31,68.32,73.63,73.27
"SWARM_804",0,0,0,0,0,0,0
"SWARM_808",0,0,0,0,0,60.09,0
"SWARM_809",81.99,0,67.97,0,0,68.94,62.47
"SWARM_8957",0,0,0,0,0,0,0
"SWARM_21912",0,0,0,0,0,0,0
"SWARM_3885",0,0,0,0,0,0,0
"SWARM_3886",0,0,0,0,0,0,0
"SWARM_3881",0,0,0,0,0,0,0
"SWARM_3882",0,0,0,0,0,0,0
"SWARM_3883",0,0,0,0,0,0,0
"SWARM_23215",0,0,0,0,0,0,0
"SWARM_20745",0,0,0,0,0,0,0
"SWARM_15611",0,0,0,0,0,0,0
"SWARM_8833",0,0,0,0,0,0,0
"SWARM_10366",0,0,0,0,0,0,0
"SWARM_2898",0,0,0,0,0,0,0
"SWARM_2899",0,0,0,0,0,0,0
"SWARM_6655",0,0,0,0,0,0,0
"SWARM_6658",0,0,0,0,0,0,0
"SWARM_6659",0,0,0,0,0,0,0
"SWARM_20295",0,0,0,0,0,0,0
"SWARM_48132",0,0,0,0,0,0,0
"SWARM_3961",0,0,0,0,0,0,0
"SWARM_3960",0,0,0,0,0,0,0
"SWARM_3966",0,0,0,0,0,0,0
"SWARM_3969",0,0,0,0,0,0,0
"SWARM_1665",0,0,0,0,0,0,0
"SWARM_5036",0,0,0,0,0,0,0
"SWARM_5035",0,0,0,0,0,0,0
"SWARM_2566",0,0,0,0,0,0,0
"SWARM_2567",0,0,0,0,0,0,0
"SWARM_2560",0,0,0,0,0,0,0
"SWARM_2561",0,0,0,0,0,0,0
"SWARM_2562",0,0,0,0,0,0,0
"SWARM_2563",0,47.96,59.6,49.83,53.75,0,0
"SWARM_6717",0,0,0,0,0,0,0
"SWARM_7044",0,0,0,0,0,0,0
"SWARM_7045",0,0,0,0,0,0,0
"SWARM_7046",58.18,59.08,0,0,0,0,0
"SWARM_3149",0,0,0,0,0,0,0
"SWARM_20229",0,0,0,0,0,0,0
"SWARM_11777",0,0,0,0,0,0,0
"SWARM_4227",0,0,0,0,0,0,0
"SWARM_4226",0,0,0,0,0,0,0
"SWARM_15812",0,0,0,0,0,0,0
"SWARM_5172",0,0,0,0,0,0,0
"SWARM_5173",0,0,0,0,0,0,0
"SWARM_5176",0,0,0,0,0,0,0
"SWARM_5174",0,0,0,0,0,0,0
"SWARM_5178",0,0,0,0,0,0,0
"SWARM_574",0,0,0,0,63.59,58.32,0
"SWARM_575",72.34,63.11,64.7,68.47,0,70.64,0
"SWARM_577",70.53,59.56,66.98,70.96,57.73,69.82,74.07
"SWARM_12343",0,0,0,0,0,0,0
"SWARM_12345",0,0,0,0,0,0,0
"SWARM_35830",0,0,0,0,0,0,0
"SWARM_30554",0,0,0,0,0,0,0
"SWARM_6317",0,0,0,0,0,0,0
"SWARM_419",0,0,0,0,0,0,0
"SWARM_12633",0,0,0,0,0,0,0
"SWARM_8360",0,0,0,0,0,0,0
"SWARM_8367",0,0,0,0,0,0,0
"SWARM_5468",0,0,0,0,0,0,0
"SWARM_9011",0,0,0,0,0,0,0
"SWARM_10868",0,0,0,0,0,0,0
