	bymorpho
EA05_S_Wi2013	5.68407534246573
EA05_S_Wi2015	5.62691513761468
EA05_S_Wi2016	4.91307232913072
EA05_S_Wi2017	5.33234126984127
EA05_S_Wi2018	5.42019230769231
EA10_S_Wi2013	5.60691823899369
EA10_S_Wi2015	5.35777070366323
EA10_S_Wi2016	5.68264840182648
EA10_S_Wi2017	5.88755622188906
EA10_S_Wi2018	5.71266233766234
EB05_S_Wi2013	5.2
EB05_S_Wi2015	4.80786166899366
EB05_S_Wi2016	5.00943396226415
EB05_S_Wi2017	5.13268156424581
EB05_S_Wi2018	5.09037900874636
EB07_S_Wi2013	4.94230769230962
EB07_S_Wi2015	4.6425
EB07_S_Wi2016	4.56338028169014
EB07_S_Wi2017	5.56940063091483
EB07_S_Wi2018	4.81578947368421
EB10_S_Wi2013	5.28947368420959
EB10_S_Wi2015	3.90067466266867
EB10_S_Wi2016	5.46428571428571
EB10_S_Wi2017	5.14847161572052
EB10_S_Wi2018	5.06756756756757
EBI05_S_Wi2013	5.6076923076906
EBI05_S_Wi2015	5.1819908444531
EBI05_S_Wi2016	5.29116945107399
EBI05_S_Wi2017	5
EBI05_S_Wi2018	5.64441416893733
EBI10_S_Wi2013	5.18935516888425
EBI10_S_Wi2016	5.23336547733848
EBI10_S_Wi2017	4.63877551020408
EBI10_S_Wi2018	4.29024716098864
EBI20_S_Wi2013	4.87500000001758
EBI20_S_Wi2015	6
EBI20_S_Wi2017	1.35
EBI20_S_Wi2018	0
ED05_S_Wi2013	5.93010075566755
ED05_S_Wi2015	5.88891666666667
ED05_S_Wi2016	5.71740924092409
ED05_S_Wi2017	5.08965517241379
ED05_S_Wi2018	5.28537735849057
ED10_S_Wi2013	4.07142857142628
ED10_S_Wi2015	5.57903864111343
ED10_S_Wi2016	4.47368421052632
ED10_S_Wi2017	4.39738430583501
ED10_S_Wi2018	4.29591836734694
EL05_S_Wi2013	4.97795591182374
EL05_S_Wi2015	4.47547692276252
EL05_S_Wi2016	5.22244897959184
EL05_S_Wi2017	4.45218120805369
EL05_S_Wi2018	5.33137829912023
EL10_S_Wi2013	4.92857142857315
EL10_S_Wi2015	5.43748149610185
EL10_S_Wi2016	3.5948275862069
EL10_S_Wi2017	5.20065789473684
EL10_S_Wi2018	5.29126213592233
EM05_S_Wi2013	5.0472972972973
EM05_S_Wi2015	4.65436796823296
EM05_S_Wi2016	4.8859649122807
EM05_S_Wi2017	5.17058823529412
