	byOTUs	byTaxa
EA05_S_Wi2013	5.3763584098717	5.02353146520263
EA05_S_Wi2015	5.15761139052207	5.0710351012042
EA05_S_Wi2016	5.27608880090497	4.8998401096391
EA05_S_Wi2017	5.29873646209385	4.93026544122373
EA05_S_Wi2018	5.21395759717313	4.66089613034623
EA05_S_Wi2019	5.2570260400127	4.73496733304644
EA10_S_Wi2013	5.24324262832182	4.94059833921055
EA10_S_Wi2015	5.03476723629935	4.52499378264112
EA10_S_Wi2016	5.04695340501791	4.64307093684526
EA10_S_Wi2017	5.14182514201036	4.70702127659575
EA10_S_Wi2018	5.15663716814158	4.91872455184813
EB05_S_Wi2013	3.91446872645065	3.74889500049111
EB05_S_Wi2015	4.57303639846744	4.20349643881233
EB05_S_Wi2016	3.86510363574583	3.65893800514743
EB05_S_Wi2017	3.8911142033595	3.505748135147
EB05_S_Wi2018	4.05765109301327	3.73690454462493
EB05_S_Wi2019	4.40157059452348	4.05282067782067
EB07_S_Wi2013	2.06406685236769	2.03936940041351
EB07_S_Wi2015	1.64147615937297	1.56610720086627
EB07_S_Wi2016	3.47350180505415	3.5170105355575
EB07_S_Wi2017	2.87598820849525	2.68942877721757
EB07_S_Wi2018	2.82166890982503	2.59863153297423
EB07_S_Wi2019	3.18278222307914	2.96599151978134
EB10_S_Wi2013	1.50394632991318	1.63139924318212
EB10_S_Wi2015	1.90572390572391	1.73039153972051
EB10_S_Wi2016	2.44181010549695	2.44426944511752
EB10_S_Wi2017	4.21472227215532	3.77408042394014
EB10_S_Wi2018	4.63649262202044	4.23452133194588
EBI05_S_Wi2013	3.64912575655683	2.30079381028939
EBI05_S_Wi2015	5.15279477764178	4.13725939505041
EBI05_S_Wi2016	4.9899857448325	4.35955167625471
EBI05_S_Wi2017	4.94307324840764	4.02492393055307
EBI05_S_Wi2018	5.18482064741907	4.25129807269207
EBI05_S_Wi2019	4.80825730632441	3.69498257839721
EBI10_S_Wi2013	4.0396287825475	3.38013545698124
EBI10_S_Wi2016	3.01054078826764	2.50043832734286
EBI10_S_Wi2017	3.30698935529222	2.55515759312321
EBI10_S_Wi2018	4.37093135675154	3.670024758815
EBI20_S_Wi2013	2.53597211849639	2.22436077549874
EBI20_S_Wi2015	1.34971771664128	1.50427309847118
EBI20_S_Wi2017	1.44707884288145	1.51956840789259
EBI20_S_Wi2018	1.45147457117063	1.5122838944495
EBI20_S_Wi2019	1.41919757033248	1.62645921699636
ED05_S_Wi2013	5.4157498786604	5.02540988755575
ED05_S_Wi2015	5.41492949110976	4.78411106354352
ED05_S_Wi2016	5.07542804257289	4.48825549450549
ED05_S_Wi2017	5.32019840176357	4.86861022364217
ED05_S_Wi2018	5.25908455625438	4.70402128917801
ED10_S_Wi2013	5.12647941323553	4.98885412592883
ED10_S_Wi2015	5.34609991235757	4.66473166686411
ED10_S_Wi2016	2.68752218042445	2.30103168754606
ED10_S_Wi2017	3.43825390547755	2.90001149293184
ED10_S_Wi2018	3.63713713713713	3.04977677084027
ED10_S_Wi2019	4.0183719615602	3.31202580435753
EL05_S_Wi2013	4.24960133371993	4.10109627431585
EL05_S_Wi2015	4.81790499390986	4.38169503609303
EL05_S_Wi2016	3.47048219918883	3.88202390033053
EL05_S_Wi2017A	3.89614133648727	3.33557539050048
EL05_S_Wi2017B	3.90679824561403	3.37840434218742
EL05_S_Wi2018	4.23223855984609	3.69640560896455
EL10_S_Wi2013	2.89442658092176	2.40717371181734
EL10_S_Wi2015	4.48128544423441	3.89351503759398
EL10_S_Wi2016	2.1792567773378	1.95569532761958
EL10_S_Wi2017	3.23334533669428	2.65675560168508
EL10_S_Wi2018	2.89777973180917	2.50110431532449
EL10_S_Wi2019	2.66834009826959	2.27023353515383
EM05_S_Wi2013	5.04911812961443	4.71123230236374
EM05_S_Wi2015	5.18643210431655	4.83500276319425
EM05_S_Wi2016	5.08845269382391	4.59213906490838
EM05_S_Wi2017	3.75179524949364	2.77977681621498
EM05_S_Wi2018	5.10592209856915	4.36402376033058
EM05_S_Wi2019	4.73144531250001	3.8911976152902
EM10_S_Wi2013	1.27345952476843	1.39816335499988
EM10_S_Wi2015	1.37375454225765	1.40821035838414
EM10_S_Wi2016	0.816938032563907	1.13969069727114
EM10_S_Wi2017	0.813409299013128	1.22336091394011
EM10_S_Wi2018	0.993284424379233	1.26519911404421
EN10_S_Wi2013_PS	4.97250456085483	5.05734010248624
EN10_S_Wi2015	5.32249621961147	5.1884544386642
EN10_S_Wi2016	5.09316222570534	4.6673422534706
EN10_S_Wi2017	4.86151079136691	4.77892502171187
EN10_S_Wi2018	4.90168411470187	4.91713660466291
EN15_S_Wi2013	4.91261633919338	4.92564516129033
EN15_S_Wi2015	5.40009555154474	5.20039015606243
EN15_S_Wi2016	4.98228316130028	4.62714694656488
EN15_S_Wi2017	4.89263622974963	4.43236777783556
EN15_S_Wi2018	4.90650976464697	4.36499916252582
EN17_S_Wi2013	4.2855089617856	4.53215161229493
EN17_S_Wi2015	4.8478697749196	4.92961165048544
EN17_S_Wi2016	2.73481237542247	2.6797420034224
EN17_S_Wi2017	4.73624463080384	4.2818266158128
EN17_S_Wi2018	4.92778505897772	4.70518044237485
EN17_S_Wi2019	4.96072212734812	4.66883641950352
EN20_S_Wi2013	5.16072957698236	4.90059412387076
EN20_S_Wi2015	5.02197609001407	4.98476205997393
EN20_S_Wi2016	4.9500146084924	4.41472630718954
EN20_S_Wi2017	5.24926456167877	4.97013527575442
EN20_S_Wi2018	5.01431921546334	4.5791380698593
EN30_S_Wi2013	2.05977716574862	2.0248833592535
EN30_S_Wi2016	1.45282136173888	1.78107124284971
EN30_S_Wi2017	1.38211923924745	1.69090315086395
EN30_S_Wi2018	1.31327251324308	1.58721698528764
EO05_S_Wi2013	5.38184217246956	4.93146979260595
EO05_S_Wi2015	4.72538382804503	4.35094773118897
EO05_S_Wi2016	4.62062385929982	4.42957114947314
EO05_S_Wi2017	4.62253022707168	4.16879947944908
EO05_S_Wi2018	4.91542535584243	4.74132249560634
EO05_S_Wi2019	4.40102962807313	3.88320586360739
EO10_S_Wi2013	4.76854130052724	4.44811069717935
EO10_S_Wi2015	3.75935359213069	3.59435501413966
EO10_S_Wi2016	3.41648378444281	2.99182544560541
EO10_S_Wi2017A	2.34208059981256	2.07990836814445
EO10_S_Wi2017B	2.28668737206184	2.05440370980207
EO10_S_Wi2018	2.09516353514266	1.99169930983026
EO10_S_Wi2019	2.22956696300545	2.14301139772045
EOI10_S_Wi2013	4.7373790810157	4.51723342052624
EOI10_S_Wi2015	4.18888888888888	3.98522532800912
EOI10_S_Wi2016	3.88177169108086	3.7359265442404
EOI10_S_Wi2017	3.95398838959364	3.99092638665301
EOI10_S_Wi2018	3.5320287820288	3.75539765796535
EOI15_S_Wi2013	3.46419780711569	4.04405465488261
EOI15_S_Wi2015	4.17203859577088	4.13415961305926
EOI15_S_Wi2016	3.71260250730512	4.01576379787389
EOI15_S_Wi2017	3.52115630129491	3.48652477117536
