	byOTUs	byTaxa
EA05_S_Wi2013	2.23560477001704	2.178227994228
EA05_S_Wi2015	2.27486910994764	1.76419844112071
EA05_S_Wi2016	2.73902361199744	2.87812557624931
EA05_S_Wi2017	2.23883040935673	2.11486249871253
EA05_S_Wi2018	2.27088607594937	1.75662478583667
EA05_S_Wi2019	2.50496143422973	2.66375990396158
EA10_S_Wi2013	3.38289893724493	3.36064921012768
EA10_S_Wi2015	2.59128943758574	2.19255633255633
EA10_S_Wi2016	3.47381921824104	3.18830811554333
EA10_S_Wi2017	3.33654865380539	3.18693970281223
EA10_S_Wi2018	3.21889157180637	2.62453448946695
EA10_S_Wi2019	3.5277104162235	3.38359386051775
EB05_S_Wi2013	3.22772319521572	3.06513791151015
EB05_S_Wi2015	2.57083609820836	2.49673852183651
EB05_S_Wi2016	3.21410726026111	2.99322146413424
EB05_S_Wi2017	2.79848071679002	2.36184138941201
EB05_S_Wi2018	3.02523495581428	2.86958552247519
EB05_S_Wi2019	2.80404432657701	2.70262142229356
EB07_S_Wi2013	1.7288147232523	1.79458485586683
EB07_S_Wi2015	0.799005178522756	1.15677493274883
EB07_S_Wi2016	3.23306206490832	3.23224492013474
EB07_S_Wi2017	2.33136527085025	2.03083051665862
EB07_S_Wi2018	1.5267839444995	1.45608623701388
EB07_S_Wi2019	2.43738472246389	2.0034174536496
EB10_S_Wi2013	0.811340347041946	1.00904576513587
EB10_S_Wi2015	1.02039920159681	1.06292694090051
EB10_S_Wi2016	2.24680472263868	2.05245879214828
EB10_S_Wi2017	3.02438972617279	2.50184204091613
EB10_S_Wi2018	3.07696367587705	2.74699541039598
EB10_S_Wi2019	2.14477560214867	1.73799776499768
EBI05_S_Wi2013	0.958574062692072	1.29701932779632
EBI05_S_Wi2015	2.18892733564014	1.62682212327162
EBI05_S_Wi2016	2.18468834688347	1.80556170244154
EBI05_S_Wi2017	2.00077734591893	1.66777916053852
EBI05_S_Wi2018	2.16561904761905	1.73787682100101
EBI05_S_Wi2019	1.96701375976199	1.67580830461185
EBI10_S_Wi2013	2.71342026453705	3.03161903478026
EBI10_S_Wi2016	1.69600413365484	2.0326850016518
EBI10_S_Wi2017	1.69897180246144	1.99387840320695
EBI10_S_Wi2018	2.89165927240462	2.94500352858151
EBI10_S_Wi2019	2.76972990422899	2.66365361225979
EBI20_S_Wi2013	1.39832701499917	1.40163368614818
EBI20_S_Wi2015	0.65244057339866	1.02531928137543
EBI20_S_Wi2017	0.858875840839129	1.17077399380805
EBI20_S_Wi2018	0.647962622549019	1.01787269334439
EBI20_S_Wi2019	0.89482261208577	1.33781543624161
ED05_S_Su2017	2.86119507908612	2.40751358799663
ED05_S_Su2018	3.339906402893	2.91218116641389
ED05_S_Wi2013	2.36998355263158	1.87993623804464
ED05_S_Wi2015	1.9714897260274	1.93676185553689
ED05_S_Wi2016	2.70533419023137	2.21647983938431
ED05_S_Wi2017	2.38680981595092	1.85847441506563
ED05_S_Wi2018	2.14201995012469	1.88227213962508
ED05_S_Wi2019	3.28198617576526	3.10380142553458
ED10_S_Su2017	1.79787965616046	1.65918612208169
ED10_S_Su2018	0.710774647887324	0.873382838283828
ED10_S_Wi2013	1.84781233526621	1.7953125
ED10_S_Wi2015	2.05420136260409	1.8074040358064
ED10_S_Wi2016	1.38005199174249	1.49111961958871
ED10_S_Wi2017	1.45204589438761	1.59564390665514
ED10_S_Wi2018	1.45411456818843	1.58740619902121
ED10_S_Wi2019	1.70117807930998	1.68581276929103
EL05_S_Wi2013	3.28382391938477	3.16640303912203
EL05_S_Wi2015	2.12037141249296	1.94717433668116
