	bymorpho
EA05_S_Wi2013	2
EA05_S_Wi2015	1.99783222035034
EA05_S_Wi2016	1.98859857482185
EA05_S_Wi2017	1.98779342723005
EA05_S_Wi2018	1.99938461538462
EA10_S_Wi2013	3.21408839779006
EA10_S_Wi2015	2.89035295730245
EA10_S_Wi2016	2.25111111111111
EA10_S_Wi2017	2.52671875
EA10_S_Wi2018	2.83553500660502
EB05_S_Wi2013	2
EB05_S_Wi2015	2.03183849345675
EB05_S_Wi2016	2.04090909090909
EB05_S_Wi2017	2
EB05_S_Wi2018	2.09278350515464
EB07_S_Wi2013	2
EB07_S_Wi2015	2.32137118371719
EB07_S_Wi2016	3.5
EB07_S_Wi2017	2.59166666666667
EB07_S_Wi2018	2
EB10_S_Wi2013	3.36363636363915
EB10_S_Wi2015	0.801
EB10_S_Wi2016	3.42241379310345
EB10_S_Wi2017	3.5
EB10_S_Wi2018	3.5
EBI05_S_Wi2013	1.73333333333333
EBI05_S_Wi2015	1.9724780134506
EBI05_S_Wi2016	2.04545454545455
EBI05_S_Wi2017	1.61904761904762
EBI05_S_Wi2018	1.6
EBI10_S_Wi2013	2.81968503936994
EBI10_S_Wi2016	2.89142857142857
EBI10_S_Wi2017	1.7
EBI10_S_Wi2018	1.72012732615083
EBI20_S_Wi2013	2.3333333333625
EBI20_S_Wi2015	3.5
EBI20_S_Wi2017	0.985714285714286
EBI20_S_Wi2018	0
ED05_S_Wi2013	2
ED05_S_Wi2015	2
ED05_S_Wi2016	2.00068137573005
ED05_S_Wi2017	1.98947368421053
ED05_S_Wi2018	1.88648648648649
ED10_S_Wi2013	2
ED10_S_Wi2015	2
ED10_S_Wi2016	2.58842975206612
ED10_S_Wi2017	2.26909090909091
ED10_S_Wi2018	1.79574468085106
EL05_S_Wi2013	1.96676557863512
EL05_S_Wi2015	1.94460525130897
EL05_S_Wi2016	1.83481781376518
EL05_S_Wi2017	1.61353535353535
EL05_S_Wi2018	1.70958549222798
EL10_S_Wi2013	1.79259259259333
EL10_S_Wi2015	1.97295900268586
EL10_S_Wi2016	1.50344827586207
EL10_S_Wi2017	1.84299065420561
