	bymorpho
EA05_S_Wi2013	2
EA05_S_Wi2015	2
EA05_S_Wi2016	2.03409090909091
EA05_S_Wi2017	2
EA05_S_Wi2018	2.03488372093023
EA10_S_Wi2013	3.20535714285716
EA10_S_Wi2015	2.71084566000087
EA10_S_Wi2016	2.76153846153846
EA10_S_Wi2017	3.38326848249027
EA10_S_Wi2018	3.12962962962963
EB05_S_Wi2013	2
EB05_S_Wi2015	2.01591797654193
EB05_S_Wi2016	2.03688524590164
EB05_S_Wi2017	2
EB05_S_Wi2018	2.15
EB07_S_Wi2013	2
EB07_S_Wi2015	2.6
EB07_S_Wi2016	3.54568527918782
EB07_S_Wi2017	2.50232558139535
EB07_S_Wi2018	2
EB10_S_Wi2013	3.900000000007
EB10_S_Wi2015	1.19940029985008
EB10_S_Wi2016	3.40163934426229
EB10_S_Wi2017	2.9468085106383
EB10_S_Wi2018	3.11627906976744
EBI05_S_Wi2013	1.41176470588028
EBI05_S_Wi2015	1.93119503362649
EBI05_S_Wi2016	1.09090909090909
EBI05_S_Wi2017	1.22222222222222
EBI05_S_Wi2018	1
EBI10_S_Wi2013	2.88020833333242
EBI10_S_Wi2016	3.22307692307692
EBI10_S_Wi2017	0.56
EBI10_S_Wi2018	0.843288590604027
EBI20_S_Wi2013	1.33333333335
EBI20_S_Wi2015	3.07073954983923
EBI20_S_Wi2017	1.70833333333333
EBI20_S_Wi2018	0
ED05_S_Wi2013	2
ED05_S_Wi2015	2
ED05_S_Wi2016	2.04205607476635
ED05_S_Wi2017	2
ED05_S_Wi2018	2
ED10_S_Wi2013	2
ED10_S_Wi2015	2
ED10_S_Wi2016	2.65853658536585
ED10_S_Wi2017	2.44505494505495
ED10_S_Wi2018	2
EL05_S_Wi2013	1.99742765273318
EL05_S_Wi2015	2.04464285714286
EL05_S_Wi2016	2.06153846153846
EL05_S_Wi2017	2.01485148514851
EL05_S_Wi2018	1.73827160493827
EL10_S_Wi2013	2
EL10_S_Wi2015	2
EL10_S_Wi2016	2.46153846153846
EL10_S_Wi2017	2
EL10_S_Wi2018	2.75907473309609
EM05_S_Wi2013	2
EM05_S_Wi2015	2.21382636655949
EM05_S_Wi2016	2
EM05_S_Wi2017	2
EM05_S_Wi2018	2.375
EM10_S_Wi2013	NA
EM10_S_Wi2016	NA
EM10_S_Wi2017	NA
EM10_S_Wi2018	NA
EN10_S_Wi2013	3.07142857143041
EN10_S_Wi2015	3.39294899271325
EN10_S_Wi2016	3.48636363636364
EN10_S_Wi2017	3.5
EN10_S_Wi2018	2.45
EN15_S_Wi2013	3.07142857142903
EN15_S_Wi2015	NA
EN15_S_Wi2016	3.44081793157688
EN15_S_Wi2017	3.49830188679245
EN15_S_Wi2018	3.34126984126984
EN17_S_Wi2013	3.35714285714194
EN17_S_Wi2015	2.16520411804353
EN17_S_Wi2016	3.4204909284952
EN17_S_Wi2017	2.58257942352199
EN17_S_Wi2018	2.12745098039216
EN20_S_Wi2013	3.48136645962752
EN20_S_Wi2015	3.49413567839196
EN20_S_Wi2016	3.49828906631905
EN20_S_Wi2017	3.49688796680498
EN20_S_Wi2018	3.5
EN30_S_Wi2013	2.64999999999715
EN30_S_Wi2016	1.14285714285714
EN30_S_Wi2017	2.20161290322581
EN30_S_Wi2018	0.456521739130435
EO05_S_Wi2013	2.01336302895315
EO05_S_Wi2015	2
EO05_S_Wi2016	2.18883610451306
EO05_S_Wi2017	2.06766917293233
EO05_S_Wi2018	2.46153846153846
EO10_S_Wi2013	2.12162162162146
EO10_S_Wi2015	2
EO10_S_Wi2016	3.1319018404908
EO10_S_Wi2017	1.2
EO10_S_Wi2018	NA
EOI10_S_Wi2013	3.73173884938591
EOI10_S_Wi2015	3.84001392626239
EOI10_S_Wi2016	4.32632520688884
EOI10_S_Wi2017	3.54270738967258
EOI10_S_Wi2018	4.17820668166869
EOI15_S_Wi2013	3.50754527162975
EOI15_S_Wi2015	3.5
EOI15_S_Wi2016	3.49658314350797
EOI15_S_Wi2017	3.54502814258912
EOI15_S_Wi2018	3.50109569028488
EOI20_S_Wi2013	3.99173553719012
EOI20_S_Wi2015	3.75563157894737
EOI20_S_Wi2016	3.14898540405838
EOI20_S_Wi2017	4.20196463654224
EOI20_S_Wi2018	3.4737747205503
EOK05_S_Wi2013	NA
EOK05_S_Wi2015	1.2
EOK05_S_Wi2016	0.6
EOK05_S_Wi2017	1.34053333333333
EOK05_S_Wi2018	1.19108910891089
EOK10_S_Wi2013	NA
EOK10_S_Wi2015	0.450070323488045
EOK10_S_Wi2016	4.90952380952381
EOK10_S_Wi2017	1.28470588235294
EOK10_S_Wi2018	1.4
EOK20_S_Wi2015	2.88488170802077
EOK20_S_Wi2016	NA
EOK20_S_Wi2017	2.6525
EOK20_S_Wi2018	1.16666666666667
EU05_S_Wi2013	1.93368700265226
EU05_S_Wi2016	1.97387964148528
EU05_S_Wi2017	1.67849898580122
EU05_S_Wi2018	1.515625
EU08_S_Wi2013	2.17404129793497
EU08_S_Wi2015	2.10714285714286
EU08_S_Wi2016	2.32481412639405
EU08_S_Wi2017	2.37920298879203
EU08_S_Wi2018	2.12162162162162
EU10_S_Wi2013	2.02621035058422
EU10_S_Wi2015	2.14634146341463
EU10_S_Wi2016	2.97357293868922
EU10_S_Wi2017	2.65222222222222
EU10_S_Wi2018	2.15688200624061
EUR05_S_Wi2013	2
EUR05_S_Wi2015	2.80795847750865
EUR05_S_Wi2016	NA
EUR05_S_Wi2017	2
EUR05_S_Wi2018	2
EUR10_S_Wi2013	NA
EUR10_S_Wi2015	NA
EUR10_S_Wi2016	2
EUR10_S_Wi2017	3.5
EUR10_S_Wi2018	NA
