	byOTUs	byTaxa
EA05_S_Wi2013	269.718560741005	316.795146649637
EA05_S_Wi2015	343.794466403162	412.245738709513
EA05_S_Wi2016	73.0122071923457	107.847707847708
EA05_S_Wi2017	306.45698427382	327.11534590351
EA05_S_Wi2018	291.37519872814	368.387157874799
EA05_S_Wi2019	96.2751116071427	151.497755524862
EA10_S_Wi2013	-92.2450033188287	-33.8003917263942
EA10_S_Wi2015	151.393312101911	273.691931540342
EA10_S_Wi2016	-99.1786253776432	-11.5787609574688
EA10_S_Wi2017	-90.7536536440918	-13.2280236343904
EA10_S_Wi2018	-70.6649666535898	72.1461646869339
EA10_S_Wi2019	-103.792466059022	-46.6311489966258
EB05_S_Wi2013	-48.6401261332283	-33.5492865343612
EB05_S_Wi2015	104.672650475185	184.077134986226
EB05_S_Wi2016	-56.5497373326555	-17.2678933476149
EB05_S_Wi2017	4.25293305728088	108.796375448795
EB05_S_Wi2018	-38.7220939183987	19.4761932111882
EB05_S_Wi2019	0.210323372184726	63.6940298507463
EB07_S_Wi2013	229.09681611436	255.762228127153
EB07_S_Wi2015	374.052590873937	365.821081485172
EB07_S_Wi2016	-79.818442427138	-77.0899808551373
EB07_S_Wi2017	89.8132617689814	180.273118598783
EB07_S_Wi2018	249.147960982489	304.022003787537
EB07_S_Wi2019	45.2705031013094	177.751038438716
EB10_S_Wi2013	352.193625816775	380.461631909293
EB10_S_Wi2015	323.564432494718	365.334551267412
EB10_S_Wi2016	117.188665175242	166.5512416929
EB10_S_Wi2017	-2.57113472745972	122.136605072193
EB10_S_Wi2018	39.8242368177613	141.295477728664
EB10_S_Wi2019	123.001220008133	224.155396003785
EBI05_S_Wi2013	409.400123685838	345.78033817148
EBI05_S_Wi2015	239.993062781825	271.03968514267
EBI05_S_Wi2016	137.04347826087	174.54097784031
EBI05_S_Wi2017	199.321266968326	264.298494895274
EBI05_S_Wi2018	208.412582297001	215.857649304609
EBI05_S_Wi2019	114.595375722544	236.697247706422
EBI10_S_Wi2013	14.70214731009	13.2119514472456
EBI10_S_Wi2016	235.087607518318	210.779400788997
EBI10_S_Wi2017	215.246764329398	208.759604829858
EBI10_S_Wi2018	-44.3030586037825	24.1379310344827
EBI10_S_Wi2019	-15.03245044729	29.5572378986006
EBI20_S_Wi2013	297.3715651135	299.2686607592
EBI20_S_Wi2015	410.944575258105	386.65811025547
EBI20_S_Wi2017	356.427994926784	358.546497728903
EBI20_S_Wi2018	413.902847571189	397.732500821557
EBI20_S_Wi2019	342.832415420929	327.712961483139
ED05_S_Su2018	-12.3473748473748	11.0935365590625
ED05_S_Wi2013	291.753098912219	272.490857375051
ED05_S_Wi2015	318.866535819431	316.014402003757
ED05_S_Wi2016	109.017387788112	206.131663268279
ED05_S_Wi2017	254.634873323398	258.3666596506
ED05_S_Wi2018	235.085756897837	263.918677390527
ED05_S_Wi2019	41.7911751856706	16.2031088082902
ED10_S_Su2018	376.404985786136	392.262051915946
ED10_S_Wi2013	288.209323464485	296.879321748542
ED10_S_Wi2015	292.146596858639	301.150377323762
ED10_S_Wi2016	296.148187775846	308.402526207803
ED10_S_Wi2017	267.402142781373	273.919292426755
ED10_S_Wi2018	297.384780278671	285.866323606806
ED10_S_Wi2019	281.798089262798	282.225090706112
EL05_S_Wi2013	-89.0799005297872	-75.1406484861498
EL05_S_Wi2015	132.088058705804	311.964129483815
EL05_S_Wi2016	-74.5047028216931	-85.0320946432167
EL05_S_Wi2017A	40.0426118561223	169.553611994548
EL05_S_Wi2017B	41.1580436540016	165.352617432484
EL05_S_Wi2018	-11.3198096669171	88.8472558959662
EL05_S_Wi2019	3.77327127659575	124.465892697671
EL10_S_Wi2013	279.702530708894	319.678164420417
EL10_S_Wi2015	104.223189147684	189.464788732394
EL10_S_Wi2016	276.844181459566	298.100746414475
EL10_S_Wi2017	165.018638414754	182.746358809489
EL10_S_Wi2018	217.931937172775	255.657805044308
EL10_S_Wi2019	178.711897738446	276.883917688393
EM05_S_Wi2013	-99.7363105924596	-118.508565670138
EM05_S_Wi2015	14.4636549544525	102.113113735239
EM05_S_Wi2016	-20.4143373890168	40.5443542065159
EM05_S_Wi2017	137.427930813581	298.050695229858
EM05_S_Wi2018	207.186985172982	271.923076923077
EM05_S_Wi2019	174.624697336562	256.900089440733
EM10_S_Wi2013	471.168049085331	451.104765131531
EM10_S_Wi2015	468.174072617643	460.9404315197
EM10_S_Wi2016	482.536219235469	450.290006813914
EM10_S_Wi2017	470.565391205026	441.069701018105
EM10_S_Wi2018	467.413979139192	444.989928327165
EN10_S_Wi2013_PS	280.125791734952	140.786194972285
EN10_S_Wi2015	311.934777685514	201.898960945897
EN10_S_Wi2016	-21.0208135417567	76.5533080828432
EN10_S_Wi2017	103.456464379947	67.2479150871874
EN10_S_Wi2018	201.615081928701	110.515247108307
EN15_S_Su2017	-160.946497748927	-98.6887543166007
EN15_S_Su2018	-112.563520380582	-29.7115635604281
EN15_S_Wi2013	-70.549084858569	-151.855075617452
EN15_S_Wi2015	-19.8658039779535	-29.574380730806
EN15_S_Wi2016	-105.929700191995	-44.9918433931484
EN15_S_Wi2017	-32.2622525154171	60.1489228670494
EN15_S_Wi2018	-109.112244072186	-47.2294950574406
EN15_S_Wi2019A	16.7844166330238	81.4206244573781
EN15_S_Wi2019B	29.1111966140823	101.599766599402
EN17_S_Su2017	-50.0282645562466	139.593380096449
EN17_S_Su2018	-118.833314344309	-50.2409009113601
EN17_S_Wi2013	49.6843542057669	89.3036090334761
EN17_S_Wi2015	160.743321718932	161.639616159223
EN17_S_Wi2016	62.3875432525952	166.25241927269
EN17_S_Wi2017	259.380188157166	257.337685044877
EN17_S_Wi2018	-131.974716652136	-114.095811387008
EN17_S_Wi2019	-56.8205394190871	5.29858678108881
EN20_S_Su2017	-158.144754067701	-76.7534345625452
EN20_S_Su2018	-168.681851223649	-105.882352941177
EN20_S_Wi2013	-51.5748792270531	-2.35605768218659
EN20_S_Wi2015	15.7358156028368	38.6323104360125
EN20_S_Wi2016	-150.900681596884	-64.7507791464372
EN20_S_Wi2017	-99.0636305596936	-71.2634094825192
EN20_S_Wi2018	-116.495105778339	-40.058468430844
EN20_S_Wi2019	-51.2638230647709	-0.568859528397131
EN30_S_Su2017	177.307692307692	272.133101109176
EN30_S_Su2018	320.423028435355	346.157880933648
EN30_S_Wi2013	255.040674026728	314.226447709594
EN30_S_Wi2016	311.83187877209	312.733691092432
EN30_S_Wi2017	350.451252820331	352.858088722136
EN30_S_Wi2018	355.701906412478	339.096367585061
EN30_S_Wi2019	217.907661377181	280.732014065347
EN_Asua_S_Wi2019	-3.20813771517997	74.3642280342292
EN_Axpe_S_Wi2019	-131.711317659924	-154.802539153962
EN_LasArenas_S_Wi2019	-161.674202461693	-26.0511916565679
EN_Sestao_S_Wi2019	-207.255069980006	-20.4736688216757
EO05_S_Wi2013	-73.936170212766	-69.3553241437429
EO05_S_Wi2015	-83.3454228927899	-42.8060128847531
EO05_S_Wi2016	-23.7229891082765	69.6513102936173
EO05_S_Wi2017	-28.0933256836872	50.2278629881903
EO05_S_Wi2018	157.277882797731	259.77415574731
EO10_S_Wi2013	-5.84380120152922	86.0513574799289
EO10_S_Wi2015	364.111006585136	381.094061876248
EO10_S_Wi2016	4.48798570199247	95.3432330337373
EO10_S_Wi2017A	394.767184035476	383.879845415154
EO10_S_Wi2017B	391.289332310054	378.265645324469
EO10_S_Wi2018	407.753086419753	363.234132209639
EO10_S_Wi2019	292.034081687854	317.124078069339
EOI10_S_Su2017	-63.793967331396	-4.43899910466048
EOI10_S_Su2018	-55.540490570689	29.1209563994375
EOI10_S_Wi2013	-60.1551653736219	12.4565906688812
EOI10_S_Wi2016	-47.3907097798756	41.1635713898965
EOI10_S_Wi2017	-55.9050629631549	40.0859536839502
EOI10_S_Wi2018	-51.1246923011628	72.4226399287922
EOI10_S_Wi2019	-50.0686184812443	22.2422901521651
EOI15_S_Su2017	-55.5590403010821	-0.79741379310343
EOI15_S_Su2018	-58.5718374356039	1.7692441556935
EOI15_S_Wi2013	-62.7265803503429	-11.5252186860227
EOI15_S_Wi2016	-66.2208918088871	-10.8941171767246
