	bymorpho
EA05_S_Wi2013	-76.1078998073231
EA05_S_Wi2016	-24.2461538461538
EA05_S_Wi2017	-35.4064375340971
EA05_S_Wi2018	-36.4608076009501
EA10_S_Wi2013	-86.8520263901997
EA10_S_Wi2016	-83.4146341463415
EA10_S_Wi2017	-85.2380952380952
EA10_S_Wi2018	-70.3140830800405
EB05_S_Wi2013	-33.9152119700852
EB05_S_Wi2016	-40.8585055643879
EB05_S_Wi2017	-37.2881355932203
EB05_S_Wi2018	-36.2880886426593
EB07_S_Wi2013	-96.5517241378909
EB07_S_Wi2016	-51.1111111111111
EB07_S_Wi2017	-30.0429184549356
EB07_S_Wi2018	-2.34375
EB10_S_Wi2013	-80.6451612905021
EB10_S_Wi2016	-98.5294117647059
EB10_S_Wi2017	-66.1057692307692
EB10_S_Wi2018	-69.1358024691358
EBI05_S_Wi2013	24.5283018868405
EBI05_S_Wi2016	-5.72792362768496
EBI05_S_Wi2017	95.4545454545455
EBI05_S_Wi2018	18.3431952662722
EBI10_S_Wi2013	-15.8887785501386
EBI10_S_Wi2016	-30.2867383512545
EBI10_S_Wi2017	4.81144343302991
EBI10_S_Wi2018	61.7793736285657
EBI20_S_Wi2013	9.99999999819999
EBI20_S_Wi2017	71.4285714285714
EBI20_S_Wi2018	500
ED05_S_Wi2013	0
ED05_S_Wi2016	-0.109559024924678
ED05_S_Wi2017	-0.594059405940594
ED05_S_Wi2018	0
ED10_S_Wi2013	0
ED10_S_Wi2017	-3.92927308447937
ED10_S_Wi2018	22.9357798165138
EL05_S_Wi2013	-15.8523344191231
EL05_S_Wi2016	7.92452830188679
EL05_S_Wi2017	-6.27376425855513
EL05_S_Wi2018	85.0789096126255
EL10_S_Wi2013	-26.3157894738504
EL10_S_Wi2016	-7.4468085106383
EL10_S_Wi2017	-4.46428571428571
EL10_S_Wi2018	43.348623853211
EM05_S_Wi2013	2.22222222222222
EM05_S_Wi2016	27.6807980049875
EM05_S_Wi2017	12.3711340206186
EM05_S_Wi2018	6.89655172413793
EM10_S_Wi2013	-100
EM10_S_Wi2016	-100
EM10_S_Wi2017	500
EM10_S_Wi2018	NA
EN10_S_Wi2013	-39.99999999976
EN10_S_Wi2016	-41.9313850063532
EN10_S_Wi2017	-23.0769230769231
EN15_S_Wi2013	-39.99999999994
EN15_S_Wi2016	-96.5237543453071
EN15_S_Wi2017	-38.1426202321725
EN15_S_Wi2018	-25.9445843828715
EN17_S_Wi2013	-59.0909090908905
EN17_S_Wi2016	-96.9521044992743
EN17_S_Wi2017	-95.4048582995951
EN17_S_Wi2018	-65.028901734104
EN20_S_Wi2013	-100
EN20_S_Wi2016	-100
EN20_S_Wi2017	-100
EN20_S_Wi2018	-100
EN30_S_Wi2013	50.000000001125
EN30_S_Wi2016	450
EN30_S_Wi2018	421.739130434783
EO05_S_Wi2013	-35.6965790778351
EO05_S_Wi2016	-66.4
EO05_S_Wi2017	-18.452380952381
EO05_S_Wi2018	2.1417445482866
EO10_S_Wi2013	-6.5934065934084
EO10_S_Wi2016	-66.2689804772234
EO10_S_Wi2017	113.953488372093
EO10_S_Wi2018	225
EOI10_S_Wi2013	-98.4750162232323
EOI10_S_Wi2016	-94.9726231956197
EOI10_S_Wi2017	-96.9764690416721
EOI10_S_Wi2018	-89.7954300753679
EOI15_S_Wi2013	-100
EOI15_S_Wi2016	-99.7722095671982
EOI15_S_Wi2017	-98.6792452830189
EOI15_S_Wi2018	-99.9686945632892
EOI20_S_Wi2013	-73.2142857142857
EOI20_S_Wi2016	-55.81957309706
EOI20_S_Wi2017	-92.7626137303557
EOI20_S_Wi2018	-70.1386420191966
EOK05_S_Wi2013	0
EOK05_S_Wi2016	6.38297872340426
EOK05_S_Wi2018	0.0927261487739543
EOK10_S_Wi2013	0
EOK10_S_Wi2016	0
EOK10_S_Wi2017	0.984200984200984
EOK10_S_Wi2018	1.09375
EOK20_S_Wi2016	500
EOK20_S_Wi2017	103.076923076923
EOK20_S_Wi2018	433.333333333333
EU05_S_Wi2013	-4.20235012945732
EU05_S_Wi2016	-24.0883410374936
EU05_S_Wi2017	-17.7004538577912
EU05_S_Wi2018	30.272952853598
EU08_S_Wi2013	-16.9327251995437
EU08_S_Wi2016	-13.3534314594786
EU08_S_Wi2017	-13.6964569011105
EU08_S_Wi2018	-4.48179271708683
EU10_S_Wi2013	-22.5499524262525
EU10_S_Wi2016	-30.0537634408602
EU10_S_Wi2017	-18.6915887850467
EU10_S_Wi2018	-5.19321202208137
EUR05_S_Wi2013	-99.3318485523386
EUR05_S_Wi2016	-99.6606334841629
EUR05_S_Wi2017	-97.0149253731343
EUR05_S_Wi2018	-96.8354430379747
EUR10_S_Wi2013	-92.1052631578999
EUR10_S_Wi2016	70.5882352941177
EUR10_S_Wi2017	77.7777777777778
EUR10_S_Wi2018	250
