	bymorpho
EA05_S_Wi2013	-0.2487562188993
EA05_S_Wi2016	-16.1449752883031
EA05_S_Wi2017	-39.7212543554007
EA05_S_Wi2018	-23.0593607305936
EA10_S_Wi2013	-65.8888888888903
EA10_S_Wi2016	-15.2037617554859
EA10_S_Wi2017	-37.8787878787879
EA10_S_Wi2018	-46.8920392584515
EB05_S_Wi2013	0
EB05_S_Wi2016	-3.2258064516129
EB05_S_Wi2017	0
EB05_S_Wi2018	-3.7037037037037
EB07_S_Wi2013	0
EB07_S_Wi2016	-20.8494208494208
EB07_S_Wi2017	-19.4174757281553
EB07_S_Wi2018	0
EB10_S_Wi2013	-36.000000000144
EB10_S_Wi2016	-38.8059701492537
EB10_S_Wi2017	-9.79381443298969
EB10_S_Wi2018	-32.5
EBI05_S_Wi2013	0
EBI05_S_Wi2016	-1.14503816793893
EBI05_S_Wi2017	0
EBI05_S_Wi2018	0
EBI10_S_Wi2013	-12.5796178343914
EBI10_S_Wi2016	-22.4159402241594
EBI10_S_Wi2017	-2.64900662251656
EBI10_S_Wi2018	-30.0847457627119
EBI20_S_Wi2013	37.4999999980078
EBI20_S_Wi2017	100
EBI20_S_Wi2018	500
ED05_S_Wi2013	-25.8835758835752
ED05_S_Wi2016	-5.81962218159659
ED05_S_Wi2017	-83.5164835164835
ED05_S_Wi2018	-75.2126366950182
ED10_S_Wi2013	-50
ED10_S_Wi2017	-39.0625
ED10_S_Wi2018	-9.30232558139535
EL05_S_Wi2013	-63.3128834355833
EL05_S_Wi2016	-93.9508506616257
EL05_S_Wi2017	-91.1214953271028
EL05_S_Wi2018	-94.9019607843137
EL10_S_Wi2013	-68.4210526315374
EL10_S_Wi2016	-90.3225806451613
EL10_S_Wi2017	-83.9416058394161
EL10_S_Wi2018	-85.4748603351955
EM05_S_Wi2013	0
EM05_S_Wi2016	3.44827586206897
EM05_S_Wi2017	0
EM05_S_Wi2018	0
EM10_S_Wi2013	-100
EM10_S_Wi2016	-100
EM10_S_Wi2017	500
EM10_S_Wi2018	NA
EN10_S_Wi2013	-11.111111111037
EN10_S_Wi2016	-36.986301369863
EN10_S_Wi2017	0
EN15_S_Wi2013	-15.3846153845888
EN15_S_Wi2016	-85.5277475516866
EN15_S_Wi2017	-10.1000322684737
EN15_S_Wi2018	-18.6295503211991
EN17_S_Wi2013	-62.4999999999766
EN17_S_Wi2016	-95.525494276795
EN17_S_Wi2017	-36.5619371622974
EN17_S_Wi2018	-10.1226993865031
EN20_S_Wi2013	-93.9393939394091
EN20_S_Wi2016	-99.8721772475501
EN20_S_Wi2017	-99.127358490566
EN20_S_Wi2018	-100
EN30_S_Wi2013	-77.7777777779259
EN30_S_Wi2016	-100
EN30_S_Wi2018	-100
EO05_S_Wi2013	-0.262123197901385
EO05_S_Wi2016	-2.07517619420517
EO05_S_Wi2017	-1.75695461200586
EO05_S_Wi2018	-0.22140221402214
EO10_S_Wi2013	-3.7037037037037
EO10_S_Wi2016	-56.5469293163384
EO10_S_Wi2017	161.764705882353
EO10_S_Wi2018	480.769230769231
EOI10_S_Wi2013	-98.8457098884186
EOI10_S_Wi2016	-83.5971855760774
EOI10_S_Wi2017	-92.0368296628095
EOI10_S_Wi2018	-88.2911392405063
EOI15_S_Wi2013	-100
EOI15_S_Wi2016	-99.7722095671982
EOI15_S_Wi2017	-98.6866791744841
EOI15_S_Wi2018	-100
EOI20_S_Wi2013	-66.0968660968632
EOI20_S_Wi2016	-91.8467183041174
EOI20_S_Wi2017	-96.1104140526976
EOI20_S_Wi2018	-66.9660398540556
EOK05_S_Wi2013	0
EOK05_S_Wi2016	0
EOK05_S_Wi2018	0
EOK10_S_Wi2013	0
EOK10_S_Wi2016	-26.4516129032258
EOK10_S_Wi2017	-0.281425891181989
EOK10_S_Wi2018	0.147492625368732
EOK20_S_Wi2016	500
EOK20_S_Wi2017	-20.5128205128205
EOK20_S_Wi2018	445.454545454545
EU05_S_Wi2013	-0.0209599664635298
EU05_S_Wi2016	-0.751408891671885
EU05_S_Wi2017	-0.126582278481013
EU05_S_Wi2018	0
EU08_S_Wi2013	-6.46500593119691
EU08_S_Wi2016	-9.30865541643985
EU08_S_Wi2017	-4.8938679245283
EU08_S_Wi2018	-2.12620027434842
EU10_S_Wi2013	-0.25795356835769
EU10_S_Wi2016	-27.6070528967254
EU10_S_Wi2017	-2.97176820208024
EU10_S_Wi2018	-4.83238580670457
EUR05_S_Wi2013	0
EUR05_S_Wi2016	0
EUR05_S_Wi2017	0
EUR05_S_Wi2018	0
EUR10_S_Wi2013	0
EUR10_S_Wi2016	0
EUR10_S_Wi2017	-57.1428571428571
EUR10_S_Wi2018	NA
