	bymorpho
EA05_S_Wi2013	3.8
EA05_S_Wi2016	3.8
EA05_S_Wi2017	3.8
EA05_S_Wi2018	3.8
EA10_S_Wi2013	3.79074446680077
EA10_S_Wi2016	3.78967065868263
EA10_S_Wi2017	3.8
EA10_S_Wi2018	3.8
EB05_S_Wi2013	3.8
EB05_S_Wi2016	3.8
EB05_S_Wi2017	3.8
EB05_S_Wi2018	3.8
EB07_S_Wi2013	3.51250000000202
EB07_S_Wi2016	3.8
EB07_S_Wi2017	3.8
EB07_S_Wi2018	3.75208333333333
EB10_S_Wi2013	2.89642857142329
EB10_S_Wi2016	3.5125
EB10_S_Wi2017	3.8
EB10_S_Wi2018	3.68354430379747
EBI05_S_Wi2013	3.8
EBI05_S_Wi2016	3.8
EBI05_S_Wi2017	3.8
EBI05_S_Wi2018	3.8
EBI10_S_Wi2013	3.77296767874633
EBI10_S_Wi2016	3.70689061154177
EBI10_S_Wi2017	3.7970625798212
EBI10_S_Wi2018	3.78694793979768
EBI20_S_Wi2013	3.1666666666825
EBI20_S_Wi2017	2.13636363636364
EBI20_S_Wi2018	0
ED05_S_Wi2013	3.73250239693189
ED05_S_Wi2016	3.78349664775658
ED05_S_Wi2017	3.66711259754738
ED05_S_Wi2018	3.73898305084746
ED10_S_Wi2013	3.8
ED10_S_Wi2017	3.79264150943396
ED10_S_Wi2018	3.8
EL05_S_Wi2013	3.8
EL05_S_Wi2016	3.8
EL05_S_Wi2017	3.8
EL05_S_Wi2018	3.8
EL10_S_Wi2013	3.8
EL10_S_Wi2016	3.01188811188811
EL10_S_Wi2017	3.8
EL10_S_Wi2018	3.8
EM05_S_Wi2013	3.8
EM05_S_Wi2016	3.8
EM05_S_Wi2017	3.8
EM05_S_Wi2018	3.8
EM10_S_Wi2013	NA
EM10_S_Wi2016	NA
EM10_S_Wi2017	0
EM10_S_Wi2018	NA
EN10_S_Wi2013	3.8
EN10_S_Wi2016	3.8
EN10_S_Wi2017	3.8
EN15_S_Wi2013	3.8
EN15_S_Wi2016	3.8
EN15_S_Wi2017	3.8
EN15_S_Wi2018	3.8
EN17_S_Wi2013	3.8
EN17_S_Wi2016	3.79524137931034
EN17_S_Wi2017	3.8
EN17_S_Wi2018	3.8
EN20_S_Wi2013	3.8
EN20_S_Wi2016	3.8
EN20_S_Wi2017	3.8
EN20_S_Wi2018	NA
EN30_S_Wi2013	1.266666666654
EN30_S_Wi2016	0
EN30_S_Wi2018	0
EO05_S_Wi2013	3.8
EO05_S_Wi2016	3.8
EO05_S_Wi2017	3.8
EO05_S_Wi2018	3.8
EO10_S_Wi2013	3.77553191489422
EO10_S_Wi2016	3.78984547461369
EO10_S_Wi2017	3.54666666666667
EO10_S_Wi2018	3.8
EOI10_S_Wi2013	2.21610738255034
EOI10_S_Wi2016	2.88646864686469
EOI10_S_Wi2017	2.2233918128655
EOI10_S_Wi2018	2.35615230460922
EOI15_S_Wi2013	2.2
EOI15_S_Wi2016	2.20369230769231
EOI15_S_Wi2017	2.22222222222222
EOI15_S_Wi2018	2.2
EOI20_S_Wi2013	2.63636363636358
EOI20_S_Wi2016	3.25392491467577
EOI20_S_Wi2017	2.80487804878049
EOI20_S_Wi2018	2.72827504445762
EOK05_S_Wi2013	3.8
EOK05_S_Wi2016	3.8
EOK05_S_Wi2018	3.8
EOK10_S_Wi2013	3.8
EOK10_S_Wi2016	3.8
EOK10_S_Wi2017	3.8
EOK10_S_Wi2018	3.8
EOK20_S_Wi2016	0.3
EOK20_S_Wi2017	3.07083333333333
EOK20_S_Wi2018	0
EU05_S_Wi2013	3.78943396226414
EU05_S_Wi2016	3.76827757125155
EU05_S_Wi2017	3.64111221449851
EU05_S_Wi2018	3.61492537313433
EU08_S_Wi2013	3.8
EU08_S_Wi2016	3.8
EU08_S_Wi2017	3.8
EU08_S_Wi2018	3.8
EU10_S_Wi2013	3.79847182425983
EU10_S_Wi2016	3.8
EU10_S_Wi2017	3.79653092006033
EU10_S_Wi2018	3.8
EUR05_S_Wi2013	3.8
EUR05_S_Wi2016	3.8
EUR05_S_Wi2017	3.8
EUR05_S_Wi2018	3.8
EUR10_S_Wi2013	3.8
EUR10_S_Wi2016	3.16111111111111
EUR10_S_Wi2017	3.30714285714286
EUR10_S_Wi2018	3.8
