	byOTUs	byTaxa
EA05_S_Wi2013	5.88	5.02620034956647
EA05_S_Wi2015	5.30769230769231	5.08283630023857
EA05_S_Wi2016	5.84101382488479	4.88196254561494
EA05_S_Wi2017	5.89130434782609	4.90380952380953
EA05_S_Wi2018	5.25	4.63696401225115
EA05_S_Wi2019	5.69491525423729	4.728870189333
EA10_S_Wi2013	5.16666666666667	4.89753712423035
EA10_S_Wi2015	3.75	4.48721174004192
EA10_S_Wi2016	4.45652173913044	4.60571201217824
EA10_S_Wi2017	4.45588235294118	4.67871308946673
EA10_S_Wi2018	4.875	4.92857142857143
EB05_S_Wi2013	0.428571428571429	3.57080865836226
EB05_S_Wi2015	2.53846153846154	4.17093209934839
EB05_S_Wi2016	1.59090909090909	3.56492873392452
EB05_S_Wi2017	0.821428571428571	3.45751500272777
EB05_S_Wi2018	2.21739130434783	3.6444131455399
EB05_S_Wi2019	3.94565217391304	4.00935097575398
EB07_S_Wi2013	0.259615384615385	1.97794584608279
EB07_S_Wi2015	0.18232044198895	1.53315548780488
EB07_S_Wi2016	1.21212121212121	3.29489690127865
EB07_S_Wi2017	0.492857142857143	2.63204975293917
EB07_S_Wi2018	0.257042253521127	2.51818503717942
EB07_S_Wi2019	0.866459627329192	2.8910277324633
EB10_S_Wi2013	0.512628255722179	1.59271406559542
EB10_S_Wi2015	0.430769230769231	1.68170498084291
EB10_S_Wi2016	0.482074263764404	2.35320875338087
EB10_S_Wi2017	1.98529411764706	3.72331677928844
EB10_S_Wi2018	0.84	4.19689995302957
EBI05_S_Wi2013	4.44857142857143	2.47365219019094
EBI05_S_Wi2015	5.17924528301887	4.20640027091094
EBI05_S_Wi2016	5.42910447761194	4.43438331292488
EBI05_S_Wi2017	5.03571428571428	4.09494071146245
EBI05_S_Wi2018	5.12068965517241	4.33263937080731
EBI05_S_Wi2019	4.71794871794872	3.840149567656
EBI10_S_Wi2013	3.3495145631068	3.36167567567567
EBI10_S_Wi2016	3.8826714801444	2.5277433420254
EBI10_S_Wi2017	4.13636363636364	2.63479145473041
EBI10_S_Wi2018	4.5625	3.7580183707273
EBI20_S_Wi2013	1.61408450704225	2.28863172226004
EBI20_S_Wi2015	0.883136094674556	1.55634210770229
EBI20_S_Wi2017	0.662408759124088	1.58422502383727
EBI20_S_Wi2018	0.728915662650602	1.58435288915094
EBI20_S_Wi2019	0.752475247524753	1.68858420918645
ED05_S_Wi2013	4.125	5.01211309709161
ED05_S_Wi2015	5.78571428571429	4.77368960733459
ED05_S_Wi2016	3.375	4.48068757704424
ED05_S_Wi2017	4.97727272727273	4.85641413808991
ED05_S_Wi2018	5.48863636363636	4.69219873610809
ED10_S_Wi2013	5.6	4.97343088178669
ED10_S_Wi2015	3.88636363636364	4.65553076561766
ED10_S_Wi2016	1.21698113207547	2.3111851697563
ED10_S_Wi2017	2.16176470588235	2.90341363169311
ED10_S_Wi2018	1.26923076923077	3.04915265457434
ED10_S_Wi2019	1.88372093023256	3.30433375146684
EL05_S_Wi2013	3.88541666666667	4.16530264279624
EL05_S_Wi2015	3.3	4.32763206162875
EL05_S_Wi2016	4.04612546125461	3.97550631815821
EL05_S_Wi2017A	2.54838709677419	3.30474702090252
EL05_S_Wi2017B	2.40495867768595	3.3487721021611
EL05_S_Wi2018	2.07352941176471	3.70023293880635
EL10_S_Wi2013	1.17927631578947	2.39528893302713
EL10_S_Wi2015	2	3.86032818532818
EL10_S_Wi2016	1.30110497237569	1.96738328104817
EL10_S_Wi2017	1.11904761904762	2.66303946883069
EL10_S_Wi2018	1.10091743119266	2.49785591766723
EL10_S_Wi2019	0.982233502538071	2.25408303204089
EM05_S_Wi2013	5.475	4.72020329621905
EM05_S_Wi2015	5.18181818181818	4.81870484345731
EM05_S_Wi2016	5.29787234042553	4.59187881453786
EM05_S_Wi2017	0.958333333333333	2.84886700836255
EM05_S_Wi2018	5.83695652173913	4.37375204211291
EM05_S_Wi2019	1.21153846153846	3.92293262466781
EM10_S_Wi2013	0.35801266439357	1.45748010068712
EM10_S_Wi2015	0.388960205391528	1.45887191539366
EM10_S_Wi2016	0.37636789994789	1.20614691497077
EM10_S_Wi2017	0.367588932806324	1.27357790601814
EM10_S_Wi2018	0.385448916408669	1.32908366533865
EN10_S_Wi2013_PS	5.46120689655173	5.0576261642418
EN10_S_Wi2015	5.79166666666667	5.17566914677746
EN10_S_Wi2016	5.72727272727273	4.64407506702412
EN10_S_Wi2017	5.51785714285714	4.78179479851387
EN10_S_Wi2018	5.37931034482759	4.92667920363027
EN15_S_Wi2013	5.74610894941634	5.00410239579915
EN15_S_Wi2015	5.79341317365269	5.23191590450173
EN15_S_Wi2016	5.07	4.6432023451117
EN15_S_Wi2017	5.47297297297297	4.44352667011911
EN15_S_Wi2018	5.58333333333333	4.38558403291266
EN17_S_Wi2013	4.67727272727273	4.54956716001117
EN17_S_Wi2015	5.76136363636364	4.93537906137184
EN17_S_Wi2016	2.51513513513514	2.68777321152789
EN17_S_Wi2017	5.5	4.30741410488246
EN17_S_Wi2018	4.68539325842697	4.71163970517852
EN17_S_Wi2019	5.16	4.68367346938776
EN20_S_Wi2013	5.44638403990025	4.91049635811104
EN20_S_Wi2015	5.34297520661157	4.9904746528899
EN20_S_Wi2016	4.45833333333333	4.44766967402638
EN20_S_Wi2017	5.6283185840708	4.98236931642437
EN20_S_Wi2018	4.45714285714286	4.6072243779959
EN30_S_Wi2013	0.734452122408688	2.07144974799882
EN30_S_Wi2016	0.509598603839442	1.84129010164531
EN30_S_Wi2017	0.725592607472881	1.76151374509104
EN30_S_Wi2018	0.695838433292533	1.64179462571977
EO05_S_Wi2013	5	4.9443177393336
EO05_S_Wi2015	5.4375	4.33808351481867
EO05_S_Wi2016	2.4	4.38625305887433
EO05_S_Wi2017	3.84782608695652	4.15709280101932
EO05_S_Wi2018	5.7	4.74063101762703
EO05_S_Wi2019	2.015625	3.86267150526945
EO10_S_Wi2013	1.75	4.43557536466775
EO10_S_Wi2015	1.224	3.59286825149967
EO10_S_Wi2016	1.62	2.98956054881686
EO10_S_Wi2017A	1.36693548387097	2.06053277013216
EO10_S_Wi2017B	1.21165048543689	2.03031896844248
EO10_S_Wi2018	0.711206896551724	1.9602510460251
EO10_S_Wi2019	1.01758793969849	2.13088895540257
EOI10_S_Wi2013	2.38235294117647	4.54054343939936
EOI10_S_Wi2015	1.17391304347826	3.86473530637765
EOI10_S_Wi2016	1.52702702702703	3.5926112380436
EOI10_S_Wi2017	1.56	3.85392806436346
EOI10_S_Wi2018	0.763636363636364	3.60533411061721
EOI15_S_Wi2013	1.70744680851064	3.79096795616802
EOI15_S_Wi2015	1.19784172661871	4.07282586998471
EOI15_S_Wi2016	1.64596273291925	3.92319391634981
EOI15_S_Wi2017	1.58132530120482	3.46075602366181
EOI15_S_Wi2018	1.66923076923077	3.76317926757236
EOI15_S_Wi2019	2.01227678571429	3.99762630312751
EOI20_S_Wi2013	0.64878892733564	2.84488246410928
EOI20_S_Wi2015	0.629194630872483	2.27964641885766
EOI20_S_Wi2016	0.5	1.9791852778274
EOI20_S_Wi2017A	0.486284289276808	2.15097289784573
EOI20_S_Wi2018	0.563583815028902	2.31485818371063
EOI20_S_Wi2019	0.342622950819672	2.22736837071398
EOK05_S_Wi2013	5.59090909090909	4.63203877093498
EOK05_S_Wi2015	6	4.62787750791975
EOK05_S_Wi2016	5.42679900744417	4.47323739805717
EOK05_S_Wi2017	4.92857142857143	4.30483449709504
EOK05_S_Wi2018	5.31818181818182	4.5248901480111
EOK10_S_Wi2013	4.20779220779221	4.32445363438784
EOK10_S_Wi2015	4.67647058823529	4.28660343805572
EOK10_S_Wi2016	3.07894736842105	3.90586431884286
EOK10_S_Wi2017	3.51923076923077	4.04300146218264
EOK10_S_Wi2018	2.8695652173913	4.23621507643648
EOK20_S_Wi2015	0.875498007968128	1.25024336283186
EOK20_S_Wi2016	0.896420824295011	1.21251656166347
EOK20_S_Wi2017	0.912587412587412	1.32185096352659
EOK20_S_Wi2018	0.691071428571428	1.48962547305233
EOK20_S_Wi2019	0.766666666666667	1.27436278022315
EU05_S_Wi2013	4.7	4.58370689655173
EU05_S_Wi2016	3.4	3.83384502923976
EU05_S_Wi2017	4.875	4.57366760408807
EU05_S_Wi2018	5.61111111111111	4.55703032934317
EU08_S_Wi2013	5.61176470588235	4.41880804743982
EU08_S_Wi2015	4.05	4.42784865816102
EU08_S_Wi2016	3.7	3.97894105676285
EU08_S_Wi2017	4.3695652173913	4.37975482242654
EU08_S_Wi2018	4.39285714285714	4.46646456991284
EU08_S_Wi2019	3.57954545454545	4.10725218882018
EU10_S_Wi2013	5.33653846153846	4.30651610514625
EU10_S_Wi2015	4.33333333333333	4.47505470459518
EU10_S_Wi2016	3.43636363636364	4.23958977530405
EU10_S_Wi2017	3.75	3.73822156196944
EU10_S_Wi2018	2.63636363636364	4.10534291166236
EUR05_S_Wi2013	4.8	4.25391095066185
EUR05_S_Wi2015	3.66666666666667	4.22641095409461
EUR05_S_Wi2016	2.52272727272727	3.97990176423416
EUR05_S_Wi2017	5.57142857142857	4.6918648310388
EUR05_S_Wi2018	4	4.19177080158489
EUR10_S_Wi2013	0.43984962406015	2.29144823066841
EUR10_S_Wi2015	0.642746913580247	1.39288515293503
EUR10_S_Wi2016	0.652416356877323	1.27669683257918
EUR10_S_Wi2017	0.490616621983914	1.55980559805598
EUR10_S_Wi2018	0.327935222672065	1.83998177913712
