	byOTUs	byTaxa
EA05_S_Wi2013	2.74154974489796	2.40808704687139
EA05_S_Wi2015	2.71412429378531	1.74073300616059
EA05_S_Wi2016	3.02649290259422	3.04668191151764
EA05_S_Wi2017	2.51781472684086	2.19077533131587
EA05_S_Wi2018	2.71299435028249	1.76740804106074
EA05_S_Wi2019	2.65765780198654	2.77995362766882
EA10_S_Wi2013	3.43697511815945	3.45433741235901
EA10_S_Wi2015	2.86962233169131	2.23629927594529
EA10_S_Wi2016	3.41775939849623	3.31884657170449
EA10_S_Wi2017	3.3981686497672	3.27183414269705
EA10_S_Wi2018	3.47681549220011	2.67674663416255
EA10_S_Wi2019	3.53070920043812	3.44973514674301
EB05_S_Wi2013	3.66490909090909	3.2294056392182
EB05_S_Wi2015	3.11092409240924	2.61055900621118
EB05_S_Wi2016	3.56595707093013	3.09327777168549
EB05_S_Wi2017	3.00915664913598	2.40284823460015
EB05_S_Wi2018	3.40078887551811	2.97003319937096
EB05_S_Wi2019	3.12148975791434	2.7978347208432
EB07_S_Wi2013	1.79554655870445	1.62025485918287
EB07_S_Wi2015	0.717655746509128	0.935869672211831
EB07_S_Wi2016	3.55758908536038	3.41799956829098
EB07_S_Wi2017	2.37640081337551	1.97352884336651
EB07_S_Wi2018	1.48942436412316	1.36901868728712
EB07_S_Wi2019	2.59195527908541	1.98215679431454
EB10_S_Wi2013	0.674446976806542	0.820754716981132
EB10_S_Wi2015	0.971032745591941	0.903372185130701
EB10_S_Wi2016	2.33098439050799	2.00033906350659
EB10_S_Wi2017	3.05795813586099	2.5399934731174
EB10_S_Wi2018	3.31338724168911	2.82668313110705
EB10_S_Wi2019	2.16088870080406	1.64800383614194
EBI05_S_Wi2013	0.995727554179567	1.27363318499682
EBI05_S_Wi2015	2.5771138669673	1.71844578313253
EBI05_S_Wi2016	2.2941342357586	1.92608072605684
EBI05_S_Wi2017	2.31540662035145	1.76650406504065
EBI05_S_Wi2018	2.47153846153846	1.79562350119904
EBI05_S_Wi2019	2.29155372225496	1.55888760421104
EBI10_S_Wi2013	2.73223145472061	3.01609760996184
EBI10_S_Wi2016	1.69116617290601	1.89885967430986
EBI10_S_Wi2017	1.74259175351155	1.89810110557853
EBI10_S_Wi2018	2.8808007785347	2.92982338475296
EBI10_S_Wi2019	2.70550008914245	2.65578224421776
EBI20_S_Wi2013	1.42692624300296	1.31376254337428
EBI20_S_Wi2015	0.626202514653902	0.861196677338409
EBI20_S_Wi2017	0.828835800807537	0.980461648452661
EBI20_S_Wi2018	0.588429130303942	0.836883876357561
EBI20_S_Wi2019	0.878789044468379	1.20374710405265
ED05_S_Su2017	2.92658941434388	2.71743918536677
ED05_S_Su2018	3.18264257881686	3.26066110183639
ED05_S_Wi2013	2.25629105608893	1.94526972624799
ED05_S_Wi2015	2.1821509009009	2.05883366141732
ED05_S_Wi2016	2.86264491197939	2.35241080038573
ED05_S_Wi2017	2.39111111111111	1.96646176098355
ED05_S_Wi2018	2.53860357761108	2.12404388237087
ED05_S_Wi2019	3.30366296337036	3.40805624015191
ED10_S_Su2017	1.79123548046462	1.83411427441677
ED10_S_Su2018	0.745810302896308	1.00929572898938
ED10_S_Wi2013	2.0403091265947	1.88861711013006
ED10_S_Wi2015	2.11112239715591	1.86194909090909
ED10_S_Wi2016	1.35789806678383	1.5214041254278
ED10_S_Wi2017	1.47570648878108	1.70319579980597
ED10_S_Wi2018	1.42009722399898	1.63380838245773
ED10_S_Wi2019	1.66624402793091	1.66711033274956
EL05_S_Wi2013	3.25100835710353	3.41122053635202
EL05_S_Wi2015	2.53461344113188	2.0635216434336
EL05_S_Wi2016	3.32462408706859	3.55048885307547
EL05_S_Wi2017A	2.37540626999359	2.20421046897979
EL05_S_Wi2017B	2.3932957457714	2.19070126911812
EL05_S_Wi2018	2.88439438045817	2.75189858961914
EL05_S_Wi2019	2.69944793451361	2.59490155952297
EL10_S_Wi2013	1.42885900700191	1.41733645129626
EL10_S_Wi2015	2.41092140123639	2.38128152838897
EL10_S_Wi2016	1.27033372138145	1.35825862208222
EL10_S_Wi2017	1.96420448391639	2.07565753574157
EL10_S_Wi2018	1.52123989218328	1.72648404147184
EL10_S_Wi2019	1.63228317943147	1.54581184421128
EM05_S_Wi2013	3.75816038623111	3.74847957839262
EM05_S_Wi2015	3.72723908216136	3.23002357378595
EM05_S_Wi2016	3.46012987012987	3.35093220857021
EM05_S_Wi2017	1.79769980506823	1.57420335845564
EM05_S_Wi2018	2.72787625999305	2.46001902620427
EM05_S_Wi2019	2.05221452729908	1.96953237617483
EM10_S_Wi2013	0.192467328170377	0.408812729498164
EM10_S_Wi2015	0.233575705731394	0.383878295176042
EM10_S_Wi2016	0.117214068373009	0.382939672490412
EM10_S_Wi2017	0.201170686022009	0.43567187245811
EM10_S_Wi2018	0.210802738021157	0.445573440643863
EN10_S_Wi2013_PS	2.25704666666666	3.58609480562632
EN10_S_Wi2015	1.93043258922942	3.26369877594465
EN10_S_Wi2016	3.34943597148272	3.37317369970559
EN10_S_Wi2017	3.05204172876304	3.28105895196507
EN10_S_Wi2018	2.49681511943302	3.18752400623256
EN15_S_Su2017	3.77364390555201	3.5869455598095
EN15_S_Su2018	3.57874024403649	3.17860714075642
EN15_S_Wi2013	4.25035587188612	4.22671476257133
EN15_S_Wi2015	3.61643761789275	3.61515925600702
EN15_S_Wi2016	3.74668624792891	3.64918337735779
EN15_S_Wi2017	3.5640017815388	3.20786298170495
EN15_S_Wi2018	3.60343829787235	3.41794196469828
EN15_S_Wi2019A	3.52855809128631	3.12338863651326
EN15_S_Wi2019B	3.4895632220288	3.07957537478122
EN17_S_Su2017	2.95672971189795	2.09785289424053
EN17_S_Su2018	3.79342823250297	3.59555059938668
EN17_S_Wi2013	3.44806724547917	3.07532809728908
EN17_S_Wi2015	2.91182548794488	3.04614275414564
EN17_S_Wi2016	2.3558254076087	2.01138186029936
EN17_S_Wi2017	2.3728813559322	2.43266630611141
EN17_S_Wi2018	3.70155791375029	3.89116234390009
EN17_S_Wi2019	3.80179480541893	3.26344119721069
EN20_S_Su2017	3.66287030941408	3.3420700491662
EN20_S_Su2018	3.86217703349283	3.71529812192305
EN20_S_Wi2013	3.73867207909651	3.63460456561722
EN20_S_Wi2015	3.51358695652174	3.55645182992465
EN20_S_Wi2016	3.8150357080648	3.46143697225573
EN20_S_Wi2017	3.7346288209607	3.84909415391272
EN20_S_Wi2018	3.84116625948309	3.53903365712033
EN20_S_Wi2019	3.76809139255466	3.40008625385873
EN30_S_Su2017	1.56978358033404	1.28352418886399
EN30_S_Su2018	0.954708968273795	0.909798559839577
EN30_S_Wi2013	1.52503585865171	1.07433075702513
EN30_S_Wi2016	1.01266899589853	1.07243366737629
EN30_S_Wi2017	0.856962367042816	0.829914918876137
EN30_S_Wi2018	0.804832791697242	0.831943617970842
EN30_S_Wi2019	1.57068710155194	1.26952308437738
EN_Asua_S_Wi2019	3.10465370928004	3.09372409709888
EN_Axpe_S_Wi2019	4.54167126614416	4.16907425115079
EN_LasArenas_S_Wi2019	3.57987701574952	3.1703115529155
EN_Sestao_S_Wi2019	4.31007364544976	3.34481311255221
EO05_S_Wi2013	3.35079652016721	3.68701851075301
EO05_S_Wi2015	3.30368490009827	3.49445637172213
EO05_S_Wi2016	2.87161246096428	2.63294075913444
EO05_S_Wi2017	3.04732620320856	3.05871301320774
EO05_S_Wi2018	2.6559312638581	2.51165798108473
EO05_S_Wi2019	2.97928695989148	2.72971985383678
EO10_S_Wi2013	3.12597806514979	3.21483962936564
EO10_S_Wi2015	0.901828571428569	1.1773169201819
EO10_S_Wi2016	2.55025143423755	2.55607305053628
EO10_S_Wi2017A	0.736185819070909	1.01005025125628
EO10_S_Wi2017B	0.761638203668563	1.00784440742797
EO10_S_Wi2018	0.69865499302119	1.15860030932391
EO10_S_Wi2019	1.12867758359708	1.34309319233311
EOI10_S_Su2017	4.1440730745277	3.82892467198825
EOI10_S_Su2018	3.95184164369832	3.70326217149299
EOI10_S_Wi2013	4.02354517290463	3.57437192982456
EOI10_S_Wi2015	3.88374845433669	3.51318897637795
EOI10_S_Wi2016	3.80334836376624	3.49359902420916
EOI10_S_Wi2017	3.97229694231375	3.63374212490061
EOI10_S_Wi2018	3.98571177195145	3.36547661549447
EOI10_S_Wi2019	3.68551470588235	3.6751087544638
EOI15_S_Su2017	3.9448899984397	4.06371281068711
EOI15_S_Su2018	3.97094785698745	3.75901621141461
EOI15_S_Wi2013	4.19506743737957	4.0604491693129
EOI15_S_Wi2015	4.01912951912953	3.53732366961767
EOI15_S_Wi2016	4.15634456403058	3.91153587163553
EOI15_S_Wi2017	3.56548326556146	2.83560412076461
EOI15_S_Wi2018	4.26040409121395	3.80227442207308
EOI15_S_Wi2019	4.27574564498756	4.07336806377773
EOI20_S_Su2017	2.92487014336173	2.76497548008616
EOI20_S_Su2018	2.39023511240776	2.23870034201526
EOI20_S_Wi2013	3.33189585028478	2.70193264290956
EOI20_S_Wi2015	2.51667749152052	2.4401180342136
EOI20_S_Wi2016	2.55303522358231	2.02467229541049
EOI20_S_Wi2017A	2.39409448818898	2.40110203005537
EOI20_S_Wi2018	2.76024032514578	2.34196347721099
EOI20_S_Wi2019	2.53412389599159	2.70110839920285
EOK05_S_Su2017	3.16919823464508	3.4947750788875
EOK05_S_Su2018	3.04158371040723	3.32535247372469
EOK05_S_Wi2013	2.4911780455154	3.74038621608124
EOK05_S_Wi2015	2.2803774995328	3.4668745587197
EOK05_S_Wi2016	2.92176415970286	3.53397521200261
EOK05_S_Wi2017	2.63021767907045	2.94393994390365
EOK05_S_Wi2018	2.38309728349199	2.64326658441682
EOK05_S_Wi2019	2.20438325372296	2.67961647035919
EOK10_S_Su2017	2.78169175810156	2.86160182486377
EOK10_S_Su2018	2.85830852920046	3.02179609086107
EOK10_S_Wi2013	2.81390871901821	3.03089095389366
EOK10_S_Wi2015	2.72647643128048	2.95073212747632
EOK10_S_Wi2016	3.26321661373892	3.36404253630664
EOK10_S_Wi2017	2.94360570393843	3.20554352990867
EOK10_S_Wi2018	2.73452775934527	3.03626280665476
EOK10_S_Wi2019	3.01592373267391	3.22038621084251
EOK20_S_Su2017	0.57773417721519	1.02233983544421
EOK20_S_Su2018	0.541310808697012	1.00373500084502
EOK20_S_Wi2015	0.518458584750411	0.923492185992667
EOK20_S_Wi2016	0.574368297793665	1.0335986185149
EOK20_S_Wi2017	0.761085333871292	1.16840285961191
EOK20_S_Wi2018	0.912604916067147	1.44338924676319
EOK20_S_Wi2019	0.666966128444823	1.0741352446245
ESVB1_S_Su2018	2.36389438943894	2.51062479117942
ESVB2_S_Su2018	0.887946336429305	1.0588141490287
ESVB3_S_Su2018	1.23778220451527	1.47456792949525
ESVB4_S_Su2018	2.77210561949898	2.37888832597525
ESVB5_S_Su2018	1.38680581438688	1.73370971729993
EU05_S_Wi2013	2.22801047120419	2.17835031347963
EU05_S_Wi2016	2.66251419486713	2.5756864212545
EU05_S_Wi2017	2.65690318070604	2.75491679273827
EU05_S_Wi2018	2.57109160724081	2.48928972802877
EU05_S_Wi2019	3.10159092639112	2.96995457091293
EU08_S_Su2017	2.79504679024855	2.49215092342077
EU08_S_Su2018	2.72963738460075	2.6215482269842
EU08_S_Wi2013	2.85818513890224	2.54880061115355
EU08_S_Wi2015	3.44181149732621	3.44782797253343
EU08_S_Wi2016	3.28596522461575	3.0380611385245
EU08_S_Wi2017	2.83462732919255	2.61153351153351
EU08_S_Wi2018	2.76575154426904	2.66151768172888
EU08_S_Wi2019	3.33902928611869	3.13971562777708
EU10_S_Su2017	3.36235051372747	3.08192988099067
EU10_S_Su2018A	3.51863361266294	3.3215058887603
EU10_S_Wi2013	2.89510443864229	2.20187038249322
EU10_S_Wi2015	2.88798562766673	2.62216808769793
EU10_S_Wi2016	3.43721282080018	3.36830876855708
EU10_S_Wi2017	2.97070975078177	2.75922774566474
EU10_S_Wi2018	3.22373009855951	3.22379076804842
EU10_S_Wi2019	3.07406218184666	2.82116557767938
EUR05_S_Wi2013	2.47669950738916	2.16854379365932
EUR05_S_Wi2015	2.5321503131524	2.06745363766048
EUR05_S_Wi2016	2.28983086680761	2.12179040989946
EUR05_S_Wi2017	3.63147305808258	3.32746618277796
EUR05_S_Wi2018	3.07830445367322	3.2984440706476
EUR05_S_Wi2019	2.29949321562858	2.30366839688561
EUR10_S_Wi2013	0.713724340175953	1.05445348837209
EUR10_S_Wi2015	0.301529571719918	0.642063960847186
EUR10_S_Wi2016	0.345636094674556	0.657751132608918
EUR10_S_Wi2017	0.439553488372094	0.811377336894315
EUR10_S_Wi2018	0.687179147922733	1.14103814166906
EUR10_S_Wi2019	0.360347940259313	0.698824259446749
