	bymorpho
EA05_S_Wi2013	5
EA05_S_Wi2016	4.95995145631068
EA05_S_Wi2017	5
EA05_S_Wi2018	5
EA10_S_Wi2013	3.79791666666664
EA10_S_Wi2016	4.76271186440678
EA10_S_Wi2017	4.40909090909091
EA10_S_Wi2018	4.11533149171271
EB05_S_Wi2013	0.200000000000409
EB05_S_Wi2016	0.178260869565217
EB05_S_Wi2017	0.0709219858156028
EB05_S_Wi2018	0.558333333333333
EB07_S_Wi2013	0
EB07_S_Wi2016	3.78333333333333
EB07_S_Wi2017	1.39071038251366
EB07_S_Wi2018	0
EB10_S_Wi2013	4.20833333334818
EB10_S_Wi2016	3.83620689655172
EB10_S_Wi2017	3.4281914893617
EB10_S_Wi2018	3.61111111111111
EBI05_S_Wi2013	0.352941176471834
EBI05_S_Wi2016	1.5
EBI05_S_Wi2017	0.466666666666667
EBI05_S_Wi2018	0.6
EBI10_S_Wi2013	3.09270833333273
EBI10_S_Wi2016	3.40212765957447
EBI10_S_Wi2017	1.58333333333333
EBI10_S_Wi2018	1.80402181322427
EBI20_S_Wi2013	3.5
EBI20_S_Wi2017	4.07777777777778
EBI20_S_Wi2018	NA
ED05_S_Wi2013	0
ED05_S_Wi2016	1.29439252336449
ED05_S_Wi2017	0.414893617021277
ED05_S_Wi2018	0.363636363636364
ED10_S_Wi2013	2
ED10_S_Wi2017	2.43010752688172
ED10_S_Wi2018	2
EL05_S_Wi2013	0.0217391304342459
EL05_S_Wi2016	0.691489361702128
EL05_S_Wi2017	0.0507246376811594
EL05_S_Wi2018	0.0872274143302181
EL10_S_Wi2013	0
EL10_S_Wi2016	2.33333333333333
EL10_S_Wi2017	0
EL10_S_Wi2018	2.2375
EM05_S_Wi2013	0
EM05_S_Wi2016	0
EM05_S_Wi2017	0
EM05_S_Wi2018	0.454545454545455
EM10_S_Wi2013	3.5
EM10_S_Wi2016	3.5
EM10_S_Wi2017	NA
EM10_S_Wi2018	NA
EN10_S_Wi2013	3.5
EN10_S_Wi2016	3.29080118694362
EN10_S_Wi2017	3.35
EN15_S_Wi2013	3.5
EN15_S_Wi2016	3.49571020019066
EN15_S_Wi2017	3.47682357168523
EN15_S_Wi2018	2.95054945054945
EN17_S_Wi2013	3.5
EN17_S_Wi2016	3.5
EN17_S_Wi2017	3.5
EN17_S_Wi2018	3.38461538461538
EN20_S_Wi2013	3.5
EN20_S_Wi2016	3.5
EN20_S_Wi2017	3.5
EN20_S_Wi2018	3.5
EN30_S_Wi2013	2.72222222221833
EN30_S_Wi2016	1.14285714285714
EN30_S_Wi2018	0.456521739130435
EO05_S_Wi2013	1.83109540636043
EO05_S_Wi2016	2.06012396694215
EO05_S_Wi2017	1.97823129251701
EO05_S_Wi2018	1.17254098360656
EO10_S_Wi2013	1.91025641025402
EO10_S_Wi2016	3.10763473053892
EO10_S_Wi2017	1.2
EO10_S_Wi2018	1.2
EOI10_S_Wi2013	2.61715957101069
EOI10_S_Wi2016	4.3435773480663
EOI10_S_Wi2017	2.2643241117084
EOI10_S_Wi2018	3.94036452149133
EOI15_S_Wi2013	2.0286720321931
EOI15_S_Wi2016	2.01936218678815
EOI15_S_Wi2017	2.14828897338403
EOI15_S_Wi2018	2.00516539705729
EOI20_S_Wi2013	4.07863501483677
EOI20_S_Wi2016	3.53447528187337
EOI20_S_Wi2017	4.19870967741935
EOI20_S_Wi2018	3.02358682391216
EOK05_S_Wi2013	1.2
EOK05_S_Wi2016	1.125
EOK05_S_Wi2018	0.387162162162162
EOK10_S_Wi2013	NA
EOK10_S_Wi2016	4.88095238095238
EOK10_S_Wi2017	1.15106888361045
EOK10_S_Wi2018	0.546236559139785
EOK20_S_Wi2016	NA
EOK20_S_Wi2017	3.54838709677419
EOK20_S_Wi2018	3.5
EU05_S_Wi2013	0.336956521736759
EU05_S_Wi2016	0.738461538461539
EU05_S_Wi2017	0.391496598639456
EU05_S_Wi2018	0.431404958677686
EU08_S_Wi2013	3.27377049180319
EU08_S_Wi2016	3.67047451669596
EU08_S_Wi2017	2.34269005847953
EU08_S_Wi2018	2.39125
EU10_S_Wi2013	2.150000000005
EU10_S_Wi2016	4.27695099818512
EU10_S_Wi2017	5
EU10_S_Wi2018	4.44091816367265
EUR05_S_Wi2013	0.449999999998594
EUR05_S_Wi2016	1.2
EUR05_S_Wi2017	0
EUR05_S_Wi2018	0.0193548387096774
EUR10_S_Wi2013	1.2
EUR10_S_Wi2016	0.107142857142857
EUR10_S_Wi2017	3.5
EUR10_S_Wi2018	0
