	byOTUs	byTaxa
EA05_S_Wi2013	2.1532410779	2.0783389673
EA05_S_Wi2015	2.1484011628	1.6554993374
EA05_S_Wi2016	2.9654853952	2.8573015304
EA05_S_Wi2017	2.1965346535	2.1117873832
EA05_S_Wi2018	2.1858503401	1.6096244513
EA05_S_Wi2019	2.5470542434	2.568194265
EA10_S_Wi2013	3.5869264231	3.4248743959
EA10_S_Wi2015	2.6841025641	2.1305440087
EA10_S_Wi2016	3.6241193709	3.202861181
EA10_S_Wi2017	3.4500761228	3.2305503892
EA10_S_Wi2018	3.4394807774	2.7121911814
EA10_S_Wi2019	3.6761955982	3.4538431617
EB05_S_Wi2013	3.2282204198	3.0306078802
EB05_S_Wi2015	2.3700854701	2.3963873626
EB05_S_Wi2016	3.3165913006	2.9833250316
EB05_S_Wi2017	2.6209276884	2.2536545132
EB05_S_Wi2018	3.0565217391	2.8338412431
EB05_S_Wi2019	2.5380047742	2.6119618107
EB07_S_Wi2013	1.5410401098	1.4813568754
EB07_S_Wi2015	0.7191890348	0.8252167262
EB07_S_Wi2016	3.3200042004	3.0888467458
EB07_S_Wi2017	2.2499466382	1.8791133297
EB07_S_Wi2018	1.3731660965	1.2681269929
EB07_S_Wi2019	2.3666539124	1.8347392882
EB10_S_Wi2013	0.6514366197	0.7476247649
EB10_S_Wi2015	0.8126901438	0.8445769119
EB10_S_Wi2016	2.1674445375	1.8573977902
EB10_S_Wi2017	2.8774393264	2.4801362554
EB10_S_Wi2018	2.7865265334	2.8358787256
EB10_S_Wi2019	1.9963179036	1.5658488633
EBI05_S_Wi2013	0.9739813737	1.1168131277
EBI05_S_Wi2015	2.1728769497	1.5664657319
EBI05_S_Wi2016	2.0595500239	1.7454560116
EBI05_S_Wi2017	1.9918544194	1.681757918
EBI05_S_Wi2018	2.1851746931	1.5957210777
EBI05_S_Wi2019	1.8456247456	1.3953189365
EBI10_S_Wi2013	2.6120477569	3.0635302846
EBI10_S_Wi2016	1.6740169092	2.077599641
EBI10_S_Wi2017	1.6772924046	1.9869752513
EBI10_S_Wi2018	2.6560040363	2.9034472145
EBI10_S_Wi2019	2.6556244231	2.5908976044
EBI20_S_Wi2013	1.3447915401	1.576453281
EBI20_S_Wi2015	0.5369825919	0.9286609563
EBI20_S_Wi2017	0.7661547763	1.09445479
EBI20_S_Wi2018	0.5840788841	0.8738287332
EBI20_S_Wi2019	0.827170938	1.2289644344
ED05_S_Su2017	2.8061067636	2.507191822
ED05_S_Su2018	3.1923637218	2.9887485
ED05_S_Wi2013	2.0722091657	1.9037939211
ED05_S_Wi2015	1.943029872	1.9485455721
ED05_S_Wi2016	2.5277777778	2.2096554137
ED05_S_Wi2017	2.0494699647	1.8751586233
ED05_S_Wi2018	1.8027855153	1.986914557
ED05_S_Wi2019	3.173783104	3.2163178634
ED10_S_Su2017	1.88861499	1.6978713745
ED10_S_Su2018	0.7082799145	0.8401498312
ED10_S_Wi2013	1.9165384615	1.7870197981
ED10_S_Wi2015	2.0238317757	1.7873704053
ED10_S_Wi2016	1.4167019434	1.4402283391
ED10_S_Wi2017	1.4888587417	1.5975218831
ED10_S_Wi2018	1.5110079822	1.5597663898
ED10_S_Wi2019	1.706575	1.6468907563
EL05_S_Wi2013	3.3957999264	3.1768028005
EL05_S_Wi2015	2.0673103448	1.9167630058
EL05_S_Wi2016	3.0043931906	3.2218156407
EL05_S_Wi2017A	2.4171780175	2.1971196167
EL05_S_Wi2017B	2.3823142669	2.1689019804
EL05_S_Wi2018	3.0236817589	2.6329741379
EL05_S_Wi2019	2.7477165153	2.5307235675
EL10_S_Wi2013	1.4122526934	1.2697078313
EL10_S_Wi2015	2.5094149554	2.2447276811
EL10_S_Wi2016	1.2690132298	1.184569684
EL10_S_Wi2017	2.2382583454	1.9538176004
EL10_S_Wi2018	1.7001368176	1.5247243271
EL10_S_Wi2019	1.6177947967	1.4236398288
EM05_S_Wi2013	3.7695106958	3.7002324988
EM05_S_Wi2015	3.0699574468	3.016968512
EM05_S_Wi2016	3.315266454	3.3030321782
EM05_S_Wi2017	1.6942944668	1.4808046223
EM05_S_Wi2018	2.3951832461	2.4266949535
EM05_S_Wi2019	1.9120670028	2.0056535762
EM10_S_Wi2013	0.1495907405	0.3732564605
EM10_S_Wi2015	0.1799595771	0.366194332
EM10_S_Wi2017	0.14109332	0.3862735909
EM10_S_Wi2018	0.1472931426	0.4068843183
EN10_S_Wi2013_PS	3.3461180124	3.6847530254
EN10_S_Wi2015	3.3405088779	3.7260656616
EN10_S_Wi2016	3.1126798911	3.3076564487
EN10_S_Wi2017	3.1537481627	3.2794554799
EN10_S_Wi2018	3.4339833727	3.6292537596
EN15_S_Su2017	3.579480737	3.312668391
EN15_S_Su2018	3.4052199332	3.1004274066
EN15_S_Wi2013	2.8150105708	3.9886487203
EN15_S_Wi2015	3.5384883721	3.2798936065
EN15_S_Wi2016	3.4633456855	3.4128446594
EN15_S_Wi2017	3.2278876722	2.9893035893
EN15_S_Wi2018	3.4178755317	3.2939491605
EN15_S_Wi2019A	3.1762005277	2.9321525533
EN15_S_Wi2019B	3.1990180033	2.8865145913
EN17_S_Su2017	2.8350384002	2.2112155215
EN17_S_Su2018	3.5338943017	3.4153665055
EN17_S_Wi2013	2.8945204301	2.8314471839
EN17_S_Wi2015	3.0487596236	2.8137730553
EN17_S_Wi2016	2.0568272886	1.958803801
EN17_S_Wi2017	2.9137278829	2.6791696492
EN17_S_Wi2018	3.3335735736	3.5802014417
EN17_S_Wi2019	3.2473152243	2.9701524333
EN20_S_Su2017	3.5431842449	3.3538121114
EN20_S_Su2018	3.6072681308	3.627529742
EN20_S_Wi2013	3.2487262873	3.2730682688
EN20_S_Wi2015	3.1251241311	3.1174773155
EN20_S_Wi2016	3.5835558863	3.350917051
EN20_S_Wi2017	3.3200923077	3.4713115263
EN20_S_Wi2018	3.534376389	3.3087340697
EN20_S_Wi2019	3.1203972725	2.9910146561
EN30_S_Su2017	1.3459444209	1.3465016987
EN30_S_Su2018	0.8307441992	0.926774718
EN30_S_Wi2013	1.2160402486	1.0067203555
EN30_S_Wi2016	0.8290152964	1.0439880017
EN30_S_Wi2017	0.7209262954	0.8378722579
EN30_S_Wi2018	0.6729912536	0.8366916436
EN30_S_Wi2019	1.1716850438	1.249993771
EN_Asua_S_Wi2019	2.8002380213	2.7989299239
EN_Axpe_S_Wi2019	3.9812703583	3.6919217945
EN_LasArenas_S_Wi2019	3.3864333996	3.1290726063
EN_Sestao_S_Wi2019	3.2553514144	3.4113152508
EO05_S_Wi2013	3.7520228795	3.5720872074
EO05_S_Wi2015	3.6792805755	3.4119101311
EO05_S_Wi2016	2.8191494333	2.5976835921
EO05_S_Wi2017	3.2028439339	3.0139071008
EO05_S_Wi2018	2.5933473389	2.3478370964
EO05_S_Wi2019	3.1367656854	2.7264823484
EO10_S_Wi2013	3.2924854369	3.0857043559
EO10_S_Wi2015	0.8567345072	1.0029847065
EO10_S_Wi2016	2.7644790441	2.518419033
EO10_S_Wi2017A	0.6879266978	0.8564714342
EO10_S_Wi2017B	0.7262899945	0.8705897461
EO10_S_Wi2018	0.7453827084	0.9340513477
EO10_S_Wi2019	1.1307026144	1.2244398096
EOI10_S_Su2017	4.4304187516	3.8581245116
EOI10_S_Su2018	4.1983931521	3.6441640879
EOI10_S_Wi2013	4.2765373424	3.9459571729
EOI10_S_Wi2015	4.1345647558	3.6886213945
EOI10_S_Wi2016	4.1178689861	3.6400159541
EOI10_S_Wi2017	4.2415586831	3.7712961012
EOI10_S_Wi2018	4.3031378764	3.4382704859
EOI10_S_Wi2019	3.945074916	3.7172792564
EOI15_S_Su2017	4.1350357143	3.8972997817
EOI15_S_Su2018	4.2297105562	3.6936457725
EOI15_S_Wi2013	4.4243198028	4.1058939195
EOI15_S_Wi2015	4.2554966318	3.6844667101
EOI15_S_Wi2016	4.4133180253	3.8805346682
EOI15_S_Wi2017	3.8330389493	2.8373935923
EOI15_S_Wi2018	4.5060226476	3.8548555187
EOI15_S_Wi2019	4.5105892834	4.1162869198
EOI20_S_Su2017	3.0143886778	2.55358182
EOI20_S_Su2018	2.3207803406	2.0158164011
EOI20_S_Wi2013	3.5139050726	2.5852379724
EOI20_S_Wi2015	2.5017716353	2.2078860409
EOI20_S_Wi2016	2.5540615352	1.7381455086
EOI20_S_Wi2017A	2.3944217687	2.1457768744
EOI20_S_Wi2018	2.8813905461	2.1901300288
EOI20_S_Wi2019	2.5968684921	2.4615277879
EOK05_S_Su2017	3.4951251939	3.2846068922
EOK05_S_Su2018	2.9853543307	3.2787998868
EOK05_S_Wi2013	3.5332029552	3.6998092695
EOK05_S_Wi2015	2.8053455405	3.681502972
EOK05_S_Wi2016	3.1322896282	3.3199718342
EOK05_S_Wi2017	2.7324798061	2.7450260825
EOK05_S_Wi2018	2.4811479466	2.5473734278
EOK05_S_Wi2019	2.1812712826	2.6847838421
EOK10_S_Su2017	2.8116895561	2.3932649573
EOK10_S_Su2018	2.9147122901	2.5591084945
EOK10_S_Wi2013	2.9568830491	2.9800263331
EOK10_S_Wi2015	2.8320386354	2.8690569284
EOK10_S_Wi2016	3.3849989905	3.0903675408
EOK10_S_Wi2017	3.2305418719	3.1078279792
EOK10_S_Wi2018	2.8460034221	2.9560452095
EOK10_S_Wi2019	3.2594648933	3.1418193956
EOK20_S_Su2018	0.4532130778	0.6022415396
EOK20_S_Wi2015	0.5213332062	0.6444849761
EOK20_S_Wi2017	0.7543714103	0.819047259
EOK20_S_Wi2018	0.951674179	1.1569957237
EOK20_S_Wi2019	0.5835197326	0.7362035054
ESVB1_S_Su2018	2.1451169188	2.3311409396
ESVB2_S_Su2018	0.9078417266	0.9501439646
ESVB3_S_Su2018	1.2697299325	1.3697050938
ESVB4_S_Su2018	2.8734235217	2.3662616474
ESVB5_S_Su2018	1.6272396742	1.5925673675
EU05_S_Wi2013	2.0049497293	1.9549332794
EU05_S_Wi2016	2.5915972986	2.4948162018
EU05_S_Wi2017	2.5996855346	2.5569858909
