	bymorpho
EA05_S_Wi2013	1.2
EA05_S_Wi2016	1.2
EA05_S_Wi2017	1.2
EA05_S_Wi2018	1.24648318042813
EA10_S_Wi2013	3.48826530612245
EA10_S_Wi2016	3.546875
EA10_S_Wi2017	3.5
EA10_S_Wi2018	3.38244444444444
EB05_S_Wi2013	1.2
EB05_S_Wi2016	1.26272727272727
EB05_S_Wi2017	1.2
EB05_S_Wi2018	1.41958762886598
EB07_S_Wi2013	1.2
EB07_S_Wi2016	4.87234042553191
EB07_S_Wi2017	1.86052631578947
EB07_S_Wi2018	1.2
EB10_S_Wi2013	4.62000000000855
EB10_S_Wi2016	4.27586206896552
EB10_S_Wi2017	3.69736842105263
EB10_S_Wi2018	3.84615384615385
EBI05_S_Wi2013	1.10909090909066
EBI05_S_Wi2016	1.97914110429448
EBI05_S_Wi2017	1.12307692307692
EBI05_S_Wi2018	0.690322580645161
EBI10_S_Wi2013	2.18449781659369
EBI10_S_Wi2016	2.51930894308943
EBI10_S_Wi2017	1.93569131832797
EBI10_S_Wi2018	1.5573063170441
EBI20_S_Wi2013	5
EBI20_S_Wi2017	3.1
EBI20_S_Wi2018	NA
ED05_S_Wi2013	1.07755102040768
ED05_S_Wi2016	1.36046511627907
ED05_S_Wi2017	1.2
ED05_S_Wi2018	1.2
ED10_S_Wi2013	0
ED10_S_Wi2017	3.41785714285714
ED10_S_Wi2018	NA
EL05_S_Wi2013	1.19250000000019
EL05_S_Wi2016	1.31063829787234
EL05_S_Wi2017	1.23333333333333
EL05_S_Wi2018	0.804984423676012
EL10_S_Wi2013	1.2
EL10_S_Wi2016	3.04
EL10_S_Wi2017	1.2
EL10_S_Wi2018	2.37464285714286
EM05_S_Wi2013	1.2
EM05_S_Wi2016	1.2
EM05_S_Wi2017	1.2
EM05_S_Wi2018	1.54545454545455
EM10_S_Wi2013	NA
EM10_S_Wi2017	NA
EM10_S_Wi2018	NA
EN10_S_Wi2013	3.11666666666858
EN10_S_Wi2016	3.48464163822526
EN10_S_Wi2017	3.5
EN15_S_Wi2013	3.07142857142903
EN15_S_Wi2016	3.5
EN15_S_Wi2017	3.49830188679245
EN15_S_Wi2018	3.38920454545455
EN17_S_Wi2013	3.3499999999991
EN17_S_Wi2016	3.48134328358209
EN17_S_Wi2017	2.58257942352199
EN17_S_Wi2018	2.1304347826087
EN20_S_Wi2013	3.47483443708634
EN20_S_Wi2016	3.5
EN20_S_Wi2017	3.49651891390114
EN20_S_Wi2018	3.5
EN30_S_Wi2013	2.64999999999715
EN30_S_Wi2016	1.21739130434783
EN30_S_Wi2018	0.456521739130435
EO05_S_Wi2013	2.35
EO05_S_Wi2016	3.5
EO05_S_Wi2017	3.32307692307692
EO05_S_Wi2018	1.775
EO10_S_Wi2013	2.5799999999931
EO10_S_Wi2016	3.5
EO10_S_Wi2017	0
EO10_S_Wi2018	NA
EOI10_S_Wi2013	2.22529182879371
EOI10_S_Wi2016	4.71824104234528
EOI10_S_Wi2017	2.2495582438494
EOI10_S_Wi2018	4.06905106470953
EOI15_S_Wi2013	2.01365015166835
EOI15_S_Wi2016	2.03881278538813
EOI15_S_Wi2017	2.16539923954373
EOI15_S_Wi2018	2.00720025044349
EOI20_S_Wi2013	4.23287671232863
EOI20_S_Wi2016	4.86690328305235
EOI20_S_Wi2017	4.79850746268657
EOI20_S_Wi2018	3.50397175639894
EOK05_S_Wi2013	NA
EOK05_S_Wi2016	1.2
EOK05_S_Wi2018	1.16231884057971
EOK10_S_Wi2013	NA
EOK10_S_Wi2016	1.2
EOK10_S_Wi2017	1.40597014925373
EOK10_S_Wi2018	1.2
EOK20_S_Wi2017	3.79032258064516
EOK20_S_Wi2018	3.5
EU05_S_Wi2013	1.92952127659559
EU05_S_Wi2016	1.97387964148528
EU05_S_Wi2017	1.67849898580122
EU05_S_Wi2018	1.515625
EU08_S_Wi2013	2.16485148514841
EU08_S_Wi2016	2.26392961876833
EU08_S_Wi2017	2.18804664723032
EU08_S_Wi2018	2.11913357400722
EU10_S_Wi2013	2.00626057529614
EU10_S_Wi2016	2.91590909090909
EU10_S_Wi2017	2.1304347826087
EU10_S_Wi2018	2.14306560821854
EUR05_S_Wi2013	1.2
EUR05_S_Wi2016	NA
EUR05_S_Wi2017	1.2
EUR05_S_Wi2018	1.2
EUR10_S_Wi2013	NA
EUR10_S_Wi2016	1.2
EUR10_S_Wi2017	3.5
EUR10_S_Wi2018	NA
