	byOTUs	byTaxa
EA05_S_Wi2013	3.77350103003361	3.15930716258259
EA05_S_Wi2015	3.22608590441621	2.91870141408159
EA05_S_Wi2016	3.72997495826377	3.45751539572722
EA05_S_Wi2017	3.35414812460267	2.90544542438708
EA05_S_Wi2018	3.51259923175417	2.79890704694493
EA05_S_Wi2019	3.68757578673852	3.31277013752456
EA10_S_Wi2013	4.22523265277238	3.99760373313154
EA10_S_Wi2015	3.50987038883349	3.0044107965767
EA10_S_Wi2016	4.09031731217919	3.6890357375689
EA10_S_Wi2017	4.15424043006767	3.75419452887538
EA10_S_Wi2018	4.07446161861757	3.7946008693934
EA10_S_Wi2019	4.16274826216483	3.91558554485061
EB05_S_Wi2013	3.43400969653438	3.38556166535743
EB05_S_Wi2015	3.44817973788225	3.16343912290825
EB05_S_Wi2016	3.43353748352586	3.24829647770655
EB05_S_Wi2017	3.40273895638739	2.80565275908479
EB05_S_Wi2018	3.42430274403958	3.19686043931662
EB05_S_Wi2019	3.64933789806861	3.21793029802932
EB07_S_Wi2013	1.83721020092736	1.89070239746384
EB07_S_Wi2015	1.10028746406699	1.28442321090873
EB07_S_Wi2016	3.12505866748291	3.42290053603336
EB07_S_Wi2017	2.56723766540158	2.15838435048785
EB07_S_Wi2018	2.1164230528294	1.78568322981367
EB07_S_Wi2019	2.99716711807335	2.30788401920856
EB10_S_Wi2013	0.986826124674683	1.01303716494643
EB10_S_Wi2015	1.33101623147495	1.15559370846256
EB10_S_Wi2016	2.22450918870462	2.12834243193435
EB10_S_Wi2017	3.60180476880517	2.90460316382646
EB10_S_Wi2018	3.73084096586177	3.13101952277657
EB10_S_Wi2019	2.64471332325038	1.98016491554728
EBI05_S_Wi2013	2.50495750708215	1.84851246900977
EBI05_S_Wi2015	3.84990548204159	2.86064177629078
EBI05_S_Wi2016	4.12411703437174	3.23748987854251
EBI05_S_Wi2017	3.61779891304348	2.81913099349449
EBI05_S_Wi2018	3.89846344485751	3.04227073421028
EBI05_S_Wi2019	3.94594868955333	2.75752936988252
EBI10_S_Wi2013	3.14758668757623	3.13735939829245
EBI10_S_Wi2016	1.91895074946467	1.95507835171213
EBI10_S_Wi2017	2.14813534917206	2.03935680210561
EBI10_S_Wi2018	3.61686746987953	3.2434077636551
EBI10_S_Wi2019	3.73217228464421	3.33392806570377
EBI20_S_Wi2013	1.5015419760137	1.64043385645351
EBI20_S_Wi2015	0.821181913774976	1.19829284581351
EBI20_S_Wi2017	1.16108050847458	1.311151346793
EBI20_S_Wi2018	0.908960161081548	1.15428880183709
EBI20_S_Wi2019	1.13067766224453	1.44363073069444
ED05_S_Su2017	3.33109076072173	2.82065552750731
ED05_S_Su2018	3.71571594877765	3.36067771979654
ED05_S_Wi2013	3.51458823529412	2.5542489626556
ED05_S_Wi2015	3.22589615468173	2.59782282282282
ED05_S_Wi2016	3.70040806529045	2.88541465766635
ED05_S_Wi2017	3.53373621392961	2.67895239611526
ED05_S_Wi2018	3.57708232249716	2.86145173745173
ED05_S_Wi2019	3.73270787916537	3.57511347796562
ED10_S_Su2017	2.08628775834658	1.93904287138584
ED10_S_Su2018	1.17420862545146	1.13660991979047
ED10_S_Wi2013	3.24986928104575	2.30651461918657
ED10_S_Wi2015	3.33317647058825	2.61245911851736
ED10_S_Wi2016	1.4262031084202	1.62769783049789
ED10_S_Wi2017	1.81798546829899	1.92482786969478
ED10_S_Wi2018	1.61036317372196	1.79193511406626
ED10_S_Wi2019	2.06172945876086	1.89985333742624
EL05_S_Wi2013	3.42309642147117	3.65234406936466
EL05_S_Wi2015	3.50798777826277	2.91841211804649
EL05_S_Wi2016	3.26745390135343	3.67964975208355
EL05_S_Wi2017A	3.18769213252873	2.65522036911173
EL05_S_Wi2017B	3.1876618639431	2.66907434202808
EL05_S_Wi2018	3.33608809419974	3.00401712564089
EL05_S_Wi2019	3.57636770388449	3.03920063850689
EL10_S_Wi2013	1.84030432225816	1.74624973135612
EL10_S_Wi2015	3.02692307692307	2.79077224547965
EL10_S_Wi2016	1.47550622329556	1.59987557196757
EL10_S_Wi2017	2.1896463904398	2.18935690306336
EL10_S_Wi2018	1.93875457131247	1.89286998202516
EL10_S_Wi2019	2.23286725663717	1.83346994061057
EM05_S_Wi2013	3.96710137927333	3.96665896962233
EM05_S_Wi2015	3.85599162165143	3.53591754834002
EM05_S_Wi2016	3.87396788990825	3.56831511949081
EM05_S_Wi2017	3.22556187766714	2.28446693339609
EM05_S_Wi2018	3.48458515943781	2.92087564883773
EM05_S_Wi2019	3.46957039281463	2.68676284153005
EM10_S_Wi2013	0.550715976998534	0.853150092649782
EM10_S_Wi2015	0.527570969469738	0.788035968856234
EM10_S_Wi2016	0.338348671644383	0.772406716697374
EM10_S_Wi2017	0.534164305949008	0.918169296761246
EM10_S_Wi2018	0.444561149342026	0.834729568333049
EN10_S_Wi2013_PS	3.48846507881717	3.3212310880829
EN10_S_Wi2015	3.51370302474794	3.1805655313197
EN10_S_Wi2016	3.815278949271	3.44775826579184
EN10_S_Wi2017	3.7926001635323	3.53778789962187
EN10_S_Wi2018	3.73741949568823	3.43269154294804
EN15_S_Su2017	4.08411458333332	3.73723949757726
EN15_S_Su2018	4.02423068408234	3.49566470443954
EN15_S_Wi2013	4.1911250873515	4.06032314241486
EN15_S_Wi2015	4.11766364551862	3.82554067971163
EN15_S_Wi2016	4.04789164665065	3.80035292422933
EN15_S_Wi2017	3.91618032500438	3.42886366887607
EN15_S_Wi2018	3.96388935456832	3.62412845363808
EN15_S_Wi2019A	3.88263250537846	3.54230905185306
EN15_S_Wi2019B	3.85807301835221	3.47880460527672
EN17_S_Su2017	3.25315691226529	2.43013021096194
EN17_S_Su2018	4.02683515221138	3.69426085974129
EN17_S_Wi2013	3.88894875478926	3.48611111111111
EN17_S_Wi2015	3.81013978256045	3.44465641424956
EN17_S_Wi2016	2.65690746753247	2.36286229028263
EN17_S_Wi2017	3.0313672922252	2.84962804537847
EN17_S_Wi2018	4.0260045146727	3.97949144486691
EN17_S_Wi2019	4.05172537484755	3.65778395691809
EN20_S_Su2017	4.09929619947717	3.69653852463499
EN20_S_Su2018	4.33896783844429	4.01195631588915
EN20_S_Wi2013	4.09456225710701	3.80445945114447
EN20_S_Wi2015	4.09394113589331	3.7921900371903
EN20_S_Wi2016	4.14759961336054	3.6995011249144
EN20_S_Wi2017	4.1222687609075	3.99367094813218
EN20_S_Wi2018	4.02790642999882	3.67866463604583
EN20_S_Wi2019	4.07845405232928	3.72571474333307
EN30_S_Su2017	1.92636254501801	1.7597599897868
EN30_S_Su2018	1.16671103420737	1.36847722052067
EN30_S_Wi2013	1.68256417258329	1.5937817591283
EN30_S_Wi2016	1.0975630733945	1.55430091351677
EN30_S_Wi2017	1.08862989013544	1.34978755878228
EN30_S_Wi2018	0.977407032917649	1.31381818181818
EN30_S_Wi2019	1.70774706288874	1.75616753419683
EN_Asua_S_Wi2019	3.76275426588258	3.34748266963518
EN_Axpe_S_Wi2019	4.1731783199607	4.23387426092135
EN_LasArenas_S_Wi2019	3.96734420968174	3.45018399550926
EN_Sestao_S_Wi2019	4.55313211845103	3.70279880086495
EO05_S_Wi2013	3.93005525992632	3.94957112223016
EO05_S_Wi2015	3.77950680272109	3.76415841584159
EO05_S_Wi2016	3.90088222511951	3.35211570582579
EO05_S_Wi2017	3.60342122830439	3.3731015678255
EO05_S_Wi2018	3.66097380494302	3.22115160349855
EO05_S_Wi2019	3.6930695282808	3.2905351521511
EO10_S_Wi2013	3.59909162274309	3.40421111734981
EO10_S_Wi2015	2.37331091106935	2.25439332585257
EO10_S_Wi2016	2.92580301685892	2.79800811030008
EO10_S_Wi2017A	1.24863569812326	1.49365862355878
EO10_S_Wi2017B	1.2252263546455	1.49181142890565
EO10_S_Wi2018	0.95152702546963	1.47215998207484
EO10_S_Wi2019	1.62963054797917	1.74832564668137
EOI10_S_Su2017	3.49820876426057	3.22882107931908
EOI10_S_Su2018	3.36254176132567	3.04577839925423
EOI10_S_Wi2013	3.86278454986048	3.55271576574624
EOI10_S_Wi2015	3.67232735723771	3.24126529549596
EOI10_S_Wi2016	3.49641990023397	3.0667109929078
EOI10_S_Wi2017	3.63631761120008	3.19244182722543
EOI10_S_Wi2018	3.4683407835919	3.0408047646717
EOI10_S_Wi2019	3.49026391554701	3.08363207730974
EOI15_S_Su2017	3.22504999091075	3.09483880582187
EOI15_S_Su2018	3.32903961675918	3.11415933991613
EOI15_S_Wi2013	3.38013525625356	3.19626457082303
EOI15_S_Wi2015	3.54101428413243	3.25013691001067
EOI15_S_Wi2016	3.40593095308351	3.13717803030303
EOI15_S_Wi2017	3.42297671840354	2.88643444871092
EOI15_S_Wi2018	3.4415494151551	3.11725970633277
EOI15_S_Wi2019	3.52534030232383	3.24181807869013
EOI20_S_Su2017	2.12419629444167	2.22550737276042
EOI20_S_Su2018	1.75732230392157	2.02683208976806
EOI20_S_Wi2013	2.78309803921569	2.55906466225298
EOI20_S_Wi2015	1.95437076111529	2.16035991531404
EOI20_S_Wi2016	2.12960825059647	1.98668735939858
EOI20_S_Wi2017A	1.71113650793651	2.02894437622231
EOI20_S_Wi2018	2.21982056820069	2.1712665279549
EOI20_S_Wi2019	2.0539108940027	2.16335111559673
EOK05_S_Su2017	3.79655748663102	3.48819208027235
EOK05_S_Su2018	4.28113414300063	3.09573636194378
EOK05_S_Wi2013	3.89560697027384	3.85938733617559
EOK05_S_Wi2015	3.7838921901528	3.72350683075534
EOK05_S_Wi2016	3.7591899710704	3.66825481798714
EOK05_S_Wi2017	3.7823243618416	3.15155300073333
EOK05_S_Wi2018	3.77128802588997	3.0765343990865
EOK05_S_Wi2019	4.02246596483491	3.08432749041733
EOK10_S_Su2017	3.10282336738208	2.78927830160707
EOK10_S_Su2018	3.24558268079227	3.03346037717171
EOK10_S_Wi2013	3.73253685564461	3.43890144098006
EOK10_S_Wi2015	3.82537476422117	3.19802537984408
EOK10_S_Wi2016	3.40785524215007	3.38171493056188
EOK10_S_Wi2017	3.71218161683278	3.39393148450245
EOK10_S_Wi2018	3.69196981132076	3.42058603801777
EOK10_S_Wi2019	3.54631684659803	3.47436893738977
EOK20_S_Su2017	0.954783249416677	1.12994139131912
EOK20_S_Su2018	0.868717336120651	1.11765326580141
EOK20_S_Wi2015	0.832057167605022	1.18150083460338
EOK20_S_Wi2016	0.876063575525815	1.16476272729395
EOK20_S_Wi2017	1.08377815635056	1.28426709857911
EOK20_S_Wi2018	1.18002258929832	1.53142958917122
EOK20_S_Wi2019	1.06649299525298	1.23465496878691
ESVB1_S_Su2018	3.53476517754868	3.05136243386243
ESVB2_S_Su2018	1.32311094020381	1.33765621652503
ESVB3_S_Su2018	1.6782998454405	1.65742205677059
ESVB4_S_Su2018	3.1752088688946	2.5802634500111
ESVB5_S_Su2018	1.88821114369502	1.72952065710433
EU05_S_Wi2013	3.41453138435081	3.0176655796694
EU05_S_Wi2016	3.57391715976331	2.96057738018065
EU05_S_Wi2017	3.71226649032898	3.36006714298012
EU05_S_Wi2018	3.57477019041366	3.18512695600827
EU05_S_Wi2019	3.58465473145781	3.24187488710939
EU08_S_Su2017	3.14038106579338	2.65179062519098
EU08_S_Su2018	3.05212596953556	2.71459615196797
EU08_S_Wi2013	3.64269938650306	3.2315261693731
EU08_S_Wi2015	3.72039151712889	3.564568040655
EU08_S_Wi2016	3.63132102272727	3.28434787886145
EU08_S_Wi2017	3.5645017281106	3.21454237026756
EU08_S_Wi2018	3.63908590449366	3.30186921809656
EU08_S_Wi2019	3.74724864594237	3.39694018404909
EU10_S_Su2017	3.78220851571828	3.35445785262786
EU10_S_Su2018A	3.94959493951837	3.70329925978146
EU10_S_Wi2013	3.64107676969092	2.87671462282104
EU10_S_Wi2015	3.95687764764515	3.41963562753037
EU10_S_Wi2016	3.69911996544649	3.58082901554404
EU10_S_Wi2017	3.34923560036361	3.04617612707311
EU10_S_Wi2018	3.66335354600581	3.42865545806578
EU10_S_Wi2019	3.84085690744302	3.39681365656111
EUR05_S_Wi2013	3.31550171526587	2.86774725274724
EUR05_S_Wi2015	3.26504459601259	2.8467648909396
EUR05_S_Wi2016	3.40617906683481	2.83396245206912
EUR05_S_Wi2017	4.08021712907117	3.94266597279013
EUR05_S_Wi2018	3.49761932144912	3.42751417487317
EUR05_S_Wi2019	3.09373253493014	2.65567906135592
EUR10_S_Wi2013	1.15321836288559	1.43194679054054
EUR10_S_Wi2015	0.757672410439926	1.0912652547565
EUR10_S_Wi2016	0.836157740474289	1.13186784343318
EUR10_S_Wi2017	1.02744662681469	1.23790154669839
EUR10_S_Wi2018	1.28258340258816	1.50188381274676
EUR10_S_Wi2019	0.848129277566538	1.1781674676172
