	byOTUs	byTaxa
EA05_S_Wi2013	3.85971177280915	3.27659222257719
EA05_S_Wi2015	3.6859108855048	2.78930240840493
EA05_S_Wi2016	3.80734254751059	3.41499554825012
EA05_S_Wi2017	3.65263362236314	2.9005179558011
EA05_S_Wi2018	3.83088721094856	2.94350922628682
EA05_S_Wi2019	3.79680021754895	3.18241282068918
EA10_S_Wi2013	4.10593932685324	3.83196092532662
EA10_S_Wi2015	3.71244211176288	3.05923655913978
EA10_S_Wi2016	4.04618597893208	3.58530222512717
EA10_S_Wi2017	4.08962478422822	3.62156340474812
EA10_S_Wi2018	3.81141100102494	3.53653264744371
EA10_S_Wi2019	4.05577674866181	3.74179873085484
EB05_S_Wi2013	3.42104892643435	3.12543408599747
EB05_S_Wi2015	3.51020408163264	3.03176151761518
EB05_S_Wi2016	3.42020677416866	3.01352792493335
EB05_S_Wi2017	3.40513150371641	2.71479177340262
EB05_S_Wi2018	3.44499400806188	2.96447742669494
EB05_S_Wi2019	3.62283006535948	3.08832890407492
EB07_S_Wi2013	2.01290778320062	1.92704464918497
EB07_S_Wi2015	1.32004662004663	1.44181740289413
EB07_S_Wi2016	3.0406850849356	3.12584632321666
EB07_S_Wi2017	2.69277035236938	2.1663221716963
EB07_S_Wi2018	2.33329583802024	1.92108160758904
EB07_S_Wi2019	3.020229901889	2.28509024326446
EB10_S_Wi2013	1.15112587670727	1.26228250915751
EB10_S_Wi2015	1.56449212666551	1.41984416980118
EB10_S_Wi2016	2.33676061238692	2.13509216589861
EB10_S_Wi2017	3.55697810029806	2.88955894364279
EB10_S_Wi2018	3.76408235483351	3.25357291753522
EB10_S_Wi2019	2.71304020272585	2.00330158404149
EBI05_S_Wi2013	2.99597209007295	2.29962955866386
EBI05_S_Wi2015	4.02733801955991	3.23742897727273
EBI05_S_Wi2016	3.98013184814731	3.25843727450779
EBI05_S_Wi2017	3.81510891395025	3.16292761455758
EBI05_S_Wi2018	4.01467092425049	3.23817543859649
EBI05_S_Wi2019	3.95735828628875	2.85155043665358
EBI10_S_Wi2013	3.17382016124891	3.05631347582235
EBI10_S_Wi2016	2.23307635376835	2.23300308080101
EBI10_S_Wi2017	2.43277785067575	2.2964531052853
EBI10_S_Wi2018	3.55261228230982	3.11947660098522
EBI10_S_Wi2019	3.70662047339674	3.24932536031892
EBI20_S_Wi2013	1.91175543442568	1.98699402065592
EBI20_S_Wi2015	1.2361005483729	1.44416914240443
EBI20_S_Wi2017	1.4356324110672	1.53728014334889
EBI20_S_Wi2018	1.23683921460937	1.42670355832958
EBI20_S_Wi2019	1.40593405096062	1.62732247311152
ED05_S_Su2017	3.29999090826439	2.65906892382104
ED05_S_Su2018	3.60703194041157	3.21546470289486
ED05_S_Wi2013	3.60972165370446	3.18430268367796
ED05_S_Wi2015	3.54099232132309	3.03873512501671
ED05_S_Wi2016	3.6524274047187	3.12295853910647
ED05_S_Wi2017	3.58593350383633	3.12678586348066
ED05_S_Wi2018	3.6115181401902	3.1285135871681
ED05_S_Wi2019	3.65942007544938	3.42101953438587
ED10_S_Su2017	2.29270152505446	1.99449203234914
ED10_S_Su2018	1.45340616966581	1.39411436763301
ED10_S_Wi2013	3.48446978603338	2.9925255060287
ED10_S_Wi2015	3.4633425305479	3.03769312329597
ED10_S_Wi2016	1.81611039400086	1.87007404070831
ED10_S_Wi2017	2.15296961325966	2.19167022842759
ED10_S_Wi2018	2.09011280690112	2.17035712434562
ED10_S_Wi2019	2.46264916467779	2.35011514283936
EL05_S_Wi2013	3.40999524714828	3.25995440126884
EL05_S_Wi2015	3.56862186788155	3.18659050397018
EL05_S_Wi2016	3.13144747149447	3.0874573570059
EL05_S_Wi2017A	3.15840199479617	2.67394327447352
EL05_S_Wi2017B	3.18508779592907	2.682009074206
EL05_S_Wi2018	3.31595123450467	2.94382352941177
EL05_S_Wi2019	3.49288691854696	2.98396869327144
EL10_S_Wi2013	2.17077688866487	2.06312557867551
EL10_S_Wi2015	3.1429696287964	2.94959305896806
EL10_S_Wi2016	1.74830734774744	1.8080778410134
EL10_S_Wi2017	2.42294917419472	2.3129995889097
EL10_S_Wi2018	2.14589335113994	2.10893773559198
EL10_S_Wi2019	2.28438840281352	1.96451732008593
EM05_S_Wi2013	3.8319769481333	3.82486622681698
EM05_S_Wi2015	3.83427331887203	3.50547704216267
EM05_S_Wi2016	3.81823370930179	3.4755164977856
EM05_S_Wi2017	3.22527280075441	2.37096233826247
EM05_S_Wi2018	3.63407466243049	3.17037974683545
EM05_S_Wi2019	3.37105661806476	2.88350912512582
EM10_S_Wi2013	0.837553143880061	1.11388201816789
EM10_S_Wi2015	0.800312160694895	1.14759466085535
EM10_S_Wi2016	0.597794781412543	0.958582703058204
EM10_S_Wi2017	0.777810945273631	1.01847826086957
EM10_S_Wi2018	0.756096981221774	1.07731857001845
EN10_S_Wi2013_PS	3.59771056500736	3.59122655839224
EN10_S_Wi2015	3.47263590033975	3.34416788258519
EN10_S_Wi2016	3.85579880586213	3.51227448773544
EN10_S_Wi2017	3.83823704586063	3.72389453165077
EN10_S_Wi2018	3.76737990350325	3.31553182990158
EN15_S_Su2017	4.08504672897196	3.5842306771955
EN15_S_Su2018	4.0279387996983	3.33712823600241
EN15_S_Wi2013	3.90941096817873	3.89329942287
EN15_S_Wi2015	4.05531224655311	3.82476756378888
EN15_S_Wi2016	4.05034219531455	3.67192957291928
EN15_S_Wi2017	3.91297429620564	3.48145484434398
EN15_S_Wi2018	4.00423407065039	3.38252849642908
EN15_S_Wi2019A	3.88403078990776	3.64004944375772
EN15_S_Wi2019B	3.87345781466114	3.60879989461205
EN17_S_Su2017	3.31717976318623	2.36598019411735
