	bymorpho
EA05_S_Wi2013	3.5
EA05_S_Wi2016	3.5
EA05_S_Wi2017	3.5
EA05_S_Wi2018	3.5
EA10_S_Wi2013	4.68620689655155
EA10_S_Wi2016	3.74293785310734
EA10_S_Wi2017	4.07617504051864
EA10_S_Wi2018	4.38466850828729
EB05_S_Wi2013	4.18181818182004
EB05_S_Wi2016	3.73684210526316
EB05_S_Wi2017	3.5
EB05_S_Wi2018	3.52542372881356
EB07_S_Wi2013	4.7807017543875
EB07_S_Wi2016	3.67857142857143
EB07_S_Wi2017	3.98134328358209
EB07_S_Wi2018	0
EB10_S_Wi2013	3.82608695652302
EB10_S_Wi2016	2.71428571428571
EB10_S_Wi2017	3.98571428571429
EB10_S_Wi2018	3.77586206896552
EBI05_S_Wi2013	3.56976744186126
EBI05_S_Wi2016	3.5
EBI05_S_Wi2017	3.5
EBI05_S_Wi2018	3.62295081967213
EBI10_S_Wi2013	3.74625267665966
EBI10_S_Wi2016	3.8869801084991
EBI10_S_Wi2017	3.38020833333333
EBI10_S_Wi2018	4.02631578947368
EBI20_S_Wi2013	3.5875000000116
EBI20_S_Wi2017	2.32727272727273
EBI20_S_Wi2018	1.2
ED05_S_Wi2013	3.5
ED05_S_Wi2016	3.50201612903226
ED05_S_Wi2017	3.5
ED05_S_Wi2018	3.5
ED10_S_Wi2013	NA
ED10_S_Wi2017	4.65625
ED10_S_Wi2018	3.5
EL05_S_Wi2013	3.5
EL05_S_Wi2016	3.58108108108108
EL05_S_Wi2017	3.50974025974026
EL05_S_Wi2018	3.89705882352941
EL10_S_Wi2013	3.5
EL10_S_Wi2016	0.544642857142857
EL10_S_Wi2017	3.5
EL10_S_Wi2018	4.82266009852217
EM05_S_Wi2013	3.5
EM05_S_Wi2016	3.5
EM05_S_Wi2017	3.5
EM05_S_Wi2018	3.5
EM10_S_Wi2013	3.5
EM10_S_Wi2016	3.5
EM10_S_Wi2017	0
EM10_S_Wi2018	NA
EN10_S_Wi2013	5
EN10_S_Wi2016	4.95833333333333
EN10_S_Wi2017	5
EN15_S_Wi2013	3.8000000000018
EN15_S_Wi2016	4.57256461232604
EN15_S_Wi2017	4.99655568312285
EN15_S_Wi2018	4.74509803921569
EN17_S_Wi2013	4.24999999999719
EN17_S_Wi2016	3.77659574468085
EN17_S_Wi2017	3.16129032258065
EN17_S_Wi2018	2.10600706713781
EN20_S_Wi2013	4.88461538461645
EN20_S_Wi2016	4.91525423728814
EN20_S_Wi2017	4.925
EN20_S_Wi2018	5
EN30_S_Wi2013	1.74999999998687
EN30_S_Wi2016	0
EN30_S_Wi2018	0
EO05_S_Wi2013	2.04761904761891
EO05_S_Wi2016	2.07578646329838
EO05_S_Wi2017	2.09917355371901
EO05_S_Wi2018	2.00475435816165
EO10_S_Wi2013	2.33333333333333
EO10_S_Wi2016	4.34651898734177
EO10_S_Wi2017	0
EO10_S_Wi2018	0
EOI10_S_Wi2013	3.87500000000028
EOI10_S_Wi2016	4.28313253012048
EOI10_S_Wi2017	4.09055118110236
EOI10_S_Wi2018	4.18980169971671
EOI15_S_Wi2013	3.5
EOI15_S_Wi2016	NA
EOI15_S_Wi2017	5
EOI15_S_Wi2018	3.5
EOI20_S_Wi2013	4.08333333333366
EOI20_S_Wi2016	4.57222222222222
EOI20_S_Wi2017	4.67226890756303
EOI20_S_Wi2018	4.64452054794521
EOK05_S_Wi2013	3.5
EOK05_S_Wi2016	3.56
EOK05_S_Wi2018	3.5
EOK10_S_Wi2013	NA
EOK10_S_Wi2016	3.5
EOK10_S_Wi2017	3.50367346938775
EOK10_S_Wi2018	3.61111111111111
EOK20_S_Wi2016	0
EOK20_S_Wi2017	4.13333333333333
EOK20_S_Wi2018	0
EU05_S_Wi2013	3.50101511391834
EU05_S_Wi2016	3.52403204272363
EU05_S_Wi2017	3.50704225352113
EU05_S_Wi2018	3.5
EU08_S_Wi2013	3.76811594202899
EU08_S_Wi2016	3.69436997319035
EU08_S_Wi2017	3.65852047556143
EU08_S_Wi2018	3.5765306122449
EU10_S_Wi2013	3.54
EU10_S_Wi2016	3.98719676549865
EU10_S_Wi2017	3.34090909090909
EU10_S_Wi2018	3.68639053254438
EUR05_S_Wi2013	3.50675675675684
EUR05_S_Wi2016	3.52061855670103
EUR05_S_Wi2017	3.5
EUR05_S_Wi2018	3.5
EUR10_S_Wi2013	4.53124999999912
EUR10_S_Wi2016	2.84745762711864
EUR10_S_Wi2017	5
EUR10_S_Wi2018	NA
