"","AMBI","microgAMBI","PI","PI5yAvg","PI10yAvg","Redox","Redox5yAvg","Redox10yAvg","OM","OM5yAvg","OM10yAvg"
"Bacteria (superkingdom)",0,0,65.53,65.09,66.18,64.18,64.46,65.99,73.36,77.44,73.87
"FCB group",0,0,53.29,38.65,40.13,68.18,37.93,37.96,36.11,39.14,35.99
"Proteobacteria (superphylum)",0,0,0,0,0,0,0,0,0,0,0
"Terrabacteria",0,0,50.46,0,0,33.65,0,0,26.34,34.08,0
"DTB120",0,0,45.05,0,42.5,70.78,40.85,39.17,42.22,0,0
"PAUC34f",68.97,72.4,66.8,61.46,66.94,0,71.66,65.53,64.23,70.33,69.55
"SBR1093",0,54.55,0,0,0,0,0,0,52.62,0,0
"WS2",69.12,68.21,75.8,68.38,59.45,63.46,59.47,71.61,60.24,63.3,61.97
"AC1",51.51,52.98,70.61,0,0,55.6,0,52.08,52.2,68.26,75.88
"TACK",0,0,0,0,0,0,0,0,0,0,0
"Marine Hydrothermal Vent Group(MHVG)",0,0,74.96,0,53.89,47.46,0,73.49,46,0,52.92
"Bacteroidetes",72.12,0,66.38,61.66,63.09,70.89,73.54,68.24,64.76,63.51,62.8
"Marinimicrobia (SAR406 clade)",66.92,76.18,71.44,68.04,76.32,77.03,75.07,77.89,71.07,73.14,73.43
"Caldithrix phylum incertae sedis",0,61.77,64.32,0,0,0,0,0,0,0,0
"Ca. Latescibacteria (WS3)",0,66.29,65.44,64.45,65.89,64.79,62.59,71.63,59.27,69.12,68.61
"Cloacimonetes",64.8,83.8,74.31,77.72,80.69,77.25,80.93,86.26,80.08,90.86,88.88
"Ca. Zixibacteria (RBG-1)",0,0,67.87,0,62.09,70.27,0,60.91,67.47,61.28,63.29
"LCP-89",68.65,80.1,69.03,66.99,69.75,73.43,71.71,82.32,75.57,75.16,74.46
"Proteobacteria",67.74,73.19,62.75,70.74,76.9,60.47,66.21,69.34,67.72,70.01,69
"Chloroflexi",84.65,89.85,83.28,78.21,80.2,88.28,79.12,89.23,81.82,79.02,75.64
"WS1",67.11,69.53,71.91,69.59,71.16,67.88,70.54,71.98,68.05,72.51,74.06
"Planctomycetes",0,0,80.41,0,59.48,65.35,0,73.55,0,61.89,0
"Ca. Omnitrophica (OP3)",70.81,0,70.07,0,63.61,68.51,65.9,69.12,64.17,64.97,67.31
"WA-aaa01f12",0,0,53.6,60.4,61.69,66.05,0,73.19,56.05,58.53,54.31
"Acidobacteria",0,37.39,0,0,0,0,0,0,52.33,0,0
"Ca. Acetothermia (OP1)",67.34,78.43,83.92,82.99,78.84,80.34,80.54,82.61,80.19,76.5,79.02
"Ca. Modulibacteria (KSB3)",71.07,0,71.7,78.64,65.04,74.7,72.46,70.73,72.24,63.92,71.89
"Ca. Tectomicrobia",76.01,77.4,68.41,64.06,65.63,68.87,82.45,72.42,58.88,53.68,60.54
"Ca. Hydrogenedentes (NKB19)",70.63,0,61.92,62.26,64.18,67.2,65.35,65.35,65.31,63.33,66.26
