"","AMBI","microgAMBI","PI","PI5yAvg","PI10yAvg","Redox","Redox5yAvg","Redox10yAvg","OM","OM5yAvg","OM10yAvg"
"Abarenicola.claparedi",0,0,0,0,0,0,0,0,0,0,0
"Abra.alba",0,0,45.22,37.77,44,27.77,25.98,36.99,0,0,38.75
"Abra.prismatica",0,0,0,0,0,0,0,0,0,0,0
"Abyssoninoe.hibernica",0,0,0,0,0,0,0,0,0,0,0
"Acanthocardia.aculeata",0,0,0,0,0,0,0,0,0,0,0
"Acanthocardia.paucicostata",0,0,0,0,0,0,0,0,0,0,0
"Acanthocardia.tuberculata",0,0,0,0,0,0,0,0,0,0,0
"Achelia.echinata",0,0,0,0,0,0,0,0,0,0,0
"Acrocnida.brachiata",0,0,0,0,0,0,0,0,0,0,0
"Acteon.tornatilis",0,0,0,0,0,0,0,0,0,0,0
"Alkmaria.romijni",0,47.21,0,0,0,46.93,0,0,0,42.87,42.81
"Allomelita.pellucida",0,0,0,0,0,0,0,0,0,0,0
"Ammothella.longipes",0,0,0,0,0,0,0,0,0,0,0
"Ampelisca.brevicornis",0,0,0,0,0,0,0,0,0,0,0
"Ampelisca.cavicoxa",0,0,0,0,0,0,0,0,0,0,0
"Ampelisca.sarsi",0,0,0,0,0,0,0,0,0,0,0
"Ampelisca.tenuicornis",0,0,0,0,0,0,0,0,0,0,0
"Ampharete.finmarchica",0,0,0,0,0,0,0,0,0,0,0
"Amphipholis.squamata",0,0,0,0,0,0,0,0,0,0,0
"Anapagurus.hyndmanni",0,0,0,0,0,0,0,0,0,0,0
"Angulus.pygmaeus",0,0,0,0,0,0,0,0,0,0,0
"Anomia.sp.",0,0,0,0,0,0,0,0,0,0,0
"Anomiidae",0,0,0,0,0,0,0,0,0,0,0
"Antalis.novemcostata",0,0,0,0,0,0,0,0,0,0,0
"Anthozoa",0,0,0,0,0,0,0,0,0,0,0
"Anthura.gracilis",0,0,0,0,0,0,0,0,0,0,0
"Anurida.maritima",0,0,0,0,0,0,0,0,0,0,0
"Aonides.oxycephala",0,0,22.34,19.05,29.63,56.62,16,22.88,0,0,0
"Aonides.paucibranchiata",0,0,0,0,0,0,0,0,0,0,0
"Aoridae",0,0,0,0,0,0,0,0,0,0,0
"Aphelochaeta.sp.",0,0,0,0,0,0,0,0,0,0,0
"Aponuphis.bilineata",0,0,0,0,0,0,0,0,0,0,0
"Arenicolidae",0,0,0,0,0,0,0,0,0,0,0
"Aricidea.catherinae",0,0,0,0,0,0,0,0,0,0,0
"Aricidea.cerrutii",0,0,0,0,0,0,0,0,0,0,0
"Aricidea.suecica.meridionalis",0,0,0,0,0,0,0,0,0,0,0
"Armandia.cirrhosa",0,0,22.78,19.05,27.59,0,16,24.24,0,0,0
"Asbjornsenia.pygmaea",0,16.67,0,0,0,0,0,0,0,0,0
"Aspidosiphon.muelleri",0,0,0,0,0,0,0,0,0,0,0
"Austrominius.modestus",0,0,0,0,0,0,0,0,0,0,0
"Autolytus.sp.",0,0,0,0,0,0,0,0,0,0,0
"Autonoe.spiniventris",0,0,0,0,0,0,0,0,0,0,0
"Balanus.sp.",0,0,0,0,0,0,0,0,0,0,0
"Barnea.candida",0,0,0,0,0,0,0,0,0,0,0
"Bathyporeia.elegans",0,0,0,0,0,0,0,0,0,0,0
"Bathyporeia.pelagica",0,0,0,0,0,0,0,0,0,0,0
"Bathyporeia.pilosa",0,0,0,0,0,0,0,0,0,0,0
"Beania.magellanica",0,0,0,0,0,0,0,0,0,0,0
"Bela.nebula",0,0,0,0,0,0,0,0,0,0,0
"Bittium.reticulatum",0,0,0,0,0,0,0,0,0,0,0
"Bivalvia",0,0,0,0,0,0,0,0,0,0,0
"Boccardia.semibranchiata",0,0,0,0,0,0,0,0,0,0,0
"Boccardiella.ligerica",0,0,0,0,0,0,0,0,0,0,0
"Boccardiella.sp.",0,0,0,0,0,0,0,0,0,0,0
"Bodotria.scorpioides",0,0,0,0,0,0,0,0,0,0,0
"Branchiomaldane.sp.",0,0,0,0,0,0,0,0,0,0,0
"Brania.pusilla",0,0,0,0,0,0,0,0,0,0,0
"Brania.sp.",0,0,0,0,0,0,0,0,0,0,0
"Brissopsis.lyrifera",0,0,0,0,0,0,0,0,0,0,0
"Capitella.capitata",62.04,52.91,88.97,91.91,80.72,71.4,76.98,79.47,71.48,75.08,67.71
"Capitella.minima",0,0,0,0,0,0,0,0,0,0,0
"Carcinus.maenas",0,0,0,0,0,0,0,0,0,0,0
"Caulleriella.alata",0,0,0,0,0,0,0,0,0,0,0
"Caulleriella.sp.",0,0,0,0,0,0,0,0,0,0,0
"Cavernularia.pusilla",0,0,0,0,0,0,0,0,0,0,0
"Centraloecetes.kroyeranus",0,0,0,0,0,0,0,0,0,0,0
