"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"SWARM_16",1.4475,4.249,167,2,78.17,0.01,5.11,3.083,3.11995,3.67175,4.194,4.223,1,1,5.42850224775144,2
"SWARM_125",2.723,3.337,167,1,78.12,0.01,8.32,3.0303,3.064,3.271,4.1651,4.250375,1,1,8.73406296777044,1
"SWARM_42",1.6775,2.9795,147,2,79.02,0.01,3.19,2.413375,2.5215,2.99975,4.0431,4.564725,0.99,0.99,3.7731184416282,2
"SWARM_35",1.6775,2.7855,167,2,82.08,0.01,7.24,2.34905,2.52915,3.00125,3.70715,4.17965,1,1,7.78583681859283,2
"SWARM_58",1.0705,2.723,168,2,77.51,0.01,4.69,1.97505,2.0237,2.723,3.66345,5.4341,0.99,1,5.39729343108643,2
"SWARM_15",1.6205,2.53,163,2,87.07,0.01,7.93,1.897525,1.9805,2.53,3.0008,3.028,1,1,8.23200814395427,2
"SWARM_121",5.92,5.1345,171,1,76.21,0.01,10.19,4.145925,4.21675,4.74,4.994,5.032525,1,1,10.3926239927719,1
"SWARM_38",1.6775,2.998,165,2,85.16,0.01,8.24,2.505025,2.85835,2.998,3.067,3.0879,1,1,8.80463554692832,2
"SWARM_19",1.6775,2.998,162,2,81.66,0.01,5.05,2.92685,2.9979,3.028,3.17135,3.254175,1,1,5.41423074245747,2
"SWARM_146",1.9805,2.723,171,2,68.82,0.01,6.09,1.675275,1.80735,2.58375,3.1785,3.20105,1,0.99,7.22961813651995,2
"SWARM_27",1.4065,2.999,158,2,78.72,0.01,4.02,1.801,2.94845,3.025,3.13155,3.344425,0.99,1,4.51118818101968,2
"SWARM_136",1.8505,2.545,169,2,78.36,0.01,8,2.22035,2.4128,2.58375,3.0475,3.096525,0.99,1,7.83441038107661,2
"SWARM_28",1.0705,3.1115,149,1,80.21,0.01,7.7,3.0475,3.07195,3.308,4.211,4.249175,1,1,8.54435883154048,1
"SWARM_62",1.6775,2.999,162,2,81.47,0.01,5.56,2.0261,2.42515,2.997,3.04145,3.09715,1,1,6.16690889102846,2
"SWARM_86",1.6775,1.6775,165,2,89.64,0.01,3.58,1.558825,1.61125,1.6775,3.1877,3.6972,0.94,0.98,3.71913465793273,0
"SWARM_233",1.8505,2.545,171,2,80.87,0.01,6.23,1.84835,1.852,2.545,3.04525,3.0725,0.98,1,7.12279588285738,2
"SWARM_100",1.9805,3.0095,162,2,76.62,0.01,6.05,1.8505,1.852,2.66225,3.0475,3.0725,1,1,6.82781576467918,2
"SWARM_128",5.8115,5.8115,136,1,83.38,0.01,2.96,1.974,1.982,4.12675,5.817,5.833275,0.54,1,3.67565866639805,0
"SWARM_79",1.9805,1.9805,162,2,84.72,0.01,4.5,1.6205,1.67625,1.9805,3.51875000000001,5.1908,0.89,1,5.04592892972258,0
"SWARM_154",1.9805,2.723,171,2,78.98,0.01,7.38,1.844075,1.92565,2.693,2.93295,3.001425,1,1,7.97853150181603,2
"SWARM_116",1.6205,2.998,169,2,78.75,0.01,7.25,1.96615,2.545,3.056,3.2228,3.593325,1,1,7.18694395712393,2
"SWARM_324",1.4065,2.53,167,2,82.01,0.01,6,1.48845,1.5555,2.44,2.9971,2.9998,1,1,6.34142085617799,2
"SWARM_80",4.9,4.6735,157,1,70.13,0.01,5.33,3.28,3.3016,4.332,4.9035,4.936525,1,1,6.77145090616913,1
"SWARM_137",1.6775,2.53,166,2,80.74,0.01,6.39,1.6076,1.6205,2.517,2.9995,3.3209,1,1,6.38387143780401,2
