"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"SWARM_16",0.35499149005,2.4041083791,220,2,84.25,0.01,7.64,1.1944107484,1.21202891083,1.305220617325,1.90762813575,2.2164474746625,1,1,9.20873153220348,2
"SWARM_125",3.1708880497,1.72303644265,217,1,82.13,0.01,11.24,1.427801769815,1.445598546115,1.6869980138,2.188603552395,2.39145,1,1,11.9457614078,1
"SWARM_35",0.381973364,0.8010657827,213,2,90.14,0.01,4.74,0.70880881015,0.72672377485,0.84849633975,1.92991851772,2.1993776794625,0.87,1,5.14115778732298,0
"SWARM_58",0.381973364,1.23349507385,221,2,82.83,0.01,10.95,1.1980069970175,1.22448146993,1.43991413495,2.1560427213,2.2166515144475,1,1,11.3502165723938,2
"SWARM_121",3.78558204705,2.3195180572,224,2,57.01,0.04,2.29,1.202546096895,1.23895,2.3195180572,3.616345965,3.7851640941,0.7,0.9,3.43288972577621,0
"SWARM_42",0.8010657827,0.8010657827,174,2,75.68,0.01,2.69,0.7611061506,0.78340271908,1.297733375375,3.2602937003,3.3221065480775,0.71,0.86,3.16174865477654,0
"SWARM_146",0.46505746985,2.2602781238,224,2,64.77,0.01,6.74,1.1718735398075,1.213100903895,2.25182543525,2.35211435057,2.431915824395,1,1,7.30637532955357,2
"SWARM_38",0.381973364,0.8010657827,203,2,86.22,0.01,5.6,0.77974351465,0.8051315654,0.9833776608,2.565495146525,2.92854983318,0.57,1,6.17153211151524,0
"SWARM_136",0.381973364,1.1821643351,222,2,65.25,0.01,6.17,0.6987186686325,0.7185780944,1.1845613656,1.233945566465,3.21681533159,0.94,1,6.88359007456604,0
"SWARM_19",4.13306949755,1.5111726014,200,2,65.35,0.01,4.25,0.9123847094025,0.929073864405,1.46943083955,2.42550184694,2.835,0.74,1,5.09878507376989,0
"SWARM_15",4.13306949755,2.5630521145,198,1,73.53,0.01,7.9,0.7795531928725,0.81414638525,2.3792013238,2.541104229,2.5876065564875,0.72,1,7.92658649789663,0
"SWARM_27",4.13306949755,2.32475310365,191,1,73.76,0.01,5.03,0.985381747735,1.065048796695,2.356720339,2.4410751049,2.541104229,0.8,1,5.28801409957955,0
"SWARM_154",0.46505746985,0.6828530963,224,2,82.56,0.01,6.72,0.66565774218,0.6828530963,0.904,1.19939435895,1.23401106024,1,1,7.7339689798201,2
"SWARM_79",0.46505746985,0.9927300935,213,2,82.41,0.01,7.93,0.912357759,0.9298813426,1.1845613656,1.450647575735,1.466741210985,1,1,9.00676650057332,2
"SWARM_233",0.381973364,0.8010657827,224,2,86.34,0.01,7.01,0.666572785725,0.6828530963,0.78380929735,0.91347783743,0.950217907665,0.99,1,7.75288862140812,2
"SWARM_28",0.46505746985,1.4954966965,195,1,75.82,0.01,9.25,1.20364035082,1.288526784465,1.4649825828,1.80640661409,1.8812675724325,1,1,9.75455259171483,1
"SWARM_116",0.5795,0.6828530963,219,2,89.18,0.01,6.15,0.68153931256,0.69742088294,0.8010657827,0.98295936008,1.23905864978,0.97,1,6.5718820621638,2
"SWARM_80",3.49436310305,0.8010657827,209,1,65.97,0.01,3.63,0.7790530753,0.80065920443,2.2602781238,3.484461207395,3.5120342761,0.85,1,4.37065786180845,0
"SWARM_100",0.6828530963,0.77974351465,208,2,86.05,0.01,5.75,0.6820446711375,0.6990395259,0.8678642655,0.98699778029,1.0357105710875,0.98,1,6.17733671053583,2
"SWARM_134",0.35499149005,2.24392025785,212,2,64.06,0.01,4.01,0.6921339163375,0.92079672817,1.256746403275,2.25509653595,2.3218645960175,1,1,5.18483330788621,2
"SWARM_86",4.13306949755,2.9427148492,210,1,78.46,0.01,4.11,1.30857643619,1.315662102315,2.5283616293,3.15324315735,3.212518977245,0.6,1,4.43098342604184,0
"SWARM_306",0.70880881015,2.2545513525,209,2,56.62,0.04,2.43,0.7263164908275,0.77836263595,2.32061531325,2.4252384812,3.421682573665,0.74,0.93,3.48529973109549,0
"SWARM_62",0.8010657827,0.70880881015,191,2,83.53,0.01,4.95,0.7795531928725,0.80065920443,0.9366339449,2.44159140033,2.494768538375,0.57,1,5.78818563341529,0
"SWARM_128",4.21818858715,0.62874408815,168,2,70.37,0.01,1.92,0.7083203459375,0.79510244293,2.35711862005,3.410754896415,3.4716702171025,0.41,0.77,3.18277737099642,0
"SWARM_114",0.35499149005,1.1821643351,219,2,73.29,0.01,8.69,1.0924579558575,1.12074546573,1.1907062121,1.23354507385,1.246545144635,1,1,9.10899403584346,2
"SWARM_130",0.35499149005,0.6828530963,219,2,87.55,0.01,8.97,0.68234863404,0.707831881725,0.9484289795,1.2385,1.2421642325475,1,1,10.0766526290299,2
"SWARM_188",2.32475310365,2.33824473525,217,2,62.05,0.01,4.01,1.009148695075,1.237744357955,2.327793638,2.365220446325,2.371651096515,0.87,0.97,4.22739012855171,0
"SWARM_69",0.70880881015,1.32636303525,214,1,66.9,0.01,7.72,0.9413163161025,0.9927300935,1.3168216598,1.556687471585,1.802935877055,1,1,8.80763615746048,1
"SWARM_324",4.21818858715,2.4254779046,210,1,73.96,0.01,6.28,0.77974351465,0.795274351465,2.36355562175,3.049470436305,3.1554863147,0.79,1,7.50229506444528,0
"SWARM_124",0.35499149005,0.9927300935,207,2,80.49,0.01,8.35,0.984814287225,0.9927300935,1.196902553675,1.481996634985,2.06937950524,1,1,9.35611470510904,2
"SWARM_137",4.13306949755,0.8010657827,208,2,85.52,0.01,6.28,0.76524226855,0.798933555895,0.93917700005,2.65897188438,3.14477660519,0.6,1,7.18304157294902,0
"SWARM_120",0.35499149005,0.9927300935,204,2,84.23,0.01,6.94,0.913725096035,0.93364527325,1.045135270475,1.295187879815,1.36903057224,1,1,7.63684174003278,2
"SWARM_157",0.35499149005,1.1895781545,220,2,75.99,0.01,10.41,0.902401595765,0.929749124635,1.18665337695,1.26112781405,1.266944579145,1,1,10.7393835135316,2
"SWARM_177",2.32475310365,2.24392025785,202,2,77.79,0.01,8.9,1.4967814205,1.50677911957,2.205383676375,2.32277804276,2.3549113199,1,1,9.56045784876954,2
"SWARM_204",0.46505746985,2.2602781238,220,2,69.33,0.01,5.56,1.2023245051575,1.228683016695,1.457165946375,2.36743679372,2.4136029336975,1,1,5.83540437996547,2
"SWARM_197",0.8010657827,0.70880881015,212,2,88.84,0.01,7.05,0.70799948867,0.71841573402,0.819305893625,2.362207558075,2.5631762362375,0.84,1,7.96519335435906,0
"SWARM_210",0.46505746985,1.23349507385,217,2,73.45,0.01,9.19,0.81444391944,0.929073864405,1.2228475276,1.24587313579,1.2603459912,1,1,10.1163551051628,2
"SWARM_336",0.381973364,1.23349507385,213,2,69.58,0.01,8.25,0.899634635925,1.175598008345,1.23349507385,2.3518035762,2.4212075873625,1,1,9.28247425464135,2
"SWARM_115",0.46505746985,1.23349507385,205,2,71.05,0.01,8.37,1.1986527092825,1.21721907646,1.3011823043,2.327793638,2.3518035762,1,1,8.88324102653072,2
"SWARM_176",0.35499149005,2.24392025785,212,2,77.37,0.01,12.18,1.2223664036425,1.238,2.14295212445,2.36410086923,2.4010928655325,1,1,11.7054767114714,2
"SWARM_83",4.13306949755,2.3518035762,189,1,68.05,0.01,6.22,0.804928276265,0.83690621364,2.326273370825,2.44159140033,2.5157431513375,0.74,1,7.10390924691798,0
"SWARM_187",0.70880881015,1.25197381975,217,2,69.59,0.01,9.5,0.8002029584325,0.833711329605,0.96670013675,1.259993935725,1.309256363585,1,1,10.330109270407,2
"SWARM_173",0.381973364,1.1948534023,207,2,79.86,0.01,9.46,0.9212758509175,0.9433865472,1.23349507385,1.261833713215,1.284401768315,1,1,10.2402186567565,2
"SWARM_55",4.13306949755,2.3518035762,192,1,69.71,0.01,7.08,0.83710677752,2.2545513525,2.3639482834,2.950966887155,3.151224315735,0.93,1,7.67324305301662,0
"SWARM_296",0.62874408815,0.8010657827,208,2,89.76,0.01,7.06,0.700681634245,0.725909206805,0.815240110925,0.9484726575,1.1350524962825,0.95,1,7.80016643017305,2
"SWARM_375",0.35499149005,0.77974351465,211,2,87.06,0.01,7.96,0.700681634245,0.71841573402,0.8010657827,0.98359628377,1.023987880645,0.97,1,8.27032992809735,2
"SWARM_368",3.49436310305,3.49436310305,206,1,83.37,0.01,6.65,0.968885454465,1.153657265115,3.47078665845,3.63401713805,3.63401713805,1,1,6.43363981186851,1
"SWARM_148",0.50266465935,1.238,217,2,68.9,0.01,7.85,1.1985961608,1.20896315515,1.294401843775,2.196819481515,2.2908810696075,1,1,8.53296115308239,2
"SWARM_107",0.419973364,1.8200271248,165,1,69.54,0.01,11.67,1.1835297348875,1.20343784538,1.4449124371,1.80383541641,1.86424942053,1,1,10.8295402344838,1
"SWARM_222",0.46505746985,0.8010657827,212,2,90.85,0.01,8.3,0.699872312765,0.7185780944,0.81013979865,0.9833563017,2.42525045237,0.93,1,8.33852433021715,0
"SWARM_133",3.78558204705,2.4936711441,202,1,73.13,0.01,8.92,0.904635302595,2.254308363285,2.503304827075,3.21943551623,3.2721363007,0.92,1,8.91207956636505,0
"SWARM_183",3.04815884475,2.24392025785,185,2,82.81,0.01,8.17,1.2257652721475,1.238,2.10285309865,2.365599394355,2.383805033095,1,1,8.67960928847257,2
"SWARM_149",0.35499149005,0.8956647004,194,2,71.54,0.01,5.62,0.79718743409,0.8873294008,1.192988281075,1.25321656167,1.2808065933925,1,1,6.77850663458547,2
"SWARM_307",0.50266465935,1.1936930882,212,2,80.57,0.01,12.65,0.913591442735,0.94796404647,1.19255848025,1.261051890365,1.262744630475,1,1,12.0361637257436,2
