"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"SWARM_16",0.52353385445,1.3968820511,220,2,82.33,0.01,8.61,1.2636286345275,1.2755534998,1.3870065659,2.07622291916,2.32086706714,1,1,9.3857787223186,2
"SWARM_125",2.6701012776,2.08340487355,217,1,87.65,0.01,12.36,1.3976493109275,1.441773518595,2.016048609625,2.1944824269,2.24439549508,1,1,12.4029561296398,1
"SWARM_35",0.5425,0.93755601405,213,2,86.31,0.01,4.81,0.76112476223,0.859697772305,0.9923384859,1.68929069205,1.84264854726,0.84,1,4.99799307324583,0
"SWARM_58",0.4845,1.5757792154,221,2,78.84,0.01,10.61,1.289464954585,1.3697169017,1.569427852525,2.10171688468,2.1904150134975,1,1,11.2205428581656,2
"SWARM_121",3.5063946883,3.05816620385,224,2,57.46,0.08,1.61,1.0035293250225,1.0238522176,2.22891063205,3.369542824935,3.8422090162825,0.47,0.85,3.17388605946315,0
"SWARM_42",0.5809043679,0.9327693241,174,2,75.26,0.01,3.2,0.763634517255,0.902179489865,1.0074955991,2.54968629492,3.10195758271,0.63,0.95,3.1256978115613,0
"SWARM_146",0.50353385445,1.4432581227,224,2,60.98,0.01,5.57,0.6138087358,1.298798776165,1.478179343225,2.072061370515,2.3007643875125,1,1,6.32852995804839,2
"SWARM_38",0.5425,0.9354919297,203,2,81.54,0.01,4.87,0.798838858655,0.849455313365,1.0074955991,2.261398045445,2.77459268455,0.89,1,5.71890051380213,0
"SWARM_136",0.4845,1.3249063834,222,2,64.67,0.01,5.91,1.1275047994275,1.224460793485,1.3249063834,2.657359955505,2.77604846588,0.65,1,6.98659275098557,0
"SWARM_19",3.5063946883,1.397936374,200,2,70.67,0.01,5.21,1.3178839145775,1.34654129509,1.39106629785,1.6642788209,1.8160877372,0.99,1,5.3046134724206,2
"SWARM_15",0.5325,0.9241236036,198,2,80.01,0.01,5.91,0.7615913172,0.86275403987,0.9710534912,2.464905279075,2.4863904123875,0.65,1,6.49390489554479,0
"SWARM_27",0.50353385445,0.97940346935,191,2,73.37,0.01,3.23,0.91637510794,0.92669540217,1.3807140355,1.674691318485,2.4771505347375,0.92,1,3.99258507100155,0
"SWARM_154",0.5425,0.64322360265,224,2,87.91,0.01,6.15,0.5425,0.56643822235,0.848096972225,1.36445855888,1.375077417905,0.98,1,6.97140184315296,2
"SWARM_79",0.50353385445,1.27915309645,213,2,73.68,0.01,8.22,1.22579910244,1.238,1.3677820536,2.37317733024,2.46194143668,1,1,8.83610517635947,2
"SWARM_233",0.4845,0.7637420541,224,2,82.19,0.01,6.34,0.573759149505,0.67251505934,0.76266668565,1.026004678465,1.8449444399,0.93,1,6.55826217861076,0
"SWARM_28",0.4845,1.44064883085,195,1,79.76,0.01,10.25,1.3755419341475,1.39703709572,1.5176715644,1.80285205182,1.8960078216625,1,1,10.2324358828119,1
"SWARM_116",0.5809043679,0.5809043679,219,2,92.43,0.01,6.45,0.532275,0.57266393111,0.9253381389,1.370177686505,1.9446927883075,0.92,1,5.80274083070329,0
"SWARM_80",3.36471549985,2.8799498533,209,1,67.04,0.01,5.56,1.0068488482725,1.0250517229,2.8536734817,3.28830345325,3.3368475876625,0.99,1,5.36003418785766,1
"SWARM_100",0.50353385445,0.70627921635,208,2,86.12,0.01,4.71,0.61004423475,0.669696982815,0.8463990458,1.076814299875,1.359012963635,0.98,1,5.29004136113739,2
"SWARM_134",3.5063946883,3.23062466975,212,2,78.96,0.01,4.2,0.798838858655,0.84165378077,1.37690355575,3.16646067505,3.2270507198275,1,1,5.17492651894536,2
"SWARM_86",0.5425,0.5809043679,210,2,93.23,0.01,3.5,0.538,0.5689043679,1.946099143125,2.56500878586,2.5665878586,0.63,1,4.04978122880686,0
"SWARM_306",0.50353385445,1.618317247,209,1,51.97,0.13,1.14,0.5467766927225,0.928440317225,1.5819438759,3.13097212683,3.48493716695,0.7,0.84,2.87460878767399,0
"SWARM_62",0.5809043679,0.97940346935,191,2,77.37,0.01,5.23,0.797293715275,0.9241236036,0.9923384859,1.0487389856,2.17610775894,0.94,1,5.10784931903496,0
"SWARM_128",0.5809043679,0.5425,168,2,77.15,0.02,2.31,0.542275,0.5754043679,1.0258568638,3.38720797754,3.4707468583475,0.68,0.86,2.68891097610347,0
"SWARM_114",0.50353385445,1.232848214,219,2,72.1,0.01,8.29,1.1790751005325,1.197853898905,1.272055090175,1.38509118345,1.396926153655,1,1,8.54087492042995,2
"SWARM_130",0.4845,0.5809043679,219,2,92.19,0.01,8.28,0.5420516927225,0.5803543679,1.14816336055,1.3711644785,1.3749194043425,1,1,8.75878058506276,2
