"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"SWARM_16",495.5,191,212,1,86.97,0.01,8.71,46.875,58,157.25,232,242.15,1,1,9.2757020678895,1
"SWARM_125",35.5,70.5,209,2,85.39,0.01,13.83,14.475,33.3,56,140.5,150.025,1,1,13.1673421371214,2
"SWARM_35",273.5,224,205,1,72.25,0.01,4.7,118.075,134.9,257.5,297.65,305.775,0.97,1,5.15188169928678,1
"SWARM_58",495.5,191,213,1,85.47,0.01,11.81,70.5,77.5,179,291.2,311.25,1,1,11.6945066450855,1
"SWARM_42",-151,-153,169,2,78.83,0.03,2.02,-149,-149,-129,131.55,300,0.53,0.47,-2.05289874720341,0
"SWARM_121",-163.5,167,216,1,56.47,0.03,2.4,-174.5,-174.5,-12.75,408.55,463.525,0.62,0.97,4.62297502658462,0
"SWARM_38",-174,261,199,1,67.86,0.01,4.28,-94.5,-94,217.85,273.3,288.25,0.59,1,5.21736341059983,0
"SWARM_146",-174,341,216,1,72.41,0.01,9.59,151.3,231.85,325.5,344.05,345.675,1,1,9.63349315079728,1
"SWARM_136",441,261,214,1,75.51,0.01,11.92,181.7,211.835,263.5,314.35,333.25,1,1,11.5970112122641,1
"SWARM_19",-174,273.5,194,1,68.19,0.01,4.22,-64,-50.2,222,264,273.925,0.78,1,4.58973027396128,0
"SWARM_15",-174,-18,192,2,60.9,0.01,4.84,-139.275,-97.8,-60.25,70.1,78.9249999999999,1,1,5.70546594352414,2
"SWARM_27",-174,-151,186,2,84.97,0.02,2.39,-151,-151,41.5,408.5,409,0.74,1,3.58518671261798,0
"SWARM_154",297.5,288,216,1,86.03,0.01,13.62,167.475,176,252.25,311,316,1,1,14.3831496023997,1
"SWARM_79",473.5,182,205,1,81.92,0.01,11.66,88.375,99.35,136,218.15,253.075,1,1,11.7976924553302,1
"SWARM_28",299.5,220,187,2,81.23,0.01,9.37,46.2,63.95,221.925,294.5,299.025,1,1,10.2038185444186,2
"SWARM_233",477.5,288,216,1,69.92,0.01,6.94,190.225,222,263,355,357.5,0.98,1,7.38158279603932,1
"SWARM_116",-151,288,211,1,79.43,0.01,8.78,149.35,164.85,313.5,343.55,344.525,0.99,1,9.43831828928308,1
"SWARM_80",-151,405,201,1,62.3,0.02,2.5,-151,-151,13.5,405.55,429.6,0.86,0.92,3.45163786798507,0
"SWARM_100",477.5,288,201,1,72.54,0.01,5.28,180.775,228.15,273.5,294.5,299.35,1,1,6.13716198981025,1
"SWARM_86",-174,71,202,2,67.76,0.01,3.22,-151,-132.2,-18,129.65,153.7175,1,1,4.22518997696292,2
"SWARM_134",495.5,161.5,204,1,67.14,0.01,5.86,13.35,29.7,144,182.6,346.1,0.99,1,6.16975412564596,1
"SWARM_128",495.5,23,162,2,66.31,0.01,4.53,-27,-3.7,38,67.3,148.499999999999,0.99,1,4.54004526269711,2
"SWARM_62",-174,-61.5,187,2,65.64,0.01,3.65,-122.85,-85.6,-61.25,71,159.9,0.94,1,4.34790594702618,0
"SWARM_306",495.5,299.5,201,2,59.34,0.01,3.37,-94.5,-61.95,273.5,460.75,491.7,0.67,0.97,4.04967451690562,0
"SWARM_130",477.5,314,211,1,77.89,0.01,12.11,175.95,249,288,319,327.125,1,1,12.3855365944967,1
"SWARM_69",273.5,220,206,2,69.78,0.01,8.34,35.5,53.95,171,263.1,282.5,1,1,9.07062695622295,2
"SWARM_188",-174,405,209,1,68.91,0.01,4.27,-139.725,-127.3,67.5,409.15,460.625,1,1,4.97264820758126,1
"SWARM_324",-174,37.5,202,2,62.9,0.01,4.61,-149.1,-138.2,-3.5,167.285,345,1,0.99,5.36272311972465,2
"SWARM_137",-174,-65,201,2,70.05,0.01,4.79,-151,-147.2,-66,-15.95,-5.425,0.98,1,5.24214644419434,2
"SWARM_114",495.5,240.5,211,1,78.53,0.01,12.17,127.85,133.95,225.5,305.3,330.15,1,1,12.490659160219,1
"SWARM_120",495.5,299.5,196,1,74.95,0.01,6.74,87.125,109.9,189.5,383,386.15,1,1,8.7415297891817,1
"SWARM_124",495.5,160.5,199,1,82.93,0.01,12.09,46.225,70,161.5,232.3,283.3,1,1,12.8753529987258,1
"SWARM_157",495.5,273.5,212,1,78.38,0.01,10.79,105.8,118.55,178.75,357,383,1,1,11.5654854939749,1
"SWARM_177",-174,41.5,194,1,70.06,0.01,8.01,-39.5,-33.05,71,220,305.5,1,1,8.13783722908233,1
"SWARM_197",-174,-151,204,2,86.49,0.01,4.23,-154.05,-153,-96,344.85,399.15,0.95,1,4.81711119397818,2
"SWARM_204",338,317.5,212,1,74.98,0.01,6.57,-16.95,33.4,296,336.65,341.5,1,1,6.79408833787967,1
"SWARM_83",-174,-12.5,182,2,59.53,0.01,3.64,-151,-134.35,-15.75,246,264,0.79,1,4.90979343781304,0
"SWARM_210",297.5,273.5,209,1,81.69,0.01,13.09,211.9,231.85,294.5,323,330,1,1,13.4251261345961,1
"SWARM_336",405,240.5,205,1,81.45,0.01,15.46,130.875,168.4,228.25,299,311.025,1,1,15.248144811907,1
"SWARM_55",-174,37.5,187,2,60.91,0.01,4.56,-137.025,-94.75,29,111,359.575,1,1,5.72922409401454,2
"SWARM_115",342.5,182,197,1,79.9,0.01,11.68,70.975,77.9,176,282.05,294.725,1,1,12.6131592750183,1
