"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"SWARM_12047",0.8614257811,1.20628794765,4,1,20,0.01,24.34,0.8614257811,0.918929293285,1.06823189165,1.36355284845,1.51713967375,0.98,0.98,16.1627458297846,1
"SWARM_12334",0.844926965,1.10412784455,4,1,21.25,0.01,13.12,0.835975968515,0.85193455697,1.058330047,1.282583872025,1.47365938769,0.97,0.89,12.5615652094422,0
"SWARM_6171",0.8614257811,1.7264093781,4,1,9.76,0.01,10.28,1.1377442749675,1.156731260875,1.651057881325,1.7884182627,1.8578652002,0.97,0.95,10.4564416638041,1
"SWARM_3821",1.66074869655,1.7363670934,4,1,6.81,0.01,5.83,1.6531089549475,1.660106170445,1.7363670934,2.49708045716,2.5485874446125,0.96,0.78,5.48666476924967,0
"SWARM_6810",0.8614257811,1.26763060945,4,1,7.83,0.02,7.16,0.8649792218,0.918950093505,1.2341592411,2.541689272825,2.6611042066225,0.86,0.75,6.410267555129,0
"SWARM_19582",0.92771568525,2.1982383837,4,1,5.33,0.01,5.69,0.94291346779,0.9771557879,1.6992716959,1.972301317255,2.0010777686925,0.98,0.89,7.70125671025309,0
"SWARM_13970",2.3465738527,2.3465738527,4,1,4.76,0.03,4.13,1.92390225415,2.02097667654,2.352129051,2.443688138405,2.470110745675,0.99,0.82,4.77598778616326,0
"SWARM_26554",3.53286323705,2.4969491545,4,1,2.62,0.16,1.26,1.9191037376175,1.97201761745,2.4982621811,3.5248940408,3.5274658939875,0.71,0.5,2.69046063509357,0
"SWARM_7858",0.8614257811,2.15672489215,4,1,5.71,0.01,5.89,0.864801549765,1.05450589398,1.67835646235,2.175483528475,2.2001538982825,0.98,0.9,7.3984419040113,0
"SWARM_2477",1.4472358246,1.51713967375,4,1,8.65,0.01,7.06,1.3683648735,1.3801266666,1.520613847,2.45991947945,2.484946158375,0.99,0.88,7.95106472283766,0
"SWARM_31578",2.05195522605,1.9813721673,6,2,3.68,0.24,1.22,2.02571942848,2.05195522605,2.702120372425,3.8154999284,3.8532169806,0.45,0.53,2.53142983365797,0
