"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"SWARM_16",0.00342252644679527,0.996951219512195,220,2,81.31,0.01,8.57,0,0,0.609658708597042,1.28297881220878,1.42474786376675,1,1,9.05915694604936,2
"SWARM_125",5,0.947154471544715,217,1,83.29,0.01,11.79,0.607238150166194,0.628483236450286,1.43679740818877,2.20995628247353,2.27396781927138,1,1,12.1479149345068,1
"SWARM_35",4.58269745928635,3.29682717506235,213,1,71.52,0.01,3.16,0.233417947900699,0.789435953475901,3.29442699558841,4.60664864654636,4.74789079377065,0.95,1,3.86518966957788,1
"SWARM_58",0,0.996951219512195,221,2,81.3,0.01,11.27,0.00930304915992533,0.0447154471544715,0.850373872438164,1.33095078189425,1.63166172133097,1,1,11.6789945579852,2
"SWARM_121",4.74687707109647,0.221544715447154,224,2,60.05,0.01,4.69,0,0,0.033837605799829,3.17442608493836,4.61173399469293,1,1,5.94355218056185,2
"SWARM_42",5,4.94969512195122,174,1,71.61,0.07,1.47,0,0.00342252644679527,2.7962212607697,4.79110271183997,4.94969512195122,0.55,0.63,2.33371836893003,0
"SWARM_146",0.00342252644679527,0.00342252644679527,224,2,65.63,0.01,6.53,0,0,0.040650406504065,1.03834684130911,2.99496316452158,1,1,7.27359229343721,2
"SWARM_38",5,3.05338085155898,203,1,68.94,0.01,3.82,0.547967479674797,2.59227661248299,3.03998022498115,4.58269745928635,4.76824771167555,0.95,0.99,4.62509044491099,1
"SWARM_136",0.0253034235382802,0.132929611810119,222,2,67.9,0.01,7.68,0,0,0.144308943089431,0.327544128583794,2.08870781287153,0.91,1,8.06633992485418,0
"SWARM_19",5,0.602851599455634,200,2,65.12,0.01,3.7,0.195569055099387,0.209146341463415,0.596421398252564,3.12096621551545,3.9673304293715,0.69,1,4.55678450890139,0
"SWARM_15",5,2.68613370872352,198,1,68.93,0.01,6.54,2.5,2.59627784439014,2.94817618612169,3.9345769081913,4.58269745928635,0.99,1,6.15235094524753,1
"SWARM_27",0,3.05338085155898,191,1,63.94,0.01,2.54,0,0.221341463414634,3.02193417644351,3.98025577883346,4.0901207591533,0.59,0.99,3.76230198776672,0
"SWARM_154",0.00342252644679527,0.101626016260163,224,2,76.23,0.01,10.38,0,0,0.056910569105691,0.197036845912952,0.198315170923956,1,1,10.7405695703393,2
"SWARM_79",0,1.41831026353201,213,2,71.03,0.01,8.18,0,0,0.20630081300813,1.64900018213001,1.96987576741239,1,1,8.98937966784089,2
"SWARM_233",5,0,224,2,70.16,0.01,5.03,0,0,3.66257885976495,4.07766921648681,4.44460101512185,0.28,0.98,4.34014700509101,0
"SWARM_28",0,0.00342252644679527,195,1,82.24,0.01,8.49,0.00953640323584319,0.0253034235382802,0.524441467967884,1.49471544715447,1.8919513712872,1,1,9.36896711666586,1
"SWARM_116",0.0508130081300813,0.101626016260163,219,2,64.24,0.01,4.03,0,0,0.0508130081300813,3.79189538844284,3.82750466708152,0.78,1,4.76481824587125,0
"SWARM_80",5,5,209,1,72.74,0.02,2.65,0,0.865834180743799,4.41252684520467,4.94969512195122,5,0.8,0.92,3.48952600518948,0
"SWARM_100",0,4.01509023024269,208,1,63.3,0.06,1.9,0,0,1.03936790768032,4.23232731798382,4.44045202391974,0.6,0.92,3.32430804228028,0
"SWARM_134",5,0.818633923738117,212,2,60.75,0.01,3.99,0,0,1.03562349173585,3.23776298182241,3.97851586807716,1,1,5.04743428692039,2
"SWARM_86",5,2.47463902843758,210,1,71.63,0.01,3.61,0.2880455046772,1.37597110709751,2.5,4.76880081300813,5,0.94,0.96,3.58334135056469,0
"SWARM_306",5,2.5,209,2,53.74,0.07,1.58,0,0,1.11764049306641,4.07645457373989,4.35487111614077,0.75,0.75,2.92018338655324,0
"SWARM_62",5,3.05338085155898,191,1,62.25,0.02,3.13,0.27042771462251,0.613168758632204,2.99834715434507,4.94969512195122,5,0.83,0.98,3.6906039174614,0
"SWARM_128",5,0,168,2,60.07,0.02,2.23,0,0,2.5,5,5,0.51,0.74,2.8148831475178,0
"SWARM_114",0.0253034235382802,0.0426829268292683,219,2,74.61,0.01,9.2,0,0.00743621655258245,0.0975609756097561,0.387316794916549,0.90950035667127,1,1,9.69591454812051,2
"SWARM_130",0,0.040650406504065,219,2,69.25,0.01,8.36,0,0,0.0538617886178862,0.198518422956476,0.224272618270676,1,1,8.89675653254667,2
"SWARM_188",4.01509023024269,1.04539211073505,217,2,56,0.02,2.72,0,0,1.01815956359626,3.98268190234796,4.41263221026151,0.91,0.93,3.78273904771017,0
