"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"SWARM_16",0.53566772343266,1.54699481772202,218,2,79.1,0.01,7.6,1.17791018437285,1.18398939356995,1.25512133494629,1.92190141698311,2.33591226307009,1,1,8.25090836424497,2
"SWARM_125",3.67025118562807,1.82047132266214,214,1,72.97,0.01,7.83,1.57057441908734,1.66806583812983,1.79620891706677,2.46934784242249,2.59562973606265,1,1,8.68611293163213,1
"SWARM_35",0.749869639020721,1.63914827372271,211,1,70,0.01,3.81,0.783744885508586,0.800364137047346,1.62283263963503,2.02868670865245,2.65126783805146,0.62,1,4.76224146302857,0
"SWARM_58",0.604639926720508,1.55481343896359,218,2,74.91,0.01,9.66,1.23470338445501,1.42588152060965,1.62439008298566,1.91523084960675,1.94398990110179,1,1,9.43658794953339,2
"SWARM_121",3.83243626487274,3.27833389097238,221,2,58.78,0.1,1.4,0.979215955011216,1.10483275781185,1.86800984750479,3.52866419077297,3.72870493743764,0.48,0.74,2.97196967326898,0
"SWARM_42",3.67025118562807,0.824939988898102,174,2,73.96,0.03,1.98,0.79036738421776,0.824605071539745,2.39569890955877,3.45030884290436,3.46153415214349,0.44,0.82,2.63269485581213,0
"SWARM_146",0.604639926720508,2.37687964866969,222,2,64.45,0.01,5.99,1.02098384542868,1.61256880651495,2.1572721081693,2.47361513554659,2.60687744381168,1,1,6.28264744764703,2
"SWARM_38",0.620257651023873,2.27801362384811,201,1,69.45,0.01,4.41,0.805786490112607,0.824939988898102,2.06563588595201,2.7186457299911,2.80379389345973,0.54,1,5.27619784989735,0
"SWARM_136",0.604639926720508,0.887332229758967,219,2,67.72,0.01,4.68,0.62131780784818,0.703420751631749,0.864766542212083,1.74994816925368,1.94727784015956,0.77,1,4.70496370580904,0
"SWARM_19",4.03084139883363,1.51344916295903,197,2,64.53,0.02,3.66,0.984801129595767,1.15176066266806,1.51404927336913,2.21044590789057,2.27801362384811,0.73,1,4.66103324407198,0
"SWARM_15",4.03084139883363,2.82682706379085,197,1,74.26,0.01,5.94,0.896578022002377,0.986878251514802,2.57799315995126,2.87947823679067,2.92018681641489,0.86,1,6.61667147312019,0
"SWARM_27",4.03084139883363,2.27801362384811,190,1,75.47,0.01,5.17,1.50298462230253,1.98123369822866,2.16017372108702,2.34673375391983,2.40598348351722,0.9,1,5.24206455193581,0
"SWARM_154",0.604639926720508,0.704401727376405,221,2,79.74,0.01,5.53,0.603898960658787,0.604639926720508,0.856519666579636,1.80783951359367,1.8131707284252,0.56,1,5.40722131326309,0
"SWARM_79",0.604639926720508,1.10103071570887,211,2,67.4,0.01,4.76,0.667418811854371,0.713230509078311,1.13950973439553,1.60461340404228,1.7533992843715,1,1,5.74183234174459,2
"SWARM_233",0.604639926720508,0.790622099533512,221,2,83.76,0.01,5.66,0.62160711463043,0.704401727376405,0.806044697401429,2.40097052453692,2.71437729760545,0.82,1,6.06758337214072,0
"SWARM_116",0.621331584361621,0.824939988898102,218,2,82.82,0.01,5.47,0.693257836419686,0.713230509078311,0.934263565568852,1.80247713159568,1.95948968899778,0.53,1,5.32862926500632,0
"SWARM_28",0.604639926720508,1.92269101638418,192,1,71.32,0.01,7.34,1.02125050443394,1.36173785244311,1.83754102207691,2.26216168871372,2.39311916338765,1,1,7.20664692317681,1
"SWARM_80",0.887332229758967,0.980258748963593,206,1,65.19,0.01,4.29,0.848460689586662,0.883049656207444,0.980243234367591,2.17242655971352,3.38142592744832,0.93,0.99,4.30420002776877,0
