"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"SWARM_16",0.965,3.08,220,2,86.63,0.01,9.76,2.42375,2.4475,3.048125,3.225,3.23775,1,1,10.1515276727209,2
"SWARM_125",4.58185701721875,2.9,217,1,89.59,0.01,13.87,2.82125,2.930453267735,3.1275,3.435,3.4758125,1,1,14.2294696796818,1
"SWARM_35",0.42,1.49,213,2,84.41,0.01,6.04,1.27,1.36412837341,1.5575,2.4025,2.796375,1,1,6.98546358990465,2
"SWARM_58",0.42,2.2425,221,2,80.16,0.01,10.53,1.12375,1.509,2.4125,3.125,3.13930204460375,1,1,10.6316090452828,2
"SWARM_121",4.58185701721875,4.2475,224,1,71.07,0.01,6.42,3.725375,3.7475,4.111875,4.3475625,4.41375,1,1,6.73117819114128,1
"SWARM_42",4.5425595238125,1.1,174,2,66.54,0.01,2.42,0.934,0.9965,1.6175,4.04202503209375,4.31159375,0.56,0.97,3.08725297653116,0
"SWARM_146",0.42,2.165,224,2,58.69,0.01,4.63,0.41,0.41,2.775,3.7755,3.900435103245,1,1,5.74973852241614,2
"SWARM_38",0.485,1.595,203,2,77.2,0.01,6.58,1.329239099255,1.3646501749,1.5825,2.055,2.195,1,1,6.82866882403718,2
"SWARM_136",0.42,2.34,222,2,69.26,0.01,9.17,1.97125,2.035,2.16125,2.79525,2.85125,1,1,9.49132726396825,2
"SWARM_19",0.485,2.1275,200,2,69.1,0.01,4.54,0.697,1.5,1.89,2.291890052355,2.36510274868625,0.97,0.99,4.78198066704294,2
"SWARM_15",0.545,1.1,198,2,64.84,0.01,4.32,0.679,0.838,1.255,3.425587248325,3.66408898679875,0.83,1,4.97915379673661,0
"SWARM_27",0.485,0.7,191,2,73.43,0.04,2.28,0.6385,0.698,2.2184751308875,4.018875,4.3469375,0.53,0.98,3.49891692963483,0
"SWARM_154",0.42,2.7725,224,2,78.32,0.01,13.19,1.79575,1.85,2.14125,2.7725,2.775,1,1,13.3858103531139,2
"SWARM_79",0.42,1.5,213,2,83.08,0.01,11.3,1.314542885845,1.3993003498,2.3522251308875,2.80475,2.9838951159425,1,1,11.4367376824303,2
"SWARM_233",0.515,1.525,224,2,75.21,0.01,8.66,0.7095,0.76,1.555,2.3305052355975,2.37625,1,1,9.28938619624778,2
"SWARM_28",0.42,3.125,195,1,84.14,0.01,12.69,2.049625,2.24175,3.125,3.261375,3.37625,1,1,11.8190848904086,1
"SWARM_116",0.42,2.7975,219,2,78.29,0.01,10.12,2.023375,2.05,2.4,2.82725,2.87625,1,1,10.2938228709467,2
"SWARM_80",0.58,1.275,209,1,61.8,0.01,3.65,0.839,1.015,1.42232508745,3.5475,3.64366417129312,0.97,0.96,4.54897659137697,1
"SWARM_100",0.42,1.525,208,2,81.28,0.01,8.2,1.125,1.2665,1.515,2.05,2.279450261775,1,1,8.35402313514908,2
"SWARM_134",0.445,3.2825,212,2,62.57,0.01,4.55,1,2.4225,3.09,3.29,3.477,0.95,0.99,5.13206133128841,2
"SWARM_86",4.5425595238125,3.5750918990625,210,1,66,0.01,3.1,2.07375,2.16125,3.49125,3.9918125,4.44265922619062,1,0.95,3.67997016392567,1
"SWARM_306",0.58,1.51,209,1,63.18,0.02,4.76,0.74251574803,0.9585,1.67,3.69178030303,3.7175,1,1,5.83884956925292,1
"SWARM_62",0.485,1.595,191,2,64.7,0.01,3.79,0.6595,0.82,1.5,2.0769450261775,3.66819883528375,0.94,0.99,4.45848806503316,0
