"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"Bacteria (superkingdom)",1.0705,3.0955,172,2,57.94,0.01,3.59,0.8995,1.6205,3.08675,3.9618,4.87985,0.73,0.96,4.42351922637662,0
"FCB group",5.95,2.693,58,2,31.5,0.02,2.66,2.705,2.87285,3.1315,5.95,5.956825,0.96,0.89,3.89757154393902,0
"Proteobacteria (superphylum)",5.7175,5.7175,41,1,25.95,0.05,2.26,2.073125,2.29665,3.31925,5.667,5.76085,0.74,0.66,2.54507241585128,0
"Terrabacteria",5.3795,5.2485,39,1,22.28,0.09,1.49,2.14255,3.03685,4.55275,5.43475,5.5645,0.67,0.69,2.47935199655841,0
"DTB120",5.95,3.5345,94,2,37.87,0.1,1.6,1.396,1.4841,3.5345,5.667,5.8385,0.72,0.71,3.07077421261973,0
"PAUC34f",1.4065,3.301,164,1,69.54,0.01,8.92,2.71335,2.9995,3.283,3.3175,3.41655,1,1,8.8972335713782,1
"SBR1093",1.0705,4.5905,117,1,53.58,0.01,3.55,1.4065,2.35375,4.16675,4.644,4.673975,0.99,0.98,4.55887910563772,1
"WS2",5.95,3.1205,133,2,66.57,0.01,7.37,2.982025,3.00355,3.1205,3.18205,3.4912,1,1,7.41700094434792,2
"AC1",2.896,3.1665,89,2,46.87,0.01,4.17,2.9226,2.96085,3.1205,3.2012,3.713675,1,1,4.89750453819657,2
"FCPU426",1.0705,2.723,142,2,60.78,0.01,4.45,1.484725,1.852,2.9615,3.1274,3.253925,0.94,0.97,5.47416602737322,0
"TACK",4.644,4.644,111,1,47.51,0.08,1.52,2.5221,3.09715,3.31875,4.82255,4.9941,0.63,0.82,2.9021924899911,0
"Marine Hydrothermal Vent Group(MHVG)",5.95,5.95,102,2,62.42,0.05,1.92,1.789925,2.36095,3.46525,5.94685,5.95,0.36,0.94,3.44946718230709,0
"Bacteroidetes",1.0705,2.9615,172,2,63.66,0.01,3.89,1.0705,1.4116,3.05425,4.7115,5.092225,0.99,1,4.75320437568,2
