"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"Bacteria (superkingdom)",0.46505746985,1.2458648576,224,2,65.26,0.01,7.38,0.7039183696425,0.90498207103,1.239,2.357474135665,2.4223051820825,1,1,8.78406636507432,2
"FCB group",3.41909814815,2.24392025785,83,2,42.45,0.01,7.6,1.8490224955875,2.06751051286,2.330435268075,3.4235388416,3.456,1,1,8.31790500162179,2
"Proteobacteria (superphylum)",0.419973364,1.74462554245,56,2,18.95,0.03,2.31,1.0655826157375,1.225400370625,2.115604810125,3.771159379065,4.1348789269075,0.78,0.77,3.51014292238855,0
"Terrabacteria",3.7632111444,3.7632111444,64,2,63.71,0.01,8.72,1.3055409730925,1.31497461611,3.46044069345,3.7632111444,3.77058204705,0.99,1,6.74543174725723,2
"DTB120",3.77779319145,2.36671811625,106,1,40.92,0.01,3.62,1.1991894438125,1.31279639662,2.3217125693,2.42622706913,2.65830934245,1,0.98,4.45672984284164,1
"PAUC34f",0.46505746985,1.1845613656,214,1,64.11,0.01,6.32,0.8186846522875,0.85799578738,1.1844137199,1.3141826468,1.31544123465,1,1,6.95851210509988,1
"SBR1093",1.03537108825,1.44567478045,148,1,45.16,0.01,4.15,0.9990993304,1.02037704507,1.43991413495,3.42781955394,3.4710819220275,0.84,0.97,5.27085815288251,0
"WS2",3.41909814815,2.61172897295,175,2,70.45,0.01,7.67,1.24197381975,1.26022869164,2.61798243475,3.1505,3.16212641079,1,1,8.31145096978603,2
"AC1",4.13306949755,3.14352037955,121,2,66.31,0.01,7.27,1.3975025026625,1.472414943715,3.010079422375,3.18998998048,3.290425329235,1,1,7.26198859365224,2
"FCPU426",0.419973364,1.00726638935,188,2,62.89,0.01,6.89,0.7165472065775,0.8010657827,1.05219699065,1.272726759105,1.4747565377525,1,1,6.93278191321307,2
"TACK",0.6828530963,0.6828530963,148,2,53.87,0.04,1.77,0.6814614296325,0.6828530963,1.3107017855,2.741038917545,3.10105190967,0.88,0.84,3.06449695862969,0
